,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaXs,SU.electronSigmaY,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
14,14,2.25,0.02,170,1,100000.0,17.15,5.72,2.43,,410.7,0.4107,170.0,0.0737404271367097,0.004458608420946,0.008746207232634,-0.0005003999132713,7.35088516673371e-05,9881368991304.725,6406920000000.0,5174820000000.0,2.3349045860066333,0.9562290502175784,23006700962758.08,14917173183394.22,12048486032741.486,6.852824994513648e-05,4.443261004875413e-05,3.5887877347070635e-05,4.345407167743218e-05,2.8174917985206555e-05,2.275666452651299e-05
15,15,2.25,0.02,175,1,100000.0,17.15,5.72,2.43,,385.6,0.3856,175.0,0.0722014678687969,0.0043871670377818,0.0079764402852682,-0.0003568860013836,1.4712910104612616e-05,9254400000000.0,6015360000000.0,4858560000000.0,2.4963139418002784,0.9638304055248812,23131929732597.152,15035754326188.15,12144263109613.506,6.646740431160549e-05,4.320381280254356e-05,3.4895387263592875e-05,4.15505115017746e-05,2.700783247615349e-05,2.1814018538431662e-05
16,16,2.25,0.02,180,1,100000.0,17.15,5.72,2.43,,363.3,0.3633,180.0,0.0798857661651737,0.0044706078611426,0.0084177713933771,-0.000444811836455,4.501193177795477e-05,8719200000000.0,5667480000000.0,4577580000000.0,2.3017312411798105,0.8344355058675935,20026452140822.246,13017193891534.46,10513887373931.68,6.47395980117151e-05,4.2080738707614816e-05,3.398828895615043e-05,3.998624200316434e-05,2.5991057302056823e-05,2.099277705166128e-05
17,17,2.25,0.02,185,1,100000.0,17.15,5.72,2.43,,352.1,0.3520999999999999,185.0,0.0828961106929824,0.0039600701077051,0.0084975385543304,-0.0003574315388905,9.19669030726002e-06,8450400000000.0,5492760000000.0,4436460000000.0,2.311648720609745,0.8134504077645186,19522809786348.445,12689826361126.49,10249475137832.934,6.459435800003813e-05,4.1986332700024784e-05,3.391203795002002e-05,3.94739239193649e-05,2.5658050547587184e-05,2.0723810057666573e-05
18,18,2.25,0.02,190,1,100000.0,17.15,5.72,2.43,,349.7,0.3496999999999999,190.0,0.0802285939039961,0.0041143231992904,0.0083593487586146,-0.0003642173800703,-2.571197729082504e-05,8392800000000.0,5455320000000.0,4406220000000.0,2.4516162023922985,0.8555034667872882,20532083202894.92,13345854081881.695,10779343681519.83,6.598760127083461e-05,4.28919408260425e-05,3.464349066718817e-05,3.99474525931003e-05,2.5965844185515196e-05,2.097241261137766e-05
19,19,2.25,0.02,195,1,100000.0,17.15,5.72,2.43,,342.7,0.3426999999999999,195.0,0.0878397443661753,0.0041407457929939,0.0079085778893738,-0.000348242531235,-3.431517664088624e-05,8224800000000.0,5346120000000.0,4318020000000.0,2.3149757700012463,0.7897905371962615,18954972892710.28,12320732380261.684,9951360768672.896,6.653806852768318e-05,4.324974454299408e-05,3.493248597703367e-05,3.984024762103132e-05,2.589616095367036e-05,2.0916130001041444e-05
20,20,2.25,0.02,200,1,100000.0,17.15,5.72,2.43,,345.4,0.3454,200.0,0.0851505494390778,0.0042075195698738,0.0088171604603101,-0.0003625421383658,0.0001457133574364,8265071390301.461,5388240000000.0,4352040000000.0,2.436368751258273,0.8408380021814523,20120399871766.527,13117072834030.654,10594558827486.297,6.869485000273138e-05,4.478416714138226e-05,3.617182730650106e-05,4.075619666507947e-05,2.657014788478892e-05,2.1460504060791053e-05
21,21,2.25,0.02,205,1,100000.0,17.15,5.72,2.43,,332.7,0.3327,205.0,0.0827670344968253,0.0042704207410292,0.0082743746439448,-0.0002458074191717,2.5736419255611303e-05,7951530000000.0,5190120000000.0,4192020000000.0,2.5936228264056136,0.8633667504453101,20634465335642.92,13468521306946.84,10878421055610.91,6.782465624571535e-05,4.427048692188952e-05,3.575693174460308e-05,3.985959090373631e-05,2.601713883256428e-05,2.1013842903225e-05
22,22,2.25,0.02,210,1,100000.0,17.15,5.72,2.43,,325.9,0.3258999999999999,210.0,0.0976913319896169,0.004101991328152,0.007366017418842,-0.0003508392597259,-6.003182331164664e-05,7789010000000.0,5084040000000.0,4106340000000.0,2.272333219031669,0.7442717340810545,17788094444537.203,11610639051664.451,9377823849421.287,6.819774374380648e-05,4.451400846876071e-05,3.5953622224768264e-05,3.970257513354811e-05,2.5914651551604617e-05,2.0931064714757573e-05
23,23,2.25,0.02,215,1,100000.0,17.15,5.72,2.43,,344.6,0.3445999999999999,215.0,0.09198979012518,0.0044367197108877,0.0075452238989725,-0.0003066071924214,-6.589454791164771e-05,8223385000567.112,5375760000000.0,4341960000000.0,2.407555959323185,0.8295268433461217,19795468952815.68,12940618756199.496,10452038226161.13,7.382859033495931e-05,4.82629455816176e-05,3.898160989284498e-05,4.2714556190760485e-05,2.792319739039422e-05,2.255335173839533e-05
24,24,2.25,0.02,220,1,100000.0,17.15,5.72,2.43,,335.7,0.3357,220.0,0.0986718439399878,0.0045621052275449,0.0080438928477024,-0.0003122298299326,5.0401151941131423e-05,7989660000000.0,5236920000000.0,4229820000000.0,2.2577531672192834,0.758700414619583,18057069867946.08,11835726468065.494,9559625224206.746,7.35335567167658e-05,4.81984657471238e-05,3.892953002652306e-05,4.2305790156469256e-05,2.7729845648778164e-05,2.239718302401313e-05
25,25,2.25,0.02,225,1,100000.0,17.15,5.72,2.43,,328.9,0.3289,225.0,0.0961125185876454,0.0043881920023783,0.0073247247976013,-0.0002728685251447,0.0001008910111401,7827820000000.0,5130840000000.0,4144140000000.0,2.610001923329527,0.8452491939828939,20116930816792.875,13185887426133.145,10650139844184.465,7.378582096715366e-05,4.836381542384863e-05,3.906308168849312e-05,4.223981955390315e-05,2.7686604413482733e-05,2.2362257410889903e-05
26,26,2.25,0.02,230,1,100000.0,17.15,5.72,2.43,,343.6,0.3435999999999999,230.0,0.0998841280189253,0.0040626042338722,0.0072642571077916,-0.0002611117485067,-1.6074934591162008e-05,8177680000000.0,5360160000000.0,4329360000000.0,2.4301648830890024,0.8327606332356374,19819703071008.17,12991065878475.94,10492783978769.031,7.888399738825594e-05,5.170547727969717e-05,4.176211626437079e-05,4.498619225225819e-05,2.9486747862824703e-05,2.3816219427666104e-05
27,27,2.25,0.02,235,1,100000.0,17.15,5.72,2.43,,354.5,0.3545,235.0,0.1062219733748037,0.0042851358455218,0.0084461738966138,-0.000320504323049,-3.933720742189911e-05,8437100000000.0,5530200000000.0,4466700000000.0,2.2442883540692256,0.7982869751927626,18999230009587.742,12453276813007.096,10058415887428.809,8.331453291985727e-05,5.4609525779402247e-05,4.410769389874797e-05,4.725687112475285e-05,3.097509199773717e-05,2.5018343536633863e-05
28,28,2.25,0.02,240,1,100000.0,17.15,5.72,2.43,,348.3,0.3482999999999999,240.0,0.1086547167116435,0.0042662216580419,0.0072898247218328,-0.0002421876150134,-7.003893351858577e-05,8262094612491.959,5433480000000.0,4388580000000.0,2.409641164951622,0.8475477063982719,20104850240778.29,13221744219813.045,10679101100618.225,8.342393625811148e-05,5.4862878052059424e-05,4.4312324580509536e-05,4.71333238966522e-05,3.0996736873331354e-05,2.5035825936152252e-05
29,29,2.25,0.02,245,1,100000.0,17.15,5.72,2.43,,363.2,0.3632,245.0,0.1040197006631188,0.0042751277255126,0.0084802334957608,-0.0002881047413656,-9.099118279087044e-06,8607840000000.0,5665920000000.0,4576320000000.0,2.4239359081747778,0.8826701585839416,20919282758439.41,13769654473909.486,11121643998157.662,8.88068148863516e-05,5.845511865937068e-05,4.721374968641478e-05,4.995960440172726e-05,3.288480289733946e-05,2.65608023401588e-05
30,30,2.25,0.02,250,1,100000.0,17.15,5.72,2.43,,367.3,0.3673,250.0,0.1165766428929202,0.0040705802400715,0.0075420283840445,-0.0002328872145577,-2.278431285520201e-06,8705010000000.0,5729880000000.0,4627980000000.0,2.1898745469807834,0.801387055280711,18992873210152.85,12501638062379.09,10097476896536.955,9.17955747269965e-05,6.042240361777251e-05,4.8802710614354725e-05,5.141766095688128e-05,3.384453632604844e-05,2.73359716479622e-05
31,31,2.25,0.02,255,1,100000.0,17.15,5.72,2.43,,381.6,0.3816,255.0,0.1023456894608898,0.0039970166454259,0.007340520226933,-0.0002874598573089,-2.4167506309668908e-05,9027046970103.73,5952960000000.0,4808160000000.0,2.588632440936357,0.98626480800893,23330866737046.508,15385731004939.309,12426936580912.52,9.722810047256789e-05,6.41178665521586e-05,5.1787507599820416e-05,5.4205592088701256e-05,3.574632131072727e-05,2.8872028750972026e-05
32,32,2.25,0.02,260,1,100000.0,17.15,5.72,2.43,,382.3,0.3823,260.0,0.1144499820792304,0.0040479549866533,0.0078724911624653,-0.0002051808349709,-8.832783783257541e-05,9022280000000.0,5963880000000.0,4816980000000.0,2.37440351816922,0.9042396267822892,21340055192062.023,14106138177803.707,11393419297456.842,9.914231729825136e-05,6.55347521124095e-05,5.293191516771537e-05,5.509217363693541e-05,3.641686053966917e-05,2.941361812819432e-05
33,33,2.25,0.02,265,1,100000.0,17.15,5.72,2.43,,398.5,0.3984999999999999,265.0,0.1281117514521042,0.0043113320712401,0.0076263263443471,-0.0002675590391037,-5.218036030187953e-05,9404600000000.0,6216600000000.0,5021100000000.0,2.110940975908079,0.8394892314573562,19811945862393.61,13096032010734.756,10577564316362.69,0.0001054905766438,6.973105913751438e-05,5.632124007260779e-05,5.833938153283087e-05,3.8563319996278034e-05,3.114729692007072e-05
34,34,2.25,0.02,270,1,100000.0,17.15,5.72,2.43,,409.7,0.4097,270.0,0.1247258215273347,0.0039556056829681,0.0078220329336519,-0.0002430453175091,7.308265353005944e-05,9664972490294.982,6391320000000.0,5162220000000.0,2.205410459236503,0.9032560055003362,21308138747509.117,14090793685805.25,11381025669304.238,0.0001105904361129,7.313201013735786e-05,5.906816203401982e-05,6.092277938701981e-05,4.028743783211361e-05,3.253985363363023e-05
35,35,2.25,0.02,275,1,100000.0,17.15,5.72,2.43,,405.9,0.4059,275.0,0.1207644790096366,0.0039612450326028,0.0078485763162761,-0.0003152983877835,5.142353205631786e-05,9539418023099.877,6332040000000.0,5114340000000.0,2.334705624912203,0.9454033038210112,22218766483292.24,14748291539607.775,11912081628144.738,0.0001113264689723,7.389587634017115e-05,5.968513089013821e-05,6.109822121018926e-05,4.055555377643988e-05,3.275640881943221e-05
36,36,2.25,0.02,280,1,100000.0,17.15,5.72,2.43,,414.2,0.4141999999999999,280.0,0.1185793637207552,0.0041752427874951,0.0069727936839691,-0.0002269695115851,-2.3816901666868584e-05,9733700000000.0,6461520000000.0,5218920000000.0,2.3927674485175165,0.988657442700626,23233449903464.72,15423056106129.77,12457083778027.889,0.0001157551766632,7.684173429565609e-05,6.206447770033761e-05,6.336136751246567e-05,4.206116311465805e-05,3.397247790030073e-05
37,37,2.25,0.02,285,1,100000.0,17.15,5.72,2.43,,416.0,0.4159999999999999,285.0,0.1303510042383436,0.0047964928775004,0.007754319862615,-0.0002279214133309,5.868745954366236e-05,9776000000000.0,6489600000000.0,5241600000000.0,2.219966529137548,0.9216213589662096,21658101935705.93,14377293199872.87,11612429122974.244,0.0001184101433842,7.860418028916055e-05,6.348799177201428e-05,6.473636288386721e-05,4.297392599950335e-05,3.470970946113733e-05
38,38,2.25,0.02,290,1,100000.0,17.15,5.72,2.43,,422.5,0.4225,290.0,0.1262852724845799,0.0043934571855161,0.0075102385390742,-0.0002563142631533,-7.066934476245072e-07,9901909927852.645,6591000000000.0,5323500000000.0,2.39093478625468,1.0162743305053628,23817886112787.805,15853879555883.656,12805056564367.57,0.0001221911570193,8.133399735837525e-05,6.569284402022615e-05,6.672311158030933e-05,4.44128487968572e-05,3.5871916335923124e-05
39,39,2.25,0.02,295,1,100000.0,17.15,5.72,2.43,,429.4,0.4293999999999999,295.0,0.1247386271291759,0.0041372045321643,0.0072232477682992,-0.0002284198935859,-5.141297244759973e-05,10047960000000.0,6698640000000.0,5410440000000.0,2.6147161189940427,1.1012936144578729,25770270578314.21,17180180385542.809,13876299542169.191,0.0001262214890772,8.414765938484536e-05,6.796541719545202e-05,6.883531660398297e-05,4.589021106932199e-05,3.706517047906776e-05
40,40,2.25,0.02,300,1,100000.0,17.15,5.72,2.43,,431.3,0.4312999999999999,300.0,0.1271213241106408,0.0043140933391097,0.0076138011138935,-0.0002642203927498,9.72210829718894e-05,10074964074885.145,6728280000000.0,5434380000000.0,2.527560208602821,1.0914297792410783,25495283598686.96,17026304556160.824,13752015218437.59,0.0001287736043983,8.59978120578728e-05,6.945977127751266e-05,7.018973292892624e-05,4.687422930353424e-05,3.785995443746995e-05
41,41,2.25,0.02,305,1,100000.0,17.15,5.72,2.43,,434.7,0.4347,305.0,0.1456881657511416,0.0041162850271949,0.0071711109128326,-0.0002285563069283,9.427538056975964e-05,10128510000000.0,6781320000000.0,5477220000000.0,2.161220425013222,0.9392293015606846,21884042726363.95,14651977104346.678,11834289199664.629,0.0001317641207836,8.821975468782561e-05,7.125441724785914e-05,7.170042792976147e-05,4.800543672550553e-05,3.8773621970600616e-05
42,42,2.25,0.02,310,1,100000.0,17.15,5.72,2.43,,446.5,0.4465,310.0,0.1526355207425922,0.0045208319329699,0.0073352294865185,-0.0002142987047319,-9.672566289654368e-07,10403450000000.0,6965400000000.0,5625900000000.0,2.119400141665424,0.9464773163305884,22052921470502.71,14765046134757.178,11925614185765.412,0.000137683592876,9.21830063891747e-05,7.445550516048727e-05,7.48535802682323e-05,5.011656017958901e-05,4.047876014505267e-05
43,43,2.25,0.02,315,1,100000.0,17.15,5.72,2.43,,443.5,0.4434999999999999,315.0,0.1352882770931273,0.0043106674233193,0.0079869094850909,-0.0002434045041867,0.0002282194262341,10330937188078.334,6918600000000.0,5588100000000.0,2.3733242330764943,1.0519371717818635,24503938776737.76,16410219879797.068,13254408364451.477,0.0001390699276183,9.313474505787734e-05,7.522421716213641e-05,7.549867862315717e-05,5.056125580987459e-05,4.083793738489872e-05
44,44,2.25,0.02,320,1,100000.0,17.15,5.72,2.43,,427.6,0.4276,320.0,0.1393601468203542,0.0044801242406909,0.0067060270216376,-0.0002663685388305,-3.236734343727541e-05,9922729921600.775,6670560000000.0,5387760000000.0,2.3901083192817527,1.0235365344343106,23751816174188.258,15967169937175.246,12896560333872.312,0.000135776478191,9.127580328383175e-05,7.372276419078718e-05,7.367196722499982e-05,4.9526015680684256e-05,4.000178189593728e-05
45,45,2.25,0.02,325,1,100000.0,17.15,5.72,2.43,,454.2,0.4542,325.0,0.1549531151324913,0.004605591903926,0.0072936903486434,-0.0002351055779566,7.384523676357804e-05,10537440000000.0,7085520000000.0,5722920000000.0,2.1224605902427784,0.9649508343587672,22386859357123.4,15053233015996.77,12158380512920.469,0.0001465010798739,9.85093468118104e-05,7.95652416557027e-05,7.942684209137814e-05,5.340770416489219e-05,4.313699182548985e-05
46,46,2.25,0.02,330,1,100000.0,17.15,5.72,2.43,,443.9,0.4439,330.0,0.1649591988821327,0.0042510593850234,0.0066738658760294,-0.0002127062570609,6.211520293870635e-05,10266825524828.416,6924840000000.0,5593140000000.0,2.0403912710566345,0.9061333109022826,20957676515586.48,14135679650075.604,11417279717368.762,0.0001450704386482,9.784812003860573e-05,7.903117387734534e-05,7.8583269101397e-05,5.300339076456766e-05,4.28104310021508e-05
47,47,2.25,0.02,335,1,100000.0,17.15,5.72,2.43,,465.7,0.4656999999999999,335.0,0.1493091447271694,0.004163232546395,0.0071806283830316,-0.0002190848852694,1.229112701125829e-05,10757670000000.0,7264920000000.0,5867820000000.0,2.2764493435464277,1.057883239213673,24437102825835.844,16502978531733.293,13329328814092.275,0.0001543842643253,0.0001042595031807,8.42095987229321e-05,8.35563408998233e-05,5.642765878949105e-05,4.557618594535816e-05
48,48,2.25,0.02,340,1,100000.0,17.15,5.72,2.43,,461.8,0.4617999999999999,340.0,0.1605792767423565,0.0045160987156619,0.0073677936769219,-0.0002054634615985,-8.934152608187414e-06,10645295588161.498,7204080000000.0,5818680000000.0,2.150640922667172,0.9882128462185176,22780029995700.527,15416120401008.877,12451481862353.322,0.0001551097312573,0.000104968706928,8.478241713422265e-05,8.392298998913247e-05,5.6793907572962485e-05,4.58720022704697e-05
49,49,2.25,0.02,345,1,100000.0,17.15,5.72,2.43,,464.9,0.4649,345.0,0.188540048916144,0.0041827770494689,0.0074257926936788,-0.000195550228654,6.723714108412882e-05,10692700000000.0,7252440000000.0,5857740000000.0,1.8781428454511704,0.8730768889781737,20080768446498.0,13619999468059.512,11000768801124.99,0.0001582216602269,0.0001073155608495,8.667795299390735e-05,8.550637137499348e-05,5.79956258021695e-05,4.684262084021383e-05
50,50,2.25,0.02,350,1,100000.0,17.15,5.72,2.43,,482.2,0.4822,350.0,0.1643687245073522,0.0041048434840998,0.007733599227921,-0.000186710052017,-2.9759467400492023e-05,11090600000000.0,7522320000000.0,6075720000000.0,2.1532472896651766,1.038730395222467,23890799090116.73,16204194165470.48,13088002979803.08,0.0001665997960781,0.0001129981225573,9.126771437324928e-05,8.997947378242208e-05,6.102955613068629e-05,4.929310302863124e-05
51,51,2.25,0.02,355,1,100000.0,17.15,5.72,2.43,,470.5,0.4705,355.0,0.1626512885662919,0.0040797796483809,0.0064694717948024,-0.0001559656891215,-1.4891647760490397e-05,10815066245663.283,7339800000000.0,5928300000000.0,2.2097222033008164,1.038833492983469,23878965026206.176,16205802490542.12,13089302011591.71,0.0001647939787759,0.0001118397999554,9.033214611787014e-05,8.896456448072068e-05,6.037707911751641e-05,4.876610236414788e-05
52,52,2.25,0.02,360,1,100000.0,17.15,5.72,2.43,,470.5,0.4704999999999999,360.0,0.1729229031561658,0.0046650564206519,0.0070035586188233,-0.0002020797798536,4.492056216984655e-05,10774450000000.0,7339800000000.0,5928300000000.0,2.148581069197135,1.0057190150953006,23030965445682.383,15689216635486.691,12672059590200.787,0.0001666117069025,0.0001134996780646,9.167281689838382e-05,8.988070907194996e-05,6.122877997914494e-05,4.945401459854014e-05
53,53,2.25,0.02,365,1,100000.0,17.15,5.72,2.43,,488.3,0.4883,365.0,0.1825685654411756,0.0041366544500655,0.0069045586492398,-0.0001675130219032,1.7854884585067212e-05,11182070000000.0,7617480000000.0,6152580000000.0,2.0731308085183944,1.0149126589335116,23241499889577.41,15832637479362.78,12787899502562.246,0.000175421201047,0.0001195009055167,9.651996214818417e-05,9.45405739021573e-05,6.440318571501039e-05,5.201795769289301e-05
54,54,2.25,0.02,370,1,100000.0,17.15,5.72,2.43,,496.5,0.4965,370.0,0.1706527041098979,0.0044244233913307,0.0072379006113665,-0.0001992904881865,5.534116964543469e-05,11330580527436.129,7738235086182.922,6255900000000.0,2.315478825674822,1.1548427077503092,26354558502894.79,17998880886477.207,14551018117653.896,0.0001803202747545,0.0001231499721904,9.955938304357784e-05,9.710733133443944e-05,6.631958147584373e-05,5.361541296355021e-05
55,55,2.25,0.02,375,1,100000.0,17.15,5.72,2.43,,481.6,0.4816,375.0,0.1636230926637835,0.0040056916808757,0.0068142432298394,-0.0001651642867584,-5.2536372896188496e-05,10980480000000.0,7491807256865.424,6068160000000.0,2.338808137634673,1.1277726517043325,25713216458858.773,17543719551770.926,14209935411474.588,0.0001771826451499,0.0001208889071083,9.791672495131972e-05,9.534397874389534e-05,6.505168370162826e-05,5.269009351637188e-05
56,56,2.25,0.02,380,1,100000.0,17.15,5.72,2.43,,500.0,0.5000000000000001,380.0,0.173830097650557,0.0041037321165471,0.0063486444545718,-0.0001676193913843,3.245075077930009e-06,11371980757535.354,7763293612935.209,6300000000000.0,2.291416838722885,1.140243421813962,25933652503549.29,17704088947519.43,14367067114855.922,0.000186008937483,0.000126982451615,0.0001030476863378,0.0001000587820605,6.830698365142327e-05,5.543188477206937e-05
57,57,2.25,0.02,385,1,100000.0,17.15,5.72,2.43,,502.7,0.5026999999999999,385.0,0.1730951211705473,0.0041975290899144,0.0068800601258376,-0.0002269003169016,-9.804831832785426e-06,11411290000000.0,7791850000000.0,6334020000000.0,2.284820701985592,1.144443800933213,25978874281183.938,17738878914464.8,14419991891758.484,0.0001892345568398,0.0001292130233928,0.0001050376835322,0.0001016840576352,6.943184552186272e-05,5.6441371198417446e-05
