Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaXs,SU.electronSigmaY
0,2.25,0.02,100,1,100000.0,0.01715,5.72,0.0024300000000000003
1,2.25,0.02,105,1,100000.0,0.01715,5.72,0.0024300000000000003
2,2.25,0.02,110,1,100000.0,0.01715,5.72,0.0024300000000000003
3,2.25,0.02,115,1,100000.0,0.01715,5.72,0.0024300000000000003
4,2.25,0.02,120,1,100000.0,0.01715,5.72,0.0024300000000000003
5,2.25,0.02,125,1,100000.0,0.01715,5.72,0.0024300000000000003
6,2.25,0.02,130,1,100000.0,0.01715,5.72,0.0024300000000000003
7,2.25,0.02,135,1,100000.0,0.01715,5.72,0.0024300000000000003
8,2.25,0.02,140,1,100000.0,0.01715,5.72,0.0024300000000000003
9,2.25,0.02,145,1,100000.0,0.01715,5.72,0.0024300000000000003
10,2.25,0.02,150,1,100000.0,0.01715,5.72,0.0024300000000000003
11,2.25,0.02,155,1,100000.0,0.01715,5.72,0.0024300000000000003
12,2.25,0.02,160,1,100000.0,0.01715,5.72,0.0024300000000000003
13,2.25,0.02,165,1,100000.0,0.01715,5.72,0.0024300000000000003
14,2.25,0.02,170,1,100000.0,0.01715,5.72,0.0024300000000000003
15,2.25,0.02,175,1,100000.0,0.01715,5.72,0.0024300000000000003
16,2.25,0.02,180,1,100000.0,0.01715,5.72,0.0024300000000000003
17,2.25,0.02,185,1,100000.0,0.01715,5.72,0.0024300000000000003
18,2.25,0.02,190,1,100000.0,0.01715,5.72,0.0024300000000000003
19,2.25,0.02,195,1,100000.0,0.01715,5.72,0.0024300000000000003
20,2.25,0.02,200,1,100000.0,0.01715,5.72,0.0024300000000000003
21,2.25,0.02,205,1,100000.0,0.01715,5.72,0.0024300000000000003
22,2.25,0.02,210,1,100000.0,0.01715,5.72,0.0024300000000000003
23,2.25,0.02,215,1,100000.0,0.01715,5.72,0.0024300000000000003
24,2.25,0.02,220,1,100000.0,0.01715,5.72,0.0024300000000000003
25,2.25,0.02,225,1,100000.0,0.01715,5.72,0.0024300000000000003
26,2.25,0.02,230,1,100000.0,0.01715,5.72,0.0024300000000000003
27,2.25,0.02,235,1,100000.0,0.01715,5.72,0.0024300000000000003
28,2.25,0.02,240,1,100000.0,0.01715,5.72,0.0024300000000000003
29,2.25,0.02,245,1,100000.0,0.01715,5.72,0.0024300000000000003
30,2.25,0.02,250,1,100000.0,0.01715,5.72,0.0024300000000000003
31,2.25,0.02,255,1,100000.0,0.01715,5.72,0.0024300000000000003
32,2.25,0.02,260,1,100000.0,0.01715,5.72,0.0024300000000000003
33,2.25,0.02,265,1,100000.0,0.01715,5.72,0.0024300000000000003
34,2.25,0.02,270,1,100000.0,0.01715,5.72,0.0024300000000000003
35,2.25,0.02,275,1,100000.0,0.01715,5.72,0.0024300000000000003
36,2.25,0.02,280,1,100000.0,0.01715,5.72,0.0024300000000000003
37,2.25,0.02,285,1,100000.0,0.01715,5.72,0.0024300000000000003
38,2.25,0.02,290,1,100000.0,0.01715,5.72,0.0024300000000000003
39,2.25,0.02,295,1,100000.0,0.01715,5.72,0.0024300000000000003
40,2.25,0.02,300,1,100000.0,0.01715,5.72,0.0024300000000000003
41,2.25,0.02,305,1,100000.0,0.01715,5.72,0.0024300000000000003
42,2.25,0.02,310,1,100000.0,0.01715,5.72,0.0024300000000000003
43,2.25,0.02,315,1,100000.0,0.01715,5.72,0.0024300000000000003
44,2.25,0.02,320,1,100000.0,0.01715,5.72,0.0024300000000000003
45,2.25,0.02,325,1,100000.0,0.01715,5.72,0.0024300000000000003
46,2.25,0.02,330,1,100000.0,0.01715,5.72,0.0024300000000000003
47,2.25,0.02,335,1,100000.0,0.01715,5.72,0.0024300000000000003
48,2.25,0.02,340,1,100000.0,0.01715,5.72,0.0024300000000000003
49,2.25,0.02,345,1,100000.0,0.01715,5.72,0.0024300000000000003
50,2.25,0.02,350,1,100000.0,0.01715,5.72,0.0024300000000000003
51,2.25,0.02,355,1,100000.0,0.01715,5.72,0.0024300000000000003
52,2.25,0.02,360,1,100000.0,0.01715,5.72,0.0024300000000000003
53,2.25,0.02,365,1,100000.0,0.01715,5.72,0.0024300000000000003
54,2.25,0.02,370,1,100000.0,0.01715,5.72,0.0024300000000000003
55,2.25,0.02,375,1,100000.0,0.01715,5.72,0.0024300000000000003
56,2.25,0.02,380,1,100000.0,0.01715,5.72,0.0024300000000000003
57,2.25,0.02,385,1,100000.0,0.01715,5.72,0.0024300000000000003
58,2.25,0.02,390,1,100000.0,0.01715,5.72,0.0024300000000000003
59,2.25,0.02,395,1,100000.0,0.01715,5.72,0.0024300000000000003
60,2.25,0.02,400,1,100000.0,0.01715,5.72,0.0024300000000000003
61,2.25,0.02,405,1,100000.0,0.01715,5.72,0.0024300000000000003
62,2.25,0.02,410,1,100000.0,0.01715,5.72,0.0024300000000000003
63,2.25,0.02,415,1,100000.0,0.01715,5.72,0.0024300000000000003
64,2.25,0.02,420,1,100000.0,0.01715,5.72,0.0024300000000000003
65,2.25,0.02,425,1,100000.0,0.01715,5.72,0.0024300000000000003
66,2.25,0.02,430,1,100000.0,0.01715,5.72,0.0024300000000000003
67,2.25,0.02,435,1,100000.0,0.01715,5.72,0.0024300000000000003
68,2.25,0.02,440,1,100000.0,0.01715,5.72,0.0024300000000000003
69,2.25,0.02,445,1,100000.0,0.01715,5.72,0.0024300000000000003
70,2.25,0.02,450,1,100000.0,0.01715,5.72,0.0024300000000000003
71,2.25,0.02,455,1,100000.0,0.01715,5.72,0.0024300000000000003
72,2.25,0.02,460,1,100000.0,0.01715,5.72,0.0024300000000000003
73,2.25,0.02,465,1,100000.0,0.01715,5.72,0.0024300000000000003
74,2.25,0.02,470,1,100000.0,0.01715,5.72,0.0024300000000000003
75,2.25,0.02,475,1,100000.0,0.01715,5.72,0.0024300000000000003
76,2.25,0.02,480,1,100000.0,0.01715,5.72,0.0024300000000000003
77,2.25,0.02,485,1,100000.0,0.01715,5.72,0.0024300000000000003
78,2.25,0.02,490,1,100000.0,0.01715,5.72,0.0024300000000000003
79,2.25,0.02,495,1,100000.0,0.01715,5.72,0.0024300000000000003
80,2.25,0.02,500,1,100000.0,0.01715,5.72,0.0024300000000000003
81,2.25,0.02,505,1,100000.0,0.01715,5.72,0.0024300000000000003
82,2.25,0.02,510,1,100000.0,0.01715,5.72,0.0024300000000000003
83,2.25,0.02,515,1,100000.0,0.01715,5.72,0.0024300000000000003
84,2.25,0.02,520,1,100000.0,0.01715,5.72,0.0024300000000000003
85,2.25,0.02,525,1,100000.0,0.01715,5.72,0.0024300000000000003
86,2.25,0.02,530,1,100000.0,0.01715,5.72,0.0024300000000000003
87,2.25,0.02,535,1,100000.0,0.01715,5.72,0.0024300000000000003
88,2.25,0.02,540,1,100000.0,0.01715,5.72,0.0024300000000000003
89,2.25,0.02,545,1,100000.0,0.01715,5.72,0.0024300000000000003
90,2.25,0.02,550,1,100000.0,0.01715,5.72,0.0024300000000000003
91,2.25,0.02,555,1,100000.0,0.01715,5.72,0.0024300000000000003
92,2.25,0.02,560,1,100000.0,0.01715,5.72,0.0024300000000000003
93,2.25,0.02,565,1,100000.0,0.01715,5.72,0.0024300000000000003
94,2.25,0.02,570,1,100000.0,0.01715,5.72,0.0024300000000000003
95,2.25,0.02,575,1,100000.0,0.01715,5.72,0.0024300000000000003
96,2.25,0.02,580,1,100000.0,0.01715,5.72,0.0024300000000000003
97,2.25,0.02,585,1,100000.0,0.01715,5.72,0.0024300000000000003
98,2.25,0.02,590,1,100000.0,0.01715,5.72,0.0024300000000000003
99,2.25,0.02,595,1,100000.0,0.01715,5.72,0.0024300000000000003
100,2.25,0.02,600,1,100000.0,0.01715,5.72,0.0024300000000000003
101,2.25,0.02,605,1,100000.0,0.01715,5.72,0.0024300000000000003
102,2.25,0.02,610,1,100000.0,0.01715,5.72,0.0024300000000000003
103,2.25,0.02,615,1,100000.0,0.01715,5.72,0.0024300000000000003
104,2.25,0.02,620,1,100000.0,0.01715,5.72,0.0024300000000000003
105,2.25,0.02,625,1,100000.0,0.01715,5.72,0.0024300000000000003
106,2.25,0.02,630,1,100000.0,0.01715,5.72,0.0024300000000000003
107,2.25,0.02,635,1,100000.0,0.01715,5.72,0.0024300000000000003
108,2.25,0.02,640,1,100000.0,0.01715,5.72,0.0024300000000000003
109,2.25,0.02,645,1,100000.0,0.01715,5.72,0.0024300000000000003
110,2.25,0.02,650,1,100000.0,0.01715,5.72,0.0024300000000000003
111,2.25,0.02,655,1,100000.0,0.01715,5.72,0.0024300000000000003
112,2.25,0.02,660,1,100000.0,0.01715,5.72,0.0024300000000000003
113,2.25,0.02,665,1,100000.0,0.01715,5.72,0.0024300000000000003
114,2.25,0.02,670,1,100000.0,0.01715,5.72,0.0024300000000000003
115,2.25,0.02,675,1,100000.0,0.01715,5.72,0.0024300000000000003
116,2.25,0.02,680,1,100000.0,0.01715,5.72,0.0024300000000000003
117,2.25,0.02,685,1,100000.0,0.01715,5.72,0.0024300000000000003
118,2.25,0.02,690,1,100000.0,0.01715,5.72,0.0024300000000000003
119,2.25,0.02,695,1,100000.0,0.01715,5.72,0.0024300000000000003
120,2.25,0.02,700,1,100000.0,0.01715,5.72,0.0024300000000000003
121,2.25,0.02,705,1,100000.0,0.01715,5.72,0.0024300000000000003
122,2.25,0.02,710,1,100000.0,0.01715,5.72,0.0024300000000000003
123,2.25,0.02,715,1,100000.0,0.01715,5.72,0.0024300000000000003
124,2.25,0.02,720,1,100000.0,0.01715,5.72,0.0024300000000000003
125,2.25,0.02,725,1,100000.0,0.01715,5.72,0.0024300000000000003
126,2.25,0.02,730,1,100000.0,0.01715,5.72,0.0024300000000000003
127,2.25,0.02,735,1,100000.0,0.01715,5.72,0.0024300000000000003
128,2.25,0.02,740,1,100000.0,0.01715,5.72,0.0024300000000000003
129,2.25,0.02,745,1,100000.0,0.01715,5.72,0.0024300000000000003
130,2.25,0.02,750,1,100000.0,0.01715,5.72,0.0024300000000000003
131,2.25,0.02,755,1,100000.0,0.01715,5.72,0.0024300000000000003
132,2.25,0.02,760,1,100000.0,0.01715,5.72,0.0024300000000000003
133,2.25,0.02,765,1,100000.0,0.01715,5.72,0.0024300000000000003
134,2.25,0.02,770,1,100000.0,0.01715,5.72,0.0024300000000000003
135,2.25,0.02,775,1,100000.0,0.01715,5.72,0.0024300000000000003
136,2.25,0.02,780,1,100000.0,0.01715,5.72,0.0024300000000000003
137,2.25,0.02,785,1,100000.0,0.01715,5.72,0.0024300000000000003
138,2.25,0.02,790,1,100000.0,0.01715,5.72,0.0024300000000000003
139,2.25,0.02,795,1,100000.0,0.01715,5.72,0.0024300000000000003
140,2.25,0.02,800,1,100000.0,0.01715,5.72,0.0024300000000000003
141,2.25,0.02,805,1,100000.0,0.01715,5.72,0.0024300000000000003
142,2.25,0.02,810,1,100000.0,0.01715,5.72,0.0024300000000000003
143,2.25,0.02,815,1,100000.0,0.01715,5.72,0.0024300000000000003
144,2.25,0.02,820,1,100000.0,0.01715,5.72,0.0024300000000000003
145,2.25,0.02,825,1,100000.0,0.01715,5.72,0.0024300000000000003
146,2.25,0.02,830,1,100000.0,0.01715,5.72,0.0024300000000000003
147,2.25,0.02,835,1,100000.0,0.01715,5.72,0.0024300000000000003
148,2.25,0.02,840,1,100000.0,0.01715,5.72,0.0024300000000000003
149,2.25,0.02,845,1,100000.0,0.01715,5.72,0.0024300000000000003
150,2.25,0.02,850,1,100000.0,0.01715,5.72,0.0024300000000000003
151,2.25,0.02,855,1,100000.0,0.01715,5.72,0.0024300000000000003
152,2.25,0.02,860,1,100000.0,0.01715,5.72,0.0024300000000000003
153,2.25,0.02,865,1,100000.0,0.01715,5.72,0.0024300000000000003
154,2.25,0.02,870,1,100000.0,0.01715,5.72,0.0024300000000000003
155,2.25,0.02,875,1,100000.0,0.01715,5.72,0.0024300000000000003
156,2.25,0.02,880,1,100000.0,0.01715,5.72,0.0024300000000000003
157,2.25,0.02,885,1,100000.0,0.01715,5.72,0.0024300000000000003
158,2.25,0.02,890,1,100000.0,0.01715,5.72,0.0024300000000000003
159,2.25,0.02,895,1,100000.0,0.01715,5.72,0.0024300000000000003
160,2.25,0.02,900,1,100000.0,0.01715,5.72,0.0024300000000000003
161,2.25,0.02,905,1,100000.0,0.01715,5.72,0.0024300000000000003
162,2.25,0.02,910,1,100000.0,0.01715,5.72,0.0024300000000000003
163,2.25,0.02,915,1,100000.0,0.01715,5.72,0.0024300000000000003
164,2.25,0.02,920,1,100000.0,0.01715,5.72,0.0024300000000000003
165,2.25,0.02,925,1,100000.0,0.01715,5.72,0.0024300000000000003
166,2.25,0.02,930,1,100000.0,0.01715,5.72,0.0024300000000000003
167,2.25,0.02,935,1,100000.0,0.01715,5.72,0.0024300000000000003
168,2.25,0.02,940,1,100000.0,0.01715,5.72,0.0024300000000000003
169,2.25,0.02,945,1,100000.0,0.01715,5.72,0.0024300000000000003
170,2.25,0.02,950,1,100000.0,0.01715,5.72,0.0024300000000000003
171,2.25,0.02,955,1,100000.0,0.01715,5.72,0.0024300000000000003
172,2.25,0.02,960,1,100000.0,0.01715,5.72,0.0024300000000000003
173,2.25,0.02,965,1,100000.0,0.01715,5.72,0.0024300000000000003
174,2.25,0.02,970,1,100000.0,0.01715,5.72,0.0024300000000000003
175,2.25,0.02,975,1,100000.0,0.01715,5.72,0.0024300000000000003
176,2.25,0.02,980,1,100000.0,0.01715,5.72,0.0024300000000000003
177,2.25,0.02,985,1,100000.0,0.01715,5.72,0.0024300000000000003
178,2.25,0.02,990,1,100000.0,0.01715,5.72,0.0024300000000000003
179,2.25,0.02,995,1,100000.0,0.01715,5.72,0.0024300000000000003
180,2.25,0.02,1000,1,100000.0,0.01715,5.72,0.0024300000000000003
181,2.25,0.02,1005,1,100000.0,0.01715,5.72,0.0024300000000000003
182,2.25,0.02,1010,1,100000.0,0.01715,5.72,0.0024300000000000003
183,2.25,0.02,1015,1,100000.0,0.01715,5.72,0.0024300000000000003
184,2.25,0.02,1020,1,100000.0,0.01715,5.72,0.0024300000000000003
185,2.25,0.02,1025,1,100000.0,0.01715,5.72,0.0024300000000000003
186,2.25,0.02,1030,1,100000.0,0.01715,5.72,0.0024300000000000003
187,2.25,0.02,1035,1,100000.0,0.01715,5.72,0.0024300000000000003
188,2.25,0.02,1040,1,100000.0,0.01715,5.72,0.0024300000000000003
189,2.25,0.02,1045,1,100000.0,0.01715,5.72,0.0024300000000000003
190,2.25,0.02,1050,1,100000.0,0.01715,5.72,0.0024300000000000003
191,2.25,0.02,1055,1,100000.0,0.01715,5.72,0.0024300000000000003
192,2.25,0.02,1060,1,100000.0,0.01715,5.72,0.0024300000000000003
193,2.25,0.02,1065,1,100000.0,0.01715,5.72,0.0024300000000000003
194,2.25,0.02,1070,1,100000.0,0.01715,5.72,0.0024300000000000003
195,2.25,0.02,1075,1,100000.0,0.01715,5.72,0.0024300000000000003
196,2.25,0.02,1080,1,100000.0,0.01715,5.72,0.0024300000000000003
197,2.25,0.02,1085,1,100000.0,0.01715,5.72,0.0024300000000000003
198,2.25,0.02,1090,1,100000.0,0.01715,5.72,0.0024300000000000003
199,2.25,0.02,1095,1,100000.0,0.01715,5.72,0.0024300000000000003
200,2.25,0.02,1100,1,100000.0,0.01715,5.72,0.0024300000000000003
201,2.25,0.02,1105,1,100000.0,0.01715,5.72,0.0024300000000000003
202,2.25,0.02,1110,1,100000.0,0.01715,5.72,0.0024300000000000003
203,2.25,0.02,1115,1,100000.0,0.01715,5.72,0.0024300000000000003
204,2.25,0.02,1120,1,100000.0,0.01715,5.72,0.0024300000000000003
205,2.25,0.02,1125,1,100000.0,0.01715,5.72,0.0024300000000000003
206,2.25,0.02,1130,1,100000.0,0.01715,5.72,0.0024300000000000003
207,2.25,0.02,1135,1,100000.0,0.01715,5.72,0.0024300000000000003
208,2.25,0.02,1140,1,100000.0,0.01715,5.72,0.0024300000000000003
209,2.25,0.02,1145,1,100000.0,0.01715,5.72,0.0024300000000000003
210,2.25,0.02,1150,1,100000.0,0.01715,5.72,0.0024300000000000003
211,2.25,0.02,1155,1,100000.0,0.01715,5.72,0.0024300000000000003
212,2.25,0.02,1160,1,100000.0,0.01715,5.72,0.0024300000000000003
213,2.25,0.02,1165,1,100000.0,0.01715,5.72,0.0024300000000000003
214,2.25,0.02,1170,1,100000.0,0.01715,5.72,0.0024300000000000003
215,2.25,0.02,1175,1,100000.0,0.01715,5.72,0.0024300000000000003
216,2.25,0.02,1180,1,100000.0,0.01715,5.72,0.0024300000000000003
217,2.25,0.02,1185,1,100000.0,0.01715,5.72,0.0024300000000000003
218,2.25,0.02,1190,1,100000.0,0.01715,5.72,0.0024300000000000003
219,2.25,0.02,1195,1,100000.0,0.01715,5.72,0.0024300000000000003
220,2.25,0.02,1200,1,100000.0,0.01715,5.72,0.0024300000000000003
221,2.25,0.02,1205,1,100000.0,0.01715,5.72,0.0024300000000000003
222,2.25,0.02,1210,1,100000.0,0.01715,5.72,0.0024300000000000003
223,2.25,0.02,1215,1,100000.0,0.01715,5.72,0.0024300000000000003
224,2.25,0.02,1220,1,100000.0,0.01715,5.72,0.0024300000000000003
225,2.25,0.02,1225,1,100000.0,0.01715,5.72,0.0024300000000000003
226,2.25,0.02,1230,1,100000.0,0.01715,5.72,0.0024300000000000003
227,2.25,0.02,1235,1,100000.0,0.01715,5.72,0.0024300000000000003
228,2.25,0.02,1240,1,100000.0,0.01715,5.72,0.0024300000000000003
229,2.25,0.02,1245,1,100000.0,0.01715,5.72,0.0024300000000000003
230,2.25,0.02,1250,1,100000.0,0.01715,5.72,0.0024300000000000003
231,2.25,0.02,1255,1,100000.0,0.01715,5.72,0.0024300000000000003
232,2.25,0.02,1260,1,100000.0,0.01715,5.72,0.0024300000000000003
233,2.25,0.02,1265,1,100000.0,0.01715,5.72,0.0024300000000000003
234,2.25,0.02,1270,1,100000.0,0.01715,5.72,0.0024300000000000003
235,2.25,0.02,1275,1,100000.0,0.01715,5.72,0.0024300000000000003
236,2.25,0.02,1280,1,100000.0,0.01715,5.72,0.0024300000000000003
237,2.25,0.02,1285,1,100000.0,0.01715,5.72,0.0024300000000000003
238,2.25,0.02,1290,1,100000.0,0.01715,5.72,0.0024300000000000003
239,2.25,0.02,1295,1,100000.0,0.01715,5.72,0.0024300000000000003
240,2.25,0.02,1300,1,100000.0,0.01715,5.72,0.0024300000000000003
241,2.25,0.02,1305,1,100000.0,0.01715,5.72,0.0024300000000000003
242,2.25,0.02,1310,1,100000.0,0.01715,5.72,0.0024300000000000003
243,2.25,0.02,1315,1,100000.0,0.01715,5.72,0.0024300000000000003
244,2.25,0.02,1320,1,100000.0,0.01715,5.72,0.0024300000000000003
245,2.25,0.02,1325,1,100000.0,0.01715,5.72,0.0024300000000000003
246,2.25,0.02,1330,1,100000.0,0.01715,5.72,0.0024300000000000003
247,2.25,0.02,1335,1,100000.0,0.01715,5.72,0.0024300000000000003
248,2.25,0.02,1340,1,100000.0,0.01715,5.72,0.0024300000000000003
249,2.25,0.02,1345,1,100000.0,0.01715,5.72,0.0024300000000000003
250,2.25,0.02,1350,1,100000.0,0.01715,5.72,0.0024300000000000003
