Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaXs,SU.electronSigmaY
251,2.25,0.02,1355,1,100000.0,0.01715,5.72,0.0024300000000000003
252,2.25,0.02,1360,1,100000.0,0.01715,5.72,0.0024300000000000003
253,2.25,0.02,1365,1,100000.0,0.01715,5.72,0.0024300000000000003
254,2.25,0.02,1370,1,100000.0,0.01715,5.72,0.0024300000000000003
255,2.25,0.02,1375,1,100000.0,0.01715,5.72,0.0024300000000000003
256,2.25,0.02,1380,1,100000.0,0.01715,5.72,0.0024300000000000003
257,2.25,0.02,1385,1,100000.0,0.01715,5.72,0.0024300000000000003
258,2.25,0.02,1390,1,100000.0,0.01715,5.72,0.0024300000000000003
259,2.25,0.02,1395,1,100000.0,0.01715,5.72,0.0024300000000000003
260,2.25,0.02,1400,1,100000.0,0.01715,5.72,0.0024300000000000003
261,2.25,0.02,1405,1,100000.0,0.01715,5.72,0.0024300000000000003
262,2.25,0.02,1410,1,100000.0,0.01715,5.72,0.0024300000000000003
263,2.25,0.02,1415,1,100000.0,0.01715,5.72,0.0024300000000000003
264,2.25,0.02,1420,1,100000.0,0.01715,5.72,0.0024300000000000003
265,2.25,0.02,1425,1,100000.0,0.01715,5.72,0.0024300000000000003
266,2.25,0.02,1430,1,100000.0,0.01715,5.72,0.0024300000000000003
267,2.25,0.02,1435,1,100000.0,0.01715,5.72,0.0024300000000000003
268,2.25,0.02,1440,1,100000.0,0.01715,5.72,0.0024300000000000003
269,2.25,0.02,1445,1,100000.0,0.01715,5.72,0.0024300000000000003
270,2.25,0.02,1450,1,100000.0,0.01715,5.72,0.0024300000000000003
271,2.25,0.02,1455,1,100000.0,0.01715,5.72,0.0024300000000000003
272,2.25,0.02,1460,1,100000.0,0.01715,5.72,0.0024300000000000003
273,2.25,0.02,1465,1,100000.0,0.01715,5.72,0.0024300000000000003
274,2.25,0.02,1470,1,100000.0,0.01715,5.72,0.0024300000000000003
275,2.25,0.02,1475,1,100000.0,0.01715,5.72,0.0024300000000000003
276,2.25,0.02,1480,1,100000.0,0.01715,5.72,0.0024300000000000003
277,2.25,0.02,1485,1,100000.0,0.01715,5.72,0.0024300000000000003
278,2.25,0.02,1490,1,100000.0,0.01715,5.72,0.0024300000000000003
279,2.25,0.02,1495,1,100000.0,0.01715,5.72,0.0024300000000000003
280,2.25,0.02,1500,1,100000.0,0.01715,5.72,0.0024300000000000003
281,2.25,0.02,1505,1,100000.0,0.01715,5.72,0.0024300000000000003
282,2.25,0.02,1510,1,100000.0,0.01715,5.72,0.0024300000000000003
283,2.25,0.02,1515,1,100000.0,0.01715,5.72,0.0024300000000000003
284,2.25,0.02,1520,1,100000.0,0.01715,5.72,0.0024300000000000003
285,2.25,0.02,1525,1,100000.0,0.01715,5.72,0.0024300000000000003
286,2.25,0.02,1530,1,100000.0,0.01715,5.72,0.0024300000000000003
287,2.25,0.02,1535,1,100000.0,0.01715,5.72,0.0024300000000000003
288,2.25,0.02,1540,1,100000.0,0.01715,5.72,0.0024300000000000003
289,2.25,0.02,1545,1,100000.0,0.01715,5.72,0.0024300000000000003
290,2.25,0.02,1550,1,100000.0,0.01715,5.72,0.0024300000000000003
291,2.25,0.02,1555,1,100000.0,0.01715,5.72,0.0024300000000000003
292,2.25,0.02,1560,1,100000.0,0.01715,5.72,0.0024300000000000003
293,2.25,0.02,1565,1,100000.0,0.01715,5.72,0.0024300000000000003
294,2.25,0.02,1570,1,100000.0,0.01715,5.72,0.0024300000000000003
295,2.25,0.02,1575,1,100000.0,0.01715,5.72,0.0024300000000000003
296,2.25,0.02,1580,1,100000.0,0.01715,5.72,0.0024300000000000003
297,2.25,0.02,1585,1,100000.0,0.01715,5.72,0.0024300000000000003
298,2.25,0.02,1590,1,100000.0,0.01715,5.72,0.0024300000000000003
299,2.25,0.02,1595,1,100000.0,0.01715,5.72,0.0024300000000000003
300,2.25,0.02,1600,1,100000.0,0.01715,5.72,0.0024300000000000003
301,2.25,0.02,1605,1,100000.0,0.01715,5.72,0.0024300000000000003
302,2.25,0.02,1610,1,100000.0,0.01715,5.72,0.0024300000000000003
303,2.25,0.02,1615,1,100000.0,0.01715,5.72,0.0024300000000000003
304,2.25,0.02,1620,1,100000.0,0.01715,5.72,0.0024300000000000003
305,2.25,0.02,1625,1,100000.0,0.01715,5.72,0.0024300000000000003
306,2.25,0.02,1630,1,100000.0,0.01715,5.72,0.0024300000000000003
307,2.25,0.02,1635,1,100000.0,0.01715,5.72,0.0024300000000000003
308,2.25,0.02,1640,1,100000.0,0.01715,5.72,0.0024300000000000003
309,2.25,0.02,1645,1,100000.0,0.01715,5.72,0.0024300000000000003
310,2.25,0.02,1650,1,100000.0,0.01715,5.72,0.0024300000000000003
311,2.25,0.02,1655,1,100000.0,0.01715,5.72,0.0024300000000000003
312,2.25,0.02,1660,1,100000.0,0.01715,5.72,0.0024300000000000003
313,2.25,0.02,1665,1,100000.0,0.01715,5.72,0.0024300000000000003
314,2.25,0.02,1670,1,100000.0,0.01715,5.72,0.0024300000000000003
315,2.25,0.02,1675,1,100000.0,0.01715,5.72,0.0024300000000000003
316,2.25,0.02,1680,1,100000.0,0.01715,5.72,0.0024300000000000003
317,2.25,0.02,1685,1,100000.0,0.01715,5.72,0.0024300000000000003
318,2.25,0.02,1690,1,100000.0,0.01715,5.72,0.0024300000000000003
319,2.25,0.02,1695,1,100000.0,0.01715,5.72,0.0024300000000000003
320,2.25,0.02,1700,1,100000.0,0.01715,5.72,0.0024300000000000003
321,2.25,0.02,1705,1,100000.0,0.01715,5.72,0.0024300000000000003
322,2.25,0.02,1710,1,100000.0,0.01715,5.72,0.0024300000000000003
323,2.25,0.02,1715,1,100000.0,0.01715,5.72,0.0024300000000000003
324,2.25,0.02,1720,1,100000.0,0.01715,5.72,0.0024300000000000003
325,2.25,0.02,1725,1,100000.0,0.01715,5.72,0.0024300000000000003
326,2.25,0.02,1730,1,100000.0,0.01715,5.72,0.0024300000000000003
327,2.25,0.02,1735,1,100000.0,0.01715,5.72,0.0024300000000000003
328,2.25,0.02,1740,1,100000.0,0.01715,5.72,0.0024300000000000003
329,2.25,0.02,1745,1,100000.0,0.01715,5.72,0.0024300000000000003
330,2.25,0.02,1750,1,100000.0,0.01715,5.72,0.0024300000000000003
331,2.25,0.02,1755,1,100000.0,0.01715,5.72,0.0024300000000000003
332,2.25,0.02,1760,1,100000.0,0.01715,5.72,0.0024300000000000003
333,2.25,0.02,1765,1,100000.0,0.01715,5.72,0.0024300000000000003
334,2.25,0.02,1770,1,100000.0,0.01715,5.72,0.0024300000000000003
335,2.25,0.02,1775,1,100000.0,0.01715,5.72,0.0024300000000000003
336,2.25,0.02,1780,1,100000.0,0.01715,5.72,0.0024300000000000003
337,2.25,0.02,1785,1,100000.0,0.01715,5.72,0.0024300000000000003
338,2.25,0.02,1790,1,100000.0,0.01715,5.72,0.0024300000000000003
339,2.25,0.02,1795,1,100000.0,0.01715,5.72,0.0024300000000000003
340,2.25,0.02,1800,1,100000.0,0.01715,5.72,0.0024300000000000003
341,2.25,0.02,1805,1,100000.0,0.01715,5.72,0.0024300000000000003
342,2.25,0.02,1810,1,100000.0,0.01715,5.72,0.0024300000000000003
343,2.25,0.02,1815,1,100000.0,0.01715,5.72,0.0024300000000000003
344,2.25,0.02,1820,1,100000.0,0.01715,5.72,0.0024300000000000003
345,2.25,0.02,1825,1,100000.0,0.01715,5.72,0.0024300000000000003
346,2.25,0.02,1830,1,100000.0,0.01715,5.72,0.0024300000000000003
347,2.25,0.02,1835,1,100000.0,0.01715,5.72,0.0024300000000000003
348,2.25,0.02,1840,1,100000.0,0.01715,5.72,0.0024300000000000003
349,2.25,0.02,1845,1,100000.0,0.01715,5.72,0.0024300000000000003
350,2.25,0.02,1850,1,100000.0,0.01715,5.72,0.0024300000000000003
351,2.25,0.02,1855,1,100000.0,0.01715,5.72,0.0024300000000000003
352,2.25,0.02,1860,1,100000.0,0.01715,5.72,0.0024300000000000003
353,2.25,0.02,1865,1,100000.0,0.01715,5.72,0.0024300000000000003
354,2.25,0.02,1870,1,100000.0,0.01715,5.72,0.0024300000000000003
355,2.25,0.02,1875,1,100000.0,0.01715,5.72,0.0024300000000000003
356,2.25,0.02,1880,1,100000.0,0.01715,5.72,0.0024300000000000003
357,2.25,0.02,1885,1,100000.0,0.01715,5.72,0.0024300000000000003
