,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,500.0,0.4997289739543816,0.058681816274071,0.0467988304921109,-1.7256802548525594e-06,-1.0166650491393582e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005430210733706,100.05430210733704,3231753958066986.5,1750950286878398.0,1160629904445109.5,0.0700881381276114,0.0379734494499441,0.02517097220682,0.0391921800073772,0.021234153254771,0.0140752101574482
1,1,2.25,0.02,501,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,501.0,0.5007978612800628,0.0585888040462631,0.0467649530900044,9.884977117495343e-06,7.76394240818251e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.00040380459237,100.040380459237,3231304288833355.0,1750706658036647.2,1160468413327149.2,0.0702153509316466,0.0380423727957838,0.0252166585389195,0.0392818929445585,0.021282759335287,0.0141074290451046
2,2,2.25,0.02,502,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,502.0,0.5018421310879262,0.0582814412193875,0.0467172735189784,-2.1289791539553048e-05,1.2565982476689871e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0003146203721482,100.03146203721482,3231016223802038.5,1750550585651259.5,1160364959631691.8,0.0703710885496047,0.0381267507621697,0.0252725890766382,0.0393720175391977,0.0213315884500296,0.0141397957725911
3,3,2.25,0.02,503,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,503.0,0.502823962691167,0.0585505768186124,0.046564947079558,1.394662959799605e-06,-1.3310187300179076e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.000350189755561,100.03501897555608,3231131112910461.0,1750612832072231.5,1160406220116450.5,0.0705112700008987,0.0382027004648831,0.0253229328795797,0.0394625566312122,0.0213806421376537,0.0141723113598161
4,4,2.25,0.02,504,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,504.0,0.4877238506786067,0.0584586764961731,0.0466639765400763,8.304220021807157e-06,-1.1217401975914988e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0474157750705029,104.74157750705028,3383152953477723.0,1832977606373379.5,1215002299081782.8,0.0706566678913135,0.0382814764117023,0.0253751500786141,0.0395535130867021,0.0214299219509996,0.0142049768360912
5,5,2.25,0.02,505,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,505.0,0.5047440844803248,0.0584130386497568,0.0466428615465552,-1.4088762152619483e-06,-3.3294637244574306e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005071265522,100.05071265521995,3231638018763605.0,1750887471466349.5,1160588266800551.8,0.0708099266656812,0.0383645113513752,0.0254301903814829,0.0396448897982528,0.0214794294572577,0.0142377932402394
6,6,2.25,0.02,506,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,506.0,0.5058469822472261,0.0585382550092446,0.0470767528045164,1.6078265748251984e-05,8.642010329963057e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0003025528686744,100.03025528686746,3230977245765818.5,1750529467520180.5,1160350961327662.5,0.0709370514940568,0.0384333870323837,0.0254758451186086,0.039736689685241,0.0215291662381337,0.0142707616207056
7,7,2.25,0.02,507,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,507.0,0.5067376595518283,0.0582320945954336,0.0463976434831591,-9.375828626552e-07,7.297398008024182e-07,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005181252039883,100.05181252039884,3231673544408882.5,1750906719106979.8,1160601025236626.5,0.0710772432954284,0.0385093423427243,0.0255261926386058,0.0398289156941463,0.0215791338900173,0.0143038830356687
8,8,2.25,0.02,508,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,508.0,0.5076581837371975,0.0581607506068527,0.0465716599009022,-6.302932915301986e-06,-8.066059079132913e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0006740442995885,100.06740442995884,3232177163087671.0,1751179577524279.8,1160781891387522.5,0.0712226929362314,0.0385881463276794,0.025578428422919,0.0399215707988663,0.0216293340241536,0.0143371585531532
9,9,2.25,0.02,509,1000000.0,17.15,2.43,0.81,,1000000.0,100.0,509.0,0.4924006950050949,0.0582043714426588,0.0463081440711833,6.272743750337266e-06,-1.662656163995651e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.047692066310026,104.76920663100265,3384045374181385.0,1833461116042545.2,1215322796919630.5,0.0713786996562073,0.0386726700923724,0.0256344556040868,0.0400146580010361,0.0216797682668152,0.014370589251146
