,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,2,100000.0,1.17577026432641,,2292.2,0.0003720492258521,500.0,0.0322817925248159,0.0219797714597797,0.0070192529731765,0.0001151208218724,1.4480905048699723e-06,5357508852.272357,2362512584.161768,1242644414.3465047,684570575.5681344,383210702.6278144,216532649.44600773,15.564538747545363,0.0057905649020301,83384134589.23544,36770087127.89204,19340486772.78101,10654639419.735643,5964281849.091147,3370108772.9816,1.1625319518822473e-07,5.1264429822585203e-08,2.696428277282434e-08,1.48545749407176e-08,8.315332711379961e-09,4.698566638857415e-09,6.500695087596775e-08,2.8666259587666337e-08,1.5078001105953632e-08,8.306443723040321e-09,4.649802736267137e-09,2.627364264570362e-09
1,1,0.02,520,2,100000.0,1.18413280440169,,2320.05,3.561961202692477e-05,520.0,0.0314359850077948,0.0222965805619507,0.0072085439494415,0.0001023016310566,1.1500104690982027e-05,512922413.1877168,226184536.3709723,118969504.16992871,65540086.12954159,36688200.3877325,20730614.199670214,16.723700716003908,0.0005955801852082,8576354666.998919,3781934176.072441,1989237818.595583,1095867540.7831953,613447590.7645061,346627667.7912064,1.1584561697354936e-08,5.108469915153044e-09,2.6869747270253804e-09,1.4802495502175743e-09,8.286179547413596e-10,4.682093686014282e-10,6.512423891993161e-09,2.8717980357053187e-09,1.5105205416150811e-09,8.32143052865793e-10,4.658192089411774e-10,2.6321046563472357e-10
2,2,0.02,540,2,100000.0,1.19462031821519,,2324.6,1.7819439269677466e-05,540.0,0.0323005945843192,0.0212612409197168,0.0072525738443437,2.0563620150545685e-05,-2.6511583116052247e-05,256599925.48335543,113153439.36245193,59516927.16072273,32787768.25620653,18354022.44776779,10370913.654952284,16.875204221153147,0.0003007534187816,4330849230.455847,1909784209.2635157,1004516418.7307312,553386290.558247,309776021.34510577,175038489.73092383,6.022976495004527e-09,2.655965329394356e-09,1.3969959370357715e-09,7.696025521394669e-10,4.308101242954626e-10,2.434286333397662e-10,3.407850881690107e-09,1.502767576300846e-09,7.904320795031218e-10,4.3544761266040257e-10,2.43756000565334e-10,1.3773397313497516e-10
3,3,0.02,560,2,100000.0,1.20514112000624,,2320.75,0.008774266539525,560.0,0.0343340672282465,0.0215138381132399,0.0071582929298997,0.0001748215051654,1.1767281951149344e-05,126349438169.16174,55716592525.98452,29306050242.01391,16144650432.726229,9037494535.710876,5106623126.003622,16.443312398399925,0.144283008589025,2077675323681.9612,916197104540.3092,481905248687.34375,265480735803.8062,148611498846.69586,83972710998.8126,3.064436381341575e-06,1.3513313209388198e-06,7.107789940056152e-07,3.915668709492013e-07,2.1919232449873766e-07,1.238543037458887e-07,1.7516589631569342e-06,7.72432945558787e-07,4.0628756506556673e-07,2.2382308973671938e-07,1.2529227305914182e-07,7.079621642759275e-08
4,4,0.02,580,2,100000.0,1.21534946177801,,2308.5,0.0207989501467968,580.0,0.0337569260497559,0.0216827212427285,0.0072320573158288,0.000153054495635,-6.966216734789391e-06,299504882113.8753,132073333432.16032,69468493490.30165,38270068270.106285,21422918651.20081,12104988985.435797,17.298193501765162,0.3601647117204362,5186371848774.28,2287045919424.769,1202950137146.2566,662703069565.6024,370969653072.0492,209615862221.29385,7.5290878955098514e-06,3.320118620589414e-06,1.7463301090974244e-06,9.620501199818144e-07,5.385389258593851e-07,3.043006357768565e-07,4.311345810561191e-06,1.9011837428516364e-06,9.999927088384982e-07,5.50894186905041e-07,3.08380985060974e-07,1.7425022651018146e-07
5,5,0.02,600,2,100000.0,1.21985929056978,,2351.55,0.0079202337594365,600.0,0.0346542592639877,0.0218649557439443,0.0071737897421325,0.0001169515077062,-2.2945328755637623e-05,114051366135.88708,50293484372.42242,26453580756.518253,14573230117.363348,8157840772.219701,4609576047.992103,17.48808708246006,0.1384872037075349,1994215733388.5044,879393743542.8473,462547260383.1668,254816454821.86435,142641819818.76102,80599552557.78537,2.969008841800644e-06,1.3092504267662568e-06,6.886451063620941e-07,3.793733520078603e-07,2.1236660465657402e-07,1.1999744068944278e-07,1.6945074567224124e-06,7.472307187630084e-07,3.930315906564486e-07,2.165203972478638e-07,1.2120435280722813e-07,6.848634304253087e-08
6,6,0.02,620,2,100000.0,1.22668718395639,,2342.0,0.0082681160335751,620.0,0.0374396854274322,0.0201323708500815,0.0070568246363613,0.0001193468694489,2.456401493689624e-05,119060870883.4828,52502536813.20248,27615507552.14115,15213333501.778357,8516159514.582451,4812043531.540762,16.6398010809142,0.1376046246843947,1981506595455.285,873789366745.907,459599446445.8786,253192509419.28647,141732763424.9266,80085891566.31778,3.204623527701358e-06,1.4131499583960851e-06,7.432946237862872e-07,4.094796729840625e-07,2.2921959955086109e-07,1.295202009112632e-07,1.82288016148712e-06,8.038395156557784e-07,4.228069263449293e-07,2.329235761900209e-07,1.303865671063704e-07,7.367473986010442e-08
7,7,0.02,640,2,100000.0,1.23422873606346,,2369.7,0.0093234265537352,640.0,0.037195749371466,0.0201481258716504,0.0071980097660112,1.9387468107739863e-05,1.2308790514612911e-05,132392657063.04202,59203758616.21948,31140244689.476074,17155104858.87304,9603129350.347412,5426234254.273973,17.34674002980713,0.1616243690142314,2295066040002.088,1026314743240.3704,539825392507.5334,297388838986.18604,166473100084.6585,94065382766.28276,3.6816681998667576e-06,1.6463797936023888e-06,8.659698441940124e-07,4.770612315320307e-07,2.670505806945607e-07,1.5089654171284885e-07,2.0875405557682065e-06,9.335128541639516e-07,4.910130603004091e-07,2.7049821286010565e-07,1.5142019524234177e-07,8.555976080683776e-08
8,8,0.02,660,2,100000.0,1.24231942993718,,2362.85,0.0105446136924718,660.0,0.0386190381733569,0.0206666681462401,0.0072968993952554,0.0001745739875895,3.764211690190618e-06,148679053063.85382,66958296947.19658,35219009732.85614,19402089194.148296,10860952103.246056,6136965169.018644,17.139702283943322,0.1807842138375631,2549057415109.6406,1147979757868.526,603819274217.4609,332642953461.1162,186207740252.6901,105216412453.46172,4.265663758656503e-06,1.9210613381183545e-06,1.0104480109157957e-06,5.566539940374442e-07,3.116052249231346e-07,1.7607207854880033e-07,2.424448357255434e-06,1.0918614942249651e-06,5.743019512931314e-07,3.16381913287234e-07,1.7710509276404949e-07,1.0007297474628817e-07
9,9,0.02,680,2,100000.0,1.25043238280315,,2399.6,0.0121497380767291,680.0,0.039843400608646,0.020142083419476,0.0069528963187516,0.0002340427070123,-4.344161259556414e-06,168881359266.5361,77150836787.23053,40580125176.27558,22355518061.18176,12514230219.031094,7071147560.6564045,17.179911485797312,0.208628043813643,2899929809009.64,1324788078216.6338,696817666337.5681,383875600617.1034,214886885128.05243,121421521499.54028,4.994494777060867e-06,2.2816576859234893e-06,1.2001160111786546e-06,6.611417546612946e-07,3.700956561419204e-07,2.0912201152873562e-07,2.8422066181839867e-06,1.2984181313286555e-06,6.829474895492458e-07,3.762345451409018e-07,2.1060955516039618e-07,1.1900462243043745e-07
10,10,0.02,700,2,100000.0,1.25848494585637,,2419.95,0.0142297550773242,700.0,0.0406106002242665,0.0205187426387301,0.0072253995848031,5.920239294044747e-05,-1.0286831058865775e-05,194947644559.34344,90358944741.00957,47527381958.26329,26182749342.276783,14656647729.64407,8281717455.002764,17.343929427544285,0.2467271558150658,3380162034666.4023,1566717439425.6685,824068700422.3201,453977966699.7212,254128970489.51788,143595204684.36838,5.938228249057855e-06,2.7523904658041885e-06,1.447714040281258e-06,7.975430641070403e-07,4.464507369729628e-07,2.5226633875559645e-07,3.3798662697466404e-06,1.5665803513059243e-06,8.239965942302029e-07,4.53938243528016e-07,2.5410673414883497e-07,1.4358264007244854e-07
11,11,0.02,720,2,100000.0,1.266694990595,,2411.0,0.0165616749498196,720.0,0.0414577099182281,0.0197822679034592,0.0072438359998844,0.0001446217155813,1.6227229597773887e-05,223582611822.56625,105166635931.35526,55315994332.39787,30473481907.668293,17058525198.314316,9638894820.79508,17.522639162202694,0.2900882830167248,3916191820725.7866,1842060597156.2031,968894865275.8612,533762440750.7738,298790931507.2267,168831380715.73392,7.007631381309712e-06,3.296182168245679e-06,1.7337399121166243e-06,9.551142030822123e-07,5.346563202036299e-07,3.02106775105352e-07,3.981178951931294e-06,1.8726286181306456e-06,9.849731629222608e-07,5.426199460410061e-07,3.037492089251284e-07,1.7163304814992698e-07
12,12,0.02,740,2,100000.0,1.27448555561608,,2419.75,0.0200997016948995,740.0,0.0429457941940824,0.0198572891750359,0.0074076520783962,0.0001358585302445,1.8919857316866636e-06,267326032542.1642,127633105762.61224,67133003660.96452,36983451118.6152,20702692745.74655,11698026386.431543,17.344794361643697,0.3484426304870737,4634286985478.08,2212610703592.9185,1163798385826.8262,641134440096.2157,358895909401.6859,202793610943.4769,8.614251261041354e-06,4.112819211098691e-06,2.163278136231438e-06,1.1917460391215109e-06,6.6711870668215e-07,3.769544536786517e-07,4.879343069327457e-06,2.329611164678899e-06,1.2253387858311057e-06,6.750369359069567e-07,3.778739369479159e-07,2.135171177705699e-07
13,13,0.02,760,2,100000.0,1.28257035434233,,2436.85,0.0237343835147291,760.0,0.0430403798434497,0.0195357908014534,0.0072849917124538,0.0001592460353816,7.277655185801669e-06,313293862394.4258,150713335318.53058,79272840939.1956,43671265667.10177,24446415020.171104,13813411205.572409,17.77485848144725,0.4219050837916821,5569147106050.206,2679097282077.1816,1409162979864.2188,776305354176.6952,434562236305.4327,245548758766.7591,1.037293718243465e-05,4.990011447610608e-06,2.624667438585738e-06,1.4459245769454364e-06,8.094034316596735e-07,4.573522303164369e-07,5.853706094371621e-06,2.8159874014590755e-06,1.4811650269091826e-06,8.159711525487713e-07,4.5676646039414926e-07,2.580952232518396e-07
14,14,0.02,780,2,100000.0,1.29084637328192,,2452.55,0.0275073951724392,780.0,0.0429009887570827,0.0191001895998446,0.0071947234669679,1.6701934725686916e-05,1.8264775133976485e-05,357596137241.7102,174671959344.98923,91874699875.94708,50613607117.28823,28332617027.612427,16009303990.359644,18.344113626444216,0.5043917962877814,6557093351741.156,3202887906427.411,1684668599601.1897,928080905169.5178,519523550176.41486,293556025439.4888,1.2154454714018206e-05,5.936983648770431e-06,3.122759903447755e-06,1.7203228210610386e-06,9.63006796572212e-07,5.441455879660458e-07,6.834096263981481e-06,3.338193175098647e-06,1.7558370401306266e-06,9.672874712096868e-07,5.414707039923789e-07,3.059572327413248e-07
15,15,0.02,800,2,100000.0,1.29941365924252,,2442.45,0.031609067527187,800.0,0.0458354881782838,0.0195235280140775,0.0070884482516304,0.0001137071992917,3.0816574819595844e-05,404596064347.9945,200717578797.6379,105574285540.8048,58160684250.02421,32557339553.00268,18396477300.82288,17.547992564267783,0.554464523906707,7097145906005.85,3520849726807.589,1851911509848.401,1020214723988.3408,571098459623.9082,322698352913.7035,1.410975096679048e-05,6.999759268681215e-06,3.68176314289689e-06,2.028276701476131e-06,1.1353940231089214e-06,6.415527392712546e-07,7.912079715037097e-06,3.925133296131684e-06,2.0645583006424927e-06,1.1373614590365829e-06,6.366751645693913e-07,3.59752374543093e-07
16,16,0.02,820,2,100000.0,1.30778091275259,,2471.9,0.0364657904236561,820.0,0.0470703488492631,0.0190138396078418,0.0073988172122801,4.546554501312258e-05,-1.1958390064385454e-05,459468959338.0685,231557769190.21704,121795740015.0118,67097054379.52745,37559764136.36592,21223090026.567924,17.519470499948273,0.638892530991729,8050045890495.787,4056967571797.479,2133901053512.3745,1175562257024.7815,658059306921.4811,371835453037.1864,1.642818014946216e-05,8.279281265800374e-06,4.354771563428858e-06,2.399035831350029e-06,1.3429385360274624e-06,7.588254640465853e-07,9.180932728651007e-06,4.626898637058248e-06,2.4336758185471725e-06,1.3407076365649097e-06,7.505048182944875e-07,4.240716546091181e-07
17,17,0.02,840,2,100000.0,1.31630553599908,,2485.35,0.0419143426193156,840.0,0.0473874937922289,0.0191359276289461,0.0071884414096974,0.0001509501894756,-1.3534586935411645e-06,519737848479.5152,266156075632.65497,139993904348.5146,77122390419.54099,43171772897.895226,24394147404.441765,17.83478890696167,0.747584433444765,9270046974715.086,4747161152374.257,2496932007705.514,1375555357538.3674,770011966448.1078,435094140264.8532,1.9042617991332738e-05,9.751663245561522e-06,5.12922129766543e-06,2.8256787987138885e-06,1.5817658492800578e-06,8.937744895931976e-07,1.0597551719290647e-05,5.426972049798034e-06,2.854501834066998e-06,1.5725399325399028e-06,8.802805057152719e-07,4.974012177925128e-07
18,18,0.02,860,2,100000.0,1.32489377407417,,2508.95,0.0484223849700072,860.0,0.04805691584192,0.0189483440587511,0.0072119537112513,4.379505107962096e-06,1.2240076876613854e-05,585910858137.0878,307482144559.54614,161730765799.82422,89097188344.81337,49875056519.10748,28181828052.544228,18.01778149741157,0.8720282688414276,10551542052981.271,5537379507143.066,2912574417930.368,1604532014668.227,898189116906.6705,507520452465.7111,2.1982282178160623e-05,1.153615634969586e-05,6.067836568186486e-06,3.3427602651087228e-06,1.8712190614467304e-06,1.0573296055941718e-06,1.217553007225568e-05,6.3896376825474025e-06,3.36084879680446e-06,1.8514855647066488e-06,1.0364294193738308e-06,5.856329340539509e-07
19,19,0.02,880,2,100000.0,1.33329262758449,,2511.45,0.0545214320939818,880.0,0.0479302370321249,0.0190461761198803,0.0072824734773083,4.840672853648173e-05,-1.6496931182865194e-05,648805041918.384,346211093796.7848,182101583193.89932,100319435052.9266,56157075056.80131,31731473478.69744,18.516618819469397,1.008760722141076,12004252593478.805,6405630585595.834,3369260811951.193,1856119728739.5796,1039023543805.3082,587098740286.1062,2.491536466398246e-05,1.3295173581200724e-05,6.993051930899279e-06,3.852459746363673e-06,2.156539966714448e-06,1.2185497675998142e-06,1.3723917080060156e-05,7.323266677174957e-06,3.851922945159741e-06,2.122017430866445e-06,1.1878684531480646e-06,6.712033395457992e-07
20,20,0.02,900,2,100000.0,1.3422067252821,,2516.95,0.0606869556507079,900.0,0.050186897404103,0.0184188164017975,0.0071975606751577,0.0001211158078259,-1.6285793449701816e-05,710037381113.2842,385362168381.996,202694431873.3649,111663998397.3028,62507564320.22929,35319808188.71208,18.040018217620126,1.09457551552453,12806533531637.004,6950554523580.766,3655882221851.931,2014018948565.136,1127412780990.266,637042950035.2766,2.7890600049220983e-05,1.5137206009619932e-05,7.961931979863083e-06,4.386214024834752e-06,2.455326329119454e-06,1.3873785665509922e-06,1.5270474932217375e-05,8.287821864921397e-06,4.359263784068892e-06,2.401510587630767e-06,1.3443238615541792e-06,7.596082402179926e-07
21,21,0.02,920,2,100000.0,1.35104631264484,,2515.15,0.0670979964684343,920.0,0.0506783125340404,0.0188514318540206,0.0073451999385763,8.634416401907995e-05,-8.07374073105216e-06,771626959386.9952,426072277574.5584,224107308204.5708,123460313501.91924,69110936362.48741,39051033944.628815,18.26324893908343,1.2264747048102858,14104459105318.287,7788114375545.314,4096425514066.3545,2256713456850.927,1263268945954.5945,713808278199.5863,3.099138174096219e-05,1.7112632526531296e-05,9.000975218679454e-06,4.958621078553952e-06,2.775749842886179e-06,1.5684334063686952e-06,1.68545582688858e-05,9.306647391949983e-06,4.895149966789442e-06,2.696729323021728e-06,1.5095821753871628e-06,8.529872097818728e-07
22,22,0.02,940,2,100000.0,1.36010248136541,,2541.15,0.0744030810620987,940.0,0.0496614529942177,0.018401663414538,0.0072011743536644,7.082701493813846e-05,-4.977852257053585e-07,833314507895.5067,472459564744.32745,248506290747.4101,136901669154.26189,76635173493.96178,43302593178.14151,19.040496297704333,1.4167054306951106,15867100823785.238,8996079484913.953,4731796138521.67,2606737992479.004,1459206593615.9636,824522560664.5543,3.420158756727409e-05,1.939107866537415e-05,1.0199402006669236e-05,5.618832243195028e-06,3.145324570918956e-06,1.7772610682279926e-06,1.846758108143073e-05,1.0470458916704024e-05,5.50729650106952e-06,3.03395974909219e-06,1.6983579030244329e-06,9.596546597672031e-07
