,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,1114.0,1.114,500.0,0.0216593897749817,0.0059669413023625,0.0056319521095897,6.335068388678108e-05,4.427075073398007e-05,23951000000000.0,16953747754336.725,14036400000000.0,23.084676216388097,25.71632930505634,552901080058711.3,391371777563180.06,324025749243709.9,0.0005197154787289,0.0003678813047636,0.0003045774433481,0.0002906166883457,0.0002057134160333,0.0001703148964258
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,1106.0,1.106,501.0,0.0227999754924326,0.0058946218576522,0.005275520471019,8.896040488691224e-06,-3.692988953085711e-05,23779000000000.0,16825473920107.207,13935600000000.0,21.97370782991777,24.302920859889056,522512798487614.6,369718048020337.0,306216802834602.1,0.0005169197615491,0.0003657605436196,0.0003029390230473,0.0002891901338478,0.0002046242926535,0.0001694788691387
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,1093.0,1.093,502.0,0.0198564119771731,0.006836150676686,0.0054012826918344,0.0001469190563619,-2.020007846860767e-05,23483348779545.25,16621259418455.855,13771800000000.0,25.281506073559385,27.632686138400405,593694424797586.6,420210470937897.9,348171845343845.1,0.0005116250205593,0.0003621226372576,0.0003000422777979,0.0002862497894821,0.0002026044945346,0.0001678710684663
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,1109.0,1.109,503.0,0.0215569976624578,0.0058244235065711,0.0061475932053665,-6.333935014700948e-05,6.297237537861626e-05,23807489096868.613,16858030445587.84,13973399999999.998,23.333490492323453,25.876840955986708,555511820487878.0,393356693121423.1,326048196045432.44,0.0005197202141649,0.0003680127357375,0.0003050409226719,0.0002908682311864,0.0002059631520587,0.0001707201513407
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,1047.0,1.047,504.0,0.0266956930047967,0.0058308754851963,0.0058534182115828,0.0001612237943653,0.0002395600958415,22457976140975.28,15914400000000.0,13192200000000.0,18.879449951325075,19.766784099037352,423994236561595.4,300455118305367.8,249061479647870.7,0.0004912711336544,0.000348129558975,0.0002885810817819,0.0002750129576448,0.0001948824856554,0.0001615473236354
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,1074.0,1.0739999999999998,505.0,0.0264326537258625,0.0068621036895262,0.0057795479541264,-2.7466761913994265e-05,4.475312398138872e-05,23018117715336.867,16324799999999.996,13532399999999.998,19.10515702424125,20.51893864403511,439764753353980.25,311887867389333.6,258538626914842.4,0.0005046164790727,0.0003578816999479,0.0002966650933779,0.0002825234489745,0.000200369937145,0.000166096132107
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,1125.0,1.125,506.0,0.0202734227315204,0.0069643006942276,0.0060458427275154,-0.0001286769664541,1.338370649389711e-05,24091250460721.73,17100000000000.0,14175000000000.0,24.95878504093382,28.078633171050544,601288341616451.5,426795224199968.3,353790777955236.9,0.0005290904874577,0.000375549096145,0.0003113104349623,0.0002963797348876,0.0002103707100983,0.0001743862465288
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,1117.0,1.117,507.0,0.0227497815567403,0.0072830133899471,0.0054799109082282,-1.8225588861935704e-05,7.429764713080158e-05,23900170074342.28,16978400000000.0,14074200000000.0,22.28592827300292,24.893381880944258,532637475989362.7,378379404590352.8,313656611699897.7,0.0005259313322526,0.0003736154388752,0.0003097075348571,0.0002947114114448,0.0002093595239075,0.000173548026397
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,1078.0,1.078,508.0,0.0229081618278428,0.0065572017256042,0.0052270763884279,5.242277115962153e-05,3.219586873929016e-05,23046621988035.6,16385600000000.002,13582800000000.002,22.17550250507534,23.905191700471217,511070423629207.7,363358913847162.56,301205415425937.3,0.0005081865266474,0.0003613085316953,0.0002995057565369,0.0002848474772043,0.0002025197803349,0.0001678782389618
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,1114.0,1.114,509.0,0.0233003080073217,0.0064897586802897,0.0053621250325849,-6.70777433170458e-05,0.0001325375421352,23796556159222.06,16932800000000.0,14036400000000.0,21.84520478613652,24.33555813175608,519840642503004.06,369900483602692.4,306628032460126.6,0.0005258722089601,0.00037419233608,0.0003101857522769,0.0002948021846172,0.0002097709600619,0.0001738890853144
10,10,2.25,0.02,510,100000.0,17.15,2.43,0.81,,1121.0,1.121,510.0,0.0242811947506425,0.0065658364764931,0.0061856477281287,0.0001226781709642,2.6930206663167924e-05,23926249991630.44,17039200000000.0,14124600000000.0,21.00390879598316,23.54538176029712,502544772654098.4,357889802756516.2,296671810179743.7,0.0005297770485116,0.0003772834058056,0.0003127480863915,0.0002971016561279,0.0002115824477662,0.0001753907132799
11,11,2.25,0.02,511,100000.0,17.15,2.43,0.81,,1128.0,1.128,511.0,0.0262470419584133,0.0063431263218601,0.0060470911252668,-2.994827551855433e-05,-5.928711531138627e-05,24055696099039.043,17145600000000.002,14212800000000.002,19.468860559968824,21.96087471164484,468336993025177.2,333805295617001.6,276707021366724.97,0.0005337073484213,0.0003803977517598,0.0003153297152746,0.0002993676077945,0.0002133730504023,0.0001768750286229
