Energy[eV],ThetaB[deg],Reflectivity_1,Reflectivity_2
2000,81.35714459546506,0.45619425429996013,0.20811319765629668
2250,61.497973420305854,0.5543746968457327,0.30733130450279805
2500,52.27175562329455,0.6180886413377328,0.38203356855072446
2750,45.97370238522936,0.6657178748582137,0.44318028890573624
3000,41.23149123022888,0.7039266915149932,0.4955127870272444
3250,37.47411906483912,0.7366778307121175,0.5426942262627111
3500,34.39852738963961,0.7642460316170578,0.584071996842421
3750,31.82205379133867,0.7886756052856942,0.6220092103727561
4000,29.62543214347994,0.809613344324312,0.655473767307997
4250,27.726384121616903,0.8274740661989319,0.6847133302317944
4500,26.065764512750494,0.8428877089709326,0.7104596899342676
4750,24.59969959981967,0.8563568685525027,0.7333470863170484
5000,23.294802107202045,0.8682678276115728,0.75388902046532
5250,22.125132278051485,0.8785903613368552,0.7719210230340258
5500,21.07017240477452,0.8875686403108278,0.7877780912632116
5750,20.113450451578775,0.895783707148015,0.8024284499918407
6000,19.24157318280071,0.9031031419087233,0.8155952849254077
6250,18.443518460414968,0.9094790075608398,0.8271520651938501
6500,17.710134721425867,0.9155165553620097,0.8381705631419198
6750,17.033744399753076,0.9206622808904393,0.8476190354543862
7000,16.407848441850618,0.9255444174901849,0.8566324687472456
7250,15.82692805356543,0.9298649008668091,0.8646487338640406
7500,15.286235811152482,0.9338910967805751,0.8721525806460255
7750,14.781688299571373,0.9375111841596273,0.8789272204243866
8000,14.30973957174776,0.9409589200912342,0.8854036892992616
8250,13.86729334616669,0.9441202220560679,0.891362993695199
8500,13.451644801832225,0.9471905531928725,0.8971699440578198
8750,13.060409665063968,0.9498667598989479,0.9022468615609255
9000,12.691476520039837,0.9525538788417611,0.9073588920964846
9250,12.342975944096324,0.9549123420392491,0.9118575809788839
9500,12.01324765429558,0.9572322582710792,0.91629359627475
9750,11.700800102994965,0.9593958208615622,0.9204403410866306
10000,11.404300207451666,0.9613014308506551,0.9241004409555169
11000,10.355513446671884,0.9680201556568558,0.9370630217579234
12000,9.484206277048887,0.9730280816803651,0.9467836477385714
13000,8.748685282262537,0.9769722005157884,0.9544746805806618
14000,8.119393964840684,0.9801306481600047,0.9606560874625509
15000,7.574808967242225,0.9826857058420537,0.9656711964662953
16000,7.0988616065171914,0.9847784786970268,0.9697886521048306
17000,6.679321592714758,0.9865163930284486,0.9732145937138605
18000,6.306696217625585,0.9879801109680703,0.9761046996684805
19000,5.973522994071455,0.9892294901642003,0.9785749842105236
20000,5.673838030150257,0.9902881302993877,0.980670581011857
21000,5.402830654965064,0.9911764436578575,0.9824307424622379
22000,5.156567954640267,0.9919656932061082,0.9839959364978748
23000,4.931801396083045,0.9926738884818802,0.9854014488737364
24000,4.7258308385730325,0.9932548782530057,0.9865552531733932
25000,4.53639494457293,0.9937909189657078,0.987620390618706
26000,4.361574184455561,0.994266587497985,0.9885660470148883
27000,4.199738450425993,0.9946888536951803,0.9894059156654319
28000,4.049491561094942,0.9950919845306765,0.9902080576772001
29000,3.9096350190585136,0.995428621276298,0.9908781400560316
30000,3.779118434769235,0.9957606565054408,0.9915392850441463
31000,3.657043525751399,0.9960310617897122,0.9920778760499416
32000,3.5426128643505694,0.996300632392375,0.9926149501054463
33000,3.435129766080893,0.9965237864513626,0.993059656963361
34000,3.3339797565843154,0.996742582216209,0.9934957752030362
35000,3.238623084220892,0.9969324648500806,0.9938743394720572
36000,3.1485677163811956,0.997110731823523,0.9942298115176417
37000,3.0633869090912267,0.9972769738611668,0.9945613625936863
38000,2.9826993998622866,0.9974219662148501,0.9948505786878976
39000,2.9061549653793457,0.9975662219970987,0.9951383672695647
40000,2.8334380494298794,0.9976916329427314,0.995388594443934
