,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaXs,SU.electronSigmaY,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,0.01715,5.72,0.00243,,591.4,0.5914,100.0,0.0037403814128594,0.0046110449328599,0.0438427328526477,2.142063474174413e-05,-0.0003164572419194,14311880000000.0,9225840000000.0,7451640000000.0,27.6125776256564,16.2479265892897,393199823460810.8,253467654792919.3,204723875025050.25,5.921952528395687e-05,3.817457001775731e-05,3.083330655280399e-05,2.849496276828734e-05,1.8368653685342256e-05,1.4836220284314896e-05
1,1,2.25,0.02,105,1,100000.0,0.01715,5.72,0.00243,,612.8,0.6127999999999999,105.0,0.0040583686471506,0.0044790687863032,0.040281214504045,-3.149036869264585e-05,-0.0005467130491284,14829760000000.0,9559680000000.0,7721280000000.0,27.012526835481506,16.48590651533509,398958937671109.1,257180141639227.3,207722422093222.16,6.483717433171385e-05,4.179586444523702e-05,3.3758198205768365e-05,3.290270691822224e-05,2.1210009418358144e-05,1.7131161453289265e-05
2,2,2.25,0.02,110,1,100000.0,0.01715,5.72,0.00243,,677.8,0.6778,110.0,0.0044713851298566,0.0043460444691228,0.0439285813709554,2.4582664077222644e-05,-0.0001689348040237,16402760000000.0,10573680000000.0,8540280000000.0,25.08100691178594,16.992212557502704,411211543891565.4,265078515897042.16,214101878224534.03,7.429401476751335e-05,4.789200951955406e-05,3.868200768887058e-05,4.109206330119173e-05,2.6489098656966565e-05,2.139504122293453e-05
3,3,2.25,0.02,115,1,100000.0,0.01715,5.72,0.00243,,672.9,0.6729,115.0,0.0044629563093337,0.004322847808972,0.0404959295438527,-4.129441397181184e-05,-4.805493995141242e-06,16284180000000.0,10497240000000.0,8478540000000.0,26.079580682609823,17.539652982858076,424459602185165.6,273618586532586.1,220999627584011.75,7.651843770368569e-05,4.932593504865689e-05,3.984017830853057e-05,4.443790114832119e-05,2.864591974850456e-05,2.3137089027638305e-05
4,4,2.25,0.02,120,1,100000.0,0.01715,5.72,0.00243,,684.8,0.6848,120.0,0.0050658040643113,0.0042100196622084,0.0355802681090714,-2.6361793967403314e-06,-0.0002176685014508,16572160000000.0,10682880000000.0,8628480000000.0,23.92659013883931,16.388289632524952,396596609107103.9,255657318267389.3,206492449369814.44,8.052135331135359e-05,5.190632692798001e-05,4.192434098029154e-05,4.965813169525807e-05,3.201102704322421e-05,2.5855060304142636e-05
5,5,2.25,0.02,125,1,100000.0,0.01715,5.72,0.00243,,716.6,0.7166,125.0,0.0052643764066331,0.0044680221627036,0.0368289389359102,2.464200996110655e-06,-0.0002355857940756,17341720000000.0,11178960000000.0,9029160000000.0,24.082548516172373,17.27017211849023,417938165267463.5,269414685048447.6,217604168692976.88,8.773316773482101e-05,5.655526515137223e-05,4.567925262226219e-05,5.4620278680676296e-05,3.520976642225414e-05,2.843865749489757e-05
6,6,2.25,0.02,130,1,100000.0,0.01715,5.72,0.00243,,715.3,0.7152999999999998,130.0,0.0053781178610193,0.0043676722830289,0.0378938804694669,-6.351710091373492e-06,0.0001573890255595,17310260000000.0,11158680000000.0,9012780000000.0,24.578719605399943,17.574223196312765,425296201350768.94,274157881862479.2,221435212273540.8,9.095077907533e-05,5.862942783368381e-05,4.735453786566769e-05,5.7458201528876375e-05,3.703917123349056e-05,2.9916253688588524e-05
7,7,2.25,0.02,135,1,100000.0,0.01715,5.72,0.00243,,681.3,0.6812999999999999,135.0,0.0062450938841237,0.0048613556497898,0.0362553578391471,-7.236067484540296e-06,-7.07643258440561e-05,16487460000000.0,10628280000000.0,8584380000000.0,21.66664242287574,14.777725519381738,357620957569038.0,230532518102355.2,186199341544209.88,9.006647818274901e-05,5.8059382630201856e-05,4.689411673977842e-05,5.725617664984138e-05,3.690894031973246e-05,2.9811067181322378e-05
8,8,2.25,0.02,140,1,100000.0,0.01715,5.72,0.00243,,682.9,0.6828999999999998,140.0,0.0062733195732249,0.0043495883310935,0.0383739141607018,1.4820039795628371e-05,0.0002938839384616,16519801494918.818,10653240000000.0,8604540000000.0,22.50819306609649,15.38970861761569,372287203730637.94,240079454434804.75,193910328581957.7,9.411537283396204e-05,6.069283912388832e-05,4.902113929237133e-05,6.014812014811041e-05,3.878813917248008e-05,3.132888163931084e-05
9,9,2.25,0.02,145,1,100000.0,0.01715,5.72,0.00243,,657.2,0.6572,145.0,0.0063330333601754,0.0042688777024211,0.0347279896372466,7.079579905176528e-05,-0.0001510911244337,15839957109404.254,10252320000000.0,8280720000000.0,23.33734195310816,15.331162162822158,369514533013427.2,239166129740025.7,193172643251559.2,9.350562929833296e-05,6.0520974062406434e-05,4.888232520425136e-05,6.010410905815488e-05,3.890203459031197e-05,3.142087409217506e-05
