,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.cFactor,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,36,2.25,100000.0,17.15,2.43,0.81,,0.036,49.0,0.049,36.0,0.0011957192675226,0.0365438559475047,0.0056803973036125,0.0071107432197151,4.897625990322417e-05,1294580000000.0,712460000000.0,477799000000.0,337855000000.0,244461000000.0,30.1074014426366,1.4752626706891936,38976439759608.48,21450319231820.87,14385286301890.324,10171936114401.988,7360085464068.386,1.906458336267665e-06,1.0492015219277767e-06,7.036288886050723e-07,4.975408867738665e-07,3.600045662240494e-07,3.771852966655375e-07,2.075804017228204e-07,1.392102130123261e-07,9.843651099579413e-08,7.122548997215618e-08
1,1,0.02,36,5.0,100000.0,17.15,2.43,0.81,,0.036,40.0,0.04,36.0,0.0006233989246736,0.0370413929422806,0.0058870969778524,-0.0005382954466894,-0.0002137170852112,1056800000000.0,581600000000.0,390040000000.0,275800000000.0,199560000000.0,57.74793406781427,2.309917362712571,61028016722866.125,33586198453840.777,22524004203810.28,15926880215903.178,11524177722573.018,1.5562925194021762e-06,8.564910383083891e-07,5.743909294735283e-07,4.061558259378503e-07,2.938812785502444e-07,3.079063646249285e-07,1.6945338916148602e-07,1.1364099021414377e-07,8.035633550677071e-08,5.81432571201275e-08
2,2,0.02,46,2.25,100000.0,17.15,2.43,0.81,,0.046,85.0,0.0849999999999999,46.0,0.0014902968973175,0.0318489369265547,0.0060017603087712,0.0004699044036429,-0.0005285327503361,2245700000000.0,1235900000000.0,828835000000.0,586075000000.0,424065000000.0,30.866332797711696,2.6236382878054942,69316523563821.17,38147700704691.88,25583096944391.37,18089985994418.883,13089331417861.611,4.226263019562438e-06,2.325884341575997e-06,1.5598141825796116e-06,1.1029554700939822e-06,7.980630660331947e-07,1.1534512307777138e-06,6.347911012682801e-07,4.25711693842297e-07,3.010237031117463e-07,2.1781105943792643e-07
3,3,0.02,46,5.0,100000.0,17.15,2.43,0.81,,0.046,53.0,0.053,46.0,0.0007351038440442,0.0334449722620603,0.0059592632307808,0.0012154464022244,0.0005015557936712,1400260000000.0,770620000000.0,516803000000.0,365435000000.0,264417000000.0,62.57619297285716,3.316538227561429,87622939972172.95,48222465828743.18,32339564256951.496,22867531079036.05,16546209217303.973,2.6351992945506967e-06,1.450257295335622e-06,9.725900197261106e-07,6.877251754703654e-07,4.976157941148155e-07,7.192107674261039e-07,3.958109219672805e-07,2.65443762042844e-07,1.8769713252850061e-07,1.3581160176717765e-07
4,4,0.02,56,2.25,100000.0,17.15,2.43,0.81,,0.056,110.0,0.11,56.0,0.0011542444302321,0.0108586619959429,0.0054551999973543,0.0019536703471292,-0.0004881763700524,2906200000000.0,1599400000000.0,1072610000000.0,758450000000.0,548790000000.00006,48.51658672395472,5.336824539635019,140998904337157.22,77597428806293.17,52039376085981.08,36797405200783.45,26625417628239.12,6.7849803924639854e-06,3.734050526359816e-06,2.50417652562136e-06,1.7707206588205592e-06,1.2812364563967765e-06,1.93320845284786e-06,1.0639231985014342e-06,7.135017268629632e-07,5.045220394544283e-07,3.65055903529825e-07
5,5,0.02,56,5.0,100000.0,17.15,2.43,0.81,,0.056,89.0,0.089,56.0,0.0009130923725703,0.034919959473803,0.0058487994306255,0.0039925132976451,-8.728522611336469e-05,2351380000000.0,1294060000000.0,867839000000.0,613655000000.0,444021000000.0,61.330049053370026,5.458374365749932,144210250743113.22,79364763278004.02,53224608440427.59,37635491251845.79,27231829710726.41,5.489665953902679e-06,3.021186334963852e-06,2.0261064616391e-06,1.43267398759118e-06,1.0366367692664823e-06,1.5641413845769052e-06,8.608105878784331e-07,5.772877608254884e-07,4.08204195558583e-07,2.953634128559493e-07
6,6,0.02,66,2.25,100000.0,17.15,2.43,0.81,,0.066,159.0,0.159,66.0,0.0011879361167643,0.0294422058464241,0.0047550756485149,-0.0009368772406867,0.0002817970036729,4200780000000.0,2311860000000.0,1550409000000.0,1096305000000.0,793251000000.0,55.55854314772964,8.833808360489012,233389216884119.7,128443573561510.23,86138465323128.36,60909108645571.73,44071869910479.69,1.168663022755314e-05,6.431627687684431e-06,4.313260081334999e-06,3.049936238417067e-06,2.2068356625761782e-06,3.7074091169443912e-06,2.0403379470239e-06,1.3683174223817092e-06,9.675467774917327e-07,7.000856958529738e-07
7,7,0.02,66,5.0,100000.0,17.15,2.43,0.81,,0.066,114.0,0.1139999999999999,66.0,0.0005694751072979,0.0243297757579232,0.0051414442718843,0.0011112109854662,9.875864250671972e-05,3011880000000.0,1657560000000.0,1111614000000.0,786030000000.0,568746000000.0,115.8961983661634,13.212166613742625,349065441935080.2,192104902563817.72,128831836650604.36,91097888801755.4,65915499235961.96,8.379093370698477e-06,4.611355700603932e-06,3.0925260960515088e-06,2.1867467369782742e-06,1.582259531658392e-06,2.6581423857337147e-06,1.46288381107374e-06,9.810577745378294e-07,6.93712783861997e-07,5.019482347625095e-07
8,8,0.02,76,2.25,100000.0,17.15,2.43,0.81,,0.076,203.0,0.203,76.0,0.0023495183818056,0.0237953825956628,0.0059748669679653,0.0020725500730339,2.476374490217938e-06,5363260000000.0,2951620000000.0,1979453000000.0,1399685000000.0,1012767000000.0,32.34705486389638,6.566452137370967,173485665469340.94,95476214077373.84,64029474791504.29,45275687487172.81,32760029713343.75,1.7350515989866175e-05,9.54869426542976e-06,6.403666972641373e-06,4.52807750757484e-06,3.276371092863072e-06,6.504103098194461e-06,3.5794723333742417e-06,2.400511328936192e-06,1.6974182763834523e-06,1.2281972126000064e-06
9,9,0.02,76,5.0,100000.0,17.15,2.43,0.81,,0.076,190.0,0.19,76.0,0.0012785477285319,0.0248196248495673,0.0038424778448803,0.0004560656363362,5.725405987828195e-05,5019800000000.0,2762600000000.0,1852690000000.0,1310050000000.0,947910000000.0,59.44244262767019,11.294064099257335,298389173502378.8,164215692003201.7,110128419031858.3,77872571964379.33,56346085791194.85,1.62393992023378e-05,8.93720152921997e-06,5.99357992513232e-06,4.238102100685811e-06,3.06655422484721e-06,6.0875841805760965e-06,3.350245041089192e-06,2.246784002452593e-06,1.5887166133638222e-06,1.149544189133011e-06
