,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.cFactor,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,0.02,86,2.25,100000.0,17.15,2.43,0.81,,0.086,238.0,0.238,86.0,0.0023675485104774,0.0232889631366257,0.0072344841491508,0.0009998251528478,-0.0002074828996353,6287960000000.0,3460520000000.0005,2320738000000.0,1641010000000.0,1187382000000.0,36.324493297353975,8.645229404770246,228406960874029.88,125701635545359.4,84299631925914.66,59608856745890.84,43131049500398.76,2.3183177469364635e-05,1.2758644981247609e-05,8.55636500771289e-06,6.050265278246372e-06,4.377777153469347e-06,9.945700054885174e-06,5.473523043074582e-06,3.670723740922988e-06,2.595594317881653e-06,1.8780884774346e-06
11,11,0.02,86,5.0,100000.0,17.15,2.43,0.81,,0.086,187.0,0.187,86.0,0.0008327771865026,0.0185068412645676,0.0038351472774496,-0.0002923428215534,-7.63131605960516e-06,4940540000000.0,2718980000000.0,1823437000000.0,1289365000000.0,932943000000.0,103.26891921855736,19.311287893870222,510204226156051.4,280786125976873.1,188304368253128.6,133151330028235.22,96344015302518.56,1.821535372592936e-05,1.002464962812312e-05,6.722858220345842e-06,4.753779861479292e-06,3.4396820491544872e-06,7.814478614552637e-06,4.300625248130028e-06,2.884140082153776e-06,2.039395535478442e-06,1.4756409465557572e-06
12,12,0.02,96,2.25,100000.0,17.15,2.43,0.81,,0.096,296.0,0.296,96.0,0.0023680561369161,0.0200768572163095,0.0049032670123919,-9.612018557153472e-05,3.1691683924462845e-05,7820320000000.0,4303840000000.0,2886296000000.0,2040920000000.0,1476744000000.0,40.539579490297854,11.999715529128164,317032484279566.1,174475863793523.53,117009226124528.72,82738038573338.69,59866580774820.414,3.2282947252487204e-05,1.776661820784118e-05,1.1914875800870656e-05,8.425091646703228e-06,6.096125050819783e-06,1.4743648236226566e-05,8.114028968763598e-06,5.441533457662575e-06,3.847746199424004e-06,2.784105263078514e-06
13,13,0.02,96,5.0,100000.0,17.15,2.43,0.81,,0.096,245.0,0.245,96.0,0.0018389588694134,0.0202953089758857,0.0055599800506154,0.0014627230569165,-0.0001937133948442,6472900000000.0,3562300000000.0,2388995000000.0,1689275000000.0,1222305000000.0,52.203451418476206,12.789845597526671,337907720686654.6,185964354988037.72,124713784421482.56,88185985394946.4,63808539686060.56,2.672068269209245e-05,1.4705477908517192e-05,9.861974902747671e-06,6.973471126494226e-06,5.045779180577185e-06,1.2203357492822662e-05,6.716003707253653e-06,4.5039719497544965e-06,3.1847899285773003e-06,2.304411450858905e-06
14,14,0.02,106,2.25,100000.0,17.15,2.43,0.81,,0.106,357.0,0.357,106.0,0.0024666665303954,0.0234579893080159,0.0061424327331273,0.0006356037757099,3.4371580876461417e-06,9431940000000.0,5190780000000.0,3481107000000.0,2461515000000.0,1781073000000.0,42.972975347019634,15.34135219888601,405318525094568.4,223063260971802.6,149593525291337.5,105778623411319.05,76538006120242.3,4.146672219252027e-05,2.282082288717808e-05,1.5304390919729944e-05,1.0821841389758791e-05,7.830335996157593e-06,2.1416436538417e-05,1.1786335627122754e-05,7.904302524076613e-06,5.589187355502846e-06,4.044156014010689e-06
15,15,0.02,106,5.0,100000.0,17.15,2.43,0.81,,0.106,300.0,0.3,106.0,0.0022692158298411,0.0260397447509687,0.005595906425653,0.0011585825450491,0.0001336350706164,7926000000000.0,4362000000000.0,2925300000000.0,2068500000000.0,1496700000000.0,46.71217193448651,14.013651580345954,370240674752740.06,203758493978230.2,136647116559953.4,96624127646485.36,69914107734345.97,3.484598503573132e-05,1.917716209006561e-05,1.2860832705655416e-05,9.09398436114184e-06,6.5801142824853726e-06,1.7997005494468064e-05,9.90448372027122e-06,6.6422710286358095e-06,4.6967960970612144e-06,3.398450431941755e-06
16,16,0.02,116,2.25,100000.0,17.15,2.43,0.81,,0.116,380.0,0.38,116.0,0.0026491989185615,0.0195855508116018,0.0052708672837486,6.000161139263276e-05,0.0001381937404832,10039600000000.0,5525200000000.0,3705380000000.0,2620100000000.0,1895820000000.0,43.78682143769948,16.638992146325805,439602172505927.75,241930945807577.2,162246812418822.9,114725850848916.42,83011931818019.44,4.7468181569901055e-05,2.612366994800762e-05,1.7519388284939635e-05,1.2388081450585457e-05,8.963616875557773e-06,2.7895263006684577e-05,1.5351897203527394e-05,1.0295484843988692e-05,7.280009024643836e-06,5.267580134002624e-06
17,17,0.02,116,5.0,100000.0,17.15,2.43,0.81,,0.116,299.0,0.299,116.0,0.0018624690381159,0.0213370285511927,0.0048223952855858,0.0003279038597627,-0.0001360301199772,7899580000000.0,4347460000000.0,2915549000000.0,2061605000000.0,1491711000000.0,62.28291457523784,18.62259145799612,492008866320257.4,270772479799263.6,181588889306920.1,128402768102883.22,92908108783942.6,3.734996391947478e-05,2.0555203459090208e-05,1.3784992361044608e-05,9.747464088750136e-06,7.052951173136247e-06,2.194916747104918e-05,1.207951911540708e-05,8.100920969349e-06,5.728217627285545e-06,4.144753842281013e-06
18,18,0.02,126,2.25,100000.0,17.15,2.43,0.81,,0.126,448.0,0.4479999999999999,126.0,0.0030251750053054,0.0222316855405626,0.0056435124542583,0.0007926202924886,7.398035634413848e-05,11836159999999.998,6513919999999.999,4368448000000.0,3088959999999.9995,2235072000000.0,41.650482956862646,18.659416364674463,492981780354699.25,271307913942366.7,181947968971940.7,128656675834430.42,93091828243360.9,6.0304177334448935e-05,3.318784021358393e-05,2.2256852126730192e-05,1.573797512191618e-05,1.1387492078787502e-05,3.766476520937775e-05,2.072845140591796e-05,1.3901178105853231e-05,9.82961983795078e-06,7.112396428069099e-06
19,19,0.02,126,5.0,100000.0,17.15,2.43,0.81,,0.126,325.0,0.325,126.0,0.0019321107521932,0.0217019689553937,0.0053965107487896,0.0009382410670361,1.2844406959717913e-05,8586500000000.001,4725500000000.0,3169075000000.0005,2240875000000.0,1621425000000.0002,65.21365292179595,21.194437199583685,559957030813001.06,308167116881946.75,206666957133140.56,146135644491129.53,105739047188723.05,4.374745007521408e-05,2.4076000154943703e-05,1.6146153886578825e-05,1.1417057845140086e-05,8.261015458941826e-06,2.7323769404124487e-05,1.503738104223959e-05,1.0084560009826564e-05,7.130862605656257e-06,5.159662587326914e-06
20,20,0.02,136,2.25,100000.0,17.15,2.43,0.81,,0.136,483.0,0.483,136.0,0.004590298940343,0.0129204727780957,0.0071632630213087,0.0007096835475875,-0.0001968646356882,12760860000000.0,7022820000000.0,4709733000000.0,3330285000000.0,2409687000000.0,29.627700018560702,14.310179108964816,378074932058850.56,208070004244348.47,139538556491515.95,98668684956312.42,71393483574625.48,7.043398753144332e-05,3.876268655212664e-05,2.599552658664284e-05,1.8381617866362663e-05,1.3300346850657482e-05,4.4728178956739966e-05,2.4615735126078697e-05,1.6508117827674923e-05,1.1673005068384636e-05,8.446210628886288e-06
21,21,0.02,136,5.0,100000.0,17.15,2.43,0.81,,0.136,370.0,0.37,136.0,0.0024411726122934,0.0179383423495034,0.0054857562153557,0.000770893240626,-2.865881833175985e-05,9775400000000.0,5379800000000.0,3607870000000.0,2551150000000.0,1845930000000.0,55.71093142497114,20.61304462723932,544596639051662.9,299713668880059.75,200997798160210.62,142126942704815.12,102838479645296.95,5.39556426224307e-05,2.969398348713635e-05,1.9913757426620807e-05,1.408115654359045e-05,1.0188671500503664e-05,3.4263822389221095e-05,1.8856774320184503e-05,1.2645970178550148e-05,8.942053572054484e-06,6.470182055254506e-06
22,22,0.02,146,2.25,100000.0,17.15,2.43,0.81,,0.146,504.0,0.504,146.0,0.0042992323155033,0.0247020348184963,0.0049596519596687,0.0007881637698526,-0.0001170940031623,13315680000000.0,7328160000000.0,4914504000000.0,3475080000000.0,2514456000000.0,33.959551214181616,17.115613811947537,452194516911653.9,248861024825717.2,166894350280300.4,118012157233378.23,85389797307806.25,7.907178994847579e-05,4.351642035771529e-05,2.9183536100968487e-05,2.063588159329071e-05,1.4931459502382502e-05,5.095545691106688e-05,2.804285932955763e-05,1.880645951324047e-05,1.3298178478493798e-05,9.622133782335831e-06
23,23,0.02,146,5.0,100000.0,17.15,2.43,0.81,,0.146,391.0,0.391,146.0,0.0031276332267111,0.0182449491196584,0.0045408163761873,0.0016987807131021,-7.620423126444205e-05,10330220000000.0,5685140000000.0,3812641000000.001,2695945000000.0,1950699000000.0,46.68066535203198,18.252140152644504,482221542832867.75,265386117819451.1,177976618628436.56,125848506352483.84,91059927221543.44,6.134339259891673e-05,3.375976261878309e-05,2.264040201483865e-05,1.6009185918604502e-05,1.1583731479030873e-05,3.953091994489514e-05,2.17554722179703e-05,1.458993188427981e-05,1.031664243073626e-05,7.464790295423236e-06
24,24,0.02,156,2.25,100000.0,17.15,2.43,0.81,,0.156,579.0,0.579,156.0,0.0048631250400035,0.0207917521171115,0.0066519355356241,0.0008742524169983,1.4675987319391804e-05,15297180000000.0,8418660000000.0,5645829000000.0,3992205000000.0,2888631000000.0,32.07813879280533,18.57324236103429,490705063178525.8,270054943929438.53,181107686262445.3,128062506079331.4,92661906139200.06,9.748845347919216e-05,5.365185895486201e-05,3.5980693030870665e-05,2.5442198589668057e-05,1.840915573079825e-05,6.263216594933475e-05,3.4469026983471885e-05,2.3116057917182555e-05,1.6345525519328656e-05,1.1827095984906552e-05
25,25,0.02,156,5.0,100000.0,17.15,2.43,0.81,,0.156,420.0,0.42,156.0,0.0029235764562827,0.0227932697595247,0.005193234641867,5.738408396681493e-06,5.033900834492389e-05,11096400000000.0,6106800000000.0,4095420000000.0,2895900000000.0,2095380000000.0,53.359302324643714,22.41090697635036,592096162315176.5,325854587436134.25,218528753926392.4,154523203601935.75,111808014905011.94,7.071701288646064e-05,3.89184469102626e-05,2.609998458197872e-05,1.845548084224626e-05,1.3353791721822565e-05,4.54326592378594e-05,2.5003439262622093e-05,1.6768124914018432e-05,1.1856857889668456e-05,8.57924061081304e-06
26,26,0.02,166,2.25,100000.0,17.15,2.43,0.81,,0.166,563.0,0.563,166.0,0.0053039857273233,0.0186926298439771,0.0051974970861063,0.0009643781701955,-5.6113016507999655e-05,14874459999999.998,8186019999999.999,5489813000000.0,3881885000000.0,2808807000000.0,31.297218456839776,17.62033399120079,465529224047524.9,256199656232059.5,171815876748198.94,121492202869329.48,87907846282100.77,0.0001006415905889,5.538715848459373e-05,3.714444170448924e-05,2.626509338041773e-05,1.900457590644004e-05,6.412809356531516e-05,3.5292296761532266e-05,2.3668169581960187e-05,1.673592752206086e-05,1.2109578304214888e-05
27,27,0.02,166,5.0,100000.0,17.15,2.43,0.81,,0.166,460.0,0.4599999999999999,166.0,0.0035743342535852,0.0205738716365512,0.0062843698574144,0.0006439266461214,-6.370113463474928e-05,12153200000000.0,6688400000000.0,4485460000000.0,3171700000000.0,2294940000000.0,46.44221503165084,21.363418914559382,564421527722659.0,310624111017693.44,208314697835868.56,147300773415886.94,106582096964736.77,8.222936353624406e-05,4.525416146165741e-05,3.034892217418304e-05,2.145993420069655e-05,1.5527717436878185e-05,5.239595566615448e-05,2.883562435222885e-05,1.9338113690411523e-05,1.3674114849285963e-05,9.89414923612584e-06
28,28,0.02,176,2.25,100000.0,17.15,2.43,0.81,,0.176,618.0,0.618,176.0,0.0061775357148974,0.0186030698243754,0.0054902405696519,0.0001411225889924,-1.5834356519377803e-05,16327560000000.0,8985720000000.0,6026118000000.0,4261110000000.0,3083202000000.0,28.490324964947977,17.60702082833785,465177490284685.94,256006082844032.4,171686060097122.38,121400408611389.48,87841426912577.53,0.0001180123719472,6.494700560606848e-05,4.3555588147508505e-05,3.079845967357924e-05,2.22847737942693e-05,7.361647524123933e-05,4.051413891020514e-05,2.7170107875750364e-05,1.921217247495629e-05,1.3901309423866124e-05
29,29,0.02,176,5.0,100000.0,17.15,2.43,0.81,,0.176,488.0,0.488,176.0,0.0043156836660216,0.0145606833324812,0.005387995170101,0.0001019908260475,-1.4277524340166384e-05,12892960000000.0,7095520000000.0,4758488000000.0,3364760000000.0,2434632000000.0,40.78148762053346,19.901365958820328,525794088632033.0,289365861041247.6,194058219464457.0,137219918286066.16,99287914768554.6,9.318776296154527e-05,5.128501413553627e-05,3.4393409410977594e-05,2.4319819289169366e-05,1.7597038206478025e-05,5.813080892835726e-05,3.19917472300649e-05,2.1454713015155627e-05,1.5170776970515645e-05,1.0977085758651569e-05
30,30,0.02,186,2.25,100000.0,17.15,2.43,0.81,,0.186,487.0,0.487,186.0,0.00685900647116,0.0197998595972205,0.0060839014916784,9.644507339487288e-05,4.2410968549173286e-05,12866540000000.0,7080980000000.0,4748737000000.0,3357865000000.0,2429643000000.0,27.11763005066003,13.206285834671435,348910071752019.3,192019396036122.62,128774493173881.14,91057340830059.52,65886160029175.77,9.888653278011283e-05,5.4421278827511e-05,3.649669118618018e-05,2.580706447838297e-05,1.8673160940196177e-05,6.032710113859928e-05,3.3200456114883934e-05,2.2265312763152218e-05,1.5743957696844894e-05,1.1391820877383493e-05
31,31,0.02,186,5.0,100000.0,17.15,2.43,0.81,,0.186,416.0,0.416,186.0,0.0015548532779803,0.0183637896508945,0.006196907454258,0.0010484508734111,-3.089177531725566e-05,10990720000000.0,6048639999999.999,4056416000000.0,2868319999999.9995,2075424000000.0,119.6254351674932,49.76418102967717,1314769662804070.8,723571192171505.9,485250529220382.06,343124028199624.06,248273499157059.38,8.446981034194443e-05,4.64871704152866e-05,3.117581834384179e-05,2.204463824026142e-05,1.5950790454048477e-05,5.1531979617366126e-05,2.8360143211071284e-05,1.901924047119368e-05,1.3448637375538962e-05,9.731000995875835e-06
32,32,0.02,196,2.25,100000.0,17.15,2.43,0.81,,0.196,313.0,0.313,196.0,0.0033778715356618,0.0238766145096654,0.0057757099919993,6.216618431357992e-05,-7.853653804761843e-05,8269460000000.0,4551020000000.0,3052063000000.0,2158135000000.0,1561557000000.0,58.024705182163714,18.16173272201724,479832978515695.6,264071593778130.72,177095055772390.16,125225147118308.9,90608884550144.05,6.726840688137773e-05,3.702053883630704e-05,2.4827185295242777e-05,1.7555475603599524e-05,1.2702576908826398e-05,4.019878063838082e-05,2.2123023106815182e-05,1.4836423542954254e-05,1.049093839900211e-05,7.590905246210519e-06
33,33,0.02,196,5.0,100000.0,17.15,2.43,0.81,,0.196,266.0,0.266,196.0,0.0043728967468155,0.0183173150793828,0.004542912498998,0.0001866238899179,0.0001574057338439,7027720000000.0,3867640000000.0,2593766000000.0,1834070000000.0,1327074000000.0,44.821547671514,11.922531680622724,314993287002052.4,173353610636254.4,116256606417752.2,82205855937893.69,59481510554626.766,5.716740009727308e-05,3.1461544186765734e-05,2.109914149691559e-05,1.4919349873985536e-05,1.0795161206862052e-05,3.416254201217028e-05,1.8801035611542613e-05,1.260858997580138e-05,8.91562177039796e-06,6.451056854607022e-06
34,34,0.02,206,2.25,100000.0,17.15,2.43,0.81,,0.206,379.0,0.379,206.0,0.0079647177154811,0.0170815353389845,0.005782068773202,-0.0002120930686846,0.0001707380882959,10013180000000.0,5510660000000.0,3695629000000.0,2613205000000.0,1890831000000.0,25.864067925420013,9.802481743734184,258981567669457.2,142528084553895.06,95583999483152.05,67588111623047.2,48904581419489.84,8.590929482403726e-05,4.727937724229757e-05,3.170709817672927e-05,2.2420309909603973e-05,1.62226143783922e-05,5.03611168670748e-05,2.77157698428186e-05,1.858710259541432e-05,1.3143069674431515e-05,9.509902045792436e-06
35,35,0.02,206,5.0,100000.0,17.15,2.43,0.81,,0.206,347.0,0.347,206.0,0.0049138780977102,0.0179167649201128,0.0056089247390238,0.0005962293591621,6.575893743376015e-05,9167739999999.998,5045379999999.999,3383596999999.9995,2392564999999.9995,1731182999999.9998,41.9220818880286,14.546962415145924,384330747008155.25,211512833516221.7,141847430510087.88,100301305852431.12,72574795489163.02,7.865573958823463e-05,4.328745093160225e-05,2.902998170798168e-05,2.0527302212750862e-05,1.4852894958580718e-05,4.610899090468324e-05,2.537565207244869e-05,1.7017743009521815e-05,1.2033364583186638e-05,8.706955171213653e-06
36,36,0.02,216,2.25,100000.0,17.15,2.43,0.81,,0.216,445.0,0.445,216.0,0.0070702902793584,0.0188449950143817,0.0065203784971927,0.0003092536100664,-6.388712338867091e-05,11756900000000.0,6470300000000.0,4339195000000.0,3068275000000.0,2220105000000.0,30.550372257077868,13.594915654399651,359177671589238.8,197670073614970.9,132564022546051.0,93736943437085.6,67825034199799.87,0.0001060186029839,5.834634698661343e-05,3.912897038971579e-05,2.76683674327854e-05,2.001993982917568e-05,6.130198877293826e-05,3.373697641023929e-05,2.2625120837430768e-05,1.5998380491650616e-05,1.1575913019992011e-05
37,37,0.02,216,5.0,100000.0,17.15,2.43,0.81,,0.216,378.0,0.378,216.0,0.0041070395735687,0.0140284304475786,0.0062803340279752,0.0008670495359951,-0.0001479396977702,9986760000000.0,5496120000000.0,3685878000000.0,2606310000000.0,1885842000000.0,52.59262691065606,19.88001297222799,525229942726263.5,289055388616195.0,193850006492195.2,137072689443512.0,99181384718445.44,9.005625152342728e-05,4.9561616091999725e-05,3.323764226362375e-05,2.350256829121996e-05,1.700570169759193e-05,5.207225113746216e-05,2.865747659116956e-05,1.921864196977265e-05,1.3589635563694231e-05,9.833022745071869e-06
38,38,0.02,226,2.25,100000.0,17.15,2.43,0.81,,0.226,447.0,0.447,226.0,0.0069899189736872,0.0182555607063923,0.0057731685627086,0.0005369464024159,3.030602574509622e-05,11809740000000.0,6499380000000.0,4358697000000.0,3082065000000.0,2230083000000.0,32.332277505755094,14.452528045072526,381835790950816.1,210139757775354.53,140926600967502.22,99650180870775.06,72103662416866.83,0.0001118188314588,6.153844850157727e-05,4.126969816636038e-05,2.918209095036969e-05,2.111522142877366e-05,6.397087500650014e-05,3.520577299752128e-05,2.361014391326204e-05,1.6694897167669132e-05,1.207989006084138e-05
39,39,0.02,226,5.0,100000.0,17.15,2.43,0.81,,0.226,447.0,0.447,226.0,0.0057758522029303,0.0188580321492514,0.0074073699269132,0.0008169501298769,-5.893584496372745e-05,11809740000000.0,6499380000000.0,4358697000000.0,3082065000000.0,2230083000000.0,39.12842504615018,17.490405995629132,462096526404521.6,254310503176447.6,170548948863379.62,120596349339862.84,87259635512193.73,0.0001118188314588,6.153844850157727e-05,4.126969816636038e-05,2.918209095036969e-05,2.111522142877366e-05,6.397087500650014e-05,3.520577299752128e-05,2.361014391326204e-05,1.6694897167669132e-05,1.207989006084138e-05
40,40,0.02,236,2.25,100000.0,17.15,2.43,0.81,,0.236,529.0,0.529,236.0,0.0083223446159195,0.0184454514120329,0.0056890970337762,0.0006650613225631,8.137609573011259e-05,13976180000000.002,7691660000000.001,5158279000000.0,3647455000000.001,2639181000000.0,28.3573933658748,15.001061090547768,396328034012272.1,218115428256564.56,146275346693931.28,103432316219326.88,74840293780742.81,0.0001386360229561,7.629703912879857e-05,5.116729219703678e-05,3.618074861025215e-05,2.6179224773973595e-05,7.856730077352042e-05,4.323877945673683e-05,2.899734102356539e-05,2.0504221757510347e-05,1.4836194684295737e-05
41,41,0.02,236,5.0,100000.0,17.15,2.43,0.81,,0.236,471.0,0.471,236.0,0.0046021375259783,0.0170681382023816,0.0045216460365396,0.0010551621997532,-9.165800097352372e-05,12443820000000.0,6848340000000.0,4592721000000.0,3247545000000.0,2349819000000.0,51.28051881713993,24.153124362872905,638125545667102.1,351186428236172.06,235517115662373.7,166535792482008.7,120499937446372.92,0.0001234358540876,6.793176829804182e-05,4.55572677217473e-05,3.221386123899576e-05,2.33089127949746e-05,6.9953116567728e-05,3.8498043712898e-05,2.581804843497032e-05,1.825612182946573e-05,1.3209541958985427e-05
