,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.1,50,2.25,100000.0,798389000000.0,33.0,0.033,50.0,0.0,0.0363474697175089,0.0043425056209713,263468370.0,,,,5.432729983079865e-10,1.5387440355559708e-10
1,1,0.1,55,2.25,100000.0,822079000000.0,46.0,0.046,55.0,0.0,0.039405638921457,0.0062706715143445,378156340.0,,,,8.657003522070641e-10,2.458554018691589e-10
2,2,0.1,60,2.25,100000.0,844192000000.0,65.0,0.065,60.0,0.0,0.0349022154249068,0.0058895736516816,548724800.0,,,,1.380027908859178e-09,4.0228501048371725e-10
3,3,0.1,65,2.25,100000.0,864943000000.0,109.0,0.109,65.0,0.0,0.0148560664720601,0.0067522337919231,942787870.0,,,,2.580949201546642e-09,8.047234751732185e-10
4,4,0.1,70,2.25,100000.0,884501000000.0,117.0,0.117,70.0,0.0,0.0312659361379455,0.0038270940135898,1034866170.0,,,,3.0644080500163992e-09,1.0569403696195034e-09
5,5,0.1,75,2.25,100000.0,903006000000.0,143.0,0.143,75.0,0.0,0.0324150277511456,0.0064053424209953,1291298580.0000002,,,,4.11828414269716e-09,1.518550407802909e-09
6,6,0.1,80,2.25,100000.0,920573000000.0,159.0,0.159,80.0,0.0,0.0298993117761221,0.0051757247059253,1463711070.0,,,,5.003188661253627e-09,2.0284694089669393e-09
7,7,0.1,85,2.25,100000.0,937297000000.0,177.0,0.177,85.0,0.0,0.0359299427311207,0.0076166139474401,1659015690.0000002,,,,6.042815689591929e-09,2.5636850112382304e-09
8,8,0.1,90,2.25,100000.0,953259000000.0,240.0,0.24,90.0,0.0,0.0191606759469468,0.0041070336702574,2287821600.0,,,,8.839866846401538e-09,3.995085382400346e-09
9,9,0.1,95,2.25,100000.0,968529000000.0,217.0,0.217,95.0,0.0,0.0283560470386078,0.0078284256781017,2101707930.0,,,,8.583414831662207e-09,3.9104489361523984e-09
10,10,0.1,100,2.25,100000.0,983168000000.0,244.0,0.244,100.0,0.0,0.0302790874043738,0.0046368686611763,2398929920.0,,,,9.926263429534108e-09,4.776271094652172e-09
11,11,0.1,105,2.25,100000.0,997225000000.0,303.0,0.303,105.0,0.0,0.0285613178850985,0.0058672556127702,3021591750.0,,,,1.3210697344664942e-08,6.703988990837901e-09
12,12,0.1,110,2.25,100000.0,1010750000000.0,289.0,0.289,110.0,0.0,0.0314904809729168,0.0059550888912645,2921067500.0000005,,,,1.3230568025253269e-08,7.317834962960737e-09
13,13,0.1,115,2.25,100000.0,1023780000000.0,332.0,0.332,115.0,0.0014839917192214,0.04162368242307,0.0071395987899474,3398949600.0,,,,1.5971471282285468e-08,9.275394053180808e-09
14,14,0.1,120,2.25,100000.0,1036340000000.0,351.0,0.351,120.0,0.0,0.0362528469283853,0.0068304023227001,3637553400.000001,,,,1.7674263494337224e-08,1.0899852872874376e-08
