,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,,,,500.0,,,,,,,,,,,,,,,,,,,
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,,,,501.0,,,,,,,,,,,,,,,,,,,
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,0.502,4.4,0.0043999999999999,502.0,0.0279346742050784,0.0001600682925611,0.0001102867626709,-7.562010360855761e-08,1.2310834932857782e-05,94534981363.21968,66910833889.48379,55440000000.0,24.645787178947067,0.0975593868691251,2096085186245.4304,1483586347536.3467,1229248274550.9785,2.059606670138193e-06,1.457767249710451e-06,1.2078554641455371e-06,1.1523321808979606e-06,8.156082122164395e-07,6.757847220969416e-07
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,,,,503.0,,,,,,,,,,,,,,,,,,,
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,,,,504.0,,,,,,,,,,,,,,,,,,,
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,0.5050000000000001,4.55,0.0045499999999999,505.0,0.0282841897663809,0.0001595156948956,0.0001017881972366,-1.509937870336461e-05,3.7197874398710262e-06,97516234268.88524,69160000000.0,57330000000.0,26.099596885546458,0.0978395002503979,2096909808168.8933,1487160403806.0488,1232777703155.0142,2.137807243744011e-06,1.516165488606351e-06,1.256821391871054e-06,1.1969103285233968e-06,8.488670521508274e-07,7.036661090197647e-07
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,,,,506.0,,,,,,,,,,,,,,,,,,,
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,,,,507.0,,,,,,,,,,,,,,,,,,,
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,,,,508.0,,,,,,,,,,,,,,,,,,,
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,,,,509.0,,,,,,,,,,,,,,,,,,,
10,10,2.25,0.02,510,100000.0,17.15,2.43,0.81,,,,,510.0,,,,,,,,,,,,,,,,,,,
11,11,2.25,0.02,511,100000.0,17.15,2.43,0.81,,,,,511.0,,,,,,,,,,,,,,,,,,,
12,12,2.25,0.02,512,100000.0,17.15,2.43,0.81,,,,,512.0,,,,,,,,,,,,,,,,,,,
13,13,2.25,0.02,513,100000.0,17.15,2.43,0.81,,0.513,3.8,0.0038,513.0,0.0262058303329362,0.0001767932351553,9.832826079812296e-05,1.3031546524037591e-06,-1.0924473903630174e-06,80940000000.0,57760000000.0,47880000000.0,27.364377007087995,0.0929214699849638,1979227310679.7312,1412406343771.4517,1170810521810.5457,1.8028556067337508e-06,1.2865448461198595e-06,1.066477964546726e-06,1.011740894331951e-06,7.219935020584818e-07,5.984946135484782e-07
14,14,2.25,0.02,514,100000.0,17.15,2.43,0.81,,,,,514.0,,,,,,,,,,,,,,,,,,,
15,15,2.25,0.02,515,100000.0,17.15,2.43,0.81,,,,,515.0,,,,,,,,,,,,,,,,,,,
16,16,2.25,0.02,516,100000.0,17.15,2.43,0.81,,,,,516.0,,,,,,,,,,,,,,,,,,,
17,17,2.25,0.02,517,100000.0,17.15,2.43,0.81,,,,,517.0,,,,,,,,,,,,,,,,,,,
18,18,2.25,0.02,518,100000.0,17.15,2.43,0.81,,,,,518.0,,,,,,,,,,,,,,,,,,,
19,19,2.25,0.02,519,100000.0,17.15,2.43,0.81,,,,,519.0,,,,,,,,,,,,,,,,,,,
20,20,2.25,0.02,520,100000.0,17.15,2.43,0.81,,,,,520.0,,,,,,,,,,,,,,,,,,,
21,21,2.25,0.02,521,100000.0,17.15,2.43,0.81,,,,,521.0,,,,,,,,,,,,,,,,,,,
22,22,2.25,0.02,522,100000.0,17.15,2.43,0.81,,,,,522.0,,,,,,,,,,,,,,,,,,,
23,23,2.25,0.02,523,100000.0,17.15,2.43,0.81,,,,,523.0,,,,,,,,,,,,,,,,,,,
24,24,2.25,0.02,524,100000.0,17.15,2.43,0.81,,0.5240000000000002,3.95,0.0039499999999999,524.0,0.0302969328261576,0.0001334854675279,0.0001088419363334,9.621102192318011e-06,5.704124070264562e-06,83723972713.62213,59950127475.2798,49770000000.0,71.65511613266145,0.1787242834389817,3788229627824.553,2712542677239.24,2251925971331.171,1.905626310096264e-06,1.364514087276827e-06,1.1328060336780915e-06,1.0725438312135687e-06,7.679895891229819e-07,6.375773240250717e-07
25,25,2.25,0.02,525,100000.0,17.15,2.43,0.81,,,,,525.0,,,,,,,,,,,,,,,,,,,
26,26,2.25,0.02,526,100000.0,17.15,2.43,0.81,,,,,526.0,,,,,,,,,,,,,,,,,,,
27,27,2.25,0.02,527,100000.0,17.15,2.43,0.81,,,,,527.0,,,,,,,,,,,,,,,,,,,
28,28,2.25,0.02,528,100000.0,17.15,2.43,0.81,,,,,528.0,,,,,,,,,,,,,,,,,,,
29,29,2.25,0.02,529,100000.0,17.15,2.43,0.81,,,,,529.0,,,,,,,,,,,,,,,,,,,
30,30,2.25,0.02,530,100000.0,17.15,2.43,0.81,,,,,530.0,,,,,,,,,,,,,,,,,,,
31,31,2.25,0.02,531,100000.0,17.15,2.43,0.81,,,,,531.0,,,,,,,,,,,,,,,,,,,
32,32,2.25,0.02,532,100000.0,17.15,2.43,0.81,,,,,532.0,,,,,,,,,,,,,,,,,,,
33,33,2.25,0.02,533,100000.0,17.15,2.43,0.81,,,,,533.0,,,,,,,,,,,,,,,,,,,
34,34,2.25,0.02,534,100000.0,17.15,2.43,0.81,,,,,534.0,,,,,,,,,,,,,,,,,,,
35,35,2.25,0.02,535,100000.0,17.15,2.43,0.81,,,,,535.0,,,,,,,,,,,,,,,,,,,
36,36,2.25,0.02,536,100000.0,17.15,2.43,0.81,,,,,536.0,,,,,,,,,,,,,,,,,,,
