,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.025,160.225,0.160225,25.0,0.0018657838069205,0.000199316643138,0.0001454854760334,-4.721817924198073e-06,4.055825790951448e-07,3444837500000.0,2438432885043.6274,2018835000000.0,0.6733377055627585,2.157042952089953,46376423469933.984,32827614097848.2,27178741196333.406,7.474992152543849e-05,5.291183308416075e-05,4.380693075444225e-05,4.1798975664444495e-05,2.9587461475706247e-05,2.44961438777665e-05
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,0.02505,159.52249999999998,0.1595224999999999,25.05,0.0018445137947779,0.0001983299048461,0.0001414348285524,-4.350610395938568e-06,2.245148948179193e-08,3429733750000.0,2426800780669.3506,2009983500000.0,0.683560791960573,2.1814045121714267,46900197011685.664,33185501563060.137,27485696853359.97,7.455726280444423e-05,5.275500571389599e-05,4.3694023783068754e-05,4.1710970277347256e-05,2.9513723982666752e-05,2.4444568627653256e-05
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,0.0251,159.9375,0.1599374999999999,25.1,0.0019236729342361,0.0001988502075968,0.000148611641994,-5.476834651341966e-06,2.1540306455058167e-07,3436292859495.4414,2432170794363.4795,2015212500000.0,0.6556866378606035,2.09828545396228,45082130973872.52,31908643059725.043,26438396719924.727,7.486553222845874e-05,5.2989011250126255e-05,4.3904859840174e-05,4.188662004144499e-05,2.9646895100308747e-05,2.45643906796295e-05
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,0.02515,159.8225,0.1598224999999999,25.15,0.0019044514490595,0.0001987118858375,0.0001412012604803,-4.513605753505213e-06,-3.000649292744449e-07,3430994072303.2314,2429479324517.5493,2013763500000.0,0.6636775304411329,2.121415342513077,45541544307312.766,32247866935818.4,26729833315664.76,7.489899362342226e-05,5.30358119543805e-05,4.39606878843485e-05,4.191820367789775e-05,2.9682187439047503e-05,2.460317528192225e-05
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,0.0251999999999999,160.47,0.16047,25.2,0.0019391697807517,0.0001959931921221,0.000146015077425,-5.772292775699179e-06,8.711269365331306e-08,3442054853240.022,2439144000000.0,2021922000000.0,0.6516246218658,2.091346518009322,44859035533873.05,31788467073741.69,26350966126917.46,7.529539524119375e-05,5.3356590571852e-05,4.42298053424555e-05,4.215026677485151e-05,2.986895174128325e-05,2.4759788943431748e-05
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,0.02525,159.63,0.15963,25.25,0.0019055588329821,0.000200744065662,0.0001404794644682,-4.734006124881282e-06,-6.818465584535323e-08,3421212412382.8906,2426376000000.0,2011338000000.0,0.6664430905932395,2.127399320956191,45594718805677.234,32336469678534.117,26805231444048.016,7.5001795674471e-05,5.31924169112575e-05,4.409371401854175e-05,4.199182324003975e-05,2.9781241216445e-05,2.4687081534684246e-05
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,0.0253,159.075,0.159075,25.3,0.0019162881059094,0.0001970934281713,0.000148291859909,-5.3155537693154926e-06,2.413175723867803e-07,3406502815146.0537,2417940000000.0,2004345000000.0,0.661967106791826,2.1059114731318536,45096925108735.07,32009854391604.176,26534484561461.344,7.481339492651951e-05,5.310264219490199e-05,4.401929550366749e-05,4.19080945131115e-05,2.9746418407902752e-05,2.4658215259181496e-05
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,0.0253499999999999,159.61,0.15961,25.35,0.0019368918324427,0.0002027011624869,0.0001472028400795,-5.062076708518379e-06,4.65148254613658e-08,3415135313845.8105,2426072000000.0,2011086000000.0,0.6560915326378319,2.0946096774711584,44817840224640.914,31838067097561.6,26392081936136.598,7.515120854149223e-05,5.338653554062525e-05,4.425462814551776e-05,4.211180696571426e-05,2.9915732865610497e-05,2.4798568033334005e-05
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,0.0253999999999999,159.3025,0.1593025,25.4,0.0019110551885,0.0001991291058275,0.0001522963937328,-4.351236045685855e-06,2.616330795790793e-07,3405737012290.3896,2421398000000.0,2007211500000.0,0.6666510457545423,2.1235721201039843,45399966527242.9,32278296225580.57,26757008713310.21,7.509775896220076e-05,5.33927201951695e-05,4.425975489862675e-05,4.209361339271276e-05,2.9927557798521504e-05,2.4808370280353e-05
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,0.02545,158.6225,0.1586225,25.45,0.0019069086350381,0.000198102203626,0.0001483203941137,-4.742452734698127e-06,3.771028084537478e-07,3388392485966.0693,2411062000000.0,1998643500000.0,0.668942860921516,2.121981427760998,45328411323645.234,32254117701967.164,26736965989788.57,7.487896271613451e-05,5.328126017042901e-05,4.416736040443474e-05,4.197689365300425e-05,2.986929453538275e-05,2.4760073101699e-05
