,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.00125,8.01125,0.00801125,1.25,9.32891903460272e-05,9.965832156901538e-06,7.274273801674663e-06,-2.360908962099037e-07,2.027912895475724e-08,172241875000.0,121921644252.18137,100941750000.0,0.0336668852781379,0.1078521476044976,2318821173496.699,1641380704892.41,1358937059816.6704,3.7374960762719246e-06,2.6455916542080374e-06,2.1903465377221123e-06,2.0899487832222247e-06,1.4793730737853124e-06,1.224807193888325e-06
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,0.0012525,7.976124999999999,0.0079761249999999,1.2525,9.222568973889612e-05,9.9164952423072e-06,7.071741427624212e-06,-2.1753051979692843e-07,1.1225744740895963e-09,171486687500.0,121340039033.46751,100499175000.0,0.0341780395980286,0.1090702256085713,2345009850584.283,1659275078153.0068,1374284842667.9983,3.727863140222212e-06,2.6377502856947995e-06,2.184701189153438e-06,2.085548513867363e-06,1.4756861991333375e-06,1.2222284313826628e-06
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,0.001255,7.996875,0.0079968749999999,1.255,9.618364671180743e-05,9.942510379843029e-06,7.430582099704088e-06,-2.738417325670983e-07,1.0770153227529084e-08,171814642974.77206,121608539718.17398,100760625000.0,0.0327843318930301,0.104914272698114,2254106548693.626,1595432152986.2522,1321919835996.2363,3.743276611422937e-06,2.649450562506313e-06,2.1952429920087e-06,2.0943310020722494e-06,1.4823447550154374e-06,1.228219533981475e-06
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,0.0012575,7.991124999999999,0.0079911249999999,1.2574999999999998,9.522257245297529e-05,9.935594291875663e-06,7.060063024016285e-06,-2.2568028767526065e-07,-1.5003246463722247e-08,171549703615.16156,121473966225.87749,100688175000.0,0.0331838765220566,0.1060707671256538,2277077215365.638,1612393346790.92,1336491665783.2378,3.744949681171113e-06,2.6517905977190254e-06,2.198034394217425e-06,2.095910183894888e-06,1.4841093719523752e-06,1.2301587640961126e-06
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,0.0012599999999999,8.0235,0.0080235,1.26,9.695848903758972e-05,9.799659606106136e-06,7.300753871252512e-06,-2.886146387849589e-07,4.355634682665652e-09,172102742662.0011,121957200000.0,101096100000.0,0.0325812310932899,0.1045673259004661,2242951776693.6523,1589423353687.0847,1317548306345.873,3.764769762059688e-06,2.6678295285926e-06,2.2114902671227748e-06,2.107513338742575e-06,1.4934475870641624e-06,1.2379894471715877e-06
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,0.0012625,7.9815,0.0079815,1.2625,9.527794164910818e-05,1.00372032831046e-05,7.023973223412837e-06,-2.367003062440641e-07,-3.409232792267661e-09,171060620619.14453,121318800000.0,100566900000.0,0.0333221545296619,0.1063699660478095,2279735940283.862,1616823483926.7056,1340261572202.401,3.7500897837235497e-06,2.659620845562875e-06,2.2046857009270878e-06,2.0995911620019872e-06,1.48906206082225e-06,1.2343540767342122e-06
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,0.001265,7.953749999999999,0.00795375,1.265,9.581440529547066e-05,9.854671408567324e-06,7.414592995452423e-06,-2.6577768846577465e-07,1.2065878619339016e-08,170325140757.30267,120897000000.0,100217250000.0,0.0330983553395913,0.1052955736565926,2254846255436.7534,1600492719580.2087,1326724228073.0671,3.7406697463259753e-06,2.6551321097450994e-06,2.2009647751833746e-06,2.095404725655575e-06,1.4873209203951377e-06,1.2329107629590748e-06
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,0.0012674999999999,7.980499999999999,0.0079805,1.2675,9.684459162213688e-05,1.0135058124348635e-05,7.360142003975237e-06,-2.53103835425919e-07,2.3257412730682904e-09,170756765692.29053,121303600000.0,100554300000.0,0.0328045766318916,0.1047304838735579,2240892011232.046,1591903354878.08,1319604096806.8296,3.757560427074612e-06,2.6693267770312628e-06,2.212731407275888e-06,2.105590348285713e-06,1.495786643280525e-06,1.2399284016667005e-06
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,0.0012699999999999,7.965125,0.007965125,1.27,9.55527594250042e-05,9.956455291378338e-06,7.61481968664026e-06,-2.175618022842928e-07,1.3081653978953962e-08,170286850614.51947,121069900000.0,100360575000.0,0.0333325522877271,0.1061786060051992,2269998326362.145,1613914811279.0286,1337850435665.5105,3.754887948110038e-06,2.669636009758475e-06,2.212987744931337e-06,2.104680669635638e-06,1.4963778899260752e-06,1.24041851401765e-06
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,0.0012725,7.931125,0.007931125,1.2725,9.534543175190876e-05,9.9051101813037e-06,7.416019705686801e-06,-2.3712263673490638e-07,1.885514042268739e-08,169419624298.30347,120553100000.0,99932175000.0,0.0334471430460758,0.1060990713880499,2266420566182.2617,1612705885098.3582,1336848299489.4285,3.7439481358067257e-06,2.66406300852145e-06,2.208368020221737e-06,2.0988446826502124e-06,1.4934647267691374e-06,1.23800365508495e-06
