,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.1608960446595802,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.1645847270410128,,,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.1681172274392402,,,,,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.1728457270970696,,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1769739648369482,,,,,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.1788947702347103,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.1830246093806902,,,,,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.1896419454232,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.190508908610878,,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.1920445871133745,,,,,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.02,600,100000.0,17.15,2.43,0.81,1.1937004579368051,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0.02,610,100000.0,17.15,2.43,0.81,1.1960764897163916,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0.02,620,100000.0,17.15,2.43,0.81,1.198607556732719,,,,,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,0.02,630,100000.0,17.15,2.43,0.81,1.2012994108941464,,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0.02,640,100000.0,17.15,2.43,0.81,1.2041583707096004,,,,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,0.02,650,100000.0,17.15,2.43,0.81,1.2071913574109248,,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,0.02,660,100000.0,17.15,2.43,0.81,1.2097180783032273,,,,,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,0.02,670,100000.0,17.15,2.43,0.81,1.2123951833932685,,,,,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,0.02,680,100000.0,17.15,2.43,0.81,1.2152282360391085,,,,,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,0.02,690,100000.0,17.15,2.43,0.81,1.2182232968231954,,,,,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
