
 Ring Parameters
 ---------------
      gamma			     3327.
      dgamma			0.8000E-03
      rho (meter)		    4.3800
      epsx ( pi m rad)    	0.6100E-08
      epsy ( pi m rad) 	0.6000E-10
      current (amp)		    0.2000


 insertion parameters
 --------------------
      length of section (m)	    3.4300
      betax (m/rad)		    1.1200
      betay (m/rad)		    1.4600


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    0.5000
      maximum K                            2.5000
      order of spectrum k                  1.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.3494E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.8165E-04
      sigmayp (rad) K = 0              0.3552E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.2842E+03          0.1169E+20        0.154465E+16     1.483    138.902  0.022718
     0.2862E+03          0.1172E+20        0.153867E+16     1.473    137.105  0.022799
     0.2881E+03          0.1174E+20        0.153265E+16     1.464    135.333  0.022881
     0.2901E+03          0.1176E+20        0.152658E+16     1.454    133.584  0.022962
     0.2920E+03          0.1178E+20        0.152048E+16     1.445    131.858  0.023044
     0.2939E+03          0.1179E+20        0.151432E+16     1.435    130.155  0.023125
     0.2959E+03          0.1181E+20        0.150812E+16     1.426    128.474  0.023207
     0.2978E+03          0.1183E+20        0.150188E+16     1.417    126.816  0.023289
     0.2998E+03          0.1184E+20        0.149559E+16     1.408    125.178  0.023371
     0.3017E+03          0.1185E+20        0.148926E+16     1.398    123.562  0.023453
     0.3036E+03          0.1187E+20        0.148288E+16     1.389    121.966  0.023536
     0.3056E+03          0.1188E+20        0.147646E+16     1.380    120.391  0.023618
     0.3075E+03          0.1189E+20        0.146999E+16     1.371    118.835  0.023701
     0.3095E+03          0.1190E+20        0.146348E+16     1.363    117.299  0.023784
     0.3114E+03          0.1190E+20        0.145692E+16     1.354    115.782  0.023867
     0.3133E+03          0.1191E+20        0.145032E+16     1.345    114.284  0.023950
     0.3153E+03          0.1192E+20        0.144367E+16     1.336    112.805  0.024034
     0.3172E+03          0.1192E+20        0.143698E+16     1.328    111.343  0.024117
     0.3191E+03          0.1192E+20        0.143024E+16     1.319    109.899  0.024201
     0.3211E+03          0.1193E+20        0.142346E+16     1.310    108.473  0.024285
     0.3230E+03          0.1193E+20        0.141663E+16     1.302    107.063  0.024370
     0.3250E+03          0.1193E+20        0.140976E+16     1.293    105.671  0.024454
     0.3269E+03          0.1193E+20        0.140284E+16     1.285    104.295  0.024539
     0.3288E+03          0.1193E+20        0.139588E+16     1.276    102.935  0.024624
     0.3308E+03          0.1192E+20        0.138888E+16     1.268    101.591  0.024710
     0.3327E+03          0.1192E+20        0.138182E+16     1.260    100.263  0.024796
     0.3347E+03          0.1191E+20        0.137473E+16     1.251     98.950  0.024882
     0.3366E+03          0.1191E+20        0.136759E+16     1.243     97.653  0.024968
     0.3385E+03          0.1190E+20        0.136040E+16     1.235     96.370  0.025055
     0.3405E+03          0.1189E+20        0.135317E+16     1.227     95.102  0.025141
     0.3424E+03          0.1188E+20        0.134589E+16     1.219     93.848  0.025229
     0.3443E+03          0.1187E+20        0.133857E+16     1.211     92.608  0.025316
     0.3463E+03          0.1186E+20        0.133120E+16     1.203     91.382  0.025404
     0.3482E+03          0.1184E+20        0.132378E+16     1.195     90.170  0.025493
     0.3502E+03          0.1183E+20        0.131633E+16     1.187     88.971  0.025581
     0.3521E+03          0.1181E+20        0.130882E+16     1.179     87.786  0.025671
     0.3540E+03          0.1180E+20        0.130127E+16     1.171     86.613  0.025760
     0.3560E+03          0.1178E+20        0.129368E+16     1.163     85.453  0.025850
     0.3579E+03          0.1176E+20        0.128604E+16     1.155     84.306  0.025940
     0.3599E+03          0.1174E+20        0.127836E+16     1.147     83.171  0.026031
     0.3618E+03          0.1172E+20        0.127063E+16     1.140     82.049  0.026122
     0.3637E+03          0.1170E+20        0.126285E+16     1.132     80.938  0.026214
     0.3657E+03          0.1167E+20        0.125503E+16     1.124     79.839  0.026306
     0.3676E+03          0.1165E+20        0.124716E+16     1.116     78.751  0.026399
     0.3695E+03          0.1162E+20        0.123925E+16     1.109     77.675  0.026492
     0.3715E+03          0.1160E+20        0.123130E+16     1.101     76.611  0.026585
     0.3734E+03          0.1157E+20        0.122329E+16     1.094     75.557  0.026679
     0.3754E+03          0.1154E+20        0.121525E+16     1.086     74.514  0.026774
     0.3773E+03          0.1151E+20        0.120715E+16     1.078     73.482  0.026869
     0.3792E+03          0.1148E+20        0.119902E+16     1.071     72.461  0.026965
     0.3812E+03          0.1145E+20        0.119083E+16     1.063     71.450  0.027062
     0.3831E+03          0.1141E+20        0.118260E+16     1.056     70.449  0.027158
     0.3851E+03          0.1138E+20        0.117433E+16     1.049     69.458  0.027256
     0.3870E+03          0.1134E+20        0.116601E+16     1.041     68.477  0.027354
     0.3889E+03          0.1130E+20        0.115765E+16     1.034     67.506  0.027453
     0.3909E+03          0.1126E+20        0.114923E+16     1.026     66.544  0.027553
     0.3928E+03          0.1122E+20        0.114078E+16     1.019     65.592  0.027653
     0.3948E+03          0.1118E+20        0.113228E+16     1.012     64.650  0.027754
     0.3967E+03          0.1114E+20        0.112373E+16     1.004     63.716  0.027855
     0.3986E+03          0.1110E+20        0.111514E+16     0.997     62.792  0.027958
     0.4006E+03          0.1105E+20        0.110650E+16     0.990     61.876  0.028061
     0.4025E+03          0.1101E+20        0.109782E+16     0.982     60.970  0.028165
     0.4044E+03          0.1096E+20        0.108909E+16     0.975     60.072  0.028269
     0.4064E+03          0.1091E+20        0.108032E+16     0.968     59.183  0.028375
     0.4083E+03          0.1086E+20        0.107150E+16     0.961     58.302  0.028481
     0.4103E+03          0.1081E+20        0.106263E+16     0.953     57.429  0.028588
