
 Ring Parameters
 ---------------
      gamma			     3327.
      dgamma			0.8000E-03
      rho (meter)		    4.3800
      epsx ( pi m rad)    	0.6100E-08
      epsy ( pi m rad) 	0.6000E-10
      current (amp)		    0.2000


 insertion parameters
 --------------------
      length of section (m)	    3.4300
      betax (m/rad)		    1.1200
      betay (m/rad)		    1.4600


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    0.5000
      maximum K                            2.5000
      order of spectrum k                  1.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.3494E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.8165E-04
      sigmayp (rad) K = 0              0.3552E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.6248E+03          0.8717E+19        0.631994E+15     1.931    235.654  0.019531
     0.6287E+03          0.8703E+19        0.628344E+15     1.922    233.456  0.019586
     0.6325E+03          0.8688E+19        0.624689E+15     1.913    231.285  0.019641
     0.6363E+03          0.8673E+19        0.621028E+15     1.904    229.140  0.019695
     0.6401E+03          0.8656E+19        0.617361E+15     1.896    227.020  0.019750
     0.6439E+03          0.8640E+19        0.613689E+15     1.887    224.925  0.019804
     0.6477E+03          0.8622E+19        0.610013E+15     1.878    222.856  0.019858
     0.6516E+03          0.8604E+19        0.606331E+15     1.870    220.810  0.019912
     0.6554E+03          0.8586E+19        0.602645E+15     1.861    218.788  0.019967
     0.6592E+03          0.8567E+19        0.598955E+15     1.852    216.790  0.020021
     0.6630E+03          0.8547E+19        0.595261E+15     1.844    214.815  0.020075
     0.6668E+03          0.8527E+19        0.591563E+15     1.836    212.862  0.020129
     0.6706E+03          0.8506E+19        0.587861E+15     1.827    210.931  0.020182
     0.6745E+03          0.8484E+19        0.584156E+15     1.819    209.023  0.020236
     0.6783E+03          0.8462E+19        0.580448E+15     1.811    207.135  0.020290
     0.6821E+03          0.8440E+19        0.576738E+15     1.803    205.269  0.020344
     0.6859E+03          0.8416E+19        0.573024E+15     1.794    203.424  0.020397
     0.6897E+03          0.8393E+19        0.569308E+15     1.786    201.599  0.020451
     0.6935E+03          0.8369E+19        0.565591E+15     1.778    199.794  0.020504
     0.6974E+03          0.8344E+19        0.561871E+15     1.770    198.009  0.020558
     0.7012E+03          0.8319E+19        0.558149E+15     1.762    196.244  0.020611
     0.7050E+03          0.8293E+19        0.554426E+15     1.755    194.497  0.020665
     0.7088E+03          0.8266E+19        0.550702E+15     1.747    192.770  0.020718
     0.7126E+03          0.8240E+19        0.546977E+15     1.739    191.061  0.020771
     0.7164E+03          0.8212E+19        0.543251E+15     1.731    189.370  0.020824
     0.7203E+03          0.8184E+19        0.539524E+15     1.724    187.697  0.020878
     0.7241E+03          0.8156E+19        0.535797E+15     1.716    186.041  0.020931
     0.7279E+03          0.8127E+19        0.532070E+15     1.708    184.403  0.020984
     0.7317E+03          0.8098E+19        0.528343E+15     1.701    182.782  0.021037
     0.7355E+03          0.8068E+19        0.524617E+15     1.693    181.178  0.021090
     0.7393E+03          0.8038E+19        0.520891E+15     1.686    179.591  0.021143
     0.7432E+03          0.8007E+19        0.517166E+15     1.679    178.019  0.021196
     0.7470E+03          0.7976E+19        0.513442E+15     1.671    176.464  0.021249
     0.7508E+03          0.7945E+19        0.509720E+15     1.664    174.925  0.021302
     0.7546E+03          0.7913E+19        0.505998E+15     1.657    173.401  0.021355
     0.7584E+03          0.7880E+19        0.502279E+15     1.649    171.892  0.021408
     0.7622E+03          0.7847E+19        0.498561E+15     1.642    170.399  0.021461
     0.7661E+03          0.7814E+19        0.494846E+15     1.635    168.921  0.021514
     0.7699E+03          0.7780E+19        0.491133E+15     1.628    167.457  0.021567
     0.7737E+03          0.7746E+19        0.487423E+15     1.621    166.007  0.021620
     0.7775E+03          0.7712E+19        0.483715E+15     1.614    164.572  0.021673
     0.7813E+03          0.7677E+19        0.480011E+15     1.607    163.151  0.021726
     0.7851E+03          0.7641E+19        0.476310E+15     1.600    161.744  0.021779
     0.7890E+03          0.7606E+19        0.472612E+15     1.593    160.350  0.021831
     0.7928E+03          0.7569E+19        0.468918E+15     1.586    158.970  0.021884
     0.7966E+03          0.7533E+19        0.465228E+15     1.579    157.603  0.021937
     0.8004E+03          0.7496E+19        0.461543E+15     1.573    156.249  0.021990
     0.8042E+03          0.7459E+19        0.457861E+15     1.566    154.907  0.022043
     0.8080E+03          0.7421E+19        0.454185E+15     1.559    153.579  0.022096
     0.8119E+03          0.7383E+19        0.450512E+15     1.552    152.263  0.022149
     0.8157E+03          0.7345E+19        0.446845E+15     1.546    150.959  0.022202
     0.8195E+03          0.7307E+19        0.443183E+15     1.539    149.668  0.022255
     0.8233E+03          0.7268E+19        0.439528E+15     1.533    148.388  0.022308
     0.8271E+03          0.7228E+19        0.435876E+15     1.526    147.120  0.022361
     0.8309E+03          0.7189E+19        0.432232E+15     1.519    145.864  0.022414
     0.8348E+03          0.7149E+19        0.428593E+15     1.513    144.620  0.022467
     0.8386E+03          0.7109E+19        0.424961E+15     1.507    143.386  0.022520
     0.8424E+03          0.7068E+19        0.421335E+15     1.500    142.164  0.022574
     0.8462E+03          0.7027E+19        0.417715E+15     1.494    140.953  0.022627
     0.8500E+03          0.6986E+19        0.414103E+15     1.487    139.753  0.022680
     0.8538E+03          0.6945E+19        0.410498E+15     1.481    138.563  0.022733
     0.8577E+03          0.6903E+19        0.406900E+15     1.475    137.384  0.022787
     0.8615E+03          0.6861E+19        0.403309E+15     1.468    136.216  0.022840
     0.8653E+03          0.6819E+19        0.399727E+15     1.462    135.058  0.022893
     0.8691E+03          0.6777E+19        0.396152E+15     1.456    133.910  0.022947
     0.8729E+03          0.6734E+19        0.392585E+15     1.450    132.772  0.023000
     0.8767E+03          0.6691E+19        0.389027E+15     1.444    131.644  0.023054
     0.8806E+03          0.6648E+19        0.385477E+15     1.437    130.526  0.023107
     0.8844E+03          0.6605E+19        0.381936E+15     1.431    129.417  0.023161
     0.8882E+03          0.6561E+19        0.378404E+15     1.425    128.318  0.023215
     0.8920E+03          0.6517E+19        0.374881E+15     1.419    127.228  0.023268
     0.8958E+03          0.6473E+19        0.371367E+15     1.413    126.148  0.023322
     0.8996E+03          0.6429E+19        0.367863E+15     1.407    125.077  0.023376
     0.9035E+03          0.6385E+19        0.364368E+15     1.401    124.014  0.023430
     0.9073E+03          0.6340E+19        0.360883E+15     1.395    122.961  0.023484
     0.9111E+03          0.6295E+19        0.357409E+15     1.389    121.917  0.023538
     0.9149E+03          0.6250E+19        0.353944E+15     1.383    120.881  0.023592
     0.9187E+03          0.6205E+19        0.350490E+15     1.377    119.854  0.023647
     0.9225E+03          0.6160E+19        0.347047E+15     1.371    118.835  0.023701
     0.9264E+03          0.6114E+19        0.343615E+15     1.366    117.825  0.023755
     0.9302E+03          0.6069E+19        0.340193E+15     1.360    116.823  0.023810
     0.9340E+03          0.6023E+19        0.336782E+15     1.354    115.829  0.023864
     0.9378E+03          0.5977E+19        0.333383E+15     1.348    114.844  0.023919
     0.9416E+03          0.5931E+19        0.329996E+15     1.343    113.866  0.023974
     0.9454E+03          0.5885E+19        0.326620E+15     1.337    112.896  0.024028
     0.9493E+03          0.5839E+19        0.323256E+15     1.331    111.935  0.024083
     0.9531E+03          0.5792E+19        0.319904E+15     1.325    110.980  0.024138
     0.9569E+03          0.5746E+19        0.316565E+15     1.320    110.034  0.024193
     0.9607E+03          0.5699E+19        0.313237E+15     1.314    109.095  0.024248
     0.9645E+03          0.5652E+19        0.309922E+15     1.308    108.163  0.024304
     0.9683E+03          0.5605E+19        0.306621E+15     1.303    107.239  0.024359
     0.9722E+03          0.5558E+19        0.303331E+15     1.297    106.321  0.024415
     0.9760E+03          0.5511E+19        0.300056E+15     1.292    105.412  0.024470
     0.9798E+03          0.5464E+19        0.296793E+15     1.286    104.509  0.024526
     0.9836E+03          0.5417E+19        0.293543E+15     1.281    103.613  0.024582
     0.9874E+03          0.5370E+19        0.290308E+15     1.275    102.724  0.024638
     0.9912E+03          0.5323E+19        0.287085E+15     1.270    101.842  0.024694
     0.9951E+03          0.5275E+19        0.283877E+15     1.264    100.967  0.024750
     0.9989E+03          0.5228E+19        0.280683E+15     1.259    100.098  0.024806
     0.1003E+04          0.5181E+19        0.277503E+15     1.253     99.236  0.024863
     0.1007E+04          0.5133E+19        0.274337E+15     1.248     98.381  0.024919
     0.1010E+04          0.5086E+19        0.271186E+15     1.242     97.532  0.024976
     0.1014E+04          0.5038E+19        0.268050E+15     1.237     96.689  0.025033
     0.1018E+04          0.4991E+19        0.264928E+15     1.232     95.853  0.025090
     0.1022E+04          0.4943E+19        0.261821E+15     1.226     95.023  0.025147
     0.1026E+04          0.4896E+19        0.258729E+15     1.221     94.199  0.025204
     0.1029E+04          0.4848E+19        0.255653E+15     1.216     93.381  0.025262
     0.1033E+04          0.4801E+19        0.252592E+15     1.210     92.570  0.025319
     0.1037E+04          0.4753E+19        0.249546E+15     1.205     91.764  0.025377
     0.1041E+04          0.4706E+19        0.246516E+15     1.200     90.964  0.025435
     0.1045E+04          0.4658E+19        0.243502E+15     1.195     90.170  0.025493
     0.1048E+04          0.4611E+19        0.240504E+15     1.189     89.382  0.025551
     0.1052E+04          0.4563E+19        0.237522E+15     1.184     88.599  0.025609
     0.1056E+04          0.4516E+19        0.234556E+15     1.179     87.823  0.025668
     0.1060E+04          0.4469E+19        0.231606E+15     1.174     87.051  0.025726
     0.1064E+04          0.4422E+19        0.228673E+15     1.169     86.286  0.025785
     0.1068E+04          0.4374E+19        0.225756E+15     1.163     85.525  0.025844
     0.1071E+04          0.4327E+19        0.222856E+15     1.158     84.771  0.025904
     0.1075E+04          0.4280E+19        0.219973E+15     1.153     84.021  0.025963
     0.1079E+04          0.4233E+19        0.217107E+15     1.148     83.277  0.026023
     0.1083E+04          0.4186E+19        0.214258E+15     1.143     82.538  0.026082
     0.1087E+04          0.4140E+19        0.211426E+15     1.138     81.805  0.026142
     0.1090E+04          0.4093E+19        0.208611E+15     1.133     81.076  0.026202
     0.1094E+04          0.4046E+19        0.205814E+15     1.128     80.353  0.026263
     0.1098E+04          0.4000E+19        0.203034E+15     1.123     79.634  0.026323
     0.1102E+04          0.3953E+19        0.200272E+15     1.118     78.921  0.026384
     0.1106E+04          0.3907E+19        0.197527E+15     1.113     78.212  0.026445
     0.1110E+04          0.3861E+19        0.194801E+15     1.108     77.508  0.026506
     0.1113E+04          0.3815E+19        0.192092E+15     1.103     76.810  0.026568
     0.1117E+04          0.3769E+19        0.189402E+15     1.098     76.115  0.026629
     0.1121E+04          0.3723E+19        0.186729E+15     1.093     75.426  0.026691
     0.1125E+04          0.3677E+19        0.184075E+15     1.088     74.741  0.026753
     0.1129E+04          0.3632E+19        0.181439E+15     1.083     74.061  0.026816
     0.1132E+04          0.3586E+19        0.178822E+15     1.078     73.386  0.026878
     0.1136E+04          0.3541E+19        0.176223E+15     1.073     72.715  0.026941
     0.1140E+04          0.3496E+19        0.173643E+15     1.068     72.049  0.027004
     0.1144E+04          0.3451E+19        0.171082E+15     1.063     71.387  0.027068
     0.1148E+04          0.3406E+19        0.168539E+15     1.058     70.729  0.027131
     0.1152E+04          0.3362E+19        0.166015E+15     1.053     70.076  0.027195
     0.1155E+04          0.3317E+19        0.163511E+15     1.048     69.427  0.027259
     0.1159E+04          0.3273E+19        0.161025E+15     1.043     68.782  0.027324
     0.1163E+04          0.3229E+19        0.158558E+15     1.039     68.142  0.027388
     0.1167E+04          0.3185E+19        0.156111E+15     1.034     67.506  0.027453
     0.1171E+04          0.3142E+19        0.153682E+15     1.029     66.874  0.027518
     0.1174E+04          0.3098E+19        0.151274E+15     1.024     66.246  0.027584
     0.1178E+04          0.3055E+19        0.148884E+15     1.019     65.622  0.027650
     0.1182E+04          0.3012E+19        0.146514E+15     1.014     65.002  0.027716
     0.1186E+04          0.2969E+19        0.144164E+15     1.010     64.386  0.027782
     0.1190E+04          0.2926E+19        0.141833E+15     1.005     63.774  0.027849

 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    1.3000
      maximum K                            2.5000
      order of spectrum k                  5.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.1563E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.7544E-04
      sigmayp (rad) K = 0              0.1689E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.7233E+03          0.6210E+19        0.408238E+15     2.500    394.829  0.016603
     0.7278E+03          0.6205E+19        0.406229E+15     2.490    391.612  0.016648
     0.7323E+03          0.6199E+19        0.404216E+15     2.480    388.435  0.016693
     0.7368E+03          0.6193E+19        0.402201E+15     2.470    385.297  0.016738
     0.7413E+03          0.6186E+19        0.400184E+15     2.460    382.196  0.016783
     0.7458E+03          0.6179E+19        0.398164E+15     2.450    379.134  0.016828
     0.7503E+03          0.6172E+19        0.396142E+15     2.440    376.107  0.016872
     0.7548E+03          0.6164E+19        0.394117E+15     2.430    373.117  0.016916
     0.7593E+03          0.6156E+19        0.392091E+15     2.421    370.162  0.016960
     0.7638E+03          0.6148E+19        0.390062E+15     2.411    367.242  0.017004
     0.7683E+03          0.6139E+19        0.388032E+15     2.401    364.356  0.017048
     0.7728E+03          0.6130E+19        0.386000E+15     2.392    361.504  0.017092
     0.7772E+03          0.6120E+19        0.383966E+15     2.383    358.684  0.017136
     0.7817E+03          0.6110E+19        0.381931E+15     2.373    355.897  0.017179
     0.7862E+03          0.6100E+19        0.379894E+15     2.364    353.142  0.017222
     0.7907E+03          0.6089E+19        0.377856E+15     2.355    350.418  0.017266
     0.7952E+03          0.6079E+19        0.375817E+15     2.346    347.725  0.017309
     0.7997E+03          0.6067E+19        0.373777E+15     2.337    345.062  0.017352
     0.8042E+03          0.6056E+19        0.371736E+15     2.328    342.429  0.017395
     0.8087E+03          0.6044E+19        0.369694E+15     2.319    339.825  0.017438
     0.8132E+03          0.6032E+19        0.367652E+15     2.310    337.250  0.017480
     0.8177E+03          0.6019E+19        0.365609E+15     2.302    334.703  0.017523
     0.8222E+03          0.6006E+19        0.363566E+15     2.293    332.184  0.017565
     0.8267E+03          0.5993E+19        0.361522E+15     2.284    329.692  0.017607
     0.8312E+03          0.5980E+19        0.359478E+15     2.276    327.228  0.017650
     0.8356E+03          0.5966E+19        0.357434E+15     2.267    324.789  0.017692
     0.8401E+03          0.5952E+19        0.355389E+15     2.259    322.377  0.017734
     0.8446E+03          0.5938E+19        0.353345E+15     2.251    319.991  0.017776
     0.8491E+03          0.5923E+19        0.351302E+15     2.242    317.630  0.017817
     0.8536E+03          0.5908E+19        0.349258E+15     2.234    315.293  0.017859
     0.8581E+03          0.5893E+19        0.347215E+15     2.226    312.981  0.017901
     0.8626E+03          0.5877E+19        0.345172E+15     2.218    310.694  0.017942
     0.8671E+03          0.5861E+19        0.343131E+15     2.210    308.429  0.017984
     0.8716E+03          0.5845E+19        0.341090E+15     2.201    306.189  0.018025
     0.8761E+03          0.5829E+19        0.339049E+15     2.193    303.971  0.018066
     0.8806E+03          0.5812E+19        0.337010E+15     2.186    301.776  0.018107
     0.8851E+03          0.5795E+19        0.334972E+15     2.178    299.603  0.018148
     0.8895E+03          0.5778E+19        0.332935E+15     2.170    297.452  0.018189
     0.8940E+03          0.5761E+19        0.330899E+15     2.162    295.323  0.018230
     0.8985E+03          0.5743E+19        0.328865E+15     2.154    293.215  0.018271
     0.9030E+03          0.5725E+19        0.326832E+15     2.147    291.127  0.018312
     0.9075E+03          0.5707E+19        0.324801E+15     2.139    289.061  0.018352
     0.9120E+03          0.5689E+19        0.322771E+15     2.131    287.015  0.018393
     0.9165E+03          0.5670E+19        0.320744E+15     2.124    284.989  0.018433
     0.9210E+03          0.5651E+19        0.318718E+15     2.116    282.983  0.018474
     0.9255E+03          0.5632E+19        0.316694E+15     2.109    280.996  0.018514
     0.9300E+03          0.5613E+19        0.314673E+15     2.102    279.028  0.018554
     0.9345E+03          0.5593E+19        0.312653E+15     2.094    277.080  0.018594
     0.9390E+03          0.5573E+19        0.310636E+15     2.087    275.150  0.018635
     0.9434E+03          0.5553E+19        0.308621E+15     2.080    273.238  0.018675
     0.9479E+03          0.5533E+19        0.306609E+15     2.072    271.345  0.018714
     0.9524E+03          0.5513E+19        0.304600E+15     2.065    269.469  0.018754
     0.9569E+03          0.5492E+19        0.302593E+15     2.058    267.611  0.018794
     0.9614E+03          0.5471E+19        0.300588E+15     2.051    265.770  0.018834
     0.9659E+03          0.5450E+19        0.298587E+15     2.044    263.947  0.018873
     0.9704E+03          0.5429E+19        0.296589E+15     2.037    262.140  0.018913
     0.9749E+03          0.5407E+19        0.294594E+15     2.030    260.350  0.018953
     0.9794E+03          0.5386E+19        0.292602E+15     2.023    258.576  0.018992
     0.9839E+03          0.5364E+19        0.290613E+15     2.016    256.819  0.019032
     0.9884E+03          0.5342E+19        0.288628E+15     2.009    255.078  0.019071
     0.9929E+03          0.5320E+19        0.286646E+15     2.003    253.352  0.019110
     0.9974E+03          0.5297E+19        0.284667E+15     1.996    251.642  0.019149
     0.1002E+04          0.5275E+19        0.282693E+15     1.989    249.947  0.019189
     0.1006E+04          0.5252E+19        0.280721E+15     1.982    248.267  0.019228
     0.1011E+04          0.5229E+19        0.278754E+15     1.976    246.603  0.019267
     0.1015E+04          0.5206E+19        0.276791E+15     1.969    244.952  0.019306
     0.1020E+04          0.5183E+19        0.274831E+15     1.962    243.317  0.019345
     0.1024E+04          0.5160E+19        0.272876E+15     1.956    241.696  0.019384
     0.1029E+04          0.5136E+19        0.270925E+15     1.949    240.089  0.019422
     0.1033E+04          0.5112E+19        0.268978E+15     1.943    238.496  0.019461
     0.1038E+04          0.5088E+19        0.267035E+15     1.936    236.917  0.019500
     0.1042E+04          0.5064E+19        0.265097E+15     1.930    235.351  0.019539
     0.1047E+04          0.5040E+19        0.263163E+15     1.924    233.799  0.019577
     0.1051E+04          0.5016E+19        0.261234E+15     1.917    232.260  0.019616
     0.1056E+04          0.4992E+19        0.259309E+15     1.911    230.734  0.019654
     0.1060E+04          0.4967E+19        0.257389E+15     1.905    229.221  0.019693
     0.1065E+04          0.4943E+19        0.255474E+15     1.899    227.721  0.019731
     0.1069E+04          0.4918E+19        0.253564E+15     1.892    226.234  0.019770
     0.1074E+04          0.4893E+19        0.251659E+15     1.886    224.759  0.019808
     0.1078E+04          0.4868E+19        0.249759E+15     1.880    223.296  0.019847
     0.1083E+04          0.4843E+19        0.247863E+15     1.874    221.845  0.019885
     0.1087E+04          0.4817E+19        0.245973E+15     1.868    220.407  0.019923
     0.1092E+04          0.4792E+19        0.244089E+15     1.862    218.980  0.019961
     0.1096E+04          0.4767E+19        0.242209E+15     1.856    217.565  0.020000
     0.1101E+04          0.4741E+19        0.240335E+15     1.850    216.161  0.020038
     0.1105E+04          0.4715E+19        0.238467E+15     1.844    214.769  0.020076
     0.1110E+04          0.4690E+19        0.236604E+15     1.838    213.388  0.020114
     0.1114E+04          0.4664E+19        0.234746E+15     1.832    212.018  0.020152
     0.1119E+04          0.4638E+19        0.232895E+15     1.826    210.660  0.020190
     0.1123E+04          0.4612E+19        0.231049E+15     1.820    209.312  0.020228
     0.1128E+04          0.4586E+19        0.229209E+15     1.814    207.975  0.020266
     0.1132E+04          0.4559E+19        0.227375E+15     1.809    206.648  0.020304
     0.1137E+04          0.4533E+19        0.225546E+15     1.803    205.332  0.020342
     0.1141E+04          0.4507E+19        0.223724E+15     1.797    204.026  0.020380
     0.1146E+04          0.4480E+19        0.221908E+15     1.791    202.731  0.020418
     0.1150E+04          0.4454E+19        0.220098E+15     1.786    201.445  0.020455
     0.1155E+04          0.4427E+19        0.218294E+15     1.780    200.170  0.020493
     0.1159E+04          0.4401E+19        0.216497E+15     1.774    198.905  0.020531
     0.1164E+04          0.4374E+19        0.214705E+15     1.769    197.649  0.020569
     0.1168E+04          0.4347E+19        0.212921E+15     1.763    196.403  0.020606
     0.1173E+04          0.4320E+19        0.211142E+15     1.758    195.167  0.020644
     0.1177E+04          0.4294E+19        0.209370E+15     1.752    193.939  0.020682
     0.1182E+04          0.4267E+19        0.207605E+15     1.747    192.722  0.020719
     0.1186E+04          0.4240E+19        0.205846E+15     1.741    191.513  0.020757
     0.1191E+04          0.4213E+19        0.204095E+15     1.736    190.314  0.020795
     0.1195E+04          0.4186E+19        0.202349E+15     1.730    189.124  0.020832
     0.1199E+04          0.4159E+19        0.200611E+15     1.725    187.942  0.020870
     0.1204E+04          0.4131E+19        0.198879E+15     1.719    186.770  0.020907
     0.1208E+04          0.4104E+19        0.197155E+15     1.714    185.606  0.020945
     0.1213E+04          0.4077E+19        0.195437E+15     1.709    184.450  0.020982
     0.1217E+04          0.4050E+19        0.193726E+15     1.703    183.304  0.021020
     0.1222E+04          0.4023E+19        0.192023E+15     1.698    182.165  0.021057
     0.1226E+04          0.3995E+19        0.190326E+15     1.693    181.035  0.021095
     0.1231E+04          0.3968E+19        0.188637E+15     1.688    179.914  0.021132
     0.1235E+04          0.3941E+19        0.186954E+15     1.682    178.800  0.021170
     0.1240E+04          0.3914E+19        0.185279E+15     1.677    177.695  0.021207
     0.1244E+04          0.3886E+19        0.183612E+15     1.672    176.597  0.021245
     0.1249E+04          0.3859E+19        0.181952E+15     1.667    175.508  0.021282
     0.1253E+04          0.3832E+19        0.180299E+15     1.662    174.426  0.021319
     0.1258E+04          0.3804E+19        0.178653E+15     1.656    173.352  0.021357
     0.1262E+04          0.3777E+19        0.177015E+15     1.651    172.285  0.021394
     0.1267E+04          0.3750E+19        0.175385E+15     1.646    171.226  0.021432
     0.1271E+04          0.3722E+19        0.173762E+15     1.641    170.175  0.021469
     0.1276E+04          0.3695E+19        0.172146E+15     1.636    169.131  0.021506
     0.1280E+04          0.3668E+19        0.170539E+15     1.631    168.094  0.021544
     0.1285E+04          0.3641E+19        0.168939E+15     1.626    167.065  0.021581
     0.1289E+04          0.3613E+19        0.167346E+15     1.621    166.042  0.021619
     0.1294E+04          0.3586E+19        0.165762E+15     1.616    165.027  0.021656
     0.1298E+04          0.3559E+19        0.164185E+15     1.611    164.019  0.021693
     0.1303E+04          0.3532E+19        0.162616E+15     1.606    163.018  0.021731
     0.1307E+04          0.3504E+19        0.161055E+15     1.601    162.024  0.021768
     0.1312E+04          0.3477E+19        0.159502E+15     1.597    161.036  0.021805
     0.1316E+04          0.3450E+19        0.157957E+15     1.592    160.055  0.021843
     0.1321E+04          0.3423E+19        0.156419E+15     1.587    159.081  0.021880
     0.1325E+04          0.3396E+19        0.154890E+15     1.582    158.114  0.021917
     0.1330E+04          0.3369E+19        0.153369E+15     1.577    157.153  0.021955
     0.1334E+04          0.3342E+19        0.151856E+15     1.572    156.199  0.021992
     0.1339E+04          0.3315E+19        0.150351E+15     1.568    155.250  0.022030
     0.1343E+04          0.3288E+19        0.148854E+15     1.563    154.309  0.022067
     0.1348E+04          0.3261E+19        0.147365E+15     1.558    153.373  0.022104
     0.1352E+04          0.3234E+19        0.145884E+15     1.553    152.444  0.022142
     0.1357E+04          0.3207E+19        0.144412E+15     1.549    151.521  0.022179
     0.1361E+04          0.3181E+19        0.142947E+15     1.544    150.604  0.022217
     0.1366E+04          0.3154E+19        0.141491E+15     1.539    149.693  0.022254
     0.1370E+04          0.3127E+19        0.140044E+15     1.535    148.788  0.022291
     0.1375E+04          0.3101E+19        0.138604E+15     1.530    147.889  0.022329
     0.1379E+04          0.3074E+19        0.137173E+15     1.525    146.996  0.022366
     0.1384E+04          0.3048E+19        0.135750E+15     1.521    146.108  0.022404
     0.1388E+04          0.3021E+19        0.134336E+15     1.516    145.227  0.022441
     0.1393E+04          0.2995E+19        0.132930E+15     1.512    144.351  0.022479
     0.1397E+04          0.2969E+19        0.131532E+15     1.507    143.480  0.022516
     0.1402E+04          0.2943E+19        0.130143E+15     1.502    142.616  0.022554
     0.1406E+04          0.2916E+19        0.128762E+15     1.498    141.756  0.022591
     0.1411E+04          0.2890E+19        0.127389E+15     1.493    140.903  0.022629
     0.1415E+04          0.2864E+19        0.126025E+15     1.489    140.054  0.022667
     0.1420E+04          0.2838E+19        0.124670E+15     1.484    139.211  0.022704
     0.1424E+04          0.2813E+19        0.123323E+15     1.480    138.374  0.022742
     0.1429E+04          0.2787E+19        0.121984E+15     1.475    137.541  0.022779
     0.1433E+04          0.2761E+19        0.120654E+15     1.471    136.714  0.022817
     0.1438E+04          0.2735E+19        0.119333E+15     1.467    135.892  0.022855
     0.1442E+04          0.2710E+19        0.118020E+15     1.462    135.075  0.022893
     0.1447E+04          0.2684E+19        0.116716E+15     1.458    134.263  0.022930
     0.1451E+04          0.2659E+19        0.115420E+15     1.453    133.457  0.022968
     0.1456E+04          0.2634E+19        0.114132E+15     1.449    132.655  0.023006
     0.1460E+04          0.2609E+19        0.112854E+15     1.445    131.858  0.023044
     0.1465E+04          0.2584E+19        0.111584E+15     1.440    131.066  0.023081
     0.1469E+04          0.2559E+19        0.110322E+15     1.436    130.279  0.023119
     0.1473E+04          0.2534E+19        0.109069E+15     1.432    129.496  0.023157
     0.1478E+04          0.2509E+19        0.107825E+15     1.427    128.719  0.023195
     0.1482E+04          0.2484E+19        0.106589E+15     1.423    127.946  0.023233
     0.1487E+04          0.2460E+19        0.105362E+15     1.419    127.178  0.023271
     0.1491E+04          0.2435E+19        0.104144E+15     1.415    126.414  0.023309
     0.1496E+04          0.2411E+19        0.102934E+15     1.410    125.655  0.023347
     0.1500E+04          0.2386E+19        0.101732E+15     1.406    124.901  0.023385
     0.1505E+04          0.2362E+19        0.100540E+15     1.402    124.151  0.023423
     0.1509E+04          0.2338E+19        0.993556E+14     1.398    123.405  0.023461
     0.1514E+04          0.2314E+19        0.981802E+14     1.393    122.664  0.023499
     0.1518E+04          0.2290E+19        0.970133E+14     1.389    121.928  0.023538
     0.1523E+04          0.2266E+19        0.958552E+14     1.385    121.195  0.023576
     0.1527E+04          0.2243E+19        0.947055E+14     1.381    120.467  0.023614
     0.1532E+04          0.2219E+19        0.935645E+14     1.377    119.743  0.023652
     0.1536E+04          0.2196E+19        0.924322E+14     1.373    119.024  0.023691
     0.1541E+04          0.2172E+19        0.913083E+14     1.368    118.309  0.023729
     0.1545E+04          0.2149E+19        0.901932E+14     1.364    117.597  0.023768
     0.1550E+04          0.2126E+19        0.890866E+14     1.360    116.890  0.023806
     0.1554E+04          0.2103E+19        0.879885E+14     1.356    116.187  0.023844
     0.1559E+04          0.2080E+19        0.868990E+14     1.352    115.489  0.023883
     0.1563E+04          0.2057E+19        0.858181E+14     1.348    114.794  0.023922
     0.1568E+04          0.2035E+19        0.847458E+14     1.344    114.103  0.023960
     0.1572E+04          0.2012E+19        0.836819E+14     1.340    113.416  0.023999
     0.1577E+04          0.1990E+19        0.826266E+14     1.336    112.733  0.024038
     0.1581E+04          0.1968E+19        0.815800E+14     1.332    112.054  0.024076
     0.1586E+04          0.1946E+19        0.805417E+14     1.328    111.378  0.024115
     0.1590E+04          0.1924E+19        0.795119E+14     1.324    110.707  0.024154
     0.1595E+04          0.1902E+19        0.784907E+14     1.320    110.039  0.024193
