Energy1[eV]	Photons1	Energy3[eV]	Photons3	Energy5[eV]	Photons5
474.200	7.446730E+14	1083.000	2.142580E+14	1487.000	1.053620E+14
476.200	7.342700E+14	1087.000	2.114260E+14	1491.000	1.041440E+14
478.100	7.238210E+14	1090.000	2.086110E+14	1496.000	1.029340E+14
480.000	7.133270E+14	1094.000	2.058140E+14	1500.000	1.017320E+14
482.000	7.027880E+14	1098.000	2.030340E+14	1505.000	1.005400E+14
483.900	6.922050E+14	1102.000	2.002720E+14	1509.000	9.935560E+13
485.900	6.815760E+14	1106.000	1.975270E+14	1514.000	9.818020E+13
487.800	6.709030E+14	1110.000	1.948010E+14	1518.000	9.701330E+13
489.700	6.601840E+14	1113.000	1.920920E+14	1523.000	9.585520E+13
491.700	6.494210E+14	1117.000	1.894020E+14	1527.000	9.470550E+13
493.600	6.386130E+14	1121.000	1.867290E+14	1532.000	9.356450E+13
495.600	6.277600E+14	1125.000	1.840750E+14	1536.000	9.243220E+13
497.500	6.168630E+14	1129.000	1.814390E+14	1541.000	9.130830E+13
499.400	6.059200E+14	1132.000	1.788220E+14	1545.000	9.019320E+13
501.400	5.949330E+14	1136.000	1.762230E+14	1550.000	8.908660E+13
503.300	5.839010E+14	1140.000	1.736430E+14	1554.000	8.798850E+13
505.300	5.728240E+14	1144.000	1.710820E+14	1559.000	8.689900E+13
507.200	5.617030E+14	1148.000	1.685390E+14	1563.000	8.581810E+13
509.100	5.505370E+14	1152.000	1.660150E+14	1568.000	8.474580E+13
511.100	5.393270E+14	1155.000	1.635110E+14	1572.000	8.368190E+13
513.000	5.280710E+14	1159.000	1.610250E+14	1577.000	8.262660E+13
514.900	5.167720E+14	1163.000	1.585580E+14	1581.000	8.158000E+13
516.900	5.054270E+14	1167.000	1.561110E+14	1586.000	8.054170E+13
518.800	4.940390E+14	1171.000	1.536820E+14	1590.000	7.951190E+13
520.800	4.826060E+14	1174.000	1.512740E+14	1595.000	7.849070E+13
522.700	4.711280E+14	1178.000	1.488840E+14	1599.000	7.747780E+13
524.600	4.596060E+14	1182.000	1.465140E+14	1604.000	7.647350E+13
526.600	4.480400E+14	1186.000	1.441640E+14	1608.000	7.547770E+13
528.500	4.364300E+14	1190.000	1.418330E+14	1613.000	7.449020E+13
