,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,100.0,0.0997609853576335,0.4812968661999365,0.1116407510767077,-0.0001192696442159,-3.808357747867827e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0024043571370105,100.24043571370105,1382085055489796.0,775555239095119.2,532601492651465.0,386049975638034.0,0.0057050579571489,0.0032013858846336,0.0021985060699203,0.0015935614647033,0.0027451320033448,0.0015404272687452,0.0010578664436745,0.0007667821447058
1,1,2.25,0.02,105,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,105.0,0.1012664150276519,0.4975196840140999,0.1111300088999903,-0.0003688735220498,9.559196364507392e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.05073110688363,105.07311068836302,1448716528237942.5,812945403740330.0,558278654633837.9,404661766807451.2,0.0060281185166405,0.0033826708992305,0.0023230009666119,0.0016838001375158,0.0030590694129667,0.0017165928396071,0.0011788456354396,0.0008544724998363
2,2,2.25,0.02,110,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,110.0,0.1098107967815465,0.4783036000736157,0.1061360214151299,-0.0003163612449044,-4.11699219094607e-06,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0017249083486188,100.17249083486188,1381148251883825.2,775029552964784.8,532240485203421.6,385788303602853.44,0.0062449465054054,0.0035043436443349,0.0024065579879443,0.0017443654691846,0.0034540835882366,0.0019382545325185,0.0013310686397558,0.0009648095678292
3,3,2.25,0.02,115,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,115.0,0.1147845466865276,0.4716053945640649,0.1046660110271082,-0.0003911512967266,-3.7683062473888135e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.00188141314626,100.188141314626,1381364036003669.2,775150639944195.8,532323639958523.6,385848577356540.3,0.0064787619857254,0.0036355488983266,0.0024966613237186,0.0018096758204707,0.0037625256516612,0.0021113363969785,0.0014499301401563,0.0010509649390909
4,4,2.25,0.02,120,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,120.0,0.11990890539128,0.4743791582748168,0.1000345345523355,0.0001989346668185,2.920835566938987e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.000759920383685,100.07599203836854,1379817755427413.5,774282946601255.4,531727763937941.2,385416663577846.4,0.0066992127945357,0.0037592545842079,0.002581614438118,0.0018712530939044,0.0041314555397408,0.0023183609259119,0.0015921012809948,0.0011540160311633
5,5,2.25,0.02,125,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,125.0,0.1248442026833614,0.471328244716979,0.1049220837822832,-0.0001597430833725,-1.82409673925762e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0012482448684472,100.12482448684472,1380491042577268.8,774660760813493.2,531987222456482.8,385604729056715.9,0.0069753092356316,0.0039141857445854,0.0026880112015148,0.0019483735460326,0.0043426373875576,0.0024368653463349,0.0016734825005669,0.0012130042583213
6,6,2.25,0.02,130,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,130.0,0.1297377002439332,0.4961781273448002,0.0994238804709456,-2.7901610575521914e-05,1.3966136434546918e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0020240336584052,100.20240336584052,1381560676887199.2,775260984721339.9,532399417659518.4,385903503938659.6,0.007244270488467,0.0040651130033105,0.002791658342591,0.0020235009665139,0.0045765716125563,0.0025681372337494,0.0017636315958933,0.0012783477778847
7,7,2.25,0.02,135,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,135.0,0.1348825811409568,0.4805805997388802,0.0976588880947031,1.1644126179655482e-05,1.925928939253544e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.000870652937038,100.08706529370382,1379970430150000.0,774368619824121.8,531786598801118.8,385459309341723.9,0.0075318428747682,0.0042264838754788,0.0029024774861604,0.0021038269292937,0.0047880691555583,0.0026868188061167,0.001845134472035,0.0013374241863873
8,8,2.25,0.02,140,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,140.0,0.139738275047398,0.4711497450200385,0.09925797974594,0.0004598567835706,4.493365683771069e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0018767695083632,100.18767695083632,1381357633495045.8,775147047184773.0,532321172682261.5,385846788980138.9,0.0078550249312737,0.0044078370679676,0.0030270192030462,0.0021940995391774,0.0050200617508701,0.0028170011505468,0.0019345353392655,0.0014022253615484
9,9,2.25,0.02,145,1,100000.0,226.5,18.76,5.23,,100000.0,100.0,145.0,0.1448145366789617,0.4887592683042456,0.0981267046940774,0.0001767513435106,-5.162975431296686e-05,1377904090909091.2,773695000000000.0,531324000000000.0,385124000000000.0,1.0012826255314242,100.1282625531424,1379671425875944.5,774687360960535.2,532005489727858.4,385617969875164.1,0.0081339733588488,0.0045672369792605,0.0031364848173617,0.0022734444120754,0.0052284041667327,0.0029357559705853,0.0020160885172001,0.0014613382307184
