,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,1053.0,1.053,100.0,0.0066494122335143,0.0532829322352739,0.0059520073476788,-2.858884708114156e-05,-4.942060489618014e-05,14518448100000.0,8147008350000.0,5594841720000.0,4055355720000.0,15.038923214292598,15.835986144650104,218341826166592.25,122522233001850.62,84140395023200.73,60988183279722.28,6.007426028877866e-05,3.37105933651926e-05,2.3150268916262343e-05,1.6780202223326296e-05,2.89062399952216e-05,1.6220699139887707e-05,1.113933365189344e-05,8.074215983753434e-06
1,1,2.25,0.02,105,1,100000.0,,1074.0,1.0739999999999998,105.0,0.0053527713826611,0.0548894068003047,0.0063691302887249,0.00043935745107,7.246801203436645e-05,14807989799999.996,8309484299999.998,5706419759999.999,4136231759999.999,19.61600682968077,21.067591335077147,290473629050643.1,162998900779925.12,111937168985185.3,81136350453302.5,6.474199286872075e-05,3.6329885457737626e-05,2.494903038141256e-05,1.808401347692016e-05,3.2854405495262525e-05,1.8436207097381823e-05,1.2660802124621846e-05,9.177034648242624e-06
2,2,2.25,0.02,110,1,100000.0,,1133.0,1.133,110.0,0.0064210090314134,0.0441410479720202,0.0066005798882705,0.001118414884245,-5.130828894663409e-05,15621464100000.0,8765964350000.0,6019900920000.0,4363454920000.0,17.131263865515322,19.40972195962886,267615423462774.8,150172048315550.5,103128511104778.44,74751497599801.06,7.07552439062438e-05,3.970421349031477e-05,2.726630200340961e-05,1.97636607658625e-05,3.913476705472091e-05,2.196042385343625e-05,1.508100768843428e-05,1.0931292403506269e-05
3,3,2.25,0.02,115,1,100000.0,,1175.0,1.175,115.0,0.0073083445867609,0.0641222686477715,0.0067946874033319,0.0012570850299072,-9.62922178847978e-05,16200547500000.0,9090916250000.0,6243057000000.0,4525207000000.0,15.735437572049015,18.489139147157594,254922703819264.8,143049545124600.97,98237233682243.6,71206112249099.22,7.612545333227407e-05,4.2717699555338304e-05,2.933577055369437e-05,2.126369089053194e-05,4.4209676407020926e-05,2.4808202664498106e-05,1.703667914683666e-05,1.2348838034318651e-05
4,4,2.25,0.02,120,1,100000.0,,1136.0,1.136,120.0,0.0078253576020017,0.0547030451441436,0.0063929865554581,0.0018960620343043,-4.631999423757071e-05,15662827200000.002,8789175200000.002,6035840640000.001,4375008640000.001,15.33476246111788,17.420290155829914,240185734581536.1,134779913921148.23,92558182467561.72,67089718259738.4,7.61030573459271e-05,4.270513207660239e-05,2.932714001702052e-05,2.1257435146756044e-05,4.693333493145555e-05,2.633658011836093e-05,1.8086270552101284e-05,1.3109622114016036e-05
5,5,2.25,0.02,125,1,100000.0,,1150.0,1.15,125.0,0.0084681777053248,0.0522562244992261,0.0068151725187573,0.0005003955701746,-0.000124272141682,15855855000000.0,8897492500000.0,6110226000000.0,4428926000000.0,14.761145118789791,16.975316886608258,234050576637488.72,131337177985843.78,90193932694602.48,65376019406381.2,8.021605620976469e-05,4.501313606273265e-05,3.091212881742206e-05,2.24062957793754e-05,4.9940329956912846e-05,2.8023951482853328e-05,1.9245048756519766e-05,1.3949548970695694e-05
6,6,2.25,0.02,130,1,100000.0,,1119.0,1.119,130.0,0.009451030814489,0.0518138511643658,0.0078545289709247,0.0010714466026274,7.902189107223386e-05,15428436300000.0,8657647050000.0,5945515560000.0,4309537560000.0,13.755113336494611,15.391971823537473,212219889911387.6,119086916400118.23,81781240371692.25,59278177565680.46,8.106338676594701e-05,4.548861450704568e-05,3.123865685359417e-05,2.264297581529086e-05,5.121183634450504e-05,2.873745564565652e-05,1.973503755804652e-05,1.4304711634530167e-05
7,7,2.25,0.02,135,1,100000.0,,1075.0,1.075,135.0,0.0089470196526804,0.0598735150378787,0.0072420185546378,0.0004115509677221,3.6402592656150645e-05,14821777499999.998,8317221249999.999,5711733000000.0,4140083000000.0,15.088823456373628,16.220485215601652,223643184007150.88,125497083088849.2,86183330866943.33,62468981481733.695,8.09673109037602e-05,4.54347016613973e-05,3.1201632976224815e-05,2.2616139489907484e-05,5.1471743422252085e-05,2.8883302165755942e-05,1.9835195574377645e-05,1.4377310003663708e-05
8,8,2.25,0.02,140,1,100000.0,,1029.0,1.029,140.0,0.0084766835870198,0.0547528959187049,0.0062425914540351,0.0014275514766596,-8.800336621290913e-06,14187543300000.0,7961321550000.0,5467323960000.0,3962925960000.0,16.515893104041243,16.994854004058443,234319948551756.53,131488335686699.94,90297738088523.48,65451261534590.02,8.082820654280759e-05,4.535664342938816e-05,3.11480275993463e-05,2.2577284258137493e-05,5.165643541645428e-05,2.898694183912733e-05,1.9906368641043946e-05,1.4428898970333368e-05
9,9,2.25,0.02,145,1,100000.0,,927.0,0.927,145.0,0.0096676107933433,0.0444370056491619,0.0051890356285308,0.0027009388144874,3.759643738102508e-05,12773170922727.271,7172152650000.0,4925373480000.0,3570099480000.0,14.99853511891897,13.903642055237883,191578852664479.6,107571783399272.77,73873387113572.14,53546262428814.35,7.540193303652846e-05,4.233828679774623e-05,2.907521425694326e-05,2.107482969994018e-05,4.846730662561289e-05,2.721445784732604e-05,1.8689140554446727e-05,1.3546605398759968e-05
10,10,2.25,0.02,150,1,100000.0,,911.0,0.911,150.0,0.0101402013580695,0.0527195431322678,0.0067363611922426,0.0016578438848276,4.85842836441636e-05,12506521898913.045,7048361450000.0,4840361640000.0,3508479640000.0,14.792605659712049,13.476063755997677,185004046625173.7,104263631476966.22,71601560990917.08,51899555779648.49,7.632255638804617e-05,4.3013474774126416e-05,2.953888996424682e-05,2.1410919624542824e-05,4.954412237320564e-05,2.792182231254357e-05,1.917491300627496e-05,1.3898711890727008e-05
