,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,2,100000.0,17.15,2.43,0.81,1.17577026432641,,4.6,7.466305029754541e-07,500.0,0.0271948430911016,0.0216397758158316,0.0054605452068465,-0.0011370043712464,-0.000114328999312,10751479.242846545,4741103.693894134,2493745.8799380166,1373800.1254748355,769029.4180647179,434538.9527317143,20.765490062764087,1.4141803073536933e-05,203641964.25893185,89800449.5169595,47233622.26561336,26020917.65530796,14566057.165743038,8230529.388798495,2.3329757345163314e-10,1.0287774940401882e-10,5.411207606447604e-11,2.981024549659757e-11,1.6687256989943205e-11,9.429110260336842e-12,1.3045631883319588e-10,5.7527612818805136e-11,3.0258618396032937e-11,1.6669418517575028e-11,9.331250583207763e-12,5.2726095528416665e-12
1,1,0.02,502,2,100000.0,17.15,2.43,0.81,1.17662360156545,,,,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.02,504,2,100000.0,17.15,2.43,0.81,1.17747901516844,,5.1,6.151734564044006e-07,504.0,0.021271411877521,0.0203238227222692,0.006324194874864,0.0016769859254764,-0.000205966628046,8858497.772223368,3906351.448167945,2054679.3443906985,1131919.1597840972,633628.6600965328,358030.95162736124,32.463909233802,1.7668418808145913e-05,254425230.8373011,112194459.43172656,59012518.81920733,32509890.60698848,18198471.37239029,10283019.74634092,1.9378078486313556e-10,8.545194332506322e-11,4.4946376489088366e-11,2.476087806584509e-11,1.3860708917293716e-11,7.831973388218394e-12,1.0847823763534366e-10,4.7835889512807795e-11,2.5160924562642208e-11,1.3861108142293915e-11,7.759207275305834e-12,4.384328771095141e-12
3,3,0.02,506,2,100000.0,17.15,2.43,0.81,1.17837189466193,,5.7,5.727376481750142e-07,506.0,0.0329846613444346,0.0176213084260706,0.0061741719680283,-0.0024125191135486,-0.0005045702864989,8247422.133720202,3636884.065911339,1912943.7449045472,1053837.272642026,589919.7776202644,333333.31123785814,15.865772510766778,8.913438131049579e-06,128353509.08711392,56600332.13216482,29770883.3577056,16400726.161131227,9180841.274981068,5187620.992270854,1.8112935250555243e-10,7.987301308404569e-11,4.20119470394823e-11,2.3144306153487254e-11,1.2955780075049932e-11,7.320644663766078e-12,1.0146292694452908e-10,4.4742332367899984e-11,2.3533762221856046e-11,1.2964707331800939e-11,7.257417691171177e-12,4.100793297341383e-12
4,4,0.02,508,2,100000.0,17.15,2.43,0.81,1.1791362468331,,4.7,3.87641150627669e-07,508.0,0.0317356457260221,0.0196847455318493,0.0047873391999324,-0.0014753675521279,0.0004215605805122,5582032.569038433,2461521.3064856986,1294721.443096415,713259.7171549109,399270.38514649903,225607.14966530332,17.289093510193677,6.7141100851860185e-06,96683185.22667868,42634599.040931225,22425127.684521303,12353962.556742275,6915533.3877416,3907612.069578263,1.23085879759959e-10,5.4277453921926367e-11,2.8549085999879377e-11,1.5727640191550316e-11,8.804059455052623e-12,4.974720973631676e-12,6.899179826824964e-11,3.042346659745732e-11,1.6002264320552347e-11,8.815618667609676e-12,4.934830015020634e-12,2.7884185133417563e-12
5,5,0.02,510,2,100000.0,17.15,2.43,0.81,1.18000708146274,,5.4,3.4815631660908725e-07,510.0,0.0321169843367727,0.0241483959329402,0.0052173005101189,0.0002807637860778,0.0001517993889742,5013450.959170857,2210792.610467704,1162842.0974743513,640607.6225607205,358601.0061073599,202626.9762664888,17.118816007731965,5.410855724817926e-06,77916322.43737812,34358933.852593824,18072258.12089187,9955974.533664985,5573181.396562463,3149118.031844033,1.1100825465488009e-10,4.895155674017283e-11,2.574774795467358e-11,1.4184388094790235e-11,7.940173770453229e-12,4.486583625634738e-12,6.225399230582123e-11,2.7452281329303107e-11,1.4439467659822428e-11,7.954676794632713e-12,4.452889727430269e-12,2.5160988556936085e-12
6,6,0.02,512,2,100000.0,17.15,2.43,0.81,1.18089388467086,,,,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.02,514,2,100000.0,17.15,2.43,0.81,1.18169303123046,,5.3,2.1218483876263865e-07,514.0,0.0292025365536346,0.0191974984537558,0.005370867831766,0.0013001369243874,-0.0007164574359224,3055461.678181996,1347373.7261427552,708697.361467213,390420.1033232551,218550.38392551785,123491.57615985569,22.360276834047585,4.71934447275148e-06,67958560.40762131,29967837.40197189,15762610.538989944,8683593.829862723,4860924.806934024,2746658.4831413613,6.818994494713084e-11,3.006987155654728e-11,1.5816278897459516e-11,8.713159632133383e-12,4.877475228857275e-12,2.756010274946538e-12,3.8277692427924747e-11,1.6879399091480705e-11,8.878298104810323e-12,4.891038476901495e-12,2.7379182778307287e-12,1.5470567356286248e-12
8,8,0.02,516,2,100000.0,17.15,2.43,0.81,1.18256256858225,,4.9,1.458832465504424e-07,516.0,0.0250589341160569,0.0224086234082375,0.0055362770456461,0.0031997221648524,0.0005594316726569,2100718.7503263704,926358.6155953092,487250.0434784776,268425.17365281394,150259.74394695563,84904.04949235746,24.98739373123764,3.6118435648535703e-06,52010547.33389142,22935206.63682017,12063557.506610926,6645792.15933057,3720198.8717991775,2102092.954744778,4.7077149435661775e-11,2.075971520253141e-11,1.0919283271882663e-11,6.015413539001229e-12,3.367323883245252e-12,1.902701456357997e-12,2.6434363161474432e-11,1.1656819866344628e-11,6.131303677730876e-12,3.377724181743955e-12,1.8907912539110184e-12,1.068388844442925e-12
9,9,0.02,518,2,100000.0,17.15,2.43,0.81,1.18333929872482,,4.6,1.0170509272555226e-07,518.0,0.0332036494730081,0.0206509814534952,0.0049587263901141,-0.0020933698571187,-0.0009230915638721,1464553.3352479527,645827.3388072569,339695.00970334455,187137.37061501612,104756.24550731885,59192.36396627141,18.596270610079944,1.8843977398905305e-06,27135327.45442363,11965925.648304868,6293888.451234371,3467291.841398576,1940929.672087246,1096719.4846162884,3.2950312539949757e-11,1.4530172543658404e-11,7.642641936349459e-12,4.210317713438026e-12,2.3568626330658515e-12,1.3317417984896364e-12,1.851172111717932e-11,8.163154798200602e-12,4.2936908702346466e-12,2.365386587195135e-12,1.3241022743537988e-12,7.48182061819331e-13
10,10,0.02,520,2,100000.0,17.15,2.43,0.81,1.18413280440169,,5.5,8.444122589947902e-08,520.0,0.0272543882817149,0.0244909685153404,0.0058473798222711,-9.519146960433998e-05,-0.0003910813935107,1215953.6529524974,536201.7844616916,282033.69450425985,155371.85565504135,86974.46267646337,49144.79347349679,27.01113269720492,2.0806587799989304e-06,29961486.4319846,13212183.252993207,6949400.325196425,3828412.155198032,2143078.543398898,1210943.4099593773,2.7462808704748664e-11,1.2110335782996807e-11,6.369845907906981e-12,3.5091366678289962e-12,1.964353678186883e-12,1.1099551851502585e-12,1.5438603222328137e-11,6.807995170957199e-12,3.5808982474011088e-12,1.9727104117419288e-12,1.1042889804859708e-12,6.239768802357623e-13
11,11,0.02,522,2,100000.0,17.15,2.43,0.81,1.184814908884,,6.3,5.415541463215082e-08,522.0,0.0268737857088567,0.022157290034912,0.0067702429085743,-0.0004239670747549,0.0003167599596417,779837.970702972,343886.88291415776,180879.08487138376,99645.96292315752,55780.07707111535,31518.451315911778,21.79112830499773,1.149517278106593e-06,16553048.804734936,7299434.715976864,3839387.70887602,2115111.791716131,1184002.7964497905,669019.0558580371,1.7682004884256964e-11,7.797272987154978e-12,4.101242799542933e-12,2.259367290766167e-12,1.2647545160267132e-12,7.146476974053855e-13,9.9455352320198e-12,4.385704772453175e-12,2.306811644093481e-12,1.2708183907580852e-12,7.113820339569717e-13,4.0196538229413363e-13
12,12,0.02,524,2,100000.0,17.15,2.43,0.81,1.18564428721044,,5.2,3.170797791613389e-08,524.0,0.029163864696422,0.021143846601713,0.0050057070203966,0.0009472157577922,0.0005781476198138,456594.8819923281,201345.65976745024,105904.6462398872,58342.67936568635,32659.217253617902,18454.04314718993,24.03389793563148,7.285655990812309e-07,10491344.626769727,4626391.554165816,2433409.1009313115,1340560.7023094648,750422.567053668,424025.1786652765,1.0392474126330027e-11,4.582792409874699e-12,2.410476637634881e-12,1.327927249475503e-12,7.433505798694394e-13,4.2002916260583863e-13,5.849197167454529e-12,2.579333473148352e-12,1.3566887874512588e-12,7.47397415841412e-13,4.1838007517209484e-13,2.3640505218462057e-13
13,13,0.02,526,2,100000.0,17.15,2.43,0.81,1.18623535979449,,,,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0.02,528,2,100000.0,17.15,2.43,0.81,1.18691311580508,,5.6,9.221368765546996e-09,528.0,0.0317004119808179,0.0241524295438255,0.0076522611326748,-0.0003971632919566,-0.0001406232631902,132787.71022387673,58555.69166122342,30799.371676926967,16967.31852860647,9498.009828513404,5366.836621548352,17.427927189195806,1.635000619873969e-07,2354400.892618515,1038225.3936199702,546090.2070379055,300840.1140568101,168405.06384701876,95157.03607666498,3.0456533229841398e-12,1.3430485139548113e-12,7.064223679699324e-13,3.891668134924178e-13,2.1784881407456e-13,1.2309515513727565e-13,1.7164541783741489e-12,7.569086133802674e-13,3.981220108173374e-13,2.1932470057003026e-13,1.227741530364843e-13,6.937335637595523e-14
15,15,0.02,530,2,100000.0,17.15,2.43,0.81,1.18740617352132,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,0.02,532,2,100000.0,17.15,2.43,0.81,1.18810554884438,,,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,0.02,534,2,100000.0,17.15,2.43,0.81,1.18943277689967,,5.9,3.375000245084842e-09,534.0,0.0324445206049913,0.0208334134661153,0.0059372577590293,-0.0002937322255971,3.511298773718e-05,48600.00352922173,21431.251556288746,11272.500818583374,6210.000450956109,3476.250252437388,1964.250142639378,22.95118201061224,6.413310286252683e-08,923516.6812203862,407245.2031770453,214204.5635608396,118004.90926704933,66057.09594840262,37325.465865990605,1.1275356646043616e-12,4.972119076553958e-13,2.6152563331795623e-13,1.440740015883351e-13,8.065012045433977e-14,4.5571233111092966e-14,6.367439423411596e-13,2.807863912407197e-13,1.4768921995968566e-13,8.136172596581483e-14,4.55448792091246e-14,2.5735067669621873e-14
18,18,0.02,536,2,100000.0,17.15,2.43,0.81,1.19165789569026,,,,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,0.02,538,2,100000.0,17.15,2.43,0.81,1.1933953170949,,5.2,9.196512876393054e-09,538.0,0.030908277013204,0.0216836038523355,0.0048221956942254,-0.0012867684238856,0.0002595311648431,132429.78542005995,58397.85676509588,30716.3530071528,16921.583692563217,9472.408262684845,5352.370494060757,22.506208832892792,2.014979360199145e-07,2901570.2786867674,1279511.893726457,673003.1063065142,370756.20227664255,207542.8741005119,117271.7987635902,3.096683475238106e-12,1.365551393594582e-12,7.182585282843941e-13,3.956873329470914e-13,2.2149888746494795e-13,1.251576237908735e-13,1.7507964123099836e-12,7.720525845950275e-13,4.060875011885656e-13,2.237128749062756e-13,1.252305767138391e-13,7.076135499752851e-14
20,20,0.02,540,2,100000.0,17.15,2.43,0.81,1.19462031821519,,5.4,4.139420633926624e-08,540.0,0.0340343924384359,0.0199579556053457,0.0066271970280125,-0.0023172535265406,0.0001236374206022,596076.5712854338,262853.2102543406,138256.64917314926,76165.3396642499,42636.03252944423,24091.428089452947,17.276791701916814,6.937148418690881e-07,9989493.722914867,4405089.245868709,2317007.571842754,1276435.309039122,714526.2871251607,403742.0379678093,1.3991255731319124e-11,6.1697551315191976e-12,3.245194037680964e-12,1.787771565668555e-12,1.0007634307818542e-12,5.654799191408149e-13,7.916370455616697e-12,3.490899471747642e-12,1.836158147344429e-12,1.011536224884356e-12,5.662403867559166e-13,3.199533059145083e-13
