,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2,25,3000,1000000.0,200,17.15,2.43,0.81,,6817.5,0.6817500000000001,200.0,0.0002356901144579,0.0293859426763219,0.0013114616311305,-0.0023966637951964,1.6435960518103003e-06,16313585467104.87,10635300000000.0,8590050000000.0,4.256420900595392,2.902841844283402,69462058708039.02,45284332770821.08,36575807237970.87,0.0001355897915152,8.839492168105779e-05,7.139589828085437e-05,8.04445196190444e-05,5.244411789361565e-05,4.235871060638189e-05
11,11,2,25,3000,1000000.0,205,17.15,2.43,0.81,,6753.25,0.675325,205.0,0.0002431417249937,0.0297774669778594,0.0013782467836241,-0.0022064229061182,-3.2155518824795277e-06,16140267500000.0,10535070000000.0,8509095000000.0,4.231668343719945,2.860206104599863,68358925899936.74,44619215231757.88,36038596917958.28,0.0001376726359456,8.986163685159313e-05,7.25805528416714e-05,8.090826037591139e-05,5.2810412630302e-05,4.2654564047551615e-05
12,12,2,25,3000,1000000.0,210,17.15,2.43,0.81,,6721.0,0.6721,210.0,0.0002502566088793,0.0272047263157087,0.0013434829599786,-0.002424230890532,-1.7953134492695316e-06,16063190000000.0,10484760000000.0,8468460000000.0,4.212352182212869,2.8323021600377167,67692021624901.42,44183913696588.375,35687007216475.23,0.0001406434598655,9.180075204619232e-05,7.414676126807839e-05,8.187818578477347e-05,5.344350201851322e-05,4.316590547649145e-05
13,13,2,25,3000,1000000.0,215,17.15,2.43,0.81,,6815.0,0.6815,215.0,0.0002516875427644,0.0298568123955648,0.0014742371162122,-0.002296785529126,5.265106716732179e-06,16263020539426.836,10631400000000.0,8586900000000.0,4.291474612824127,2.92548923615764,69812606801913.16,45637632084059.18,36861164375586.266,0.0001460074994581,9.544746782899708e-05,7.709218555418995e-05,8.447466640743838e-05,5.5222457984775566e-05,4.4602754526164886e-05
14,14,2,25,3000,1000000.0,220,17.15,2.43,0.81,,6961.5,0.69615,220.0,0.0002511602282026,0.028900226419104,0.0014636777017637,-0.0021269167812369,9.0716058489105e-06,16568370000000.0,10859940000000.0,8771490000000.0,4.436999790346495,3.0872150450164084,73475718071390.52,48160554702255.97,38898909567206.74,0.0001524884882584,9.995043768202196e-05,8.072919966626164e-05,8.773063990892484e-05,5.7504116915093584e-05,4.644563289296021e-05
15,15,2,25,3000,1000000.0,225,17.15,2.43,0.81,,7085.0,0.7085,225.0,0.0002575498084879,0.0285845102197158,0.001430594290639,-0.0021740208944104,-1.5595806097069048e-06,16862300000000.0,11052600000000.0,8927100000000.0,4.368180959982046,3.0949388620734144,73659544917347.25,48281046248345.27,38996229662125.016,0.0001589457408184,0.0001041829225533,8.414774513924406e-05,9.099091563983088e-05,5.964110436896478e-05,4.817166122108694e-05
16,16,2,25,3000,1000000.0,230,17.15,2.43,0.81,,7395.75,0.739575,230.0,0.0002861071907886,0.0253337813808071,0.0014338649598268,-0.0022272864888744,4.253635583063395e-06,17601885000000.0,11537370000000.0,9318645000000.0,4.048888453737849,2.995738467136176,71298575517840.98,46733520087324.34,37746304685915.82,0.0001697922944365,0.0001112924282861,8.989003823114676e-05,9.682963659768297e-05,6.346816516486781e-05,5.126274878700862e-05
17,17,2,25,3000,1000000.0,235,17.15,2.43,0.81,,7599.25,0.759925,235.0,0.0002721865745129,0.0266888430758997,0.0013483640599647,-0.0022077151396271,5.877533517492523e-06,18086215000000.0,11854830000000.0,9575055000000.0,4.3265107992427625,3.287534059745756,78243310621949.0,51285531332033.79,41422929152796.53,0.0001785974511399,0.000117063875537,9.455159177998886e-05,0.0001013023350901,6.639984989105899e-05,5.3630647988932274e-05
18,18,2,25,3000,1000000.0,240,17.15,2.43,0.81,,8026.75,0.802675,240.0,0.0002816254231774,0.0246719489895681,0.0014164316246282,-0.0021185426794516,4.1305868529296255e-06,19040415713700.78,12521730000000.0,10113705000000.0,4.2728893588959656,3.431217719155156,81392608187535.9,53526996418820.44,43233343261354.97,0.0001922546885901,0.0001264342826311,0.0001021199975097,0.000108621133387,7.143355087511124e-05,5.769632955297447e-05
19,19,2,25,3000,1000000.0,245,17.15,2.43,0.81,,8286.0,0.8286,245.0,0.0002899389271532,0.0253940788005614,0.0013387699819101,-0.0021629331201798,3.0921288092599487e-06,19637820000000.0,12926160000000.0,10440360000000.0,4.237443980695613,3.5110047897134367,83210813516208.45,54771674719529.62,44238660350389.31,0.0002026027720672,0.0001333587866771,0.0001077128661622,0.0001139772252402,7.502298370246553e-05,6.0595486836606766e-05
20,20,2,25,3000,1000000.0,250,17.15,2.43,0.81,,8605.0,0.8605,250.0,0.0003130054138793,0.0271576846868356,0.001491869242926,-0.0021154007007462,-2.45575319427809e-06,20393850000000.0,13423800000000.0,10842300000000.0,4.004169902068963,3.4462915572024317,81677109905697.62,53762148292357.94,43423273620750.64,0.0002150560633067,0.0001415558897715,0.0001143336032769,0.000120459834613,7.929001772002363e-05,6.404193738924986e-05
21,21,2,25,3000,1000000.0,255,17.15,2.43,0.81,,8817.75,0.881775,255.0,0.0002907872862322,0.0257025261877605,0.0014112238533682,-0.0021215362051855,2.3142085151365344e-06,20859078464526.25,13755690000000.0,11110365000000.0,4.384925480898739,3.866448898149121,91463877911682.2,60316602811126.28,48717256116678.92,0.0002246679986744,0.0001481591503642,0.0001196670060634,0.0001252545491719,8.26001375098704e-05,6.671549568104916e-05
22,22,2,25,3000,1000000.0,260,17.15,2.43,0.81,,9170.25,0.917025,260.0,0.0002978702553519,0.025462149561714,0.0013571116278152,-0.0020505598093045,-1.581048191486002e-07,21641790000000.0,14305590000000.0,11554515000000.0,4.364536816585309,4.002373264937664,94456009052528.88,62437022933027.56,50429903138214.56,0.0002378131925723,0.0001571985510224,0.0001269680604411,0.0001321498836761,8.73533129385041e-05,7.05545989118687e-05
