"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"	"Harmonic Energy (eV)"	"Harmonic: 13"	"Harmonic Energy (eV)"	"Harmonic: 15"	"Harmonic Energy (eV)"	"Harmonic: 17"	"Harmonic Energy (eV)"	"Harmonic: 19"
3.49069e+3	1.76101e+12	1.04721e+4	9.19520e+4	1.74534e+4	5.14098e-3	2.44348e+4	2.90941e-10	3.14162e+4	1.65314e-17	3.83976e+4	9.41053e-25	4.53789e+4	5.36235e-32	5.23603e+4	3.05794e-39	5.93417e+4	0.00000e+0	6.63231e+4	0.00000e+0
3.49063e+3	1.92920e+12	1.04719e+4	1.20897e+5	1.74531e+4	8.11220e-3	2.44344e+4	5.50983e-10	3.14157e+4	3.75734e-17	3.83969e+4	2.56700e-24	4.53782e+4	1.75552e-31	5.23594e+4	1.20151e-38	5.93407e+4	0.00000e+0	6.63220e+4	0.00000e+0
3.49057e+3	2.10506e+12	1.04717e+4	1.57065e+5	1.74528e+4	1.25483e-2	2.44340e+4	1.01476e-9	3.14151e+4	8.23920e-17	3.83962e+4	6.70210e-24	4.53774e+4	5.45722e-31	5.23585e+4	4.44713e-38	5.93396e+4	0.00000e+0	6.63208e+4	0.00000e+0
3.49050e+3	2.28858e+12	1.04715e+4	2.01832e+5	1.74525e+4	1.90591e-2	2.44335e+4	1.82177e-9	3.14145e+4	1.74834e-16	3.83955e+4	1.68097e-23	4.53765e+4	1.61783e-30	5.23576e+4	1.55833e-37	5.93386e+4	0.00000e+0	6.63196e+4	0.00000e+0
3.49044e+3	2.47975e+12	1.04713e+4	2.56759e+5	1.74522e+4	2.84665e-2	2.44331e+4	3.19461e-9	3.14139e+4	3.59952e-16	3.83948e+4	4.06327e-23	4.53757e+4	4.59136e-30	5.23566e+4	5.19243e-37	5.93374e+4	0.00000e+0	6.63183e+4	0.00000e+0
3.49037e+3	2.67859e+12	1.04711e+4	3.23613e+5	1.74518e+4	4.18637e-2	2.44326e+4	5.48183e-9	3.14133e+4	7.20704e-16	3.83940e+4	9.49275e-23	4.53748e+4	1.25159e-29	5.23555e+4	1.65160e-36	5.93363e+4	0.00000e+0	6.63170e+4	0.00000e+0
3.49030e+3	2.88509e+12	1.04709e+4	4.04380e+5	1.74515e+4	6.06896e-2	2.44321e+4	9.21968e-9	3.14127e+4	1.40625e-15	3.83933e+4	2.14887e-22	4.53738e+4	3.28695e-29	5.23544e+4	5.03219e-36	5.93350e+4	0.00000e+0	6.63156e+4	0.00000e+0
3.49022e+3	3.09924e+12	1.04707e+4	5.01286e+5	1.74511e+4	8.68181e-2	2.44315e+4	1.52199e-8	3.14120e+4	2.67892e-15	3.83924e+4	4.72400e-22	4.53729e+4	8.33864e-29	5.23533e+4	1.47322e-35	5.93338e+4	0.00000e+0	6.63142e+4	0.00000e+0
3.49014e+3	3.32105e+12	1.04704e+4	6.16811e+5	1.74507e+4	1.22666e-1	2.44310e+4	2.46932e-8	3.14113e+4	4.99083e-15	3.83916e+4	1.01058e-21	4.53719e+4	2.04836e-28	5.23522e+4	4.15564e-35	5.93324e+4	0.00000e+0	6.63127e+4	0.00000e+0
3.49006e+3	3.55051e+12	1.04702e+4	7.53712e+5	1.74503e+4	1.71324e-1	2.44304e+4	3.94195e-8	3.14106e+4	9.10640e-15	3.83907e+4	2.10759e-21	4.53708e+4	4.88271e-28	5.23510e+4	1.13225e-34	5.93311e+4	0.00000e+0	6.63112e+4	0.00000e+0
