Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9,Energy11[eV],Photons11
804.229,338600000000000.0,2412.69,0.0,4021.15,0.0,5629.61,0.0,7238.06,0.0,8846.52,0.0
760.475,486200000000000.0,2281.42,0.0,3802.37,0.0,5323.32,0.0,6844.27,0.0,8365.22,0.0
713.581,644200000000000.0,2140.74,0.0,3567.91,0.0,4995.07,0.0,6422.23,0.0,7849.39,0.0
665.482,806300000000000.0,1996.45,0.0,3327.41,0.0,4658.38,0.0,5989.34,0.0,7320.31,0.0
617.731,967100000000000.0,1853.19,0.0,3088.65,0.0,4324.11,0.0,5559.58,0.0,6795.04,0.0
571.474,1123000000000000.0,1714.42,0.0,2857.37,0.0,4000.32,0.0,5143.27,0.0,6286.22,0.0
527.492,1271000000000000.0,1582.48,0.0,2637.46,0.0,3692.44,0.0,4747.43,0.0,5802.41,0.0
486.253,1410000000000000.0,1458.76,0.0,2431.27,0.0,3403.77,0.0,4376.28,0.0,5348.79,0.0
447.99,1539000000000000.0,1343.97,0.0,2239.95,0.0,3135.93,0.0,4031.91,0.0,4927.9,0.0
412.761,1658000000000000.0,1238.28,0.0,2063.8,0.0,2889.32,0.0,3714.85,0.0,4540.37,0.0
380.502,1766000000000000.0,1141.51,0.0,1902.51,0.0,2663.52,0.0,3424.52,0.0,4185.52,0.0
351.078,1865000000000000.0,1053.23,0.0,1755.39,0.0,2457.54,0.0,3159.7,0.0,3861.85,0.0
324.306,1955000000000000.0,972.917,0.0,1621.53,0.0,2270.14,0.0,2918.75,0.0,3567.36,0.0
299.983,2038000000000000.0,899.949,0.0,1499.91,0.0,2099.88,0.0,2699.85,0.0,3299.81,0.0
277.901,2112000000000000.0,833.702,0.0,1389.5,0.0,1945.3,0.0,2501.11,0.0,3056.91,0.0
257.854,2179000000000000.0,773.562,0.0,1289.27,0.0,1804.98,0.0,2320.69,0.0,2836.39,0.0
239.648,2241000000000000.0,718.943,0.0,1198.24,0.0,1677.53,0.0,2156.83,0.0,2636.12,0.0
223.1,2296000000000000.0,669.3,0.0,1115.5,0.0,1561.7,0.0,2007.9,0.0,2454.1,0.0
208.044,2348000000000000.0,624.133,0.0,1040.22,0.0,1456.31,0.0,1872.4,0.0,2288.49,0.0
194.329,2394000000000000.0,582.987,0.0,971.644,0.0,1360.3,0.0,1748.96,0.0,2137.62,0.0
181.817,2436000000000000.0,545.451,0.0,909.085,0.0,1272.72,0.0,1636.35,0.0,1999.99,0.0
170.386,2474000000000000.0,511.158,0.0,851.93,0.0,1192.7,0.0,1533.47,0.0,1874.25,0.0
159.926,2509000000000000.0,479.778,0.0,799.63,0.0,1119.48,0.0,1439.33,0.0,1759.19,0.0
150.339,2542000000000000.0,451.018,0.0,751.696,0.0,1052.37,0.0,1353.05,0.0,1653.73,0.0
141.538,2570000000000000.0,424.614,0.0,707.691,0.0,990.767,0.0,1273.84,0.0,1556.92,0.0
133.445,2598000000000000.0,400.335,0.0,667.226,0.0,934.116,0.0,1201.01,0.0,1467.9,0.0
125.991,2623000000000000.0,377.973,0.0,629.955,0.0,881.937,0.0,1133.92,0.0,1385.9,0.0
119.114,2646000000000000.0,357.343,0.0,595.572,0.0,833.8,0.0,1072.03,0.0,1310.26,0.0
112.76,2668000000000000.0,338.28,0.0,563.8,0.0,789.32,0.0,1014.84,0.0,1240.36,0.0
106.879,2688000000000000.0,320.637,0.0,534.395,0.0,748.154,0.0,961.912,0.0,1175.67,0.0
101.428,2706000000000000.0,304.284,0.0,507.14,0.0,709.996,0.0,912.852,0.0,1115.71,0.0
96.3676,2723000000000000.0,289.103,0.0,481.838,0.0,674.573,0.0,867.309,0.0,1060.04,0.0
91.6631,2739000000000000.0,274.989,0.0,458.315,0.0,641.642,0.0,824.968,0.0,1008.29,0.0
87.2831,2754000000000000.0,261.849,0.0,436.415,0.0,610.981,0.0,785.548,0.0,960.114,0.0
83.1994,2768000000000000.0,249.598,0.0,415.997,0.0,582.396,0.0,748.795,0.0,915.194,0.0
79.387,2780000000000000.0,238.161,0.0,396.935,0.0,555.709,0.0,714.483,0.0,873.257,0.0
75.8231,2793000000000000.0,227.469,0.0,379.115,0.0,530.762,0.0,682.408,0.0,834.054,0.0
72.4872,2803000000000000.0,217.461,0.0,362.436,0.0,507.41,0.0,652.384,0.0,797.359,0.0
69.3608,2813000000000000.0,208.082,0.0,346.804,0.0,485.525,0.0,624.247,0.0,762.968,0.0
66.4272,2824000000000000.0,199.282,0.0,332.136,0.0,464.991,0.0,597.845,0.0,730.7,0.0
63.6714,2834000000000000.0,191.014,0.0,318.357,0.0,445.7,0.0,573.043,0.0,700.386,0.0
61.0796,2842000000000000.0,183.239,0.0,305.398,0.0,427.557,0.0,549.716,0.0,671.876,0.0
58.6394,2850000000000000.0,175.918,0.0,293.197,0.0,410.476,0.0,527.754,0.0,645.033,0.0
56.3394,2858000000000000.0,169.018,0.0,281.697,0.0,394.376,0.0,507.054,0.0,619.733,0.0
54.1693,2866000000000000.0,162.508,0.0,270.847,0.0,379.185,0.0,487.524,0.0,595.862,0.0
52.1198,2872000000000000.0,156.359,0.0,260.599,0.0,364.839,0.0,469.078,0.0,573.318,0.0
50.1822,2878000000000000.0,150.547,0.0,250.911,0.0,351.276,0.0,451.64,0.0,552.005,0.0
48.3488,2885000000000000.0,145.046,0.0,241.744,0.0,338.441,0.0,435.139,0.0,531.837,0.0
46.6122,2891000000000000.0,139.837,0.0,233.061,0.0,326.286,0.0,419.51,0.0,512.735,0.0
44.966,2897000000000000.0,134.898,0.0,224.83,0.0,314.762,0.0,404.694,0.0,494.626,0.0
43.4041,2901000000000000.0,130.212,0.0,217.02,0.0,303.829,0.0,390.637,0.0,477.445,0.0
