Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1507.36,608400000000000.0,4522.07,12260000000000.0,7536.78,269600000000.0,10551.5,6026000000.0,13566.2,135500000.0
1481.39,686500000000000.0,4444.16,17810000000000.0,7406.93,505300000000.0,10369.7,14590000000.0,13332.5,423700000.0
1454.49,765900000000000.0,4363.48,25010000000000.0,7272.46,895600000000.0,10181.4,32650000000.0,13090.4,1198000000.0
1426.82,845900000000000.0,4280.47,34100000000000.0,7134.11,1511000000000.0,9987.75,68230000000.0,12841.4,3102000000.0
1398.52,926200000000000.0,4195.55,45280000000000.0,6992.59,2440000000000.0,9789.62,134100000000.0,12586.7,7424000000.0
1369.71,1006000000000000.0,4109.14,58730000000000.0,6848.57,3790000000000.0,9588.0,249700000000.0,12327.4,16570000000.0
1340.54,1085000000000000.0,4021.63,74590000000000.0,6702.71,5687000000000.0,9383.79,442500000000.0,12064.9,34710000000.0
1311.12,1163000000000000.0,3933.36,92950000000000.0,6555.6,8263000000000.0,9177.85,750400000000.0,11800.1,68720000000.0
1281.56,1240000000000000.0,3844.69,113900000000000.0,6407.82,11670000000000.0,8970.94,1223000000000.0,11534.1,129200000000.0
1251.97,1314000000000000.0,3755.92,137300000000000.0,6259.87,16050000000000.0,8763.81,1920000000000.0,11267.8,231800000000.0
1222.44,1387000000000000.0,3667.33,163200000000000.0,6112.22,21570000000000.0,8557.11,2918000000000.0,11002.0,398600000000.0
1193.06,1457000000000000.0,3579.19,191600000000000.0,5965.32,28360000000000.0,8351.44,4301000000000.0,10737.6,659000000000.0
1163.91,1526000000000000.0,3491.72,222200000000000.0,5819.53,36550000000000.0,8147.35,6166000000000.0,10475.2,1051000000000.0
1135.04,1591000000000000.0,3405.13,254900000000000.0,5675.22,46250000000000.0,7945.3,8617000000000.0,10215.4,1622000000000.0
1106.53,1654000000000000.0,3319.6,289500000000000.0,5532.66,57570000000000.0,7745.73,11770000000000.0,9958.8,2429000000000.0
1078.43,1715000000000000.0,3235.29,325800000000000.0,5392.14,70550000000000.0,7549.0,15710000000000.0,9705.86,3538000000000.0
1050.78,1772000000000000.0,3152.33,363600000000000.0,5253.88,85240000000000.0,7355.43,20570000000000.0,9456.98,5021000000000.0
1023.61,1828000000000000.0,3070.84,402600000000000.0,5118.06,101600000000000.0,7165.28,26440000000000.0,9212.51,6959000000000.0
996.97,1880000000000000.0,2990.91,442600000000000.0,4984.85,119800000000000.0,6978.79,33420000000000.0,8972.73,9435000000000.0
970.877,1930000000000000.0,2912.63,483400000000000.0,4854.39,139500000000000.0,6796.14,41560000000000.0,8737.9,12540000000000.0
945.353,1979000000000000.0,2836.06,524700000000000.0,4726.77,160900000000000.0,6617.47,50950000000000.0,8508.18,16350000000000.0
920.415,2024000000000000.0,2761.25,566300000000000.0,4602.08,183700000000000.0,6442.91,61620000000000.0,8283.74,20940000000000.0
896.075,2066000000000000.0,2688.22,608100000000000.0,4480.37,208000000000000.0,6272.52,73600000000000.0,8064.67,26400000000000.0
872.34,2107000000000000.0,2617.02,649800000000000.0,4361.7,233500000000000.0,6106.38,86880000000000.0,7851.06,32790000000000.0
849.216,2145000000000000.0,2547.65,691200000000000.0,4246.08,260100000000000.0,5944.51,101500000000000.0,7642.94,40160000000000.0
826.703,2181000000000000.0,2480.11,732200000000000.0,4133.52,287800000000000.0,5786.92,117300000000000.0,7440.33,48550000000000.0
804.802,2216000000000000.0,2414.4,772700000000000.0,4024.01,316300000000000.0,5633.61,134400000000000.0,7243.21,57990000000000.0
783.507,2248000000000000.0,2350.52,812800000000000.0,3917.54,345500000000000.0,5484.55,152600000000000.0,7051.57,68490000000000.0
762.815,2278000000000000.0,2288.45,851900000000000.0,3814.08,375300000000000.0,5339.71,172000000000000.0,6865.34,80060000000000.0
742.718,2307000000000000.0,2228.15,890200000000000.0,3713.59,405500000000000.0,5199.03,192300000000000.0,6684.46,92690000000000.0
723.207,2334000000000000.0,2169.62,927500000000000.0,3616.03,436000000000000.0,5062.45,213500000000000.0,6508.86,106300000000000.0
704.272,2360000000000000.0,2112.82,963800000000000.0,3521.36,466700000000000.0,4929.9,235600000000000.0,6338.45,121000000000000.0
685.902,2384000000000000.0,2057.71,999100000000000.0,3429.51,497400000000000.0,4801.31,258400000000000.0,6173.12,136600000000000.0
668.086,2406000000000000.0,2004.26,1033000000000000.0,3340.43,528100000000000.0,4676.6,281800000000000.0,6012.78,153000000000000.0
650.811,2428000000000000.0,1952.43,1066000000000000.0,3254.06,558600000000000.0,4555.68,305700000000000.0,5857.3,170300000000000.0
634.065,2448000000000000.0,1902.19,1098000000000000.0,3170.32,588800000000000.0,4438.45,330000000000000.0,5706.58,188400000000000.0
617.833,2467000000000000.0,1853.5,1129000000000000.0,3089.17,618700000000000.0,4324.83,354600000000000.0,5560.5,207100000000000.0
602.103,2485000000000000.0,1806.31,1159000000000000.0,3010.52,648200000000000.0,4214.72,379400000000000.0,5418.93,226400000000000.0
586.861,2502000000000000.0,1760.58,1188000000000000.0,2934.31,677400000000000.0,4108.03,404400000000000.0,5281.75,246200000000000.0
572.093,2518000000000000.0,1716.28,1215000000000000.0,2860.46,705900000000000.0,4004.65,429400000000000.0,5148.83,266500000000000.0
557.784,2533000000000000.0,1673.35,1242000000000000.0,2788.92,733800000000000.0,3904.49,454400000000000.0,5020.06,287200000000000.0
543.922,2547000000000000.0,1631.77,1267000000000000.0,2719.61,761000000000000.0,3807.45,479300000000000.0,4895.3,308100000000000.0
530.492,2560000000000000.0,1591.48,1292000000000000.0,2652.46,787700000000000.0,3713.44,504000000000000.0,4774.43,329300000000000.0
517.481,2573000000000000.0,1552.44,1315000000000000.0,2587.41,813600000000000.0,3622.37,528400000000000.0,4657.33,350600000000000.0
504.876,2585000000000000.0,1514.63,1338000000000000.0,2524.38,838800000000000.0,3534.14,552600000000000.0,4543.89,371900000000000.0
492.664,2596000000000000.0,1477.99,1359000000000000.0,2463.32,863400000000000.0,3448.65,576600000000000.0,4433.98,393300000000000.0
480.832,2606000000000000.0,1442.5,1380000000000000.0,2404.16,887200000000000.0,3365.82,600100000000000.0,4327.49,414700000000000.0
469.367,2616000000000000.0,1408.1,1399000000000000.0,2346.83,910200000000000.0,3285.57,623100000000000.0,4224.3,436000000000000.0
458.257,2625000000000000.0,1374.77,1418000000000000.0,2291.29,932600000000000.0,3207.8,645700000000000.0,4124.31,457100000000000.0
447.49,2634000000000000.0,1342.47,1436000000000000.0,2237.45,954200000000000.0,3132.43,667900000000000.0,4027.41,478000000000000.0
437.055,2642000000000000.0,1311.17,1454000000000000.0,2185.28,975100000000000.0,3059.39,689500000000000.0,3933.5,498900000000000.0
