,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.01,100,1,300000.0,2.9486799130538552e-05,8.927244886837714e-05,0.0001352887014866,-3.7473438409894974e-06,2.176702713968742e-05,2.995645814465497e-05,2.3841526891002485e-05,0.0001965945515106,-2.961376646197593e-05,4.151540027345089e-05,-0.0002805681652156,0.0001612110387272,1.823287858969313e-06,-3.4997312819570734e-05,-7.899139036946211e-05,-7.69021569642979e-05,3.178315383244191e-05,-1.1617774725150623e-05,-0.0002047917880575,0.0002290426114374,-2.273309606150341e-05,-4.037129444222194e-05,-0.0002416207093771,-8.638658900540143e-05,-3.3981326650991194e-05,3.910396932361709e-05,,746.0,0.2486666666666666,100.0,0.0042605099312993,0.0028154570275302,0.0425857535337469,5.886300586241149e-06,0.0003761288471153,6017733333333.333,3879200000000.0,3133200000000.0,23.47136882967029,5.836547048978011,141244438585267.88,91050133964056.98,73540492817122.95,2.490010475810609e-05,1.605130719944029e-05,1.296451735339408e-05,1.1981311140312453e-05,7.72348982598654e-06,6.238203320989129e-06
1,1,2.25,0.01,100,1,300000.0,-0.0001434099052193,-0.0001106388122109,-2.055522768720764e-05,0.0002201427547057,2.143992152171991e-05,-1.4133090506710111e-05,0.0001084526268008,0.0002010664664007,-3.6651034811270456e-05,-7.881077356325631e-06,-0.0001410850109555,-0.0002444720080137,2.1448347616264124e-05,3.433598046081053e-05,8.848738846386383e-05,0.0002343004830431,-3.056713484540754e-05,-2.4967702478930355e-05,0.0002226978569327,-5.6933371321031735e-05,-1.1014719950556908e-05,2.2784641510791832e-05,-0.0001490840851657,0.0001559613926533,-4.610610766142762e-05,-3.65632321997877e-05,,797.0,0.2656666666666666,100.0,0.0043521839735092,0.0024840404842161,0.0384998637652748,-0.0002314803232771,0.0002767896820942,6429133333333.333,4144400000000.0,3347400000000.0,22.976969863562225,6.104214993753031,147722002848823.34,95225753902547.28,76913108921288.19,2.660239074022862e-05,1.7148648576345725e-05,1.3850831542433084e-05,1.2800408818805665e-05,8.25150320551109e-06,6.664675665989727e-06
2,2,2.25,0.01,100,1,300000.0,0.0001663477658201,0.0002531997378466,0.0002165150093261,0.0001911458455222,-2.765777098679841e-05,2.987800648015304e-05,-0.0002052916386189,-0.0001501381784769,2.194267384438946e-05,-2.602142574538172e-05,-0.0002218661964434,-0.0002891797500954,-5.13355578965372e-06,-2.66860303205634e-06,-0.0002646170151801,-0.0002400980693198,1.4675524476354326e-05,3.796884920703589e-05,2.910430576430218e-05,0.0001589484757688,-1.502511832934992e-05,3.926729609698739e-05,0.0001470055567621,0.0001138761304625,3.2230926058371074e-05,-3.5105123298632504e-05,,761.0,0.2536666666666666,100.0,0.003447319043289,0.002821047095042,0.0539572173519587,-1.3401087514518137e-06,0.0010222054702972,6138733333333.333,3957200000000.0,3196200000000.0,29.008049079376672,7.358375116468548,178072677818538.88,114790651816909.36,92715526467503.72,2.5400777105789187e-05,1.6374054663236007e-05,1.322519799722908e-05,1.222222222222222e-05,7.87878787878788e-06,6.363636363636364e-06
3,3,2.25,0.01,100,1,300000.0,-1.5753477742961805e-05,0.0001804720488573,-0.0002104377732445,-0.0001141881411784,3.861902995935094e-05,-4.071461480628359e-05,-0.0001544879129643,-0.000184055524808,1.4736738526313073e-05,7.651340191590174e-06,-0.0001793998699856,5.1112732085902175e-06,-2.7018967778995696e-05,-2.896393260968495e-05,7.951681543424098e-05,0.0001563140976216,-3.861254650509693e-06,3.752290011144778e-05,0.0001354745759726,-8.198513519156126e-05,3.0993176506862375e-05,9.229928005832031e-06,-3.2516943475567974e-05,-0.0002979987516325,4.3366520953448726e-05,3.406281612784775e-05,,779.0,0.2596666666666666,100.0,0.00377718571103,0.0029516358071611,0.0300790135826192,0.0003556955306039,-0.0002921343034702,6283933333333.333,4050800000000.0,3271799999999.9995,26.474737450155786,6.874606824557119,166365485154282.25,107243866463091.05,86620045989419.69,2.6001583923008904e-05,1.676135161979086e-05,1.353801476983108e-05,1.2511315520513944e-05,8.065145542149482e-06,6.514156014813044e-06
4,4,2.25,0.01,100,1,300000.0,-0.0001696221195391,-5.599326959227554e-06,-4.629378713537488e-05,0.0002531276950961,4.295929864063005e-05,-1.5211689522026594e-06,0.000154833075199,-0.000171353262051,3.782131912474152e-05,1.456419278913978e-05,-0.0001799535195673,0.0002880243914425,9.03817292667781e-06,-3.483493671542372e-05,-0.0002326679357125,-5.159610195484582e-05,-2.729433597296176e-05,7.15860125964317e-06,0.0001245799922202,0.0001387813293742,-2.22549080021729e-05,1.456279122805647e-05,-5.666911499088676e-05,3.5509074513760046e-05,3.2466662183985864e-06,-1.6113079364335592e-05,,779.0,0.2596666666666666,100.0,0.0036613470491033,0.0028677451752603,0.0442616435485209,-4.3112172249348096e-05,0.0004285066799732,6283933333333.333,4050800000000.0,3271799999999.9995,27.31235216407281,7.092107445270905,171629000175555.9,110636876146226.12,89360553810413.4,2.6001583923008904e-05,1.676135161979086e-05,1.353801476983108e-05,1.2511315520513944e-05,8.065145542149482e-06,6.514156014813044e-06
5,5,2.25,0.01,100,1,300000.0,1.781407453758303e-05,-9.948312571070088e-05,-0.0002569919429319,-0.0002206872966709,-4.753965372680761e-05,-5.485614665761959e-06,0.000267285462739,0.0002131623819917,3.072150037949507e-05,3.4168805193590645e-05,-0.0001609163812089,-9.10243088316798e-05,-2.77938647888934e-05,4.571205180020954e-05,0.0001301442988892,2.4480800142868584e-05,-4.758352960655322e-05,1.3647341747783928e-05,0.0002881838349276,0.0002401919427945,2.46399630130584e-05,-2.818724882144743e-05,0.0002011950657205,-0.0001186720703607,-1.0182748468890732e-05,2.044399795492669e-05,,786.0,0.262,100.0,0.0039305032791077,0.0029536392864102,0.0351052882930377,-1.1557910344920665e-05,0.0003580145003322,6340400000000.0,4087200000000.0,3301200000000.0,25.44203449251457,6.665813037038818,161312675496339.38,103986683377805.56,83989244266689.1,2.623523101859435e-05,1.691196710289553e-05,1.3659665736954084e-05,1.2623740692071836e-05,8.137617966790109e-06,6.572691434715088e-06
6,6,2.25,0.01,100,1,300000.0,-0.0002877043307403,2.9095804015838314e-05,-0.0002362517784771,5.9714648698394905e-05,3.0403999051102432e-05,-4.445986339809609e-05,-0.0002487863363757,7.032836175865562e-05,1.1354454382352402e-05,3.248997632154947e-05,0.0001105607039374,-0.0001804210955551,4.381886175730424e-06,2.792014971413502e-05,-7.237471457197816e-05,-4.234528891521554e-05,-2.7103978476720094e-05,-4.123750941913219e-05,0.0002129436177079,-0.0001562138251376,-3.916596716978812e-05,-3.612975724934264e-05,0.0001295940876599,-0.0001805309211145,-3.213101350282471e-05,-6.883969628468264e-06,,779.0,0.2596666666666666,100.0,0.0046808597347194,0.0028878519409323,0.0520374537114647,1.7600284343147905e-05,-0.0003275752394217,6283933333333.333,4050800000000.0,3271799999999.9995,21.363596789339365,5.547413966298455,134247417984422.6,86539657874255.89,69897415975360.53,2.6001583923008904e-05,1.676135161979086e-05,1.353801476983108e-05,1.2511315520513944e-05,8.065145542149482e-06,6.514156014813044e-06
7,7,2.25,0.01,100,1,300000.0,-0.0001441697697677,-0.000132904658505,-0.000104815396139,6.80906410485255e-05,4.705583273678752e-05,-4.222398476436862e-05,-0.0001894294225016,-0.0001616570082542,-1.0459703027967848e-05,4.115501132932786e-05,-0.0001380476641977,-5.579575501020364e-05,-3.1999398505220105e-05,-3.0380038874342588e-05,0.0002359705825966,0.0001653740096075,-2.6615182690562312e-05,2.8071092932252825e-05,0.0002663104813583,0.0001474167416266,-2.4697696687898287e-05,-1.720129533072903e-05,0.0002894217847684,-0.0001585640714224,-3.270395264893358e-05,4.359419702884206e-06,,804.0,0.268,100.0,0.0037661775135262,0.0030787509307441,0.0398648743590765,3.657420425071272e-05,0.0004696353530911,6485600000000.0,4180800000000.0,3376800000000.0,26.55212072209797,7.115968353522257,172206434155238.62,111009106314947.22,89661201254380.44,2.683603783581407e-05,1.729926405945039e-05,1.3972482509556086e-05,1.2912833990363558e-05,8.323975630151713e-06,6.7232110858917696e-06
8,8,2.25,0.01,100,1,300000.0,-0.000151476240312,-0.0001993286128955,-0.0001447741157125,-2.670665279990233e-05,-3.5298722369148886e-05,5.107917139591754e-06,-0.0002528289232964,-0.0002495668407508,-2.0207551570126247e-05,-2.4395280211623696e-05,0.0002590892435247,0.0002115180706662,-1.5924270160463396e-05,-2.89978243075107e-05,0.0001183390206891,-1.1277641156341202e-05,3.905104722900967e-05,5.95181755672414e-06,-6.30024081330291e-05,-0.0001679896484653,-1.730134620846198e-05,-6.885521073734548e-06,9.22626364359215e-05,-9.39502517058482e-05,-1.9096317233937004e-06,4.7152971759634165e-05,,769.0,0.2563333333333333,100.0,0.0031780101514016,0.0029303498946617,0.052127759407946,9.882522776147712e-05,-0.0008812980755015,6203266666666.665,3998799999999.999,3229799999999.9995,31.46623051405177,8.065843755101936,195193418873466.8,125827162579590.2,101629631314284.38,2.566780235788684e-05,1.654618664392705e-05,1.336422767394108e-05,1.2350708132574094e-05,7.961613506948591e-06,6.430533986381554e-06
9,9,2.25,0.01,100,1,300000.0,0.0001271694080993,-0.0002676718976894,0.0001336523845712,-0.0002131513271907,9.868025086057886e-06,4.604632300105947e-05,-0.0001254934114528,-0.0001320697757955,2.253166809580326e-05,-2.93670846575966e-05,-5.095298158589687e-05,-0.0001093696294775,3.176444829722674e-05,2.21471289443862e-05,5.415584581798885e-05,7.776575947269831e-05,-3.390173236184595e-05,2.636459745587241e-05,-2.6578619768389254e-05,-0.0001792064309536,-4.845321755759656e-05,3.5839313928323536e-05,-0.000161819573384,-0.0001878097858225,-3.1958273192687305e-05,3.938961277980741e-05,,761.0,0.2536666666666666,100.0,0.0041420028171899,0.0023817927391869,0.0477462126262202,-3.389017498798676e-05,0.0014060890011052,6138733333333.333,3957200000000.0,3196200000000.0,24.14290970179588,6.124251427688887,148206884550071.06,95538322271946.64,77165567988879.98,2.5400777105789187e-05,1.6374054663236007e-05,1.322519799722908e-05,1.222222222222222e-05,7.87878787878788e-06,6.363636363636364e-06
