,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,1000000.0,150,1.6,17.15,2.43,0.81,0.02,,0.003,31732.5,3.1732500000000003,150.0,0.0029600976064329,0.1155447867423202,0.0199491951521851,0.0011139632636275,-2.071343365145217e-05,71933286865742.95,46805437500000.0,37952070000000.0,32811405000000.0,29260538250000.0,1.0136143335697136,3.2166902289284267,72918018118881.55,47446180876694.29,38471615137983.984,33260576967119.93,29661100600949.02,0.0004389815479765,0.0002856358203931,0.0002316070787729,0.0002002355513806,0.0001785659593115,0.0002849610464035,0.0001854180036603,0.0001503457168663,0.0001299811632439,0.0001159145363899
1,1,1000000.0,155,1.6,17.15,2.43,0.81,0.02,,0.0031,30150.5,3.01505,155.0,0.0030262713097783,0.1151492100197467,0.0196914624910866,0.00117891967187,2.0988781604511425e-05,68300381353567.14,44471987500000.0,36059998000000.0,31175617000000.0,27801776050000.0,1.024753179810169,3.089751071261066,69992595961832.63,45573828301100.73,36953422812282.36,31948026076839.42,28490594628098.29,0.0004322994017183,0.0002814803257093,0.0002282376064734,0.0001973224791752,0.0001759681412451,0.0002780914861059,0.0001810719186169,0.0001468217048582,0.000126934483966,0.0001131975702757
2,2,1000000.0,160,1.6,17.15,2.43,0.81,0.02,,0.0032,28559.5,2.85595,160.0,0.0031852559257003,0.1136908299324116,0.0199213732666407,0.0016328022606262,2.0084468416972104e-05,64653776458169.016,42125262500000.0,34157162000000.0,29530523000000.0,26334714950000.0,1.00462889749895,2.869173702916194,64953138258022.95,42320312118013.86,34315317486877.68,29667256088153.445,26456650714590.227,0.0004222700717609,0.0002751306821238,0.0002230890141153,0.0001928712714007,0.0001719986454145,0.0002707716707632,0.0001764216776392,0.0001430510687841,0.000123674586223,0.0001102904603058
3,3,1000000.0,165,1.6,17.15,2.43,0.81,0.02,,0.0033,26716.0,2.6716,165.0,0.0032839975498432,0.1120547117792407,0.019886857753773,0.0011653715168111,-9.06981829031019e-06,60442782617464.78,39406100000000.0,31952336000000.0,27624344000000.0,24634823600000.0,1.004873504186982,2.684620779629338,60737367193241.86,39598156499532.75,32108064524366.89,27758978861367.36,24754888208962.133,0.0004061447635539,0.0002647889536849,0.0002147034499031,0.0001856215444815,0.0001655334875883,0.0002593142586993,0.0001690617666364,0.000137083303659,0.0001185151638658,0.0001056893932308
4,4,1000000.0,170,1.6,17.15,2.43,0.81,0.02,,0.0034,25485.0,2.5485,170.0,0.0033928740663923,0.1154221334422611,0.0199786481359121,0.0013599970918349,-1.6122212515777636e-05,57611547395185.82,37590375000000.0,30480060000000.0,26351490000000.0,23499718500000.0,1.002100727745379,2.553857723705495,57732664426062.58,37669401424656.05,30544138375517.715,26406888863114.81,23549122070288.367,0.0003995416549161,0.0002606928873719,0.000211382164947,0.0001827501325712,0.0001629728213191,0.0002533511613786,0.0001653065330389,0.0001340383820437,0.0001158826814659,0.0001033417994001
5,5,1000000.0,175,1.6,17.15,2.43,0.81,0.02,,0.0035,24341.5,2.43415,175.0,0.0034878954456587,0.1120705412745485,0.0199222175914787,0.001272358429995,-4.3650416530909337e-05,54978825413420.98,35903712500000.0,29112434000000.0,25169111000000.0,22445297150000.0,1.0034744302762943,2.4426175814635966,55170078081892.94,36028609326588.05,29213706274304.617,25256665792333.59,22523376718675.83,0.000394871608892,0.0002578693999637,0.0002090927473604,0.0001807708200424,0.0001612077109875,0.0002468445623372,0.0001612009011051,0.0001307093408282,0.0001130045638933,0.0001007751531586
6,6,1000000.0,180,1.6,17.15,2.43,0.81,0.02,,0.0036,23495.0,2.3495,180.0,0.0035759263747649,0.1090280576422811,0.0198173663752869,0.0010522549979025,3.0046904911181083e-06,53023167451004.71,34655125000000.0,28100020000000.0,24293830000000.0,21664739500000.0,1.006737634902038,2.365277372554369,53379228854234.0,34887841245176.95,28288717375750.258,24456968032212.18,21810222652323.84,0.0003936942088822,0.0002573124669173,0.0002086411596156,0.0001803804005373,0.0001608595428776,0.0002431641900024,0.0001589283666964,0.0001288666620805,0.0001114114787553,9.935447249546826e-05
7,7,1000000.0,185,1.6,17.15,2.43,0.81,0.02,,0.0037,23263.5,2.32635,185.0,0.0036756624685664,0.1132651993290589,0.019869969287523,0.0008429577141564,5.821246837583844e-06,52451203697850.09,34313662500000.0,27823146000000.0,24054459000000.0,21451273350000.0,1.0066234755007928,2.3417600888750933,52798648282968.2,34540961310907.63,28007450662946.12,24213799318968.47,21593369779517.24,0.0004009339000747,0.0002622916074762,0.000212678483079,0.0001838708624613,0.0001639722652568,0.0002450126413244,0.0001602876672015,0.0001299688474393,0.0001123643714483,0.000100204242662
8,8,1000000.0,190,1.6,17.15,2.43,0.81,0.02,,0.0038,23044.0,2.3044,190.0,0.003776862472108,0.1139327767951651,0.019973050790482,0.0009311471777061,9.2718293329579e-09,51902747016850.67,33989900000000.0,27560624000000.0,23827496000000.0,21248872400000.0,1.0061279357930195,2.3185019082265343,52220368859905.97,34197903146341.37,27729282822389.344,23973309731062.36,21378906095756.867,0.0004080804707616,0.0002672423944851,0.0002166928161385,0.0001873414480662,0.0001670672623422,0.0002470430042306,0.0001617827088568,0.0001311810981646,0.0001134124209884,0.0001011388717538
9,9,1000000.0,195,1.6,17.15,2.43,0.81,0.02,,0.0039,23136.5,2.31365,195.0,0.0038810263610996,0.1076422562966179,0.0198914266163748,0.0010106702755446,-3.244065842002117e-05,52071045154628.52,34126337500000.0,27671254000000.0,23923141000000.0,21334166650000.0,1.0048911120149424,2.3249692807733062,52325797074869.16,34293296891406.266,27806632598048.742,24040182363195.984,21438541738010.656,0.0004212511879689,0.0002760797324158,0.0002238585491317,0.0001935365717409,0.0001725919466173,0.0002522278150041,0.0001653051425443,0.0001340372545647,0.0001158817067056,0.0001033409301288
