,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,1000000.0,650,1.6,17.15,2.43,0.81,0.02,,0.013,55663.0,5.5663,650.0,0.0129178805261744,0.0220469314301953,0.0011067192406496,-0.000945159497876,-7.615773204534816e-07,101538309621668.66,76932432376527.17,65276264033081.09,57555542000000.0,51326852300000.0,1.0063570392727448,5.601685187703879,102183792643621.72,77421494870492.53,65691227807117.45,57921424840858.11,51653139115817.47,0.0028682970182438,0.0021732198144132,0.0018439514522726,0.0016258532382223,0.0014499025831381,0.0016286232759012,0.0012339574147625,0.0010469983532744,0.0009231618657782,0.0008232568244044
11,11,1000000.0,700,1.6,17.15,2.43,0.81,0.02,,0.014,58444.0,5.8444,700.0,0.0139763456515993,0.0220981443005248,0.000986148687955,-0.0007926864526606,1.848926070746346e-06,102054393232852.16,79648132363426.31,67944854256252.02,60431096000000.0,53891212400000.0,1.0016924558815532,5.854291389154151,102227115790917.44,79782933313499.53,68059847924459.3,60533372963853.92,53982420899390.414,0.0031086412057228,0.0024261323631495,0.002069643128208,0.0018407693111649,0.0016415603305852,0.0017693478787438,0.0013808837579543,0.0011779804861076,0.0010477121869099,0.0009343282471467
12,12,1000000.0,750,1.6,17.15,2.43,0.81,0.02,,0.015,59633.0,5.9633,750.0,0.0149222065828098,0.0184873936344707,0.0011690236732484,-0.0007740176567897,1.9939754636840794e-06,99080327927356.2,80041664923892.17,68605319784148.84,61660522000000.01,54987589300000.01,1.005213264992576,5.994388263130229,99596859932392.84,80458943333587.39,68962977496084.016,61981974640766.57,55274254174323.84,0.0032369578833858,0.0026149640770737,0.0022413382692912,0.0020144514754525,0.0017964465237087,0.0018300323030174,0.0014783846144051,0.0012671531674368,0.001138881445403,0.0010156311226365
13,13,1000000.0,800,1.6,17.15,2.43,0.81,0.02,,0.016,64030.0,6.4030000000000005,800.0,0.0159828139492219,0.0203922722315687,0.0010030081519971,-0.0007217599845464,2.0969241686602272e-06,100562574645503.84,84596221444108.62,72874920721167.39,65665242739307.54,59042063000000.0,1.00107528316557,6.409885038109145,100670707889106.52,84687186336898.31,72953281896611.12,65735851469388.19,59105549936404.42,0.0035069863744569,0.0029501809891091,0.0025414161770389,0.0022899882224968,0.0020590136160569,0.0019665517711517,0.0016543216967158,0.0014251057604874,0.0012841168781458,0.001154597264185
14,14,1000000.0,850,1.6,17.15,2.43,0.81,0.02,,0.017,68434.0,6.843399999999999,850.0,0.0169546293553821,0.0204354840317758,0.0010890983338009,-0.0006294204621431,-2.072621167126251e-06,100863006916514.66,88913692323277.86,76944044028936.44,69543077923226.66,63102991399999.99,1.0026760033302309,6.8617129611901015,101132916658920.36,89151625660038.08,77149946546999.3,69729175431343.73,63271855215133.93,0.0037396401521199,0.003296602233568,0.0028528104139832,0.0025784090168852,0.0023396336037616,0.0020765668886707,0.0018305544824853,0.0015841234462022,0.0014317524072145,0.0012991639504241
15,15,1000000.0,900,1.6,17.15,2.43,0.81,0.02,,0.018,71830.0,7.183000000000001,900.0,0.0178797247283455,0.020291491307008,0.0010499280579393,-0.0005700488933098,6.200474649532269e-07,98495476901755.16,91648158826520.16,79794444393668.75,72302288033413.84,66234443000000.01,1.0067269084665371,7.231319383515139,99158046959241.2,92264667602072.86,80331214317243.17,72788658906935.84,66679996035393.1,0.0038689483483487,0.0035999824953865,0.0031343630545819,0.0028400676525251,0.0026017198648041,0.0021183007415845,0.0019710383554031,0.0017161055111397,0.0015549748595279,0.0014244762717915
16,16,1000000.0,950,1.6,17.15,2.43,0.81,0.02,,0.019,73435.0,7.3435,950.0,0.018994497081394,0.0191788800049144,0.001078866722335,-0.0005938990750623,2.979503933806049e-07,92648426870900.86,91892497600022.8,80557944088975.66,73181441944193.86,67714413500000.0,1.0002897112033249,7.345627494221616,92675268158135.8,91919119886079.05,80581282627895.05,73202643427800.56,67734031124217.52,0.0038431475610763,0.0038117908739544,0.0033416224841277,0.0030356379446763,0.0028088602460013,0.0020674314739352,0.0020505630605204,0.0017976347220351,0.0016330295234716,0.0015110338560204
17,17,1000000.0,1000,1.6,17.15,2.43,0.81,0.02,,0.02,75906.0,7.5906,1000.0,0.0199424033067998,0.0182809365688555,0.0010145771396396,-0.0005902014421234,1.6096252645776163e-06,86896168078975.45,93059444927920.64,82119686032297.44,74830141670564.92,69574392985236.77,1.002888152060414,7.612522807029778,87147137425854.83,93328214755530.2,82356860172712.16,75046262498411.83,69775334411689.13,0.0037955037754047,0.0040647071369128,0.0035868736822475,0.0032684765220782,0.0030389127286597,0.0019999256169542,0.002141774164791,0.001889994316009,0.0017222245877546,0.0016012629082648
18,18,1000000.0,1050,1.6,17.15,2.43,0.81,0.02,,0.021,77315.0,7.7315,1050.0,0.0209858472017003,0.017964024525746,0.0010449256564611,-0.0005239161618382,1.1468657106561855e-06,79027422940100.78,92743927064421.69,82464801513482.72,75381614844141.06,70205186840960.24,1.0006743972813483,7.736714102580746,79080718819283.56,92806473316695.5,82520415551430.36,75432452000255.61,70252533028102.336,0.0036258607431977,0.004255188285309,0.0037835712639897,0.003458587258114,0.0032210873322851,0.0018688260972611,0.0021931914873631,0.0019501125994031,0.0017826106917493,0.001660199465582
19,19,1000000.0,1100,1.6,17.15,2.43,0.81,0.02,,0.022,78284.0,7.8284,1100.0,0.0219555251117071,0.0186450277457102,0.0010525456257087,-0.0004692115829444,-1.5283273368944885e-06,69940978191818.65,91796901426766.9,82309070123813.14,75442191918475.72,70384394340383.27,1.0020256809193375,7.844257840508944,70082656296821.64,91982852658441.44,82475802036651.39,75595013727158.0,70526970665017.73,0.0033626358747527,0.0044134291785598,0.0039572713904114,0.0036271242921324,0.0033839545220916,0.001692670558056,0.0022216148012644,0.0019919958693949,0.0018258077081134,0.0017034018557736
