Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5
1885.93604,1.97E+15,5657.80811,3.18E+14,9429.68066,5.84E+13
1894.76196,1.95E+15,5684.28516,3.11E+14,9473.80957,5.60E+13
1903.58765,1.94E+15,5710.7627,3.03E+14,9517.93848,5.37E+13
1912.41357,1.92E+15,5737.24023,2.96E+14,9562.06836,5.14E+13
1921.23938,1.91E+15,5763.71777,2.88E+14,9606.19727,4.93E+13
1930.06519,1.89E+15,5790.19531,2.81E+14,9650.32617,4.72E+13
1938.89099,1.88E+15,5816.67285,2.74E+14,9694.45508,4.51E+13
1947.71692,1.86E+15,5843.15039,2.67E+14,9738.58496,4.31E+13
1956.5426,1.85E+15,5869.62793,2.60E+14,9782.71289,4.12E+13
1965.36853,1.83E+15,5896.10547,2.53E+14,9826.84277,3.94E+13
1974.19421,1.82E+15,5922.58252,2.46E+14,9870.97168,3.76E+13
1983.02014,1.80E+15,5949.06055,2.39E+14,9915.10059,3.59E+13
1991.84595,1.79E+15,5975.5376,2.33E+14,9959.22949,3.42E+13
2000.67175,1.77E+15,6002.01514,2.26E+14,10003.3594,3.26E+13
2009.49756,1.76E+15,6028.49219,2.20E+14,10047.4883,3.10E+13
2018.32336,1.74E+15,6054.97021,2.14E+14,10091.6172,2.95E+13
2027.14917,1.72E+15,6081.44727,2.08E+14,10135.7461,2.81E+13
2035.97498,1.71E+15,6107.9248,2.02E+14,10179.875,2.67E+13
2044.8009,1.69E+15,6134.40234,1.96E+14,10224.0049,2.54E+13
2053.62671,1.68E+15,6160.87988,1.90E+14,10268.1338,2.41E+13
2062.45264,1.66E+15,6187.35742,1.84E+14,10312.2627,2.29E+13
2071.27832,1.64E+15,6213.83496,1.78E+14,10356.3916,2.17E+13
2080.10425,1.63E+15,6240.3125,1.73E+14,10400.5215,2.05E+13
2088.92993,1.61E+15,6266.78955,1.67E+14,10444.6494,1.94E+13
2097.75586,1.60E+15,6293.26758,1.62E+14,10488.7793,1.84E+13
2106.58154,1.58E+15,6319.74463,1.57E+14,10532.9082,1.74E+13
2115.40747,1.56E+15,6346.22168,1.52E+14,10577.0371,1.64E+13
2124.2334,1.55E+15,6372.69922,1.46E+14,10621.166,1.55E+13
2133.05908,1.53E+15,6399.17676,1.41E+14,10665.2959,1.46E+13
2141.88477,1.51E+15,6425.6543,1.37E+14,10709.4248,1.38E+13
2150.71069,1.50E+15,6452.13184,1.32E+14,10753.5537,1.30E+13
2159.53662,1.48E+15,6478.60938,1.27E+14,10797.6826,1.22E+13
2168.3623,1.46E+15,6505.08691,1.23E+14,10841.8115,1.15E+13
2177.18823,1.45E+15,6531.56445,1.18E+14,10885.9414,1.08E+13
2186.01416,1.43E+15,6558.04199,1.14E+14,10930.0703,1.01E+13
2194.83984,1.41E+15,6584.51953,1.10E+14,10974.1992,9.46E+12
2203.66553,1.39E+15,6610.99609,1.05E+14,11018.3281,8.86E+12
2212.49146,1.38E+15,6637.47461,1.01E+14,11062.458,8.28E+12
2221.31738,1.36E+15,6663.95117,9.73E+13,11106.5859,7.74E+12
2230.14307,1.34E+15,6690.42871,9.34E+13,11150.7158,7.22E+12
2238.96875,1.33E+15,6716.90625,8.96E+13,11194.8447,6.73E+12
2247.79468,1.31E+15,6743.38379,8.59E+13,11238.9736,6.27E+12
2256.62061,1.29E+15,6769.86133,8.23E+13,11283.1025,5.83E+12
2265.44629,1.27E+15,6796.33887,7.88E+13,11327.2324,5.41E+12
2274.27222,1.25E+15,6822.81641,7.54E+13,11371.3613,5.02E+12
2283.09814,1.24E+15,6849.29395,7.21E+13,11415.4902,4.65E+12
2291.92383,1.22E+15,6875.77148,6.89E+13,11459.6191,4.30E+12
2300.74951,1.20E+15,6902.24902,6.57E+13,11503.748,3.98E+12
2309.57544,1.18E+15,6928.72656,6.27E+13,11547.8779,3.67E+12
2318.40137,1.16E+15,6955.20312,5.97E+13,11592.0068,3.38E+12
2327.22705,1.15E+15,6981.68164,5.68E+13,11636.1357,3.11E+12
2336.05298,1.13E+15,7008.1582,5.40E+13,11680.2646,2.85E+12
2344.87866,1.11E+15,7034.63574,5.13E+13,11724.3945,2.62E+12
2353.70459,1.09E+15,7061.11328,4.87E+13,11768.5234,2.39E+12
2362.53027,1.07E+15,7087.59082,4.62E+13,11812.6523,2.19E+12
2371.3562,1.05E+15,7114.06836,4.37E+13,11856.7812,2.00E+12
2380.18213,1.04E+15,7140.5459,4.13E+13,11900.9102,1.82E+12
2389.00781,1.02E+15,7167.02344,3.91E+13,11945.0391,1.65E+12
2397.8335,9.98E+14,7193.50098,3.69E+13,11989.1689,1.50E+12
2406.65942,9.80E+14,7219.97852,3.47E+13,12033.2969,1.35E+12
2415.48535,9.61E+14,7246.45605,3.27E+13,12077.4268,1.22E+12
2424.31104,9.42E+14,7272.93262,3.07E+13,12121.5557,1.10E+12
2433.13696,9.23E+14,7299.41113,2.88E+13,12165.6846,9.88E+11
2441.96265,9.04E+14,7325.8877,2.70E+13,12209.8135,8.85E+11
2450.78857,8.84E+14,7352.36523,2.53E+13,12253.9434,7.91E+11
2459.61426,8.65E+14,7378.84277,2.36E+13,12298.0723,7.05E+11
2468.44043,8.46E+14,7405.32031,2.20E+13,12342.2012,6.26E+11
2477.26611,8.26E+14,7431.79785,2.05E+13,12386.3301,5.55E+11
2486.0918,8.07E+14,7458.27539,1.90E+13,12430.459,4.90E+11
2494.91748,7.87E+14,7484.75293,1.76E+13,12474.5889,4.31E+11
2503.74365,7.67E+14,7511.23047,1.63E+13,12518.7178,3.78E+11
