,Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,1000000.0,150,17.15,2.43,0.81,,0.00045,18.5,0.00185,150.0,0.0002019463611095,0.0090358376393201,0.001790270068074,-0.0005949126448307,2.5759092751703834e-05,44585000000.0,28860000000.0,23310000000.0,2.2624071415186293,0.0042826571587096,103212037524.90448,66809451675.87178,53961480199.74259,2.7208533308183657e-07,1.76121626393222e-07,1.4225208285606393e-07,1.7662182290676306e-07,1.1432781897699185e-07,9.234169994295497e-08
1,1,1000000.0,155,17.15,2.43,0.81,,0.0004649999999999,14.0,0.0013999999999999,155.0,0.0001798025887659,0.0078957900923535,0.0012417912291834,-0.0004462690108103,-0.000133780860265,33740000000.0,21840000000.0,17640000000.0,2.5861925626650226,0.003619130384954,87221042277.39365,56458434005.28386,45601042850.42159,2.135534461875498e-07,1.382337659969202e-07,1.1165034945905097e-07,1.3737561277503625e-07,8.892363316558361e-08,7.182293447989449e-08
2,2,1000000.0,160,17.15,2.43,0.81,,0.0004799999999999,18.0,0.0018,160.0,0.0001878188024968,0.0079221118793483,0.0011081349560582,0.0010347231768853,-5.7794835551171305e-05,43380000000.0,28080000000.0,22680000000.0,2.7153414666800533,0.0050851605230301,122552368605.02644,79328504159.27022,64073022590.179794,2.833256882502704e-07,1.8339754094208374e-07,1.481287830686061e-07,1.816765504070761e-07,1.1759975876972563e-07,9.498442054477841e-08
3,3,1000000.0,165,17.15,2.43,0.81,,0.000495,10.5,0.00105,165.0,0.0001881492385114,0.0085449111133975,0.000897191013149,0.000644122804322,-1.2093976318364164e-06,25305000000.000004,16380000000.000002,13230000000.000002,2.6425592088149514,0.0027659070960113,66658361013.87448,43148150697.777664,34850429409.7435,1.700367322063996e-07,1.1006527063982713e-07,8.889887243986036e-08,1.0856461321309213e-07,7.027418946573599e-08,5.675992226078676e-08
4,4,1000000.0,170,17.15,2.43,0.81,,0.0005099999999999,13.5,0.00135,170.0,0.000204129036016,0.0091866304310522,0.0015331921677368,0.0001834929485896,-0.0001133274871252,32480760015.245625,21060000000.0,17010000000.0,2.522992591125779,0.0032939933566955,79252894600.4768,51386296364.45161,41504316294.36476,2.2525721311403517e-07,1.46053137486774e-07,1.1796599566239438e-07,1.428366125262563e-07,9.261295174100036e-08,7.48027687138849e-08
5,5,1000000.0,175,17.15,2.43,0.81,,0.000525,11.5,0.00115,175.0,0.000126945823512,0.0105243405503787,0.0013420420227289,-3.704965229130001e-05,-0.0001882719544725,27600000000.0,17940000000.0,14490000000.0,4.2797580323774405,0.0049609921248439,119063810996.25592,77391477147.56636,62508500773.03436,1.982300699127238e-07,1.2884954544327048e-07,1.0407078670418e-07,1.2391879726929665e-07,8.054721822504283e-08,6.505736856638075e-08
6,6,1000000.0,180,17.15,2.43,0.81,,0.0005399999999999,10.5,0.00105,180.0,0.0002479836438727,0.0095439144487367,0.0011707191755922,-0.0014154813548385,-0.0001015557449255,25200000000.0,16380000000.0,13230000000.0,2.177884998277953,0.0022986965286955,55168716688.69429,35859665847.65129,28963576261.564507,1.8710866477374306e-07,1.21620632102933e-07,9.823204900621513e-08,1.1556717341955013e-07,7.511866272270757e-08,6.067276604526384e-08
7,7,1000000.0,185,17.15,2.43,0.81,,0.0005549999999999,10.5,0.00105,185.0,0.0002485684849912,0.0094089894836076,0.0016033064012468,-0.0005412213950088,-9.586187966560576e-05,25200000000.000004,16380000000.000002,13230000000.000002,2.254370342382907,0.0023781185033644,57074844080.7473,37098648652.48575,29964293142.39233,1.9262731013927875e-07,1.252077515905312e-07,1.0112933782312139e-07,1.1771547888478599e-07,7.65150612751109e-08,6.180062641451265e-08
8,8,1000000.0,190,17.15,2.43,0.81,,0.00057,10.0,0.001,190.0,0.0002973962431299,0.0067470255519655,0.0013956293167877,0.0011669382904775,-8.767979928708434e-05,24000000000.000004,15600000000.000002,12600000000.000002,1.9260240882100028,0.0019260240882099,46224578117.04007,30045975776.07605,24267903511.44604,1.8869774455486025e-07,1.2265353396065914e-07,9.906631589130165e-08,1.142334932602239e-07,7.425177061914554e-08,5.997258396161755e-08
9,9,1000000.0,195,17.15,2.43,0.81,,0.000585,9.5,0.0009499999999999,195.0,0.0002715462269947,0.0094263259841235,0.0012668397023835,-0.0006557678189194,-0.0001832099354867,22800000000.0,14820000000.0,11970000000.0,2.228609668462708,0.0020561489257872,49347574218.894,32075923242.281097,25907476464.91935,1.8445043799620375e-07,1.1989278469753244e-07,9.683647994800699e-08,1.1044130504808803e-07,7.17868482812572e-08,5.7981685150246206e-08
10,10,1000000.0,200,17.15,2.43,0.81,,0.0006,16.5,0.00165,200.0,0.0002725347319717,0.0096376033435579,0.0008959733558377,-0.0015512962080758,-9.722786354595888e-05,39482825112.90508,25740000000.0,20790000000.0,2.2078028129794607,0.0036604928257745,87591877616.42383,57103688082.08261,46122209604.75903,3.2816011147801614e-07,2.1393710417857773e-07,1.7279535337500509e-07,1.946952069987873e-07,1.2692745804835476e-07,1.025183315005942e-07
11,11,1000000.0,205,17.15,2.43,0.81,,0.0006149999999999,12.0,0.0012,205.0,0.0002362970590059,0.0094597333512299,0.0016316295348808,-0.0007152944998602,-0.0001844205848971,28680000000.0,18720000000.0,15120000000.0,2.715275121966885,0.0029818380930571,71265930424.06702,46516674251.69228,37571159972.52069,2.4463356626047015e-07,1.5967713948382158e-07,1.289699972753943e-07,1.4376768585657826e-07,9.383999578923096e-08,7.57938427528404e-08
12,12,1000000.0,210,17.15,2.43,0.81,,0.00063,15.0,0.0015,210.0,0.0002800908341363,0.0074579884602145,0.0010763196031657,1.5032491039091246e-05,2.274799216394858e-05,35850000000.0,23400000000.0,18900000000.0,2.301726017520563,0.0035915788934189,85838735552.7139,56028630737.33627,45253894057.0793,3.138895845833376e-07,2.0488190458159274e-07,1.654815383159018e-07,1.8273661460669577e-07,1.1927578191901485e-07,9.63381315499735e-08
13,13,1000000.0,215,17.15,2.43,0.81,,0.0006449999999999,17.0,0.0017,215.0,0.0002151168254375,0.0086568342413283,0.0010607218247846,-0.0003615125809358,-5.802067024194991e-05,40568062974.35895,26520000000.0,21420000000.0,3.016564481424692,0.0050813055790727,121258073366.9323,79268367033.53496,64024450296.316696,3.6421533247078025e-07,2.3809346340322093e-07,1.923062589026015e-07,2.1072183843381554e-07,1.3775227963920537e-07,1.1126145663166589e-07
14,14,1000000.0,220,17.15,2.43,0.81,,0.0006599999999999,12.0,0.0012,220.0,0.0002588478044458,0.0091650984377538,0.0013218629763038,-0.0003275471944796,4.432536367129303e-05,28560000000.0,18720000000.0,15120000000.0,2.6184918156974164,0.0032270362629575,76803463058.38962,50341765702.137726,40660656913.26509,2.6285453696788495e-07,1.7229120910500017e-07,1.3915828427711554e-07,1.512271319266104e-07,9.912366630483705e-08,8.00614227846761e-08
15,15,1000000.0,225,17.15,2.43,0.81,,0.0006749999999999,15.5,0.0015499999999999,225.0,0.0002731811845658,0.0102826134492899,0.0014030940987195,5.394364053230003e-05,-8.967638600031312e-05,36890000000.0,24180000000.0,19530000000.0,2.5066350105851685,0.0039002513740639,92825982702.72394,60843921435.39888,49143167313.20679,3.47728861353263e-07,2.2792311920634046e-07,1.84091750128198e-07,1.9906269476603798e-07,1.3047806883824336e-07,1.0538613252319657e-07
16,16,1000000.0,230,17.15,2.43,0.81,,0.00069,23.5,0.0023499999999999,230.0,0.0003455286096642,0.009538056648249,0.0015119697891992,0.0003743599257485,0.0001002317809688,55930000000.0,36660000000.0,29610000000.0,1.9969416845986012,0.0046927293464339,111686958445.12865,73206577804.37006,59128389765.06812,5.39515116013974e-07,3.5363175671504175e-07,2.856256496544568e-07,3.076762275692863e-07,2.016701323563389e-07,1.628874145955045e-07
17,17,1000000.0,235,17.15,2.43,0.81,,0.0007049999999999,27.0,0.0027,235.0,0.0002693826454608,0.0087680253918427,0.0014017697589386,0.0004474403559985,9.57650331140273e-05,64260000000.0,42120000000.0,34020000000.0,2.8943693986990398,0.0080835502062037,192388494907.6494,126103383216.7786,101852732598.16734,6.345535652570229e-07,4.159258663029226e-07,3.359401227831299e-07,3.599253936158892e-07,2.359174848910871e-07,1.9054873779664727e-07
18,18,1000000.0,240,17.15,2.43,0.81,,0.0007199999999999,22.0,0.0021999999999999,240.0,0.0002690485897177,0.0093384358427995,0.0011384043730061,-0.0001206694673252,6.3909453226500046e-06,52186644121.39624,34320000000.0,27720000000.0,2.676774232226492,0.0058931624533523,139792896228.489,91933334272.2974,74253846912.2402,5.2693844320369e-07,3.4653554899377185e-07,2.798940972642003e-07,2.97712640174088e-07,1.9578760011865922e-07,1.5813613855737857e-07
19,19,1000000.0,245,17.15,2.43,0.81,,0.000735,32.5,0.00325,245.0,0.0003423649449087,0.009131307375651,0.0014917669154883,0.0009155524009966,-1.8009402296221306e-05,77025000000.0,50700000000.0,40950000000.0,2.1634698639467067,0.0070976808671077,168215036550.4555,110723821526.88213,89430778925.55862,7.946645054533114e-07,5.230703073869898e-07,4.224798636587226e-07,4.4705042485025773e-07,2.942610391419418e-07,2.3767237776849145e-07
20,20,1000000.0,250,17.15,2.43,0.81,,0.00075,39.0,0.0038999999999999,250.0,0.0003022840380372,0.0089281817156128,0.0011311031414712,0.0003200639551957,-0.0001189246120394,92430000000.0,60840000000.0,49140000000.0,2.506814156794201,0.0098273433614727,232908037666.90594,153306556438.97607,123824526354.5576,9.746875617623257e-07,6.415664963498851e-07,5.181883239749072e-07,5.459539279385705e-07,3.593620791494389e-07,2.90253987005316e-07
21,21,1000000.0,255,17.15,2.43,0.81,,0.000765,29.5,0.0029499999999998,255.0,0.0002967371329588,0.0096498321232893,0.0011993609990291,-0.0005734195470594,-8.95781483896917e-06,69784561220.66562,46020000000.0,37170000000.0,2.580312682446668,0.0075927750320745,179613042054.42377,118447290500.3635,95668965404.13974,7.516323280767183e-07,4.956700899603456e-07,4.003489188141253e-07,4.190421820274337e-07,2.763407962962407e-07,2.231983354700406e-07
22,22,1000000.0,260,17.15,2.43,0.81,,0.00078,38.0,0.0037999999999999,260.0,0.0003313953823827,0.0102571418639236,0.0013709944033388,0.0007237160890651,-4.535783043758638e-05,89680000000.0,59280000000.0,47880000000.0,2.4183549628414025,0.0090711075211905,214078137500.09857,141509277330.5736,114295954767.00175,9.854585554103843e-07,6.514048078136441e-07,5.261346524648663e-07,5.47607271306185e-07,3.61977687812563e-07,2.923665940024547e-07
23,23,1000000.0,265,17.15,2.43,0.81,,0.0007949999999999,38.0,0.0037999999999999,265.0,0.0003416443436137,0.0090427624932503,0.0014867188852278,-0.0004648245377023,-1.1692000782437275e-05,89680000000.0,59280000000.0,47880000000.0,2.3342263827272096,0.00885705577232,209026516226.7526,138170070048.1924,111598902731.23232,1.0059327258392517e-06,6.649385814869629e-07,5.370657773548547e-07,5.563102881424273e-07,3.677305294500791e-07,2.970131199404485e-07
24,24,1000000.0,270,17.15,2.43,0.81,,0.0008099999999999,43.0,0.0043,270.0,0.0003123778809955,0.0081592732212183,0.0014209479826259,-0.0004452415747191,1.4642527622877158e-05,101438568973.07402,67080000000.0,54180000000.0,2.594345575779068,0.011167444180076,263444082956.65204,174212129209.18716,140709796668.95886,1.1607002081663764e-06,7.675558789129578e-07,6.199489791220044e-07,6.394140868054312e-07,4.228361793460789e-07,3.41521529471833e-07
