,Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
25,25,1000000.0,275,17.15,2.43,0.81,,0.0008249999999999,56.5,0.0056499999999999,275.0,0.0003550386960994,0.0106037666651505,0.0013072627905603,7.016403131840958e-05,9.948753921203293e-06,132785690639.35522,88140000000.0,71190000000.0,2.324244963463816,0.0131409597232037,308837418143.286,204998971681.9792,165576092512.3678,1.5496293414492036e-06,1.0286072956934389e-06,8.307982003677777e-07,8.504679720068227e-07,5.645205194306118e-07,4.559588810785711e-07
26,26,1000000.0,280,17.15,2.43,0.81,,0.0008399999999999,44.5,0.00445,280.0,0.000355723182448,0.0100958657760454,0.0014140303762031,-3.38760422127e-05,4.773620829537169e-05,104575000000.0,69420000000.0,56070000000.0,2.361410876071097,0.0105094112308868,246971163925.8412,163946815201.835,132418581509.1744,1.2436275619309751e-06,8.255570198350303e-07,6.667960544821398e-07,6.807293226230618e-07,4.51888401400841e-07,3.649867857468332e-07
27,27,1000000.0,285,17.15,2.43,0.81,,0.000855,49.5,0.0049499999999999,285.0,0.0003683387089464,0.0092050522333893,0.0013525608992512,-0.0002562834515496,8.429184183655398e-05,116325000000.0,77220000000.0,62370000000.0,2.3579314056213816,0.011804133989399,277397148750.87915,184144490234.62616,148732088266.42883,1.4089668503662166e-06,9.353141644984246e-07,7.554460559410353e-07,7.703004718152471e-07,5.11348398311398e-07,4.130121678668984e-07
28,28,1000000.0,290,17.15,2.43,0.81,,0.0008699999999999,58.0,0.0058,290.0,0.0004256302659677,0.0096963409428311,0.0014653920469442,0.0002009407202447,0.0001051080932294,135931544571.70493,90480000000.0,73080000000.0,2.0470957497911773,0.0119286316161194,279565055207.9287,186086653211.46307,150300758363.1048,1.6774170667751352e-06,1.1165377152155656e-06,9.018189238279568e-07,9.159622418125304e-07,6.096911787497557e-07,4.924428751440335e-07
29,29,1000000.0,295,17.15,2.43,0.81,,0.0008849999999999,51.5,0.00515,295.0,0.0003921652746583,0.0103626876884557,0.0013631367773694,0.0005737008399291,0.0001146686729761,120510000000.0,80340000000.0,64890000000.0,2.257107745293622,0.0115892857116608,271189285652.86392,180792857101.90924,146024999966.9267,1.5138348131064985e-06,1.0092232087376657e-06,8.151418224419607e-07,8.255749429681239e-07,5.503832953120826e-07,4.445403539059129e-07
30,30,1000000.0,300,17.15,2.43,0.81,,0.0009,59.5,0.00595,300.0,0.000425916430068,0.0091603533039004,0.0011253015557786,-0.0001039284965351,5.189812567895117e-05,138989186750.6761,92820000000.0,74970000000.0,2.1131012462426657,0.0125731896924968,293703766423.88727,196141759202.95184,158422190125.4611,1.776496513263602e-06,1.186382985727668e-06,9.582324115492703e-07,9.683025989499445e-07,6.466535227359812e-07,5.222970760559847e-07
31,31,1000000.0,305,17.15,2.43,0.81,,0.000915,59.5,0.0059499999999999,305.0,0.0003846020825915,0.0093678290305678,0.0014929846261988,7.59709790800169e-05,0.00010902790567,138635000000.0,92820000000.0,74970000000.0,2.3791393102388803,0.014161120576356,329954109429.09784,220913480991.15564,178430119262.08722,1.8035346645117328e-06,1.2075167710894003e-06,9.753020074183618e-07,9.814068235152537e-07,6.57079246645406e-07,5.307178530597509e-07
32,32,1000000.0,310,17.15,2.43,0.81,,0.0009299999999999,61.5,0.0061499999999999,310.0,0.0003865664238021,0.0087853346581177,0.0014100261346803,-0.0009411934240302,-9.310479910721676e-06,143295000000.0,95939999999.99998,77490000000.0,2.4167705499449443,0.0148061386180587,344983029800.7711,230975762441.718,186557346587.54144,1.896425747342118e-06,1.2697099424264823e-06,1.0255349534983129e-06,1.031017958901744e-06,6.90295285788292e-07,5.575461923674666e-07
33,33,1000000.0,315,17.15,2.43,0.81,,0.0009449999999999,76.0,0.0075999999999999,315.0,0.0004284041801419,0.0093237079514206,0.0013697783116259,0.00038287081158,1.3096661555409693e-05,177035225770.9027,118560000000.0,95760000000.0,2.2066834624990945,0.0167793155625694,390859199855.3572,261757322776.08435,211419376088.37585,2.3831599772262902e-06,1.5959956312061153e-06,1.2890733944357086e-06,1.293776679900777e-06,8.66438656493905e-07,6.998158379373849e-07
34,34,1000000.0,320,17.15,2.43,0.81,,0.0009599999999999,75.5,0.00755,320.0,0.000443557698627,0.0095442717523852,0.0012589187112941,-0.000301859957664,5.781422907629465e-05,175202551234.9997,117780000000.0,95130000000.0,2.168840929853424,0.0163103724970741,378492565970.9352,254441810954.3565,205510693463.1341,2.397362980222243e-06,1.6116284256148964e-06,1.3016998822274164e-06,1.3008029760260726e-06,8.744654312188169e-07,7.062990021382751e-07
35,35,1000000.0,325,17.15,2.43,0.81,,0.0009749999999999,74.5,0.00745,325.0,0.0003769166579338,0.0094802870294937,0.0014925810153769,0.0002021346536295,-3.62370803226757e-05,172840000000.0,116220000000.0,93870000000.0,2.5906240582914664,0.019375005685128,449500131894.9717,302250088687.99817,244125071632.61392,2.402978963146725e-06,1.6157961993572808e-06,1.305066161019342e-06,1.302796066888523e-06,8.760180449767653e-07,7.075530363273875e-07
36,36,1000000.0,330,17.15,2.43,0.81,,0.00099,78.5,0.00785,330.0,0.0004192832579346,0.0090521475300177,0.0012630254023786,-0.0003183617851422,-4.714616837366684e-05,181560217098.2272,122460000000.0,98910000000.0,2.364026516944744,0.0185288579934283,428548213996.0609,289050184697.48254,233463610717.19748,2.565449298014812e-06,1.7303621137714612e-06,1.3976001688154108e-06,1.3896793477043625e-06,9.373206071229016e-07,7.570666442146513e-07
37,37,1000000.0,335,17.15,2.43,0.81,,0.0010049999999999,79.0,0.0079,335.0,0.0004003825769139,0.0089604682098951,0.00117244649936,-0.0001048273232111,3.258164749470449e-05,182490000000.0,123240000000.0,99540000000.0,2.519013825743115,0.0199301798606367,460387154780.7095,310910805825.9337,251120266244.02335,2.6189299724510776e-06,1.7686280333435843e-06,1.4285072577005876e-06,1.4174255810792445e-06,9.572224703392298e-07,7.73141226043224e-07
38,38,1000000.0,340,17.15,2.43,0.81,,0.0010199999999999,93.5,0.00935,340.0,0.0004458307036527,0.0096029459183251,0.0013401966421654,5.166507804970288e-05,-5.713006409194059e-05,215533810630.81424,145860000000.0,117810000000.0,2.2890870197965465,0.021421482855566,493802548579.98047,334175132546.8312,269910683980.13287,3.1404850308713046e-06,2.125286725373747e-06,1.7165777397249497e-06,1.6991770385413357e-06,1.1498983018778678e-06,9.287640130552008e-07
39,39,1000000.0,345,17.15,2.43,0.81,,0.001035,89.0,0.0089,345.0,0.0004264226282093,0.0092657497710062,0.0013652083763636,0.0001065236509776,-1.0362955728683645e-05,204700000000.0,138840000000.0,112140000000.0,2.4295597682355723,0.0215925997217469,496629793600.1796,336844555659.25226,272066756494.01144,3.0289799441171567e-06,2.054438570792507e-06,1.659354230255486e-06,1.6369255866582964e-06,1.11026257182041e-06,8.967505387780233e-07
40,40,1000000.0,350,17.15,2.43,0.81,,0.00105,91.0,0.0091,350.0,0.0004073534789805,0.0099551542852989,0.0013623168369198,-0.0001251832382411,9.40182002257166e-05,209300000000.0,141960000000.0,114660000000.0,2.6138085761733274,0.0239086903241304,549899877455.0021,372975569056.43616,301249498084.04456,3.144044264436325e-06,2.132482196748117e-06,1.7223894666042478e-06,1.698077999626796e-06,1.1517398606164355e-06,9.302514258825056e-07
41,41,1000000.0,355,17.15,2.43,0.81,,0.001065,88.0,0.0087999999999999,355.0,0.0004791964349638,0.0085393781390679,0.001441806183128,2.741998912695e-05,4.891788340062329e-05,202279666231.32184,137280000000.0,110880000000.0,2.222489009494728,0.0195521502638719,449432094259.16846,305013544116.40344,246357093324.78732,3.08222532035858e-06,2.091796471005383e-06,1.6895279188889631e-06,1.663949346291906e-06,1.1292631163318692e-06,9.120971324218944e-07
42,42,1000000.0,360,17.15,2.43,0.81,,0.0010799999999999,102.5,0.0102499999999999,360.0,0.0002827421980668,0.0096036787946358,0.0008715724858259,2.6147114779999e-07,-4.325375319084136e-05,234725000000.0,159900000000.0,129150000000.0,4.054672960263267,0.041413995962654,948380507544.7778,646058337017.4032,521816349129.441,3.629691808186688e-06,2.472628480686128e-06,1.9971230036311035e-06,1.9580813347236704e-06,1.3338894681960377e-06,1.077372262773723e-06
43,43,1000000.0,365,17.15,2.43,0.81,,0.0010949999999999,90.0,0.009,365.0,0.0004781758754214,0.0092879828034007,0.0013662066713272,-0.0001055656563902,-6.421841691909442e-05,206100000000.0,140400000000.0,113400000000.0,2.2906042974213845,0.0206270312920932,472359016588.93713,321781688156.6559,259900594280.37585,3.233239421306385e-06,2.2025561123309865e-06,1.7789876291904123e-06,1.7425049459747374e-06,1.187033936995891e-06,9.587581798812968e-07
44,44,1000000.0,370,17.15,2.43,0.81,,0.0011099999999999,110.0,0.0109999999999999,370.0,0.0003845849689695,0.0101562723806929,0.0008336511659637,-2.4078999979429772e-05,-7.972762177644787e-06,251029981473.91217,171441260721.07178,138600000000.0,2.9123236852346706,0.0319804249342038,729822316251.0035,498433124465.0466,402953354170.9689,3.995011122458876e-06,2.728398175419663e-06,2.2057466535340658e-06,2.15142123802429e-06,1.4693160045000623e-06,1.187854063643609e-06
45,45,1000000.0,375,17.15,2.43,0.81,,0.001125,120.0,0.0119999999999999,375.0,0.0002803434245492,0.0106669979335861,0.000571709821439,0.0001021449915769,-1.0487626237043965e-05,273600000000.0,186672938293.9889,151200000000.0,4.357040095231618,0.0511824757870243,1166960447944.1567,796198595360.3992,644899194916.5076,4.41484996221048e-06,3.012182070807515e-06,2.4397855054321077e-06,2.375680533486155e-06,1.6208891287781128e-06,1.3128760842949803e-06
46,46,1000000.0,380,17.15,2.43,0.81,,0.00114,107.5,0.0107499999999999,380.0,0.0004136980834577,0.0100440114369966,0.0011586256822279,-0.000194748064942,-5.680024833318981e-07,244497586287.01013,166910812678.10696,135449999999.99995,2.771511057161105,0.0300769441969597,684068861306.5831,466992297561.7335,378969496881.6936,3.999192155885956e-06,2.7301227097238604e-06,2.2155252562652072e-06,2.151263814303275e-06,1.4686001485056e-06,1.1917855225994911e-06
47,47,1000000.0,385,17.15,2.43,0.81,,0.001155,131.5,0.0131499999999999,385.0,0.0003041219475221,0.0094734779176586,0.0010162019267708,0.0002835887847028,-3.5968897501804266e-06,298505000000.0,203825000000.0,165690000000.0,4.4979353461007126,0.0597689474285754,1356755106628.6626,926418685142.9194,753088737600.0507,4.950138099154164e-06,3.380050243915839e-06,2.7476537466670686e-06,2.6599271094160733e-06,1.816249788367804e-06,1.4764353118344723e-06
48,48,1000000.0,390,17.15,2.43,0.81,,0.00117,118.0,0.0118,390.0,0.0001529415603726,0.0112715463889658,0.0008018816831309,-0.0002961966186445,-9.262842805158962e-05,267470783003.1148,182900000000.0,148680000000.0,7.759490168595484,0.0908245345957248,2058721134255.2551,1407780286233.7354,1144389135906.1333,4.494769709331028e-06,3.07358198382016e-06,2.4985247094280007e-06,2.4141487549133496e-06,1.6508263157419693e-06,1.3419620373128267e-06
49,49,1000000.0,395,17.15,2.43,0.81,,0.0011849999999999,112.0,0.0112,395.0,0.0003381032606455,0.0105277936733385,0.0009070277195091,7.591600031820637e-05,-2.2497023206808177e-05,253120000000.0,173600000000.0,141120000000.0,4.132428328731684,0.0459611142309647,1038721181619.8032,712397270579.9536,579110039310.1559,4.309263697274065e-06,2.955468464944602e-06,2.402509848922709e-06,2.3164108078427786e-06,1.5886888283877463e-06,1.2914502733990713e-06
50,50,1000000.0,400,17.15,2.43,0.81,,0.0012,138.5,0.01385,400.0,0.0003566737305789,0.0095862814938215,0.0007995891916331,-0.000140859119574,-3.41099021495158e-05,312872469206.01306,214675000000.0,174510000000.0,3.4408941839219485,0.0472716543170272,1067869979034.0358,732710641913.9221,595622844394.5432,5.397357917548826e-06,3.703354960857406e-06,3.0104691939873107e-06,2.9036349135608903e-06,1.992306407305665e-06,1.6195523052936371e-06
51,51,1000000.0,405,17.15,2.43,0.81,,0.001215,133.5,0.0133499999999999,405.0,0.0004126358722657,0.0101459547709873,0.0005695619132581,-0.0002609460901234,2.7313816792661224e-05,300396316807.0087,206925000000.0,168210000000.0,3.073707627033622,0.0414436482480358,932548261329.979,642376547844.5562,522189967925.2521,5.249637571109491e-06,3.6161603642421447e-06,2.939588425125872e-06,2.8298829202320155e-06,1.9493365614240028e-06,1.5846219789640278e-06
52,52,1000000.0,410,17.15,2.43,0.81,,0.0012299999999999,143.5,0.0143499999999999,410.0,0.0002555432908195,0.0087712970648528,0.0009256437126313,-4.515737998595e-05,4.650391320001769e-05,322875000000.0,222425000000.0,180810000000.0,4.903604784486836,0.0700672354456811,1576512797527.828,1086042149408.0596,882847166615.5837,5.715309940146558e-06,3.937213514323184e-06,3.2005735664820726e-06,3.088205756042505e-06,2.127430631940393e-06,1.7293952233838032e-06
53,53,1000000.0,415,17.15,2.43,0.81,,0.0012449999999999,154.5,0.01545,415.0,0.0003710260140792,0.0114155419490752,0.0010508084499279,8.265700035899992e-06,1.793799144663289e-05,346460862554.25366,239475000000.0,194670000000.0,3.374877019287026,0.0521546164114418,1169549086608.051,808396554377.3491,657148166784.1676,6.209443845891045e-06,4.291990021706713e-06,3.48897253377449e-06,3.362277703632482e-06,2.3240184970425115e-06,1.8892021330797188e-06
54,54,1000000.0,420,17.15,2.43,0.81,,0.00126,159.0,0.0158999999999999,420.0,0.0004383241232516,0.0108174736344568,0.0009013207798622,0.0001030803375072,-7.037605638494915e-05,355145239248.83826,246301486302.09625,200340000000.0,3.0909083441223792,0.0479188908502968,1070324902865.89,742295222539.3738,603778024713.7407,6.443211285029149e-06,4.4685169352620286e-06,3.634662121820805e-06,3.497727301142828e-06,2.425755262193668e-06,1.9730932871099903e-06
55,55,1000000.0,425,17.15,2.43,0.81,,0.001275,157.5,0.01575,425.0,0.0003062701110536,0.0090391365561956,0.0009006790483616,-0.0003755832097957,1.5883390197000115e-05,351225000000.0,243513404698.71265,198450000000.0,4.982392108136119,0.0791798639323972,1765710965692.459,1224213222206.9114,997666285548.2052,6.4510557221111935e-06,4.472684298647331e-06,3.644991125497805e-06,3.5082102958443355e-06,2.4323332152897203e-06,1.982217476575723e-06
56,56,1000000.0,430,17.15,2.43,0.81,,0.0012899999999999,159.0,0.0158999999999999,430.0,0.0003234281783761,0.0102568978981073,0.0006646462248391,0.0003739014372988,-9.789461043373952e-06,353921797748.1566,245363673661.0188,200340000000.0,4.0109352538207625,0.0637738705357501,1419557415683.7031,984137808693.953,803550768750.4512,6.578772943457534e-06,4.560871661081128e-06,3.723962129142826e-06,3.5860409136916377e-06,2.4860977144679965e-06,2.0299044625677464e-06
57,57,1000000.0,435,17.15,2.43,0.81,,0.0013049999999999,150.5,0.0150499999999999,435.0,0.00055749160353,0.010550143718741,0.0006835388026179,6.920924915084997e-05,2.8096221447010075e-05,334110000000.0,231802908709.0708,189630000000.0,2.3711362800573994,0.0357258029308327,793112825064.487,550255484075.3541,450145116928.4927,6.2838865577368e-06,4.359711418638235e-06,3.5665302084452115e-06,3.431911818632844e-06,2.381033617647273e-06,1.94784184300783e-06
