,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
14,14,2.25,0.02,170,100000.0,226.5,18.76,5.23,,575.8,0.5757999999999999,170.0,0.0102466764618923,0.1260478195774713,0.0069395826514227,0.0016943765056089,3.2181978568655305e-07,7794698434074.073,4454935810000.0,3059363592000.0,2217543992000.0,16.734055146610427,9.629045207810496,130349954155868.28,74499441320569.42,51161428159947.05,37083764066128.1,5.405698775212547e-05,3.08954108429574e-05,2.121698249403641e-05,1.5378882124717263e-05,3.427777919803197e-05,1.959091904941996e-05,1.3453784079015647e-05,9.751818362518578e-06
15,15,2.25,0.02,175,100000.0,226.5,18.76,5.23,,530.6,0.5306,175.0,0.0105443469322124,0.1203280947203194,0.0060761992717325,0.0013786976379758,-4.514232190120983e-05,7149821735000.0,4105225670000.0,2819205144000.0,2043467944000.0,17.39334375617221,9.193694744907669,123884806845262.2,71131156556613.39,48848306666433.2,35407124949378.2,5.135179936204934e-05,2.948475259317422e-05,2.0248233072225745e-05,1.4676695413171377e-05,3.2101351814894054e-05,1.843168940382038e-05,1.2657699663039647e-05,9.174785865175447e-06
16,16,2.25,0.02,180,100000.0,226.5,18.76,5.23,,469.3,0.4692999999999999,180.0,0.0095021179570721,0.1262356573072112,0.0062487807764045,0.0006491232294715,3.836800506511602e-05,6288859504827.586,3630950635000.0,2493503532000.0,1807386932000.0,19.710706248636548,9.222639270861542,123588072955793.2,71355098906692.22,49002095879512.38,35518597265512.8,4.669444860706161e-05,2.6959616078342235e-05,1.851413160639414e-05,1.3419752205398092e-05,2.8840703055777605e-05,1.665153578225677e-05,1.143520456765495e-05,8.288674563756852e-06
17,17,2.25,0.02,185,100000.0,226.5,18.76,5.23,,456.9,0.4568999999999999,185.0,0.0118425138642436,0.1238886343499832,0.0064636604095061,0.0013491835428955,-6.463053428407179e-05,6056203408000.002,3535012455000.0,2427619356000.0,1759631556000.0,15.900765393938618,7.253887020351854,96150175736270.22,56122961182111.27,38541642672014.29,27936459848259.875,4.629326079918148e-05,2.7021426210932464e-05,1.8556578832870164e-05,1.3450519582082286e-05,2.829003509509496e-05,1.6512923968413015e-05,1.134001488259983e-05,8.21967743156036e-06
18,18,2.25,0.02,190,100000.0,226.5,18.76,5.23,,430.8,0.4307999999999999,190.0,0.0115229296809843,0.1231843249489147,0.0065174027750352,0.0001594733613321,6.577529534593525e-06,5716997915520.0,3333078060000.0,2288943792000.0,1659114192000.0,16.900458277047935,7.252267928707452,96242341298080.42,56110434351013.125,38533040049525.59,27930224337755.29,4.494935884514421e-05,2.620601301447037e-05,1.7996605456802043e-05,1.30446294162233e-05,2.7211360118802834e-05,1.586454792095042e-05,1.089475188485264e-05,7.896933744573908e-06
19,19,2.25,0.02,195,100000.0,226.5,18.76,5.23,,410.0,0.41,195.0,0.0126620584764736,0.1182170809354053,0.0071566384790398,0.001019830518449,-6.608505071964512e-05,5414600937500.0,3172149500000.0,2178428400000.0,1579008400000.0,15.574094799899132,6.381780640772449,84279988879136.25,49375517728624.414,33907932171777.805,24577768874968.49,4.380375063581274e-05,2.566247213440521e-05,1.7623336514182863e-05,1.2774069779810738e-05,2.622787692333775e-05,1.5365628534545604e-05,1.0552126116220098e-05,7.648585455170761e-06
20,20,2.25,0.02,200,100000.0,226.5,18.76,5.23,,408.7,0.4086999999999999,200.0,0.0118129453199741,0.1211878458999001,0.0072068257959732,0.0007068714814923,2.5696430620451822e-05,5366808711278.197,3162091465000.0,2171521188000.0,1574001788000.0,17.509491434097598,7.163590651966134,94068071238078.98,55424342694729.375,38061876395652.53,27588706862478.05,4.46060417393637e-05,2.628161193356241e-05,1.8048521935631115e-05,1.3082260469954297e-05,2.646446727095213e-05,1.5592705196924943e-05,1.0708067773542478e-05,7.761617945392592e-06
21,21,2.25,0.02,205,100000.0,226.5,18.76,5.23,,378.1,0.3781,205.0,0.0123029226481548,0.1201814153651532,0.0069446429690593,0.001015375293361,4.389164196653649e-05,4937956745547.446,2925340795000.0,2008936044000.0,1456153844000.0,17.6636103133994,6.724010684456317,87815059287077.92,52023334465104.3,35726282529080.67,25895778908405.547,4.211959444571884e-05,2.4952459944494035e-05,1.713574577520644e-05,1.242064532362665e-05,2.475308975478509e-05,1.466420768615735e-05,1.0070435358429185e-05,7.299437531486778e-06
22,22,2.25,0.02,210,100000.0,226.5,18.76,5.23,,364.8,0.3647999999999999,210.0,0.0136805370287958,0.1018484717622269,0.0071198439656353,0.0005732084431292,-2.1165825355302652e-05,4734571547234.043,2822439360000.0,1938269952000.0,1404932352000.0,15.613379907842807,5.688687179374468,73830856525716.67,44013088272461.3,30225360268939.605,21908499612694.13,4.145418957158671e-05,2.471225434371161e-05,1.697078800679625e-05,1.230107761051524e-05,2.4133321510592317e-05,1.4386694939444604e-05,9.87985743995433e-06,7.161299351629082e-06
23,23,2.25,0.02,215,100000.0,226.5,18.76,5.23,,369.7,0.3697,215.0,0.0132755728420363,0.1143177316511111,0.0067492875572696,0.00133585472229,-1.9258446592228077e-05,4769297767310.346,2860350415000.0,1964304828000.0,1423803428000.0,18.337692571871266,6.742836610700711,86985652130790.8,52168989715160.87,35826309193439.45,25968282068595.008,4.281819846984045e-05,2.5679892038242463e-05,1.7635299384547057e-05,1.2782740926768416e-05,2.477306333805326e-05,1.4857458153589636e-05,1.0203147359098689e-05,7.395632276210981e-06
24,24,2.25,0.02,220,100000.0,226.5,18.76,5.23,,361.2,0.3611999999999999,220.0,0.0133650780459674,0.1217209111675887,0.0073155130355487,0.0009366686577762,-7.60766013873207e-05,4630711142400.0,2794586340000.0,1919142288000.0,1391067888000.0,17.280195366399177,6.264837133745163,80317417277284.06,48470731661929.64,33286583252500.15,24127391362964.723,4.261916782799641e-05,2.572022753562591e-05,1.7662999211755154e-05,1.2802818823218965e-05,2.4519928741097663e-05,1.479752370866538e-05,1.0161988234359696e-05,7.365798565036669e-06
25,25,2.25,0.02,225,100000.0,226.5,18.76,5.23,,363.5,0.3635,225.0,0.013951776412233,0.1119866577341713,0.0064357597794091,0.0021840705244715,-4.087505710765772e-05,4627493747712.419,2812381325000.0,1931362740000.0,1399925740000.0,16.477861263215026,6.000431157077159,76387778990243.03,46425035840748.125,31881730841028.65,23109100489381.844,4.361922287371598e-05,2.65097900740968e-05,1.8205220017357492e-05,1.3195841245576692e-05,2.4970489981909087e-05,1.517593400011332e-05,1.042185610179232e-05,7.554160755671991e-06
26,26,2.25,0.02,230,100000.0,226.5,18.76,5.23,,350.2,0.3501999999999999,230.0,0.014422210116055,0.1290892025346917,0.0062687499441942,0.0009275465064418,-9.241119515688148e-05,4428606813797.469,2709479890000.0,1860696648000.0,1348704248000.0,16.25084464927985,5.701082512726222,72095525019648.6,44108990346837.15,30291219649917.48,21956237016311.742,4.271947646926903e-05,2.613633751458751e-05,1.7948756801582914e-05,1.3009946876957976e-05,2.436218555081069e-05,1.4905105510996686e-05,1.0235868501831865e-05,7.419349814613109e-06
27,27,2.25,0.02,235,100000.0,226.5,18.76,5.23,,366.5,0.3665,235.0,0.0149351867371194,0.1199273846964528,0.0061796883176733,0.0013483171792753,1.946444235669009e-05,4606088519444.445,2835592175000.0,1947302460000.0,1411479460000.0,16.10484247959011,5.885906979109487,73972738234636.14,45538968002021.17,31273236397683.7,22668040394225.625,4.54841253019439e-05,2.8000857831639683e-05,1.9229189521113777e-05,1.393805358901428e-05,2.5799069769540454e-05,1.588237830253673e-05,1.0906996644953148e-05,7.90580921601685e-06
28,28,2.25,0.02,240,100000.0,226.5,18.76,5.23,,364.5,0.3644999999999999,240.0,0.0146322717455518,0.1255714792530478,0.0062634865708585,0.0019662470792387,-3.0506543962800912e-05,4548768527710.844,2820118275000.0,1936675980000.0,1403776980000.0,17.176235587131696,6.275724011662211,78317739020159.92,48554962892029.94,33344427847724.12,24169319342673.97,4.592977852552064e-05,2.8475269075014387e-05,1.9554984672271305e-05,1.417420240178086e-05,2.5949664147313305e-05,1.60881173983981e-05,1.1048285032973552e-05,8.008220455012208e-06
29,29,2.25,0.02,245,100000.0,226.5,18.76,5.23,,370.7,0.3706999999999999,245.0,0.0163042516914657,0.1175607844403137,0.0068080879118691,0.0014596774278953,-3.082746317099144e-05,4592626722588.236,2868087365000.0,1969618068000.0,1427654668000.0,15.762242878748603,5.850644578747913,72484021140338.98,45266144573543.67,31085878801586.56,22532236427457.12,4.738198563112292e-05,2.9589967250952497e-05,2.032048773695717e-05,1.4729068363574573e-05,2.6655445991713305e-05,1.664627945512374e-05,1.1431594860008356e-05,8.286058109300275e-06
30,30,2.25,0.02,250,100000.0,226.5,18.76,5.23,,388.9,0.3888999999999999,250.0,0.0161456949235428,0.122490920372058,0.0062851724540384,0.003658385119216,-9.37268845351614e-05,4782202722413.794,3008899855000.0,2066319036000.0,1497747236000.0,15.90083308548506,6.158732294098477,75732338244935.67,47649803822825.21,32722822774295.797,23718756160323.82,5.042901126650063e-05,3.172927905719966e-05,2.178962959019711e-05,1.5793958688662794e-05,2.8246915076277573e-05,1.777259217365623e-05,1.2205074046072062e-05,8.846705469580626e-06
31,31,2.25,0.02,255,100000.0,226.5,18.76,5.23,,382.0,0.382,255.0,0.0169934688489945,0.1089552213490396,0.0069040664485594,0.0008726371485221,2.6339007318785636e-05,4658411010169.492,2955514900000.0,2029657680000.0,1471173680000.0,15.460806456762706,5.916397051647252,72149238654261.45,45774868168742.2,31435237470694.258,22785464981185.965,5.0174598098282846e-05,3.183312334554851e-05,2.186094317327915e-05,1.584564950701636e-05,2.797281634127362e-05,1.7747269468305178e-05,1.21876840395476e-05,8.834100526320531e-06
32,32,2.25,0.02,260,100000.0,226.5,18.76,5.23,,388.3,0.3883,260.0,0.0162276893824298,0.1155978703048104,0.0068115323456427,0.0020168355439826,-4.38474461213625e-05,4698176538241.758,3004257685000.0,2063131092000.0,1495436492000.0,16.39108886383317,6.36352820009918,76994537445649.7,49234299507757.36,33810952573894.977,24507474345349.973,5.162643024574804e-05,3.301261639541309e-05,2.267094319295907e-05,1.6432768567286946e-05,2.868817611754357e-05,1.8344707328094187e-05,1.259796596383887e-05,9.131488590497474e-06
33,33,2.25,0.02,265,100000.0,226.5,18.76,5.23,,381.7,0.3817,265.0,0.0173709432406609,0.1065305384305563,0.0069094461680558,0.0019797798807776,-6.120392817324396e-05,4583094802000.0,2953193815000.0,2028063708000.0,1470018308000.0,15.82281780516131,6.034450001441536,72456003234308.61,46688237938653.086,32062481125659.227,23240115223551.7,5.140817402938854e-05,3.312571704119724e-05,2.2748613447414136e-05,1.6489066944692737e-05,2.843022736267486e-05,1.8319492664619585e-05,1.2580650153531218e-05,9.118937427499148e-06
34,34,2.25,0.02,270,100000.0,226.5,18.76,5.23,,378.9,0.3788999999999999,270.0,0.0187564081388301,0.11314537688181,0.0067106432940977,0.0019207813115106,-5.343351333747842e-05,4511320525714.285,2931530355000.0,2013186636000.0,1459234836000.0,14.523885921527867,5.501128398231232,65498425593904.2,42561955360695.12,29228815450618.105,21186165732404.047,5.162031292744031e-05,3.354372925152117e-05,2.3035677367483612e-05,1.6697141876660495e-05,2.8436934032477237e-05,1.847878793895728e-05,1.269004390991093e-05,9.198230215011062e-06
35,35,2.25,0.02,275,100000.0,226.5,18.76,5.23,,390.8,0.3907999999999999,275.0,0.017415158619434,0.1227315774769753,0.0056853718238208,0.0006757626960962,8.213330323673315e-05,4612854534845.361,3023600060000.0,2076414192000.0,1505064592000.0,16.059201404155644,6.2867965304611975,74206954670389.0,48640630416351.766,33403258797507.65,24211962269973.383,5.383271872605518e-05,3.5285875663434536e-05,2.4232071554034454e-05,1.7564334238950187e-05,2.9544486476840897e-05,1.936560331769491e-05,1.32990517156902e-05,9.639662414936031e-06
36,36,2.25,0.02,280,100000.0,226.5,18.76,5.23,,385.4,0.3854000000000001,280.0,0.0189615111077045,0.1191247406621215,0.0069160855069621,5.466293477630999e-05,5.550317888224445e-05,4506208702944.162,2981820530000.0,2047722696000.0,1484267896000.0,15.200636926560351,5.849789550247044,68397437939063.44,45259529260783.86,31081335829954.6,22528943507493.42,5.358876732292223e-05,3.5460427404634263e-05,2.4351942471309614e-05,1.7651221274251957e-05,2.933309488838944e-05,1.941011398107042e-05,1.3329618778560362e-05,9.661818593691007e-06
37,37,2.25,0.02,285,100000.0,226.5,18.76,5.23,,389.9,0.3899,285.0,0.0190953749940376,0.1283839603793422,0.0068998002666257,0.0011751016864993,6.036092107146655e-05,4517185868059.701,3016636805000.0,2071632276000.0,1501598476000.0,16.957925137921983,6.670338806969158,77279200292411.61,51608077832580.04,35441110962740.81,25689075626951.9,5.47136483562335e-05,3.653850210908797e-05,2.5092294889599972e-05,1.8187857083554103e-05,2.991266198533036e-05,1.9976073536958864e-05,1.3718283426868638e-05,9.943537627679829e-06
38,38,2.25,0.02,290,100000.0,226.5,18.76,5.23,,397.5,0.3974999999999999,290.0,0.018877891536914,0.1192208397410747,0.0066285395120113,0.001889905022163,-7.80479625856702e-06,4563019617073.171,3075437625000.0,2112012900000.0,1530867900000.0,15.940579491896507,6.329458814183812,72657722602710.48,48970706372399.445,33629933749873.992,24376264963537.26,5.630839409516671e-05,3.79513936682746e-05,2.6062578004772336e-05,1.8891155474832565e-05,3.0747489047210445e-05,2.0723554274509277e-05,1.4231605156229994e-05,1.031561289192267e-05
39,39,2.25,0.02,295,100000.0,226.5,18.76,5.23,,390.9,0.3909,295.0,0.0195851316082723,0.1168353976697631,0.0068429472707458,0.000156244903945,6.200726608475078e-05,4445170784210.526,3024373755000.0,2076945516000.0,1505449716000.0,15.417740655558532,6.032472145904938,68599050753493.0,46672935369259.2,32051972304507.95,23232498027194.93,5.583979987836535e-05,3.799188679914218e-05,2.609038608452609e-05,1.8911311836877368e-05,3.045242400347004e-05,2.0719004151509543e-05,1.4228480424193847e-05,1.0313347966376884e-05
40,40,2.25,0.02,300,100000.0,226.5,18.76,5.23,,394.0,0.394,300.0,0.0215511613019088,0.1117121421326842,0.0070368004015036,0.0008936049576256,-1.152160171203748e-05,4435821494339.623,3048358300000.0,2093416560000.0,1517388560000.0,14.269617709330667,5.630043297095468,63385449419590.84,43559363487462.78,29913771247859.523,21682647947505.95,5.6696651030053937e-05,3.896272809224001e-05,2.675709748787485e-05,1.9394569816007395e-05,3.0903249251699e-05,2.1237143215432735e-05,1.4584305032081872e-05,1.057126328036283e-05
41,41,2.25,0.02,305,100000.0,226.5,18.76,5.23,,403.2,0.4032,305.0,0.020475989745671,0.1177770413148862,0.0064821862501555,0.0022936367052147,-5.2053776251318015e-06,4491115253333.333,3119538240000.0,2142298368000.0,1552819968000.0,15.10965668940992,6.087269519540964,67804139361015.61,47096899909212.45,32343123902005.824,23443535864436.94,5.842595334298019e-05,4.058279188595897e-05,2.786965317859785e-05,2.020099282312547e-05,3.1792917768346885e-05,2.2083428535021926e-05,1.5165479398137498e-05,1.0992520736364825e-05
42,42,2.25,0.02,310,100000.0,226.5,18.76,5.23,,394.4,0.3944,310.0,0.0200410881306822,0.114384212577198,0.0065589090211761,0.0011604351118811,-1.021733744395262e-05,4346364718904.109,3051453080000.0,2095541856000.0,1518929056000.0,16.62331905369631,6.545724035531535,72135152149383.6,50643939576705.7,34779002774547.57,25209154234600.47,5.752160201171807e-05,4.038420173570891e-05,2.773327422695481e-05,2.010214013178728e-05,3.127241062931064e-05,2.195542709952225e-05,1.5077576238991536e-05,1.0928805157428192e-05
43,43,2.25,0.02,315,100000.0,226.5,18.76,5.23,,398.2,0.3982,315.0,0.0212654051213064,0.1181161839254858,0.0064950971664017,0.0013774652606273,-1.3970900401447317e-05,4340694453004.485,3080853490000.0,2115732168000.0,1533563768000.0,15.738437775663243,6.288752323903877,68552366470840.33,48655762292428.1,33413650397459.04,24219494499911.566,5.843226537951903e-05,4.147291422424184e-05,2.848093199165184e-05,2.0644071136167243e-05,3.172187474790614e-05,2.2514933862433863e-05,1.546180952380952e-05,1.1207312169312169e-05
44,44,2.25,0.02,320,100000.0,226.5,18.76,5.23,,390.8,0.3908,320.0,0.0208183679355044,0.1209807784877613,0.0067602619481118,0.0012998133106949,-8.159541140856328e-05,4213992076991.15,3023600060000.0,2076414192000.0,1505064592000.0,15.877738989472638,6.177263632455768,66609365416208.23,47793179861128.66,32821284222509.28,23790124791858.95,5.766165237387415e-05,4.137306677183652e-05,2.841236317861596e-05,2.059436983234578e-05,3.128706400712127e-05,2.2448919428605373e-05,1.5416475053456878e-05,1.1174452007602756e-05
45,45,2.25,0.02,325,100000.0,226.5,18.76,5.23,,387.3,0.3873,325.0,0.0209542831721648,0.1109497687985788,0.0069829582920025,0.0012109150436942,-2.3905199865485777e-05,4128934266812.228,2996520735000.0,2057817852000.0,1491585252000.0,16.158775041489694,6.263446372669828,66773453024676.48,48459971413027.82,33279193805124.23,24122035208280.945,5.740420147746718e-05,4.166035807011087e-05,2.8609656377827934e-05,2.073737550506773e-05,3.1122190021084335e-05,2.2586527585674066e-05,1.551097549154471e-05,1.1242949547179624e-05
46,46,2.25,0.02,330,100000.0,226.5,18.76,5.23,,396.2,0.3962,330.0,0.0215989928498401,0.1265752280794155,0.0066447624688519,0.0005395984462483,-5.748138209598247e-05,4173918197682.4033,3065379590000.0,2105105688000.0,1525861288000.0,16.054392833830747,6.393873042746805,67358664933851.23,49469076038079.89,33972182005644.043,24624339617148.207,5.897754299567933e-05,4.3313871524287895e-05,2.9745183145516955e-05,2.156044882921545e-05,3.1947570954866886e-05,2.346270993272049e-05,1.6112681214551965e-05,1.1679088917634272e-05
47,47,2.25,0.02,335,100000.0,226.5,18.76,5.23,,401.6,0.4016,335.0,0.0238425242600612,0.1300480199539044,0.007494342076392,0.0006274308246664,-5.977560587060132e-05,4177484385361.702,3107159120000.0,2133797184000.0,1546657984000.0,14.26647743839485,5.701426753872062,59306825793286.85,44111653723370.45,30293048685743.2,21957562771582.24,5.995144427787896e-05,4.459111265572203e-05,3.0622310265271014e-05,2.2196224184494267e-05,3.244711070398805e-05,2.413374333482204e-05,1.657350382725878e-05,1.201311080991864e-05
48,48,2.25,0.02,340,100000.0,226.5,18.76,5.23,,400.4,0.4004,340.0,0.0222540603376046,0.1206436547609912,0.0061894427736557,0.0007947994804964,1.643413880058649e-05,4112978281176.471,3097874780000.0,2127421296000.0,1542036496000.0,15.861080586952855,6.344869963655837,65175605288225.27,49089941665307.02,33711816885694.74,24435616998829.9,5.992909737237682e-05,4.513829800359329e-05,3.0998081994146536e-05,2.2468597936313224e-05,3.242497422998337e-05,2.44223292811756e-05,1.6771686107563503e-05,1.215676092269366e-05
