,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,100000.0,226.5,18.76,5.23,,1058.3,1.0582999999999998,100.0,0.0057835459559583,0.1301995456041323,0.0062881671834266,0.0003143308370048,-4.143768613318136e-05,14591522910000.0,8188014185000.0,5623001892000.0,4075767292000.0,17.547396983888497,18.5716653283353,256060550047488.6,143688046062063.8,98675715089124.23,71523940379098.03,6.0376628360507547e-05,3.388026681707819e-05,2.326678973796813e-05,1.686466098095557e-05,2.9051731991398874e-05,1.6302341785131204e-05,1.1195400573408194e-05,8.11485543742285e-06
1,1,2.25,0.02,105,100000.0,226.5,18.76,5.23,,1107.1,1.1071,105.0,0.0060261877980081,0.128524002137852,0.0068157842650183,-0.0004688654708053,-7.36868283087897e-05,15264362670000.0,8565577345000.0,5882288004000.0,4263707804000.0,17.753336404528206,19.632508780312023,270687141310308.1,151895738807835.1,104312230951905.06,75609503115088.88,6.673730009772885e-05,3.7449549525383e-05,2.571794370136112e-05,1.864135132243791e-05,3.3866957470954515e-05,1.9004399327291824e-05,1.3051000029952377e-05,9.459865045688466e-06
2,2,2.25,0.02,110,100000.0,226.5,18.76,5.23,,1148.1,1.1481,110.0,0.0068193133465654,0.1287540216739249,0.0071905810991427,0.0009252948679162,-4.5250638777274025e-05,15829658370000.0,8882792295000.0,6100130844000.0,4421608644000.0,16.34154130208504,18.74827230166212,258495554013626.75,145054445384344.72,99614070324083.22,72204096219053.2,7.169823082856002e-05,4.0233369380609344e-05,2.7629692259589224e-05,2.002705995170939e-05,3.965633367654464e-05,2.225310028784656e-05,1.5281999053037423e-05,1.1076978648248496e-05
3,3,2.25,0.02,115,100000.0,226.5,18.76,5.23,,1166.6,1.1666,115.0,0.00690364699511,0.1272992209565801,0.0073199821049452,0.00124857163292,-2.411841664297634e-05,16084730820000.0,9025925870000.0,6198425784000.0,4492856584000.0,16.903765177965774,19.69132568809176,271498091189702.75,152350802282481.56,104624739298996.66,75836021143006.5,7.558123732547315e-05,4.241231344787887e-05,2.912605100250201e-05,2.1111678121612396e-05,4.389362425228137e-05,2.463085040715191e-05,1.691488501506353e-05,1.226055697943501e-05
4,4,2.25,0.02,120,100000.0,226.5,18.76,5.23,,1180.3,1.1803,120.0,0.0067774891318293,0.1332245146647891,0.0070570874324704,0.0005789483513991,2.289765672140752e-05,16273622310000.0,9131922085000.0,6271217172000.0,4545618572000.0,18.08404842593287,21.40512102125344,295127387104736.06,165610351085386.8,113730545214964.66,82436258281892.1,7.907080861390645e-05,4.43704818574065e-05,3.0470795213106787e-05,2.2086400267355768e-05,4.876356973556072e-05,2.736361400853996e-05,1.879157141958199e-05,1.3620851215821408e-05
5,5,2.25,0.02,125,100000.0,226.5,18.76,5.23,,1201.3,1.2013,125.0,0.0079229156777102,0.1207567906418735,0.0070924207368434,0.0019411045587889,1.549707261634783e-05,16563164010000.0,9294398035000.0,6382795212000.0,4626494612000.0,15.99434510721306,19.208144191270662,264836129665982.5,148612451200651.56,102057480042826.95,73975173235189.22,8.379438984764375e-05,4.702111334970498e-05,3.229107856379924e-05,2.3405811408490145e-05,5.216810293672991e-05,2.927406340552322e-05,2.010354527931061e-05,1.4571820155214555e-05
6,6,2.25,0.02,130,100000.0,226.5,18.76,5.23,,1134.8,1.1348,130.0,0.0077989783072041,0.1292952883544815,0.0072945024721563,0.0015608991817144,3.6232792180940096e-05,15646281960000.0,8779890860000.0,6029464752000.0,4370387152000.0,17.237447802610497,19.5827935568015,270001682723112.1,151511094609295.4,104048082037740.05,75418037857696.22,8.220798150312484e-05,4.613090236156877e-05,3.167973887172356e-05,2.296268896800006e-05,5.193493465928894e-05,2.914322132858892e-05,2.0013691350197664e-05,1.4506690583435956e-05
7,7,2.25,0.02,135,100000.0,226.5,18.76,5.23,,1084.1,1.0841,135.0,0.0080024049668849,0.1303928815574938,0.007627215431907,0.0008462962981261,3.969353493269181e-05,14947245570000.0,8387627495000.0,5760083484000.0,4175129284000.0,17.194186264143326,18.623633921105004,256777077414019.44,144090124465893.38,98951836694971.95,71724083902316.45,8.165270860536412e-05,4.5819311694065865e-05,3.1465758427465414e-05,2.2807587740473214e-05,5.190745771540789e-05,2.9127802677112576e-05,2.000310281133284e-05,1.4499015604624958e-05
8,8,2.25,0.02,140,100000.0,226.5,18.76,5.23,,1036.9,1.0369,140.0,0.0087200357946585,0.1301493735173179,0.0069872536733364,-0.0002902447404667,-2.364113551699643e-05,14296466130000.0,8022443455000.0,5509298556000.0,3993350756000.0,16.24350874316658,16.84932679002688,232313462982853.7,130362398908098.5,89524517073842.42,64890801306823.125,8.144875351237821e-05,4.570486255775761e-05,3.138716211638696e-05,2.2750618121732524e-05,5.205302029477303e-05,2.9209484930020534e-05,2.0059196932845925e-05,1.4539674773895694e-05
9,9,2.25,0.02,145,100000.0,226.5,18.76,5.23,,963.1,0.9630999999999998,145.0,0.0089136851803999,0.1178534538167426,0.0066837417008388,0.0014878089652021,7.927923980026752e-07,13278933870000.0,7451456545000.0,5117181444000.0,3709129244000.0,16.43910352422611,15.870994634212083,218824512718125.97,122793091935167.16,84326403530280.98,61123009375062.92,7.838752714728767e-05,4.398705934725932e-05,3.0207485276010847e-05,2.189554313269945e-05,5.0386404709685735e-05,2.8274265752707347e-05,1.9416948509156036e-05,1.4074148500049328e-05
10,10,2.25,0.02,150,100000.0,226.5,18.76,5.23,,866.3,0.8663000000000001,150.0,0.0090857998358984,0.123081374634858,0.0067032230756352,0.000942324719415,-1.929035599806321e-05,11925629548681.32,6702519785000.0,4602859812000.0,3336329212000.0,16.73803447981461,14.53655780208788,200112666813682.56,112468620886863.84,77236220376365.4,55983772869712.93,7.277759084812265e-05,4.0902934354364125e-05,2.8089506450084545e-05,2.0360350900923656e-05,4.724293888524958e-05,2.6551783391170693e-05,1.8234058328579575e-05,1.3216744358876844e-05
11,11,2.25,0.02,155,100000.0,226.5,18.76,5.23,,811.4,0.8113999999999999,155.0,0.0093896209975098,0.1238267392046106,0.0067278762301947,0.0012981765167686,-2.0199070590331933e-06,11119689305000.0,6277761230000.0,4311162936000.0,3124896136000.0,16.60223364974518,13.46823366180658,184573051277337.44,104203050429714.4,71559957821257.19,51869400207695.96,7.038079346821549e-05,3.973436707199441e-05,2.7287009545312245e-05,1.977867038592052e-05,4.527487054363935e-05,2.5560500765459843e-05,1.7553309131773097e-05,1.272331124900246e-05
12,12,2.25,0.02,160,100000.0,226.5,18.76,5.23,,729.8,0.7298000000000001,160.0,0.0099094425116731,0.1285909935962919,0.0071685054193918,0.0013917759407278,4.628574277045775e-05,9965808226666.666,5646426110000.0,3877602552000.0,2810634952000.0,16.296057349284613,11.89772233601575,162469743950207.62,92052082827637.08,63215454224612.33,45820984169357.305,6.508919951107744e-05,3.687822876371709e-05,2.5325597321493885e-05,1.835696362830027e-05,4.173705995019041e-05,2.364737708144872e-05,1.6239498743592322e-05,1.1771011123395985e-05
13,13,2.25,0.02,165,100000.0,226.5,18.76,5.23,,651.5,0.6514999999999999,165.0,0.0105681198505549,0.1278573911752306,0.0069674874364754,0.0011384192852648,4.738616603543324e-05,8858666007692.309,5040622925000.0,3461575860000.0,2509082860000.0,16.21646372513647,10.586083140868173,143942555448370.7,81903995956740.0,56246400387386.414,40769546835437.14,5.952573086962701e-05,3.387042285918448e-05,2.3260029540365824e-05,1.6859760930625844e-05,3.800583476423957e-05,2.1625500027886583e-05,1.4851003530870448e-05,1.0764576574412128e-05
