Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,2.25,0.02,100,100000.0,226.5,18.76,5.23
1,2.25,0.02,105,100000.0,226.5,18.76,5.23
2,2.25,0.02,110,100000.0,226.5,18.76,5.23
3,2.25,0.02,115,100000.0,226.5,18.76,5.23
4,2.25,0.02,120,100000.0,226.5,18.76,5.23
5,2.25,0.02,125,100000.0,226.5,18.76,5.23
6,2.25,0.02,130,100000.0,226.5,18.76,5.23
7,2.25,0.02,135,100000.0,226.5,18.76,5.23
8,2.25,0.02,140,100000.0,226.5,18.76,5.23
9,2.25,0.02,145,100000.0,226.5,18.76,5.23
10,2.25,0.02,150,100000.0,226.5,18.76,5.23
11,2.25,0.02,155,100000.0,226.5,18.76,5.23
12,2.25,0.02,160,100000.0,226.5,18.76,5.23
13,2.25,0.02,165,100000.0,226.5,18.76,5.23
14,2.25,0.02,170,100000.0,226.5,18.76,5.23
15,2.25,0.02,175,100000.0,226.5,18.76,5.23
16,2.25,0.02,180,100000.0,226.5,18.76,5.23
17,2.25,0.02,185,100000.0,226.5,18.76,5.23
18,2.25,0.02,190,100000.0,226.5,18.76,5.23
19,2.25,0.02,195,100000.0,226.5,18.76,5.23
20,2.25,0.02,200,100000.0,226.5,18.76,5.23
21,2.25,0.02,205,100000.0,226.5,18.76,5.23
22,2.25,0.02,210,100000.0,226.5,18.76,5.23
23,2.25,0.02,215,100000.0,226.5,18.76,5.23
24,2.25,0.02,220,100000.0,226.5,18.76,5.23
25,2.25,0.02,225,100000.0,226.5,18.76,5.23
26,2.25,0.02,230,100000.0,226.5,18.76,5.23
27,2.25,0.02,235,100000.0,226.5,18.76,5.23
28,2.25,0.02,240,100000.0,226.5,18.76,5.23
29,2.25,0.02,245,100000.0,226.5,18.76,5.23
30,2.25,0.02,250,100000.0,226.5,18.76,5.23
31,2.25,0.02,255,100000.0,226.5,18.76,5.23
32,2.25,0.02,260,100000.0,226.5,18.76,5.23
33,2.25,0.02,265,100000.0,226.5,18.76,5.23
34,2.25,0.02,270,100000.0,226.5,18.76,5.23
35,2.25,0.02,275,100000.0,226.5,18.76,5.23
36,2.25,0.02,280,100000.0,226.5,18.76,5.23
37,2.25,0.02,285,100000.0,226.5,18.76,5.23
38,2.25,0.02,290,100000.0,226.5,18.76,5.23
39,2.25,0.02,295,100000.0,226.5,18.76,5.23
40,2.25,0.02,300,100000.0,226.5,18.76,5.23
41,2.25,0.02,305,100000.0,226.5,18.76,5.23
42,2.25,0.02,310,100000.0,226.5,18.76,5.23
43,2.25,0.02,315,100000.0,226.5,18.76,5.23
44,2.25,0.02,320,100000.0,226.5,18.76,5.23
45,2.25,0.02,325,100000.0,226.5,18.76,5.23
46,2.25,0.02,330,100000.0,226.5,18.76,5.23
47,2.25,0.02,335,100000.0,226.5,18.76,5.23
