,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,100000.0,17.15,2.43,0.81,,590.1,0.5901,100.0,0.0036729223804896,0.0043208551723981,0.0060492829837401,-0.0007441746025643,-7.471283382083268e-05,14280420000000.0,9205560000000.0,7435260000000.0,27.61475251091747,16.223837946595836,392616878307619.3,253091871966895.1,204420358127107.56,5.908935047355926e-05,3.809065567717043e-05,3.076552958540689e-05,2.84323258869908e-05,1.8328276191613902e-05,1.4803607693226617e-05
1,1,2.25,0.02,105,100000.0,17.15,2.43,0.81,,619.3,0.6193,105.0,0.00415633883769,0.0043267165982089,0.0056857526274315,-0.000655703770913,-0.0001295591285674,14987060000000.0,9661080000000.0,7803180000000.0,25.66826342074254,15.876841956097708,384219575337564.56,247678734515124.25,200048208646831.03,6.552490545631589e-05,4.223919525283175e-05,3.411627308882564e-05,3.3251707562752994e-05,2.143498504045234e-05,1.731287253267305e-05
2,2,2.25,0.02,110,100000.0,17.15,2.43,0.81,,653.9,0.6538999999999999,110.0,0.0046405181932172,0.0043911070106536,0.0053265760124335,-0.0006485440616781,3.820111330861783e-05,15824380000000.0,10200840000000.0,8239140000000.0,24.034698768231227,15.709041171479305,380158796349799.25,245061042275077.2,197933918760639.2,7.167432318748448e-05,4.620328271589908e-05,3.731803603976464e-05,3.964311034619249e-05,2.5555062867793503e-05,2.0640627700910136e-05
3,3,2.25,0.02,115,100000.0,17.15,2.43,0.81,,689.8,0.6898,115.0,0.0050805341312297,0.0045130425375579,0.0057812844422112,-0.000646993132727,-6.007633222810749e-05,16693160000000.0,10760880000000.0,8691480000000.0,23.178610172455723,15.99825388744733,387157744076225.5,249572760644178.4,201577998981836.47,7.844021151434447e-05,5.056476444726337e-05,4.084077128432811e-05,4.555396672924945e-05,2.936536698249138e-05,2.3718181024319963e-05
4,4,2.25,0.02,120,100000.0,17.15,2.43,0.81,,702.6,0.7026,120.0,0.0048941588627257,0.0043831073089736,0.0056109378510625,-0.0005415378592912,3.9306125965027776e-05,17002920000000.0,10960560000000.0,8852760000000.0,24.80422789661424,17.39881044333442,421051212728693.0,271421442916017.0,219225011586013.7,8.261434409543959e-05,5.325552759871312e-05,4.301407998357599e-05,5.094889504831823e-05,3.284308936999025e-05,2.6527110644992133e-05
5,5,2.25,0.02,125,100000.0,17.15,2.43,0.81,,713.6,0.7136,125.0,0.0052391280949393,0.0041358686252213,0.0056484761389344,-0.0005641665993848,1.9224445040623912e-05,17269120000000.0,11132160000000.0,8991360000000.0,24.145003929532173,17.237411491264897,417145358088610.56,268903619263732.4,217191384789937.7,8.73658784476253e-05,5.631850015632043e-05,4.548801935702804e-05,5.439161438254341e-05,3.506236299039988e-05,2.8319600876861445e-05
6,6,2.25,0.02,130,100000.0,17.15,2.43,0.81,,721.4,0.7214,130.0,0.0059905896167748,0.0044023064808403,0.0055759115852148,-0.0005104448368534,2.779988288156486e-05,17457880000000.0,11253840000000.0,9089640000000.0,21.887597166130007,15.793094711935264,382192892028833.4,246372277506190.1,198992993370384.3,9.172639735068234e-05,5.912941316820845e-05,4.775837217432221e-05,5.794819877384514e-05,3.735503722611504e-05,3.017137622109292e-05
7,7,2.25,0.02,135,100000.0,17.15,2.43,0.81,,706.8,0.7068000000000001,135.0,0.0058838044614048,0.0046302611247914,0.0056590730558112,-0.0005125685855134,-1.2301742012254925e-05,17104560000000.0,11026080000000.0,8905680000000.0,23.214580453618616,16.368648751705358,396121299791269.6,255350920526603.6,206244974271487.44,9.343752646347536e-05,6.023245507562992e-05,4.864929063800879e-05,5.939918634391294e-05,3.8290384585332304e-05,3.092684908815302e-05
8,8,2.25,0.02,140,100000.0,17.15,2.43,0.81,,698.6,0.6985999999999999,140.0,0.0060400380671012,0.0043254889828978,0.0057143862020874,-0.000451691480563,3.023736723935558e-05,16899594851882.104,10898160000000.0,8802360000000.0,23.367410421400056,16.32209990950036,394842364160460.3,254624758588205.6,205658458859704.5,9.627910303382812e-05,6.208817896024072e-05,5.014814454480979e-05,6.153093679231211e-05,3.967988581914568e-05,3.2049138546233044e-05
9,9,2.25,0.02,145,100000.0,17.15,2.43,0.81,,670.9,0.6708999999999999,145.0,0.0062913313343954,0.0047435296553666,0.0056123221903742,-0.0005357708119702,-1.7199421274181733e-05,16170157067406.137,10466040000000.0,8453340000000.0,24.06516733859454,16.16132928092869,389523375899071.1,252116736782487.6,203632748939701.56,9.545484889873332e-05,6.178259509809566e-05,4.990132681000036e-05,6.135704012038361e-05,3.9712986924285306e-05,3.207587405423044e-05
