,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,571.1,0.5711,100.0,0.0027539244241495,0.0430567291604713,0.0072774310718724,0.0006675797932262,3.717748307337938e-05,13820620000000.0,8909160000000.0,7195860000000.0,36.80795101422046,21.056565091541614,509568875215307.2,328482415428049.25,265312720153424.4,5.718679555236349e-05,3.686421531474672e-05,2.9774943138833883e-05,2.7516863775733684e-05,1.7738143590968822e-05,1.4326962131167124e-05
1,1,2.25,0.02,105,1,100000.0,,606.0,0.6060000000000001,105.0,0.0031419458482062,0.042422608005774,0.0068338310105739,0.0005166585404417,-4.941085323452661e-05,14665200000000.0,9453600000000.0,7635600000000.0,34.50480440341338,20.88189854654579,505341944826408.3,325757617326114.4,263111921686477.0,6.411770177059171e-05,4.133207221575332e-05,3.338359678964691e-05,3.2537598551636224e-05,2.097465030601344e-05,1.6941063708703158e-05
2,2,2.25,0.02,110,1,100000.0,,660.7,0.6607000000000001,110.0,0.0033180284454317,0.0381178297934918,0.0069547438451281,0.0003606362244596,-4.056761558315523e-05,15988940000000.0,10306920000000.0,8324820000000.0,33.55530006434035,22.166157182841555,536421003824765.8,345792052052328.4,279293580503803.6,7.241967476673955e-05,4.668375728765029e-05,3.770611165540985e-05,4.005536474343076e-05,2.582081363626115e-05,2.085527255236477e-05
3,3,2.25,0.02,115,1,100000.0,,675.2,0.6752,115.0,0.0033063032487092,0.0371198250039428,0.006780671702209,0.0001868816623757,2.547171879722051e-05,16339840000000.0,10533120000000.0,8507520000000.0,35.905658516883484,24.19445364637118,585505778242182.6,377433476883390.4,304850115944276.94,7.677998088501796e-05,4.949453313249091e-05,3.997635368393496e-05,4.458979173034101e-05,2.8743832685674372e-05,2.3216172553813915e-05
4,4,2.25,0.02,120,1,100000.0,,700.7,0.7007,120.0,0.0037706517405623,0.0366529453806084,0.0069108952339837,0.0005499136629223,2.889029785066688e-05,16956940000000.0,10930920000000.0,8828820000000.0,32.550829250220914,22.80350852841082,551844906387541.8,355734733043208.75,287324207457976.3,8.239093496680121e-05,5.311151179678094e-05,4.2897759528169226e-05,5.081111693759832e-05,3.275427372836917e-05,2.645537493445202e-05
5,5,2.25,0.02,125,1,100000.0,,722.0,0.7220000000000001,125.0,0.0037564097803041,0.037210148108401,0.007091799972604,0.0004478332524036,-7.593503536513999e-05,17472400000000.0,11263200000000.0,9097200000000.0,33.67678908602009,24.336388628425414,588940604807895.1,379647662603436.5,306638496718160.3,8.839428845177334e-05,5.698144214246546e-05,4.602347249968364e-05,5.503187441731549e-05,3.54750925995918e-05,2.865295940736261e-05
6,6,2.25,0.02,130,1,100000.0,,709.6,0.7096,130.0,0.0036526261775946,0.0359042720658005,0.0065193156330963,0.0002754129449241,-1.5878209841276004e-05,17172320000000.0,11069760000000.0,8940960000000.0,36.37025502744235,25.76422485122324,623494241399602.5,401921907679082.7,324629233125412.9,9.02260210147549e-05,5.8162228422734574e-05,4.6977184495285614e-05,5.700033525079084e-05,3.67440177649726e-05,2.9677860502477867e-05
7,7,2.25,0.02,135,1,100000.0,,709.9,0.7099,135.0,0.0041227489787331,0.0355752030780309,0.0066694439938662,0.0003777406489366,-8.777201506377479e-06,17179580000000.0,11074440000000.0,8944740000000.0,32.963408658325804,23.430841508830373,567026364513695.1,365521127537753.8,295228603011262.7,9.384734017602707e-05,6.049663251017215e-05,4.886266471975444e-05,5.965970909103537e-05,3.845832486860131e-05,3.106249316310106e-05
8,8,2.25,0.02,140,1,100000.0,,702.5,0.7024999999999999,140.0,0.004034390251408,0.0350883920860312,0.0070814582694635,0.0001599667903864,2.404183608728719e-05,16993938424630.943,10959000000000.0,8851500000000.0,35.42110038887479,24.866148806554285,601528543311450.2,387911921382246.8,313313474962584.0,9.681659015354794e-05,6.243479204060849e-05,5.0428101263568405e-05,6.187443901603099e-05,3.990140250207535e-05,3.222805586706086e-05
9,9,2.25,0.02,145,1,100000.0,,671.7,0.6717,145.0,0.0045095833935817,0.0304769915914822,0.0068478736360354,0.0003592801613849,-1.895287775647364e-05,16189438816778.51,10478520000000.0,8463420000000.0,32.71341507712197,21.90977481985681,528073483602004.2,341792487189766.25,276063162730195.8,9.556867194109547e-05,6.18562663994498e-05,4.996083055340176e-05,6.143020397803199e-05,3.976034180510127e-05,3.211412222719717e-05
