,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,100.0,0.0995307488340159,0.101247502953916,0.1066784726572003,4.0888460985695165e-05,-2.0760276061620423e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0048512930157685,100.48512930157683,2431740129098159.5,1567568017104599.0,1266112629199868.2,0.0100134469536618,0.0064549492759143,0.0052136128766999,0.0048182216381953,0.0031059610560267,0.0025086608529446
1,1,2.25,0.02,105,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,105.0,0.1042303434518714,0.1027444855666173,0.1036432585810337,-0.0001467465296464,4.712045893689045e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.007583135181837,100.75831351818368,2438351187140045.0,1571829690883665.5,1269554750329114.5,0.0105804788400316,0.0068204739629954,0.0055088443547271,0.0053692406850884,0.0034611634168338,0.0027955550674426
2,2,2.25,0.02,110,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,110.0,0.1097863565845358,0.0980443905079227,0.0985247816365266,-1.3241885270969745e-05,-6.107271135869939e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0019502578838504,100.19502578838504,2424719624078918.0,1563042402298806.5,1262457324933651.5,0.010961052636104,0.007065802525753,0.0057069943477236,0.0060625646652687,0.0039080995362889,0.0031565419331563
3,3,2.25,0.02,115,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,115.0,0.1146028646044399,0.0978392280248114,0.09759611887437,-2.3743607171064278e-06,-3.1948877276171114e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0034913614407417,100.34913614407414,2428449094686594.0,1565446523847556.5,1264399115415334.2,0.0113714426666199,0.0073303514710442,0.0059206684958433,0.0066039383486879,0.004257084224774,0.0034384141815482
4,4,2.25,0.02,120,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,120.0,0.1197434229924496,0.0970519856697913,0.0988343452323907,-3.575244785886956e-05,-2.9868403654386865e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.002151233910691,100.21512339106914,2425205986063873.0,1563355924900678.5,1262710554727471.2,0.0117583751914942,0.0075797790490625,0.006122129231935,0.0072514795115739,0.0046745074537418,0.0037755637126376
5,5,2.25,0.02,125,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,125.0,0.1244016696381833,0.0926567932525363,0.0926121580976337,0.0001207067271763,1.698496261122736e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.004873641116415,100.4873641116415,2431794211501724.0,1567602880141607.2,1266140787806682.5,0.0122429762398578,0.0078921665017265,0.0063744421744714,0.0076221432710963,0.0049134477284753,0.0039685539345376
6,6,2.25,0.02,130,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,130.0,0.1298502430885491,0.0900675026750037,0.0952077387258172,-4.9339653529070815e-05,-4.141819388162222e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0011541699397415,100.11541699397416,2422793091254174.0,1561800505105996.5,1261454254124074.2,0.0127150536943002,0.0081964808938464,0.0066202345681067,0.008032741720799,0.0051781310266307,0.0041823365984326
7,7,2.25,0.02,135,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,135.0,0.1348148562175225,0.0922691619138451,0.0902602303063701,4.46049021226537e-05,2.716475940332646e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001374632396006,100.13746323960062,2423326610398335.0,1562144426537769.5,1261732036818967.5,0.013219797179326,0.0085218527271689,0.006883034895021,0.0084039595845943,0.0054174284925484,0.0043756153209044
8,8,2.25,0.02,140,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,140.0,0.1396832756929313,0.0893651276800781,0.0882895350988,8.99037974089917e-06,-6.708899003185357e-05,2419065967918995.5,1560000000000000.0,1260000000000000.0,1.002280400810673,100.22804008106728,2424582407913309.0,1563557425264649.5,1262873305021448.0,0.0137817210182986,0.0088875148812253,0.0071783774040666,0.0088077493261253,0.0056799149469145,0.0045876236109694
9,9,2.25,0.02,145,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,145.0,0.144629734723253,0.0873536201381975,0.0882284771393485,5.099255763864119e-05,7.404220819278523e-05,2410218671546599.5,1560000000000000.0,1260000000000000.0,1.002568874551641,100.2568874551641,2416410220955825.0,1564007444300560.0,1263236781935067.5,0.014227880294938,0.0092089126692645,0.007437967925175,0.0091454822060491,0.005919360101995,0.0047810216208422
