Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9,Energy11[eV],Photons11
804.229,338600000000000.0,2412.69,0.0,4021.15,0.0,5629.61,0.0,7238.06,0.0,8846.52,0.0
774.489,439000000000000.0,2323.47,0.0,3872.44,0.0,5421.42,0.0,6970.4,0.0,8519.38,0.0
742.945,545300000000000.0,2228.83,0.0,3714.72,0.0,5200.61,0.0,6686.5,0.0,8172.39,0.0
710.283,655300000000000.0,2130.85,0.0,3551.41,0.0,4971.98,0.0,6392.54,0.0,7813.11,0.0
677.113,767100000000000.0,2031.34,0.0,3385.56,0.0,4739.79,0.0,6094.01,0.0,7448.24,0.0
643.956,878800000000000.0,1931.87,0.0,3219.78,0.0,4507.69,0.0,5795.6,0.0,7083.51,0.0
611.24,988900000000000.0,1833.72,0.0,3056.2,0.0,4278.68,0.0,5501.16,0.0,6723.64,0.0
579.305,1096000000000000.0,1737.91,0.0,2896.52,0.0,4055.13,0.0,5213.74,0.0,6372.35,0.0
548.405,1201000000000000.0,1645.21,0.0,2742.02,0.0,3838.83,0.0,4935.64,0.0,6032.45,0.0
518.724,1300000000000000.0,1556.17,0.0,2593.62,0.0,3631.07,0.0,4668.51,0.0,5705.96,0.0
490.384,1396000000000000.0,1471.15,0.0,2451.92,0.0,3432.69,0.0,4413.45,0.0,5394.22,0.0
463.456,1486000000000000.0,1390.37,0.0,2317.28,0.0,3244.19,0.0,4171.1,0.0,5098.01,0.0
437.97,1573000000000000.0,1313.91,0.0,2189.85,0.0,3065.79,0.0,3941.73,0.0,4817.67,0.0
413.925,1654000000000000.0,1241.78,0.0,2069.63,0.0,2897.48,0.0,3725.33,0.0,4553.18,0.0
391.297,1730000000000000.0,1173.89,0.0,1956.49,0.0,2739.08,0.0,3521.68,0.0,4304.27,0.0
370.044,1801000000000000.0,1110.13,0.0,1850.22,0.0,2590.31,0.0,3330.4,0.0,4070.49,0.0
350.111,1869000000000000.0,1050.33,0.0,1750.56,0.0,2450.78,0.0,3151.0,0.0,3851.23,0.0
331.437,1931000000000000.0,994.312,0.0,1657.19,0.0,2320.06,0.0,2982.94,0.0,3645.81,0.0
313.956,1990000000000000.0,941.868,0.0,1569.78,0.0,2197.69,0.0,2825.6,0.0,3453.51,0.0
297.598,2045000000000000.0,892.795,0.0,1487.99,0.0,2083.19,0.0,2678.38,0.0,3273.58,0.0
282.296,2097000000000000.0,846.887,0.0,1411.48,0.0,1976.07,0.0,2540.66,0.0,3105.25,0.0
267.981,2145000000000000.0,803.943,0.0,1339.91,0.0,1875.87,0.0,2411.83,0.0,2947.79,0.0
254.589,2190000000000000.0,763.767,0.0,1272.94,0.0,1782.12,0.0,2291.3,0.0,2800.48,0.0
242.056,2233000000000000.0,726.169,0.0,1210.28,0.0,1694.39,0.0,2178.51,0.0,2662.62,0.0
230.324,2272000000000000.0,690.971,0.0,1151.62,0.0,1612.27,0.0,2072.91,0.0,2533.56,0.0
219.335,2309000000000000.0,658.006,0.0,1096.68,0.0,1535.35,0.0,1974.02,0.0,2412.69,0.0
209.038,2343000000000000.0,627.114,0.0,1045.19,0.0,1463.27,0.0,1881.34,0.0,2299.42,0.0
199.383,2377000000000000.0,598.148,0.0,996.913,0.0,1395.68,0.0,1794.44,0.0,2193.21,0.0
190.323,2407000000000000.0,570.969,0.0,951.616,0.0,1332.26,0.0,1712.91,0.0,2093.55,0.0
181.817,2436000000000000.0,545.451,0.0,909.085,0.0,1272.72,0.0,1636.35,0.0,1999.99,0.0
173.825,2462000000000000.0,521.474,0.0,869.124,0.0,1216.77,0.0,1564.42,0.0,1912.07,0.0
166.31,2488000000000000.0,498.929,0.0,831.548,0.0,1164.17,0.0,1496.79,0.0,1829.41,0.0
159.238,2511000000000000.0,477.714,0.0,796.19,0.0,1114.67,0.0,1433.14,0.0,1751.62,0.0
152.578,2534000000000000.0,457.734,0.0,762.891,0.0,1068.05,0.0,1373.2,0.0,1678.36,0.0
146.302,2555000000000000.0,438.905,0.0,731.508,0.0,1024.11,0.0,1316.71,0.0,1609.32,0.0
140.381,2575000000000000.0,421.144,0.0,701.907,0.0,982.67,0.0,1263.43,0.0,1544.2,0.0
134.793,2594000000000000.0,404.379,0.0,673.965,0.0,943.551,0.0,1213.14,0.0,1482.72,0.0
129.514,2612000000000000.0,388.542,0.0,647.569,0.0,906.597,0.0,1165.62,0.0,1424.65,0.0
124.523,2628000000000000.0,373.569,0.0,622.614,0.0,871.66,0.0,1120.71,0.0,1369.75,0.0
119.801,2644000000000000.0,359.402,0.0,599.003,0.0,838.604,0.0,1078.21,0.0,1317.81,0.0
115.329,2660000000000000.0,345.988,0.0,576.646,0.0,807.305,0.0,1037.96,0.0,1268.62,0.0
111.092,2674000000000000.0,333.277,0.0,555.462,0.0,777.646,0.0,999.831,0.0,1222.02,0.0
107.074,2687000000000000.0,321.223,0.0,535.372,0.0,749.521,0.0,963.67,0.0,1177.82,0.0
103.262,2700000000000000.0,309.785,0.0,516.308,0.0,722.832,0.0,929.355,0.0,1135.88,0.0
99.6408,2712000000000000.0,298.922,0.0,498.204,0.0,697.485,0.0,896.767,0.0,1096.05,0.0
96.1997,2724000000000000.0,288.599,0.0,480.998,0.0,673.398,0.0,865.797,0.0,1058.2,0.0
92.9272,2734000000000000.0,278.782,0.0,464.636,0.0,650.491,0.0,836.345,0.0,1022.2,0.0
89.813,2746000000000000.0,269.439,0.0,449.065,0.0,628.691,0.0,808.317,0.0,987.943,0.0
86.8473,2755000000000000.0,260.542,0.0,434.237,0.0,607.931,0.0,781.626,0.0,955.321,0.0
84.0213,2765000000000000.0,252.064,0.0,420.106,0.0,588.149,0.0,756.192,0.0,924.234,0.0
81.3266,2774000000000000.0,243.98,0.0,406.633,0.0,569.286,0.0,731.939,0.0,894.592,0.0
