Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9,Energy11[eV],Photons11
804.229,319500000000000.0,2412.69,6443000000000.0,4021.15,141700000000.0,5629.61,3169000000.0,7238.06,71250000.0,8846.52,1607000.0
763.617,437900000000000.0,2290.85,17090000000000.0,3818.09,733700000000.0,5345.32,32070000000.0,6872.55,1411000000.0,8399.79,62300000.0
720.161,557200000000000.0,2160.48,36440000000000.0,3600.8,2639000000000.0,5041.12,195200000000.0,6481.45,14540000000.0,7921.77,1088000000.0
675.451,672300000000000.0,2026.35,66180000000000.0,3377.25,7276000000000.0,4728.15,818900000000.0,6079.06,92940000000.0,7429.96,10590000000.0
630.796,779200000000000.0,1892.39,106500000000000.0,3153.98,16400000000000.0,4415.57,2591000000000.0,5677.16,413200000000.0,6938.75,66210000000.0
587.2,876100000000000.0,1761.6,156100000000000.0,2936.0,31620000000000.0,4110.4,6584000000000.0,5284.8,1386000000000.0,6459.2,293200000000.0
545.379,961900000000000.0,1636.14,212700000000000.0,2726.9,53920000000000.0,3817.65,14080000000000.0,4908.41,3720000000000.0,5999.17,988900000000.0
505.8,1037000000000000.0,1517.4,273500000000000.0,2529.0,83360000000000.0,3540.6,26230000000000.0,4552.2,8364000000000.0,5563.79,2684000000000.0
468.726,1102000000000000.0,1406.18,335800000000000.0,2343.63,119200000000000.0,3281.08,43760000000000.0,4218.54,16300000000000.0,5155.99,6117000000000.0
434.272,1157000000000000.0,1302.81,397300000000000.0,2171.36,159900000000000.0,3039.9,66820000000000.0,3908.44,28320000000000.0,4776.99,12100000000000.0
402.437,1204000000000000.0,1207.31,456200000000000.0,2012.18,204000000000000.0,2817.06,94870000000000.0,3621.93,44810000000000.0,4426.8,21350000000000.0
373.147,1243000000000000.0,1119.44,511400000000000.0,1865.73,249600000000000.0,2612.03,127000000000000.0,3358.32,65720000000000.0,4104.61,34300000000000.0
346.278,1277000000000000.0,1038.83,562100000000000.0,1731.39,295400000000000.0,2423.95,162100000000000.0,3116.5,90540000000000.0,3809.06,51060000000000.0
321.679,1305000000000000.0,965.038,608500000000000.0,1608.4,340000000000000.0,2251.76,198800000000000.0,2895.11,118500000000000.0,3538.47,71330000000000.0
299.185,1330000000000000.0,897.556,650000000000000.0,1495.93,382600000000000.0,2094.3,236200000000000.0,2692.67,148700000000000.0,3291.04,94610000000000.0
278.627,1350000000000000.0,835.881,686900000000000.0,1393.14,422600000000000.0,1950.39,273100000000000.0,2507.64,180200000000000.0,3064.9,120200000000000.0
259.839,1367000000000000.0,779.518,719600000000000.0,1299.2,459700000000000.0,1818.87,309000000000000.0,2338.55,212200000000000.0,2858.23,147400000000000.0
242.663,1381000000000000.0,727.99,748400000000000.0,1213.32,494000000000000.0,1698.64,343200000000000.0,2183.97,243900000000000.0,2669.3,175400000000000.0
226.952,1393000000000000.0,680.855,773800000000000.0,1134.76,525000000000000.0,1588.66,375300000000000.0,2042.56,274700000000000.0,2496.47,203600000000000.0
212.567,1404000000000000.0,637.7,796100000000000.0,1062.83,553000000000000.0,1487.97,405300000000000.0,1913.1,304300000000000.0,2338.23,231400000000000.0
199.383,1413000000000000.0,598.148,815700000000000.0,996.913,578200000000000.0,1395.68,433100000000000.0,1794.44,332300000000000.0,2193.21,258400000000000.0
187.285,1421000000000000.0,561.855,833100000000000.0,936.426,600800000000000.0,1311.0,458500000000000.0,1685.57,358500000000000.0,2060.14,284400000000000.0
176.171,1427000000000000.0,528.512,848200000000000.0,880.854,621100000000000.0,1233.2,481600000000000.0,1585.54,383000000000000.0,1937.88,309000000000000.0
165.946,1433000000000000.0,497.838,861400000000000.0,829.729,639200000000000.0,1161.62,502700000000000.0,1493.51,405700000000000.0,1825.4,332100000000000.0
156.526,1438000000000000.0,469.579,873000000000000.0,782.631,655300000000000.0,1095.68,521800000000000.0,1408.74,426500000000000.0,1721.79,353700000000000.0
147.836,1442000000000000.0,443.509,883200000000000.0,739.181,669700000000000.0,1034.85,539000000000000.0,1330.53,445600000000000.0,1626.2,374000000000000.0
139.808,1446000000000000.0,419.424,892200000000000.0,699.04,682500000000000.0,978.656,554600000000000.0,1258.27,463100000000000.0,1537.89,392600000000000.0
132.38,1449000000000000.0,397.141,900200000000000.0,661.902,694200000000000.0,926.663,568600000000000.0,1191.42,479000000000000.0,1456.19,409700000000000.0
125.499,1452000000000000.0,376.497,907200000000000.0,627.495,704500000000000.0,878.493,581300000000000.0,1129.49,493400000000000.0,1380.49,425400000000000.0
119.114,1455000000000000.0,357.343,913700000000000.0,595.572,713600000000000.0,833.8,592700000000000.0,1072.03,506600000000000.0,1310.26,439900000000000.0
