Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9,Energy11[eV],Photons11
127.61,1451000000000000.0,382.829,905100000000000.0,638.048,701400000000000.0,893.267,577500000000000.0,1148.49,489000000000000.0,1403.7,420600000000000.0
119.801,1454000000000000.0,359.402,913000000000000.0,599.003,712600000000000.0,838.604,591500000000000.0,1078.21,505200000000000.0,1317.81,438300000000000.0
112.655,1457000000000000.0,337.964,919700000000000.0,563.273,722500000000000.0,788.583,603900000000000.0,1013.89,519600000000000.0,1239.2,454300000000000.0
106.103,1460000000000000.0,318.308,925400000000000.0,530.513,731100000000000.0,742.718,615000000000000.0,954.923,532400000000000.0,1167.13,468600000000000.0
100.083,1461000000000000.0,300.25,930400000000000.0,500.416,738700000000000.0,700.583,624700000000000.0,900.75,543800000000000.0,1100.92,481400000000000.0
94.543,1463000000000000.0,283.629,934800000000000.0,472.715,745300000000000.0,661.801,633300000000000.0,850.887,554100000000000.0,1039.97,492900000000000.0
89.4343,1464000000000000.0,268.303,938600000000000.0,447.172,751200000000000.0,626.04,640800000000000.0,804.909,563100000000000.0,983.778,503200000000000.0
84.7152,1466000000000000.0,254.146,942000000000000.0,423.576,756500000000000.0,593.006,647600000000000.0,762.437,571200000000000.0,931.867,512500000000000.0
80.3483,1467000000000000.0,241.045,945200000000000.0,401.741,761100000000000.0,562.438,653500000000000.0,723.135,578400000000000.0,883.831,520800000000000.0
76.3007,1468000000000000.0,228.902,947800000000000.0,381.503,765100000000000.0,534.105,658800000000000.0,686.706,584800000000000.0,839.307,528200000000000.0
72.5428,1469000000000000.0,217.629,950100000000000.0,362.714,768700000000000.0,507.8,663600000000000.0,652.886,590600000000000.0,797.971,534900000000000.0
69.0486,1470000000000000.0,207.146,952100000000000.0,345.243,771900000000000.0,483.34,667900000000000.0,621.438,595800000000000.0,759.535,540900000000000.0
65.7946,1470000000000000.0,197.384,953900000000000.0,328.973,774700000000000.0,460.562,671700000000000.0,592.151,600400000000000.0,723.741,546300000000000.0
62.7598,1471000000000000.0,188.279,955500000000000.0,313.799,777300000000000.0,439.319,675100000000000.0,564.838,604500000000000.0,690.358,551200000000000.0
59.9255,1471000000000000.0,179.776,957100000000000.0,299.627,779700000000000.0,419.478,678100000000000.0,539.329,608400000000000.0,659.18,555600000000000.0
57.2748,1472000000000000.0,171.824,958400000000000.0,286.374,781800000000000.0,400.923,680900000000000.0,515.473,611800000000000.0,630.022,559500000000000.0
54.7925,1472000000000000.0,164.377,959500000000000.0,273.962,783600000000000.0,383.547,683300000000000.0,493.132,614800000000000.0,602.717,563200000000000.0
52.4649,1473000000000000.0,157.395,960500000000000.0,262.325,785200000000000.0,367.255,685500000000000.0,472.185,617600000000000.0,577.114,566500000000000.0
50.2798,1473000000000000.0,150.84,961500000000000.0,251.399,786700000000000.0,351.959,687500000000000.0,452.519,620100000000000.0,553.078,569400000000000.0
48.226,1473000000000000.0,144.678,962300000000000.0,241.13,788000000000000.0,337.582,689500000000000.0,434.034,622300000000000.0,530.486,572100000000000.0
46.2933,1474000000000000.0,138.88,963200000000000.0,231.466,789200000000000.0,324.053,691100000000000.0,416.639,624400000000000.0,509.226,574500000000000.0
44.4725,1474000000000000.0,133.418,963900000000000.0,222.363,790500000000000.0,311.308,692600000000000.0,400.253,626200000000000.0,489.198,576800000000000.0
42.7554,1474000000000000.0,128.266,964500000000000.0,213.777,791500000000000.0,299.288,694000000000000.0,384.799,628100000000000.0,470.31,578800000000000.0
41.1343,1475000000000000.0,123.403,965000000000000.0,205.672,792400000000000.0,287.94,695200000000000.0,370.209,629600000000000.0,452.478,580600000000000.0
39.6024,1475000000000000.0,118.807,965500000000000.0,198.012,793200000000000.0,277.217,696300000000000.0,356.421,631000000000000.0,435.626,582300000000000.0
38.1532,1475000000000000.0,114.46,966000000000000.0,190.766,793900000000000.0,267.073,697300000000000.0,343.379,632300000000000.0,419.686,583900000000000.0
36.7811,1475000000000000.0,110.343,966600000000000.0,183.905,794600000000000.0,257.468,698300000000000.0,331.03,633500000000000.0,404.592,585400000000000.0
35.4807,1475000000000000.0,106.442,966900000000000.0,177.404,795200000000000.0,248.365,699300000000000.0,319.326,634600000000000.0,390.288,586700000000000.0
