,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
38,38,1988,500000.0,0.01715,0.00243,0.81,1497460000000.0,1.988,117.0,0.0234,1988.0,0.0966520156298429,0.0230662044779325,0.0054357557227244,-0.0101152809848986,-0.0009179827734961,350405640.0,20.568634674041625,0.481306051372574,7207365596.883746,2.9677904069896946e-08,1.841344454090094e-08
39,39,1989,500000.0,0.01715,0.00243,0.81,1497590000000.0,1.989,109.0,0.0218,1989.0,0.1902505891864621,0.0515447614467977,0.0211237578357993,-0.0093218529113309,-0.0001578671974936,326474620.0,10.454632537566583,0.2279109893189515,3413172184.9416866,2.7663914541315e-08,1.7160980938003304e-08
40,40,1990,500000.0,0.01715,0.00243,0.81,1497720000000.0,1.99,96.0,0.0192,1990.0,0.1918949259984522,0.065893208868333,0.0194675520087707,-0.0061314088679088,-1.9076875976599883e-05,287562240.0,10.370258565440391,0.1991089644564555,2982094782.457226,2.4377997444627417e-08,1.5120053000746636e-08
41,41,1991,500000.0,0.01715,0.00243,0.81,1497840000000.0,1.9910000000000003,113.0,0.0226,1991.0,0.0770977749662051,0.0367630170363793,0.0242262355875972,-0.0082333144292795,-0.0008855130153447,338511840.0,25.82435097345844,0.5836303320001607,8741848564.831207,2.8717053462117157e-08,1.7804165240016475e-08
42,42,1992,500000.0,0.01715,0.00243,0.81,1497970000000.0,1.992,103.0,0.0206,1992.0,0.1195803500586407,0.0552433192804034,0.0104110279725578,-0.0100954147134552,-0.0005236903870475,308581820.0,16.658255298827502,0.3431600591558466,5140434738.136834,2.6191141294581844e-08,1.6234705806222163e-08
43,43,1993,500000.0,0.01715,0.00243,0.81,1498100000000.0,1.993,87.0,0.0174,1993.0,0.2084577895608195,0.0598874160375547,0.0163349218183825,-0.0052496821650423,0.0004219731782368,260669400.0,9.560688541305495,0.1663559806187156,2492178945.6489787,2.2134808722309583e-08,1.3717990886227298e-08
44,44,1994,500000.0,0.01715,0.00243,0.81,1498230000000.0,1.994,104.0,0.0208,1994.0,0.1207220371768471,0.036345067129261,0.0115237721005381,-0.0041129950196608,0.000913954661048,311631840.0,16.517282566056814,0.3435594773739817,5147311157.860207,2.648055288193255e-08,1.6404714978775014e-08
45,45,1995,500000.0,0.01715,0.00243,0.81,1498360000000.0,1.995,102.0,0.0204,1995.0,0.103212412189805,0.0502627587083894,0.0122918331858124,-0.0104502052684633,0.0005725647999315,305665440.0,19.32907058049613,0.394313039842121,5908228863.778403,2.598561383359748e-08,1.6095321192462726e-08
46,46,1996,500000.0,0.01715,0.00243,0.81,1498490000000.0,1.996,104.0,0.0208,1996.0,0.0946088889731981,0.040243778967847,0.0191669734269002,-0.0086642283741881,0.0011283193578942,311685920.0,21.097383360726795,0.4388255739031173,6575757342.380822,2.6509719598005595e-08,1.6417120084780847e-08
47,47,1997,500000.0,0.01715,0.00243,0.81,1498610000000.0,1.997,89.0,0.0178,1997.0,0.1874682285558075,0.0621960025669879,0.0175059361841185,-0.0014071140601927,-0.0002467105435064,266752580.0,10.652471703521284,0.1896139963226788,2841574310.291298,2.2698532327627192e-08,1.4054485036530773e-08
48,48,1998,500000.0,0.01715,0.00243,0.81,1498740000000.0,1.998,92.0,0.0184,1998.0,0.1721773148235875,0.0617028271529139,0.019881645359252,-0.0076876663268807,0.0009774615434269,275768160.0,11.60431617862752,0.2135194176867463,3200100920.638342,2.3481851148341744e-08,1.453372656574451e-08
