,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.1,50,2.25,100000.0,798389000000.0,174.0,0.174,50.0,0.0,0.0162572744134902,0.0052804683541467,1389196860.0,,,,2.864530354714837e-09,8.11337764202239e-10
1,1,0.1,55,2.25,100000.0,822079000000.0,182.0,0.182,55.0,0.0009573887346918,0.019116391437348,0.0046828467136553,1496183780.0,,,,3.425162263080124e-09,9.727322421779763e-10
2,2,0.1,60,2.25,100000.0,844192000000.0,229.0,0.2289999999999999,60.0,0.0018632490618174,0.0286121533143919,0.0076650360144667,1933199680.0,,,,4.861944478903873e-09,1.417281036934942e-09
3,3,0.1,65,2.25,100000.0,864943000000.0,218.0,0.218,65.0,0.0031092338263716,0.0286458008902096,0.0030506937897108,1885575740.0,,,,5.161898403093285e-09,1.609446950346437e-09
4,4,0.1,70,2.25,100000.0,884501000000.0,275.0,0.2749999999999999,70.0,0.0032962031009685,0.0356946502055533,0.0064549616015953,2432377749.9999995,,,,7.202668493628287e-09,2.484261552524473e-09
5,5,0.1,75,2.25,100000.0,903006000000.0,309.0,0.309,75.0,0.0044931896055927,0.0304488645629711,0.0067762660216004,2790288540.0,,,,8.89894965100295e-09,3.281343188888803e-09
6,6,0.1,80,2.25,100000.0,920573000000.0,416.0,0.416,80.0,0.0045239693199917,0.0367286710104363,0.0071287789988644,3829583680.0,,,,1.30901036671793e-08,5.3071904033348865e-09
7,7,0.1,85,2.25,100000.0,937297000000.0,473.0,0.473,85.0,0.0048692211700878,0.0431347611327237,0.0076387318452066,4433414810.0,,,,1.6148315373881254e-08,6.8509774594106385e-09
8,8,0.1,90,2.25,100000.0,953259000000.0,487.0,0.487,90.0,0.0062901540368689,0.0346492462410033,0.0061602071728103,4642371330.0,,,,1.7937563142489786e-08,8.106694088454035e-09
9,9,0.1,95,2.25,100000.0,968529000000.0,612.0,0.612,95.0,0.0072831573154337,0.0213554177068381,0.0079194527710323,5927397480.0,,,,2.4207603119710925e-08,1.1028547230070358e-08
