,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,30,2.25,1,100000.0,0.01715,0.00243,5.72,3011670000000.0,13.0,0.013,391517100.0,30.0,0.0017487242299461625,0.13357400685168425,0.020216265704315183,18.062302110039017,0.23212191515992112,6990746082.296797
1,1,0.1,40,2.25,1,100000.0,0.01715,0.00243,5.72,3300160000000.0,21.4,0.0214,706234240.0,40.0,0.002563544170590478,0.12626526225019746,0.019524900470766528,16.063707234741663,0.33771593305623254,11145166136.348566
2,2,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,34.4,0.0344,1217945760.0,50.0,0.003119992949336784,0.1295356548946708,0.02011189196606376,16.15211551242702,0.5535303166465991,19597962272.9995
3,3,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,3748020000000.0,49.0,0.049,1836529800.0,60.0,0.004675802788378043,0.13151159122755493,0.02043643895930302,13.0325927682125,0.6430889595913764,24103102823.276695
4,4,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,3931350000000.0,56.2,0.05620000000000001,2209418700.0,70.0,0.005938982686643774,0.12620976678833196,0.020623619916215898,11.809960216350706,0.6645859408674324,26127199386.291805
5,5,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,4096050000000.0,79.59999999999998,0.0796,3260455800.0,80.0,0.006938184388889265,0.12923778675529263,0.021322570471434706,11.559505553788833,0.9214944888432984,37744875010.26592
6,6,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,4245860000000.0,109.4,0.10939999999999998,4644970840.0,90.0,0.005778170923554214,0.0805227321350111,0.024122436552577127,17.349649701411316,1.88775889845124,80151599965.78181
7,7,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,4383450000000.0,131.4,0.1314,5759853300.0,100.0,0.008875599489121555,0.0755880111800631,0.02108480835251873,11.63383231053518,1.5402807255631816,67517435464.699295
8,8,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,4510800000000.0,144.4,0.14440000000000003,6513595200.0,110.0,0.008210408588882955,0.09453038918400526,0.02454357811584828,15.175850176863632,2.230120539623275,100596277301.32668
9,9,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,4629430000000.0,167.2,0.1672,7740406960.0,120.0,0.008672896668218754,0.09941589464833203,0.023345670995962648,15.816016069136662,2.5990900694964965,120323055404.29164
10,10,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,4740500000000.0,181.4,0.1814,8599267000.0,130.0,0.009480551524779912,0.11282418237069212,0.024013282899247448,14.229378759627084,2.5734243401938537,121993180846.8896
11,11,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,4844980000000.0,172.4,0.17240000000000003,8352745520.0,140.0,0.012142486910306616,0.10250317424115712,0.021608556372145486,12.393003190450003,2.087924539558619,101159526356.70718
12,12,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,4943630000000.0,177.0,0.177,8750225100.0,150.0,0.011806330860383695,0.12059935888261036,0.025089635412877887,13.942161834021707,2.4815841340194025,122680337724.6234
13,13,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,5037080000000.0,154.4,0.1544,7777251520.0,160.0,0.009937861501310864,0.09965011850721331,0.02543585602075756,25.81418720238852,4.045033883491936,203751592738.59564
14,14,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,5125860000000.0,134.4,0.1344,6889155840.0,170.0,0.01458672186039962,0.09154660311949343,0.02429006808462462,12.264328603140916,1.6340186404935335,83757507885.60185
15,15,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,5210430000000.0,126.0,0.126,6565141800.0,180.0,0.018958405009715303,0.08468369872167787,0.02291404026793528,13.174188533012915,1.6786624919589959,87465534079.7791
16,16,0.1,190,2.25,1,100000.0,0.01715,0.00243,5.72,5291170000000.0,92.2,0.0922,4878458740.0,190.0,0.01947619423485971,0.11832744095028724,0.01929765143706136,9.89450004243531,0.9162458254887392,48480124244.51253
