,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,30,2.25,1,100000.0,0.01715,0.00243,5.72,602334000000.0,20000.0,20.0,602334000000.0,6.0,0.0059941949247300395,0.007161080453702595,0.0010139668432976778,0.20019373759665848,20.019373759665847,602917473707.7284
1,1,0.1,40,2.25,1,100000.0,0.01715,0.00243,5.72,660032000000.0,20000.0,20.0,660032000000.0,8.0,0.007975895436785266,0.007099577930106122,0.0010319918299873903,0.2006078217569904,20.06078217569904,662037909049.5494
2,2,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,708108000000.0,20000.0,20.0,708108000000.0,10.0,0.009353252945548552,0.007237693497632111,0.0010471175435724487,0.21894658713548348,21.894658713548353,775189149616.6648
3,3,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,749604000000.0,20000.0,20.0,749604000000.0,12.0,0.011898130103253664,0.007311271909826296,0.0010173979690111295,0.20174509676923896,20.174509676923897,756144657593.0427
4,4,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,786270000000.0,20000.0,20.0,786270000000.0,14.0,0.013981668626757936,0.006913719477642496,0.0009917915140299008,0.2002623479528452,20.026234795284523,787301381624.418
5,5,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,819210000000.0,20000.0,20.0,819210000000.0,16.0,0.015971876466773553,0.007431794521437503,0.0010092178581663648,0.2003522947272477,20.03522947272477,820653016817.5428
6,6,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,849172000000.0,20000.0,20.0,849172000000.0,18.0,0.017977674130702326,0.007101797025004565,0.0009775860833602012,0.20024840666020763,20.024840666020765,850226699902.3091
7,7,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,876690000000.0,20000.0,20.0,876690000000.0,20.0,0.019978728481245295,0.0072017440444303695,0.001020680342204028,0.2002129648166248,20.02129648166248,877623520625.4342
8,8,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,902160000000.0,20000.0,20.0,902160000000.0,22.0,0.02197442010601037,0.007249893373109462,0.0010691062920759004,0.20023292872453977,20.023292872453982,903210694890.6544
9,9,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,925886000000.0,20000.0,20.0,925886000000.0,24.0,0.023973697362024492,0.007067249668684964,0.0010305182226527936,0.20021948701438688,20.02194870143869,926902099769.0134
10,10,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,948100000000.0,20000.0,20.0,948100000000.0,26.0,0.025949818069782395,0.007226616275910067,0.0009925767958612636,0.20038716616420743,20.038716616420736,949935361201.4249
11,11,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,968996000000.0,20000.0,20.0,968996000000.0,28.0,0.02797524673689054,0.007389506668748237,0.0010223169573759811,0.20017698241950288,20.01769824195029,969853476282.8431
12,12,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,988726000000.0,20000.0,20.0,988726000000.0,30.0,0.02996483362013464,0.007622535826882283,0.0010237239511520968,0.20023477290930075,20.02347729093008,989886630397.6067
13,13,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,1007416000000.0,20000.0,20.0,1007416000000.0,32.0,0.031956325478730604,0.007227768883158596,0.0010819223749716786,0.2002734623928125,20.02734623928124,1008793451949.5876
14,14,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,1025172000000.0,20000.0,20.0,1025172000000.0,34.0,0.033961512349625314,0.006864725979320803,0.0010318006451753312,0.20022670184693792,20.022670184693787,1026334041929.1448
15,15,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,1042086000000.0,20000.0,20.0,1042086000000.0,36.0,0.0359521526772653,0.007233007662079041,0.0010036737442040533,0.2002662363762904,20.026623637629047,1043473206002.1147
16,16,0.1,190,2.25,1,100000.0,0.01715,0.00243,5.72,1058234000000.0,20000.0,20.0,1058234000000.0,38.0,0.03795630544191909,0.00715380957507602,0.0010348623992361113,0.2002304474404428,20.02304474404428,1059453336583.4478
17,17,0.1,200,2.25,1,100000.0,0.01715,0.00243,5.72,1073682000000.0,20000.0,20.0,1073682000000.0,40.0,0.03984644399600256,0.006830770916029211,0.0010418325200533987,0.2007749730330189,20.07749730330189,1077842372980.1888
18,18,0.1,210,2.25,1,100000.0,0.01715,0.00243,5.72,1088488000000.0,20000.0,20.0,1088488000000.0,42.0,0.04176966186091136,0.006843952814153632,0.0010041267015623867,0.20110924349875467,20.11092434987547,1094524991187.3625
19,19,0.1,220,2.25,1,100000.0,0.01715,0.00243,5.72,1102700000000.0,20000.0,20.0,1102700000000.0,44.0,0.0439577225014466,0.0070970914742483305,0.0009967175714655806,0.20019244560016508,20.019244560016514,1103761048816.5103
20,20,0.1,230,2.25,1,100000.0,0.01715,0.00243,5.72,1116366000000.0,20000.0,20.0,1116366000000.0,46.0,0.045954677884985806,0.00697298257826944,0.0010251049416982283,0.200197407573305,20.019740757330503,1117467895514.9011
21,21,0.1,240,2.25,1,100000.0,0.01715,0.00243,5.72,1129522000000.0,20000.0,20.0,1129522000000.0,48.0,0.04765776032387065,0.006946475081426947,0.0009984591865692858,0.20145716400122549,20.145716400122552,1137751493984.9612
