Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv
0,0.1,30,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
1,0.1,40,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
2,0.1,50,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
3,0.1,60,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
4,0.1,70,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
5,0.1,80,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
6,0.1,90,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
7,0.1,100,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
8,0.1,110,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
9,0.1,120,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
10,0.1,130,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
11,0.1,140,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
12,0.1,150,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
13,0.1,160,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
14,0.1,170,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
15,0.1,180,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
16,0.1,190,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
17,0.1,200,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
18,0.1,210,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
19,0.1,220,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
20,0.1,230,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
21,0.1,240,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
22,0.1,250,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
23,0.1,260,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
24,0.1,270,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
25,0.1,280,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
26,0.1,290,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
27,0.1,300,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
28,0.1,310,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
29,0.1,320,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
30,0.1,330,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
31,0.1,340,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
32,0.1,350,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
33,0.1,360,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
34,0.1,370,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
35,0.1,380,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
36,0.1,390,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
37,0.1,400,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
38,0.1,410,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
39,0.1,420,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
40,0.1,430,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
41,0.1,440,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
42,0.1,450,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
43,0.1,460,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
44,0.1,470,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
45,0.1,480,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
46,0.1,490,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
47,0.1,500,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
48,0.1,510,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
49,0.1,520,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
50,0.1,530,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
51,0.1,540,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
52,0.1,550,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
53,0.1,560,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
54,0.1,570,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
55,0.1,580,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
56,0.1,590,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
57,0.1,600,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
58,0.1,610,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
59,0.1,620,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
