,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,30,2.25,1,100000.0,0.01715,0.00243,5.72,602334000000.0,2.6,0.0026000000000000003,78303420.0,6.0,0.0003497448459892325,0.026714801370336848,0.004043253140863037,3.6124604220078034,0.04642438303198423,1398149216.4593594
1,1,0.1,40,2.25,1,100000.0,0.01715,0.00243,5.72,660032000000.0,4.279999999999999,0.004280000000000001,141246848.0,8.0,0.0005127088341180956,0.025253052450039493,0.0039049800941533055,3.212741446948333,0.0675431866112465,2229033227.2697134
2,2,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,708108000000.0,6.88,0.00688,243589152.0,10.0,0.0006239985898673567,0.025907130978934163,0.004022378393212752,3.230423102485404,0.11070606332931981,3919592454.5999
3,3,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,749604000000.0,9.8,0.0098,367305960.0,12.0,0.0009351605576756084,0.026302318245510985,0.004087287791860604,2.6065185536425,0.12861779191827527,4820620564.65534
4,4,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,786270000000.0,11.24,0.01124,441883740.0,14.0,0.0011877965373287547,0.02524195335766639,0.00412472398324318,2.3619920432701407,0.13291718817348647,5225439877.258361
5,5,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,819210000000.0,15.919999999999998,0.01592,652091160.0,16.0,0.001387636877777853,0.02584755735105853,0.004264514094286942,2.311901110757767,0.18429889776865968,7548975002.053183
6,6,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,849172000000.0,21.88,0.02188,928994168.0,18.0,0.0011556341847108428,0.01610454642700222,0.004824487310515426,3.469929940282263,0.377551779690248,16030319993.15636
7,7,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,876690000000.0,26.28,0.026280000000000005,1151970660.0,20.0,0.0017751198978243111,0.015117602236012623,0.0042169616705037445,2.326766462107036,0.30805614511263635,13503487092.93986
8,8,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,902160000000.0,28.88,0.028880000000000006,1302719040.0,22.0,0.001642081717776591,0.01890607783680105,0.004908715623169657,3.035170035372727,0.44602410792465497,20119255460.265335
9,9,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,925886000000.0,33.44,0.03344,1548081392.0,24.0,0.0017345793336437508,0.019883178929666408,0.004669134199192531,3.1632032138273325,0.5198180138992993,24064611080.85833
10,10,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,948100000000.0,36.28,0.03628,1719853400.0,26.0,0.0018961103049559825,0.02256483647413842,0.004802656579849489,2.845875751925417,0.5146848680387708,24398636169.37792
11,11,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,968996000000.0,34.480000000000004,0.034480000000000004,1670549104.0,28.0,0.002428497382061323,0.020500634848231423,0.004321711274429096,2.4786006380900005,0.41758490791172376,20231905271.34144
12,12,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,988726000000.0,35.4,0.0354,1750045020.0,30.0,0.002361266172076739,0.02411987177652208,0.005017927082575578,2.788432366804342,0.4963168268038805,24536067544.92468
