,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,500000.0,17.15,2.43,0.81,1.132207708766776,,0.0499999999999999,435.6,0.0012147264501127,500.0,0.0355005083142884,0.0001556663736794,0.0001033872596218,-8.584303329555843e-07,3.010264435291081e-07,39235664338.64299,21257712876.973755,14090826821.308315,1.4256837296897067,0.0017290726210208,55849045658.97514,30258770867.86579,20057242403.84247,8.513791522276799e-07,4.612735344886812e-07,3.0575845714678294e-07,4.760777769254279e-07,2.5793687604318845e-07,1.7097530069148497e-07
1,1,0.02,510,500000.0,17.15,2.43,0.81,1.134734428137802,,0.051,585.7,0.0018548648804037,510.0,0.0364289468293974,0.0001501753705178,0.0001049912168261,-1.2921638777619765e-06,1.008168859706974e-06,59912135637.04195,32460135407.06607,21516432612.6838,1.4227846741443086,0.0026358550987215,85138119688.70767,46127464227.628006,30575919145.170555,1.3265795684205503e-06,7.187350602897718e-07,4.764186685349344e-07,7.439525511167204e-07,4.0307026763289803e-07,2.671780059738067e-07
2,2,0.02,520,500000.0,17.15,2.43,0.81,1.1371251937425453,,0.052,671.2,0.0025367645662847,520.0,0.0363173867318436,0.0001747317684896,9.861993793969164e-05,-9.670551731293097e-07,5.277005585404232e-07,81937495490.9987,44393379909.98382,29426468968.903564,1.4531322835024914,0.0036870704163133,119092374446.9229,64523732285.48454,42770016829.235466,1.850591721939102e-06,1.002642573806015e-06,6.64608791779987e-07,1.0403361006772256e-06,5.636495901501998e-07,3.73619156899561e-07
3,3,0.02,530,500000.0,17.15,2.43,0.81,1.1396961390385214,,0.053,671.8,0.0027470976004086,530.0,0.0372471052148511,0.0001534671093145,0.0001055747435584,-1.119964837656917e-07,9.257466564935604e-07,88731252493.19974,48074208007.15155,31866332164.740456,1.4339745098060974,0.003936454842458,127147491411.39682,68887959743.01685,45662876172.51402,2.043022638681168e-06,1.1069008104309737e-06,7.337171086285308e-07,1.1521758649403498e-06,6.242438896735643e-07,4.137845211550483e-07
4,4,0.02,540,500000.0,17.15,2.43,0.81,1.1421032315621116,,0.054,677.8,0.0031714763720312,540.0,0.036848046286559,0.0001600007172535,0.0001042724941159,6.928545244351883e-07,-3.404023335199149e-07,102438686816.61214,55500836510.54836,36789125915.56349,1.494803600246435,0.0047431540859066,153203876974.7869,83005196503.36752,55020587396.5179,2.4044660251298704e-06,1.3027292705811994e-06,8.635234022138236e-07,1.3604671495113615e-06,7.370952048436168e-07,4.885888214963402e-07
5,5,0.02,550,500000.0,17.15,2.43,0.81,1.1446849391252194,,0.055,695.8,0.0034510329687135,550.0,0.0383071356369896,0.0001526546084663,0.0001028341539742,1.344200136568248e-07,-2.1475104047819293e-07,111468364889.44894,60393076952.487816,40031982437.07764,1.4611277253892712,0.0050324587892574,162548418893.01764,88068028812.00644,58376521955.38712,2.6533725229091704e-06,1.4375857322263307e-06,9.529139710757392e-07,1.51310551428219e-06,8.197940092860162e-07,5.434063147267308e-07
6,6,0.02,560,500000.0,17.15,2.43,0.81,1.1470719240942415,,0.056,683.8,0.0037831312387699,560.0,0.0419411792961113,0.0001588456151398,0.0001066636507695,1.461886325091689e-06,1.7932264259480633e-07,122195139012.27144,66204796678.47524,43884322369.73216,1.3396959189005444,0.0050661741060154,163637423624.29947,88658046855.2706,58767619629.77938,2.963679419855864e-06,1.6057086640085953e-06,1.0643554572856977e-06,1.6940653920319118e-06,9.178372867045964e-07,6.083950014727609e-07
7,7,0.02,570,500000.0,17.15,2.43,0.81,1.1496258456588988,,0.057,592.1,0.0034430641680541,570.0,0.0406758712410009,0.0001551003676265,9.949147421491437e-05,-3.7445879046804297e-07,9.844418439702611e-07,111210972628.15128,60253622940.94884,39939544349.42894,1.4296705169088804,0.0049321924833619,159309817212.5941,86313368458.8358,57213432806.99973,2.7463528325575557e-06,1.4879620609831956e-06,9.863062804231469e-07,1.5733230996521386e-06,8.524196360344403e-07,5.650324444571147e-07
8,8,0.02,580,500000.0,17.15,2.43,0.81,1.1519513659104534,,0.0579999999999999,503.1,0.0032329378071823,580.0,0.039888142915663,0.000139431761055,0.0001014035538069,-8.666457879868351e-07,1.541422399607235e-06,104423891171.98964,56576411625.690994,37502078563.31517,1.5049333459638614,0.0048645951766335,157126424205.26443,85130415591.08754,56429304048.94946,2.6250545549575934e-06,1.4222431799305844e-06,9.427440506968444e-07,1.5031725110767342e-06,8.14412351202565e-07,5.398390442257002e-07
9,9,0.02,590,500000.0,17.15,2.43,0.81,1.1544339730283155,,0.0589999999999999,588.3,0.0039717005338788,590.0,0.0410352832606349,0.0001512806109722,0.0001080546296909,-1.5191966573468204e-06,-2.0482601099751903e-06,128285927244.2883,69504759342.88066,46071726192.99519,1.4579133711194716,0.0057811318518863,186730558815.93008,101169807408.01166,67061129481.88202,3.281966190628272e-06,1.7781550568419425e-06,1.178662780535231e-06,1.8764772076519563e-06,1.016667217768088e-06,6.739051272062754e-07
