,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
25,25,2.25,0.02,1350,1,100000.0,,100000.0,100.0,1350.0,1.3445440756299831,0.0498238634542036,0.0279800396279977,545000000000000.0,1090534093020375.4,1029036476553163.4,1.004057824855954,100.4057824855954,547211514546494.9,1094959289369298.4,1033212126345404.0,0.0321612916645512,0.0643541009830553,0.0607250316621806,0.0209290179874349,0.0418785461444668,0.0395169228027666
26,26,2.25,0.02,1400,1,100000.0,,100000.0,100.0,1400.0,1.3996687273083808,0.0432306267135371,0.02726507235818,545000000000000.0,1061043117858074.0,1011341912857608.0,1.0002366793550186,100.02366793550188,545128990248485.2,1061294244858855.6,1011581276609246.4,0.033337781062351,0.0649042626804896,0.0618640280183968,0.0217850989922892,0.0424127144176612,0.0404260251131269
27,27,2.25,0.02,1450,1,100000.0,,100000.0,100.0,1450.0,1.4466801607356956,0.0436405430212428,0.0289836528238387,545000000000000.0,1031552163044978.4,987012070496398.6,1.0022947983627677,100.22947983627677,546250665107708.25,1033919367259843.2,989277064179805.4,0.034494230803284,0.0652891713719272,0.0624701324134495,0.022477007464841,0.0425434966406144,0.0407065645439187
28,28,2.25,0.02,1500,1,100000.0,,100000.0,100.0,1500.0,1.498229798515922,0.0473610064742443,0.0268626805203298,545000000000000.0,994442839743192.8,967548023158699.4,1.0011815286852734,100.11815286852732,545643933133474.0,995617802484214.0,968691208902441.0,0.0356260566521192,0.0650056457724501,0.0632475608930234,0.0231447075061046,0.0422313553346721,0.0410892036589319
29,29,2.25,0.02,1550,1,100000.0,,100000.0,100.0,1550.0,1.547603569404373,0.040973238249705,0.0285177823850713,545000000000000.0,961827240839731.4,947084004754892.6,1.0015484783332138,100.15484783332138,545843920691601.5,963316609482466.4,948550543815989.0,0.0367283250985606,0.0648189056701159,0.0638253380225402,0.023971638692424,0.0423056423888829,0.0416571661896483
30,30,2.25,0.02,1600,1,100000.0,,100000.0,100.0,1600.0,1.5992192305052413,0.0434618725978218,0.0260089232660249,545000000000000.0,928387197614298.2,926676300553487.2,1.0004882191758735,100.04882191758738,545266079450851.25,928840454046809.2,927128721693245.2,0.0377859736554203,0.0643669985157493,0.064248378495076,0.0246066325033297,0.0419164818210848,0.0418392351876419
31,31,2.25,0.02,1650,1,100000.0,,100000.0,100.0,1650.0,1.6482127967512952,0.0418758331560011,0.0289707974703245,545000000000000.0,894947136870478.8,906442828219771.2,1.0010843279776904,100.10843279776904,545590958747841.25,895917553089541.2,907425709538586.8,0.0387881311362937,0.0636941778073078,0.0645123363092504,0.0252051094687965,0.0413894322084522,0.041921083876119
32,32,2.25,0.02,1700,1,100000.0,,100000.0,100.0,1700.0,1.696323832258713,0.0415118754690745,0.0272782355289822,545000000000000.0,861507032168373.4,885691907903118.5,1.002167137943462,100.21671379434622,546181090179186.8,863374036746344.9,887611324442952.6,0.0397319596812759,0.0628061700316505,0.0645693122474112,0.0257652759721073,0.0407283787811546,0.0418717365750203
33,33,2.25,0.02,1750,1,100000.0,,100000.0,100.0,1750.0,1.1881300190006647,0.0464610422842572,0.024270481280236,545000000000000.0,827527607875797.2,864975882960802.9,1.472902773277224,147.2902773277224,802732011436087.1,1218867708603729.0,1274025376830882.2,0.0406010433623019,0.0616485950291141,0.0644383914338292,0.0262991540840897,0.0399326166391996,0.0417396954587297
34,34,2.25,0.02,1800,1,100000.0,,100000.0,100.0,1800.0,1.7988207118187347,0.0399088926584903,0.0231328081911408,545000000000000.0,794138499050980.4,843742357732438.9,1.0006555896168623,100.06555896168624,545357296341190.0,794659128005308.9,844295506461475.2,0.0413791408888388,0.0602949886926266,0.0640611631091589,0.0268464971478675,0.0391189668803375,0.0415624344961448
35,35,2.25,0.02,1850,1,100000.0,,100000.0,100.0,1850.0,1.8486034477539304,0.0457258640608681,0.0234557169204844,545000000000000.0,760186895398526.0,822508884635107.4,1.000755463400096,100.0755463400096,545411727553052.4,760761188775232.2,823130259993703.0,0.0427757172371082,0.0596652104310505,0.0645567109617626,0.0273643831214476,0.038168890733191,0.0412980701650452
36,36,2.25,0.02,1900,1,100000.0,,100000.0,100.0,1900.0,1.8972541048415223,0.0419850017559107,0.0225680232794055,545000000000000.0,727360185439135.1,801275359200487.0,1.001447299627114,100.1447299627114,545788778296777.1,728412893564298.8,802435044729073.5,0.0440048161916063,0.0587290848905355,0.0646972016522583,0.0278523061198415,0.0371718505398817,0.0409492964967669
37,37,2.25,0.02,1950,1,100000.0,,100000.0,100.0,1950.0,1.948250244682868,0.0454009152675585,0.0260978845845775,545000000000000.0,694306724012442.8,780041939045623.8,1.0008981163081632,100.08981163081631,545489473387948.9,694930292204145.6,780742507432131.8,0.0452241354442785,0.0576136171130496,0.0647279308323247,0.028310805896959,0.0360667576082014,0.0405203961978132
38,38,2.25,0.02,2000,1,100000.0,,100000.0,100.0,2000.0,1.996268285965925,0.0414757291238887,0.0218842337181415,545000000000000.0,661866734849275.8,758907711662868.2,1.0018693449474247,100.18693449474247,546018792996346.5,663103992085934.8,760326371959226.9,0.0464500909231898,0.0564105871794195,0.0646813435028443,0.0287397235713193,0.0349025082580181,0.0400198125675841
39,39,2.25,0.02,2050,1,100000.0,,100000.0,100.0,2050.0,2.037759183892831,0.045959790791402,0.0228183281657938,545000000000000.0,629426615980795.2,738574890089998.4,1.0060069983754334,100.60069983754336,548273814114611.2,633207580640446.4,743011508254904.9,0.0476757844458019,0.0550612984733044,0.0646094261596561,0.0291350368865604,0.0336483810531805,0.0394833149839622
40,40,2.25,0.02,2100,1,100000.0,,100000.0,100.0,2100.0,2.0992136997492707,0.0454976341591962,0.0224823374555355,545000000000000.0,597169630902765.9,717341447808921.8,1.0003745689401813,100.03745689401816,545204140072398.9,597393312098521.6,717610141634775.6,0.048899120361724,0.0535799443263865,0.0643621390768107,0.0294934167446844,0.032316647323825,0.0388199087494749
