,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,573.0,0.573,100.0,0.0046812789948376,0.1892863419735944,0.0409040487728887,13866600000000.0,8938800000000.0,7219800000000.0,21.361683443836032,12.240244613318046,296213919642296.7,190947815967761.6,154227082127807.38,5.737705104448306e-05,3.6986859350989085e-05,2.9874001783491183e-05,2.76084099868594e-05,1.779715685103333e-05,1.4374626687373072e-05
1,1,2.25,0.02,150,1,100000.0,,587.0,0.587,150.0,0.007400011814326,0.1254748460533096,0.040836074180317,14146699999999.998,9157199999999.998,7396199999999.999,20.270237908216288,11.89862965212296,286756974616163.3,185618622573118.16,149922733616749.28,8.633194082110163e-05,5.588291605017366e-05,4.513620142514028e-05,5.604162705203776e-05,3.627590796729415e-05,2.9299771819737583e-05
2,2,2.25,0.02,200,1,100000.0,,388.0,0.388,200.0,0.0091319694365381,0.1046100401711648,0.0293990618163184,9284446147761.92,6052800000000.0,4888800000000.0,21.901080746040925,8.497619329463879,203339404764402.4,132562861539636.5,107070003551244.88,7.716734742634563e-05,5.030763419472009e-05,4.063308915727392e-05,4.578287291850271e-05,2.984718407440099e-05,2.410734098317003e-05
3,3,2.25,0.02,250,1,100000.0,,410.0,0.41,250.0,0.0136053385536456,0.0869634132360946,0.0307963767845125,9717000000000.0,6396000000000.001,5166000000000.0,18.37513995070785,7.53380737979022,178551234901028.2,117527395124727.44,94925972985356.77,0.0001024671539288,6.744673423165459e-05,5.4476208417874855e-05,5.7395156526875366e-05,3.7779090372120505e-05,3.051388068517425e-05
4,4,2.25,0.02,300,1,100000.0,,448.0,0.4479999999999999,300.0,0.019158435918257,0.0645323500933798,0.0332642631870469,10465068178874.436,6988799999999.999,5644799999999.999,15.658898319257608,7.015186447027408,163871438517093.2,109436908573627.56,88391349232545.33,0.0001337597374692,8.932766010184793e-05,7.214926392841564e-05,7.290748980328995e-05,4.8689206417767984e-05,3.9325897491274136e-05
5,5,2.25,0.02,350,1,100000.0,,480.0,0.48,350.0,0.0244140469133071,0.0525361369226396,0.0213270894122274,11040000000000.0,7487999999999.999,6047999999999.999,14.336009152551773,6.88128439322485,158269541044171.56,107348036534307.64,86704183354633.11,0.0001658396974647,0.0001124825774108,9.08513125241801e-05,8.956894943086397e-05,6.0751113527020766e-05,4.906820707951677e-05
6,6,2.25,0.02,400,1,100000.0,,566.0,0.5660000000000001,400.0,0.0314271363878333,0.0334560161326861,0.0256864657318936,12785979607985.809,8773000000000.002,7131600000000.001,12.72785388600838,7.203965299480744,162738080239926.06,111661462141951.56,90769962773457.38,0.000220570727894,0.0001513428814328,0.0001230271165196,0.000118661181305,8.141844234909796e-05,6.618531442571834e-05
7,7,2.25,0.02,450,1,100000.0,,664.0,0.664,450.0,0.0407378377896066,0.0472735001937006,0.0170311679408632,14674400000000.0,10225600000000.0,8366400000000.0,11.046241637174177,7.334704447083653,162096968280548.72,112954448485088.23,92417276033254.02,0.0002857540935089,0.0001991227619926,0.0001629186234485,0.000156988269528,0.0001093945407571,8.950462425581307e-05
8,8,2.25,0.02,500,1,100000.0,,649.0,0.649,500.0,0.0316952508842405,0.0514559486979123,0.0194700963626958,13953500000000.0,9877003853289.523,8177400000000.0,15.77523401932147,10.238126878539637,220119727888602.1,155812047195382.16,129000398669599.4,0.0003027785867998,0.0002143222323084,0.0001774423345896,0.0001693090042516,0.0001198456077249,9.922295132889398e-05
9,9,2.25,0.02,550,1,100000.0,,683.0,0.683,550.0,0.046979465401705,0.0317214136521019,0.0239361135631192,14230908454002.123,10261319907380.674,8605800000000.0,11.707242628181088,7.996046715047685,166604698090436.28,120131761841090.23,100750188609600.8,0.0003387499359601,0.0002442585779205,0.0002048508855431,0.0001931746830264,0.0001392902798123,0.0001168177486744
10,10,2.25,0.02,600,1,100000.0,,699.0,0.699,600.0,0.0359610713603615,0.0403651329832424,0.0232275605087431,14085656996235.86,10415100000000.0,8768641234987.974,16.68470869478478,11.662611377654562,235015083756852.53,173772909527052.97,146302224654852.2,0.0003666807472921,0.0002711280455106,0.0002282670891135,0.0002092763254104,0.0001547413697042,0.0001302792632953
11,11,2.25,0.02,650,1,100000.0,,764.0,0.764,650.0,0.0716078444747836,0.039504213424398,0.0157961371819279,14821600000000.0,11230800000000.0,9525250522580.031,9.077217793211112,6.93499439401329,134538891243857.8,101944417591995.34,86462773528356.9,0.0004186868113523,0.0003172523776741,0.0002690732963129,0.0002377309887867,0.000180136367792,0.0001527802143611
12,12,2.25,0.02,700,1,100000.0,,822.0,0.822,700.0,0.0590086386890789,0.0506310308519414,0.0157768000861496,15274155193873.123,11919000000000.0,10185122186525.99,11.862669865820058,9.751114629704087,181192260544217.6,141391162130709.25,120822742041797.16,0.0004652604039293,0.0003630602598995,0.0003102452477681,0.0002648126478026,0.0002066433075412,0.00017658254353
13,13,2.25,0.02,750,1,100000.0,,795.0,0.795,750.0,0.0788031707523941,0.0434174603825449,0.0199047249712849,14069089916284.89,11324183429192.729,9709902579223.615,9.51738353722542,7.566319912094208,133900924752993.95,107776596941519.77,92412866955565.48,0.0004596376744934,0.0003699614806574,0.0003172228671242,0.0002598587384544,0.0002091597990663,0.0001793437279715
14,14,2.25,0.02,800,1,100000.0,,919.0,0.919,800.0,0.0910928658739749,0.0431451938561483,0.0132666571804014,15358548051778.922,12911349198529.982,11119900000000.0,8.782246472591865,8.070884508311924,134882554451868.08,113390650955191.72,97657702550574.28,0.0005356089871296,0.0004502661738198,0.0003877917597356,0.0003003441387615,0.0002524879332478,0.0002174552423415
15,15,2.25,0.02,850,1,100000.0,,944.0,0.944,850.0,0.0969268144415309,0.0393991922764794,0.0147403953142894,14846770122883.965,13027200000000.0,11290072352612.496,8.769503102908066,8.278410929145213,130198796660793.69,114242070822203.95,99008324528291.84,0.0005504652238534,0.0004830020607061,0.0004185955701788,0.0003056652005864,0.0002682039034834,0.0002324399314957
