,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.01,100,1,300000.0,,528.4,0.1761333333333333,100.0,0.0023052381921416,0.0366250668045204,0.0048854507643518,0.0005373670032418,2.762055850242267e-05,4262426666666.667,2747680000000.0,2219280000000.0,44.47575181605047,7.831905673810508,189532117306214.3,122177728511443.92,98682011490012.4,1.7637017901049946e-05,1.1369317324643766e-05,9.182910146827658e-06,8.486494378741424e-06,5.470632740015132e-06,4.418587982319914e-06
1,1,2.25,0.01,300,1,300000.0,,623.8,0.2079333333333333,300.0,0.0108451772300099,0.027783262880648,0.0041923032471812,0.00027638925766,-1.0631742938285169e-05,4857224352665.084,3243760000000.0,2619960000000.0,28.19418773595276,5.852368581887873,136708562985176.95,91296949877450.8,73739844131787.2,6.208283053074706e-05,4.1460263669295205e-05,3.3487136040584586e-05,3.3839056651259136e-05,2.2598457562056305e-05,1.825260033858394e-05
2,2,2.25,0.01,500,1,300000.0,,917.8,0.3059333333333333,500.0,0.0216656795025755,0.0205459757051714,0.0048508431973257,0.0003214640787848,-1.184768027166107e-05,6577566666666.667,4655939464072.485,3854760000000.0,23.402051744607206,7.1617941388530015,153978573985339.53,108993941919749.52,90238606149547.8,0.0001427273687544,0.0001010297610748,8.364487657238122e-05,7.981089065341332e-05,5.649424692860088e-05,4.677289405734921e-05
3,3,2.25,0.01,700,1,300000.0,,1193.4,0.3978,700.0,0.0331493120570257,0.0197239366242386,0.0047129791750109,-3.1898412087065465e-05,-2.5485855837861384e-06,7391799192363.417,5768100000000.0,4929004386618.053,21.264377169746496,8.46498176028806,157293728856380.9,122742235524176.84,104886707463805.05,0.000225158867011,0.0001756999651922,0.0001501405834089,0.0001281538580241,0.0001000032940874,8.54556396791568e-05
4,4,2.25,0.01,900,1,300000.0,,1434.8,0.4782666666666667,900.0,0.0431185969476245,0.0213820225449642,0.0041310628018494,0.0001399273527584,4.022318831598381e-07,6975788934324.396,6485069935162.934,5635357101039.48,20.907499004598957,9.997438253907676,145818272532479.6,135560537180926.56,117798580965352.0,0.0002740122483268,0.000254736576783,0.0002213594596853,0.0001500253548439,0.0001394716679891,0.0001211972519116
5,5,2.25,0.01,1100,1,300000.0,,1722.4,0.5741333333333333,1100.0,0.0636123414954908,0.0167689038191967,0.0044893786541263,8.145058332680208e-05,1.2657695893303356e-05,5463559814860.2295,7165120336653.031,6415993761759.834,17.39191589751777,9.98904439806837,95057608387379.88,124662166442748.0,111628506521043.9,0.0002626780853267,0.0003444860411427,0.0003084693888082,0.000132225872155,0.0001734060425279,0.0001552761202655
6,6,2.25,0.01,1300,1,300000.0,,1866.8,0.6222666666666667,1300.0,0.0790900626293023,0.0175573009279799,0.0047639801730213,5.41501457225089e-05,-1.944681725980262e-05,3391353333333.333,7031769245462.078,6513458497849.033,16.546228638361924,10.28881696925393,56074052482433.91,116266209668826.0,107696243284551.69,0.0001927803851041,0.0003997186520731,0.0003702554449969,0.0001219213950773,0.0002527967545706,0.0002341631404286
7,7,2.25,0.01,1500,1,300000.0,,1981.2,0.6604,1500.0,0.1002919317310897,0.0160363133914103,0.0047190788080227,2.365785466744134e-05,-5.5560604166881295e-05,3599180000000.0,6567300513664.045,6389687144940.05,15.003952374042251,9.916665005127076,54045824277942.58,98615565084805.16,95948496220377.6,0.0002352744781305,0.0004292972846812,0.0004176868921374,0.0001528476483702,0.0002788958706301,0.0002713531009635
8,8,2.25,0.01,1700,1,300000.0,,1911.2,0.6370666666666667,1700.0,0.1036301878970334,0.0161800328546777,0.004439594455497,-4.0641760296793967e-05,-1.0043319397207293e-05,3472013333333.333,5488374132933.983,5642447914614.8,16.510842180741072,10.51647804742301,57314805358455.41,90600197914992.48,93143595062433.48,0.0002531190711428,0.0004001171738815,0.0004113495652241,0.0001641419847929,0.0002594669250884,0.0002667508764738
9,9,2.25,0.01,1900,1,300000.0,,1472.2,0.4907333333333333,1900.0,0.1363568371950805,0.0155142924950951,0.0048474770693119,0.0001030873135734,4.127953815652186e-05,2674496666666.6665,3569398883344.983,3932125279383.19,14.18069421598108,6.979477501697038,38038152384248.86,50765940499026.3,55924833422040.12,0.0002159463013242,0.0002882031959194,0.0003174907342414,0.000136680550232,0.000182414661216,0.000200951847675
10,10,2.25,0.01,2100,1,300000.0,,41.6,0.0138666666666666,2100.0,0.1660884997221351,0.0193373520184343,0.004965151217385,-0.0002242499360314,-4.953021898969528e-05,75573333333.33333,82807522151.85019,99471347429.5038,12.70158972365041,0.1766538237315942,962763339337.1888,1054922987153.584,1267211096766.0386,6.780678023492397e-06,7.429752279925599e-06,8.924883285317751e-06,4.089753788596239e-06,4.481241762237073e-06,5.383027346593852e-06
