Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,0.01,100,1,300000.0
1,2.25,0.01,300,1,300000.0
2,2.25,0.01,500,1,300000.0
3,2.25,0.01,700,1,300000.0
4,2.25,0.01,900,1,300000.0
5,2.25,0.01,1100,1,300000.0
6,2.25,0.01,1300,1,300000.0
7,2.25,0.01,1500,1,300000.0
8,2.25,0.01,1700,1,300000.0
9,2.25,0.01,1900,1,300000.0
10,2.25,0.01,2100,1,300000.0
