,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.01,100,1,300000.0,,776.8,0.2589333333333333,100.0,0.0037342180682571,0.002790287916605,0.0379822303005635,6.121732666897024e-05,-0.0001439455631071,6266186666666.667,4039360000000.0,3262560000000.0,26.973085652853108,6.9919790524709455,169205893069796.84,109074873218546.77,88098936061133.9,2.592815197868205e-05,1.6714015325100827e-05,1.3499781608735285e-05,1.247598189516718e-05,8.04236849440529e-06,6.495759168558117e-06
1,1,2.25,0.01,300,1,300000.0,,664.8,0.2215999999999999,300.0,0.0191666214445603,0.0030332040852568,0.0239691484622342,2.0184532370436114e-05,-0.0002361227666105,5176471224193.248,3456960000000.0,2792160000000.0,16.08287722428576,3.572407429795377,83449748472156.72,55729555904807.88,45012333615421.75,6.616329871247298e-05,4.4185289014664073e-05,3.56881180503056e-05,3.6063169063413066e-05,2.408376817450309e-05,1.945227429479096e-05
2,2,2.25,0.01,500,1,300000.0,,952.4,0.3174666666666666,500.0,0.0386783391190419,0.0029700707958479,0.0214069599302113,6.356324142873291e-06,0.0001360466276059,6825533333333.333,4831463004557.239,4000080000000.0,13.008455352362065,4.129067442248345,88774950008339.4,62839468470846.27,52026249772329.15,0.0001481080257155,0.0001048384663844,8.67981918147046e-05,8.281966905459888e-05,5.862401479058562e-05,4.853617814362538e-05
3,3,2.25,0.01,700,1,300000.0,,1211.4,0.4038,700.0,0.0637969112998007,0.0030873901466871,0.0173636243536805,1.3700668300951972e-05,1.0838558041194656e-05,7503289376260.302,5855100000000.0,5003348344183.936,10.994058168975602,4.439895840880822,82500800630468.95,64378489692771.92,55013237998564.14,0.0002285549283535,0.0001783500400819,0.0001524051472612,0.0001300867970592,0.0001015116393979,8.674456335455884e-05
4,4,2.25,0.01,900,1,300000.0,,1508.2,0.5027333333333333,900.0,0.0905080076397325,0.0031445518882411,0.0149196674273436,1.748644447685697e-05,-0.0001658385612807,7332649059623.68,6816826370374.084,5923644814460.373,10.049199227112531,5.053605722570749,73709688203124.1,68524504883490.914,59546012464196.05,0.0002880298807684,0.0002677681245499,0.0002326835357522,0.0001577001952715,0.0001466066139261,0.0001273973343554
5,5,2.25,0.01,1100,1,300000.0,,1727.2,0.5757333333333332,1100.0,0.1331277303000206,0.00336981062273,0.0137924211119261,1.6971576533883352e-05,-0.000118107089268,5478785713090.218,7185088159235.436,6433873911583.597,8.348983009237637,4.799943727997904,45677159195099.42,59902765478868.92,53639820626392.46,0.0002634101190061,0.0003454460579781,0.0003093290341091,0.0001325943604192,0.0001738892920659,0.000155708845171
6,6,2.25,0.01,1300,1,300000.0,,1913.6,0.6378666666666668,1300.0,0.1634508729141089,0.0032946950814262,0.0136367948350699,2.3934750431155206e-05,-6.484552761082778e-05,3476373333333.333,7208053154122.687,6676748543756.112,7.99040837563394,5.095414656559926,27770009878251.598,57579462301598.67,53335288024696.98,0.0001976133195496,0.0004097394539356,0.0003795376149272,0.0001249779203021,0.0002591342776657,0.0002400335255646
7,7,2.25,0.01,1500,1,300000.0,,2008.0,0.6693333333333333,1500.0,0.1963163935522061,0.0032270645661967,0.012259452375218,9.890350585689587e-06,-8.253768796668355e-05,3647866666666.6665,6656137407347.7705,6476121435008.894,7.699232184717327,5.149308311323293,28063730296711.945,51206927798255.6,49822030772555.125,0.0002384570725247,0.0004351044557035,0.0004233370075772,0.0001549152422408,0.0002826685383733,0.0002750237364904
8,8,2.25,0.01,1700,1,300000.0,,1897.2,0.6324,1700.0,0.2414997714527544,0.0030281950692569,0.0109804841787215,4.2978645733841626e-06,9.339499654135176e-06,3446580000000.0,5448170471432.793,5601115625579.322,7.070370692100001,4.469427485590219,24358379796466.69,38504432086025.85,39585357569470.39,0.0002512649130243,0.0003971862192801,0.0004083363306525,0.0001629396052475,0.0002575662674119,0.0002647968621003
9,9,2.25,0.01,1900,1,300000.0,,1467.8,0.4892666666666666,1900.0,0.2517647079061134,0.0033412421730735,0.0111232384927932,-8.970746337453159e-06,-5.943573616220094e-05,2666503333333.333,3558730933958.542,3920373240781.583,7.558893938210788,3.696812049223098,20147625668265.883,26889138976565.414,29621644026379.26,0.0002153008973534,0.0002873418360077,0.0003165418419505,0.0001362720497423,0.0001818694740747,0.0002003512579931
10,10,2.25,0.01,2100,1,300000.0,,42.4,0.0141333333333333,2100.0,0.3749122162931244,0.0033060183813948,0.0123195926195624,7.391702913418e-05,0.000149422126265,77026666666.66666,84399974500.92426,101384257956.99426,5.66103593769437,0.0797959635030645,434888001091.702,476517260726.5568,572409519885.9624,6.911075677790329e-06,7.57263213146263e-06,9.096515656189248e-06,4.168402899915398e-06,4.56741948843394e-06,5.486547103259119e-06
